time,CANESM2,NORESM1-M,GFDL-CM3,CCSM4,CNRM-CM5,GFDL-ESM2G,CESM1-CAM5,MPI-ESM-LR,GISS-E2-R,CSIRO-MK3-6-0,IPSL-CM5A-LR
2000.0,3655101800000.0,3655101800000.0,3655101800000.0,3655101800000.0,3655101800000.0,3655101800000.0,3655101800000.0,3655101800000.0,3655101800000.0,3655101800000.0,3655101800000.0
2001.0,3639392900000.0,3639392900000.0,3639392900000.0,3639392900000.0,3639392900000.0,3639392900000.0,3639392900000.0,3639392900000.0,3639392900000.0,3639392900000.0,3639392900000.0
2002.0,3628705800000.0,3628705800000.0,3628705800000.0,3628705800000.0,3628705800000.0,3628705800000.0,3628705800000.0,3628705800000.0,3628705800000.0,3628705800000.0,3628705800000.0
2003.0,3626129000000.0,3626129000000.0,3626129000000.0,3626129000000.0,3626129000000.0,3626129000000.0,3626129000000.0,3626129000000.0,3626129000000.0,3626129000000.0,3626129000000.0
2004.0,3614964000000.0,3614964000000.0,3614964000000.0,3614964000000.0,3614964000000.0,3614964000000.0,3614964000000.0,3614964000000.0,3614964000000.0,3614964000000.0,3614964000000.0
2005.0,3601469000000.0,3601469000000.0,3601469000000.0,3601469000000.0,3601469000000.0,3601469000000.0,3601469000000.0,3601469000000.0,3601469000000.0,3601469000000.0,3601469000000.0
2006.0,3594644400000.0,3594644400000.0,3594644400000.0,3594644400000.0,3594644400000.0,3594644400000.0,3594644400000.0,3594644400000.0,3594644400000.0,3594644400000.0,3594644400000.0
2007.0,3587332000000.0,3587332000000.0,3587332000000.0,3587332000000.0,3587332000000.0,3587332000000.0,3587332000000.0,3587332000000.0,3587332000000.0,3587332000000.0,3587332000000.0
2008.0,3585891400000.0,3585891400000.0,3585891400000.0,3585891400000.0,3585891400000.0,3585891400000.0,3585891400000.0,3585891400000.0,3585891400000.0,3585891400000.0,3585891400000.0
2009.0,3567340500000.0,3567340500000.0,3567340500000.0,3567340500000.0,3567340500000.0,3567340500000.0,3567340500000.0,3567340500000.0,3567340500000.0,3567340500000.0,3567340500000.0
2010.0,3561680300000.0,3561680300000.0,3561680300000.0,3561680300000.0,3561680300000.0,3561680300000.0,3561680300000.0,3561680300000.0,3561680300000.0,3561680300000.0,3561680300000.0
2011.0,3537502200000.0,3537502200000.0,3537502200000.0,3537502200000.0,3537502200000.0,3537502200000.0,3537502200000.0,3537502200000.0,3537502200000.0,3537502200000.0,3537502200000.0
2012.0,3538741000000.0,3538741000000.0,3538741000000.0,3538741000000.0,3538741000000.0,3538741000000.0,3538741000000.0,3538741000000.0,3538741000000.0,3538741000000.0,3538741000000.0
2013.0,3538263500000.0,3538263500000.0,3538263500000.0,3538263500000.0,3538263500000.0,3538263500000.0,3538263500000.0,3538263500000.0,3538263500000.0,3538263500000.0,3538263500000.0
2014.0,3536535200000.0,3536535200000.0,3536535200000.0,3536535200000.0,3536535200000.0,3536535200000.0,3536535200000.0,3536535200000.0,3536535200000.0,3536535200000.0,3536535200000.0
2015.0,3525031800000.0,3525031800000.0,3525031800000.0,3525031800000.0,3525031800000.0,3525031800000.0,3525031800000.0,3525031800000.0,3525031800000.0,3525031800000.0,3525031800000.0
2016.0,3523243700000.0,3523243700000.0,3523243700000.0,3523243700000.0,3523243700000.0,3523243700000.0,3523243700000.0,3523243700000.0,3523243700000.0,3523243700000.0,3523243700000.0
2017.0,3505864800000.0,3505864800000.0,3505864800000.0,3505864800000.0,3505864800000.0,3505864800000.0,3505864800000.0,3505864800000.0,3505864800000.0,3505864800000.0,3505864800000.0
2018.0,3488422600000.0,3488422600000.0,3488422600000.0,3488422600000.0,3488422600000.0,3488422600000.0,3488422600000.0,3488422600000.0,3488422600000.0,3488422600000.0,3488422600000.0
2019.0,3483754800000.0,3483754800000.0,3483754800000.0,3483754800000.0,3483754800000.0,3483754800000.0,3483754800000.0,3483754800000.0,3483754800000.0,3483754800000.0,3483754800000.0
2020.0,3460928400000.0,3460928400000.0,3460928400000.0,3460928400000.0,3460928400000.0,3460928400000.0,3460928400000.0,3460928400000.0,3460928400000.0,3460928400000.0,3460928400000.0
2021.0,3447417700000.0,3447132500000.0,3439551000000.0,3444824000000.0,3446597000000.0,3448649000000.0,3434723100000.0,3443314700000.0,3442466400000.0,3444296600000.0,3454474400000.0
2022.0,3439141600000.0,3439411600000.0,3420319400000.0,3429923000000.0,3425381600000.0,3435598700000.0,3426171200000.0,3437327000000.0,3438514300000.0,3438756800000.0,3449601000000.0
2023.0,3435928500000.0,3438262400000.0,3405862000000.0,3410592000000.0,3413577600000.0,3421801500000.0,3408934500000.0,3427233400000.0,3425067300000.0,3428930600000.0,3436353200000.0
2024.0,3420703700000.0,3440217700000.0,3384548000000.0,3391616500000.0,3398020400000.0,3418178500000.0,3383977300000.0,3420650200000.0,3411317400000.0,3424248700000.0,3416781200000.0
2025.0,3401571600000.0,3432232500000.0,3357589400000.0,3380504200000.0,3392384300000.0,3406252000000.0,3354290800000.0,3410085300000.0,3395206300000.0,3397428000000.0,3408507700000.0
2026.0,3387363000000.0,3423303400000.0,3338292700000.0,3359315900000.0,3382456000000.0,3402610800000.0,3326612900000.0,3392193700000.0,3378243000000.0,3364338000000.0,3393602200000.0
2027.0,3365379500000.0,3413683200000.0,3309881500000.0,3329642200000.0,3362594000000.0,3398726600000.0,3298868600000.0,3380214500000.0,3370040400000.0,3341940200000.0,3374148000000.0
2028.0,3360656200000.0,3410993600000.0,3281615800000.0,3315435600000.0,3359758600000.0,3390775800000.0,3276837200000.0,3362632000000.0,3356608000000.0,3321044700000.0,3343926400000.0
2029.0,3332361000000.0,3376079200000.0,3269689000000.0,3288947500000.0,3342369300000.0,3387088000000.0,3250127000000.0,3338125700000.0,3327525700000.0,3320353400000.0,3334719400000.0
2030.0,3296337000000.0,3358744400000.0,3255341700000.0,3270779000000.0,3334666700000.0,3380702300000.0,3212832100000.0,3317792200000.0,3309439000000.0,3322500300000.0,3316246000000.0
2031.0,3276512000000.0,3346803700000.0,3239697700000.0,3237440000000.0,3326083300000.0,3380191400000.0,3187934500000.0,3309555200000.0,3297350500000.0,3324167800000.0,3300325900000.0
2032.0,3263059700000.0,3335055000000.0,3215724400000.0,3211695800000.0,3318293000000.0,3371790800000.0,3161009200000.0,3295143500000.0,3285001400000.0,3337884500000.0,3283381000000.0
2033.0,3250401600000.0,3314026300000.0,3181291800000.0,3183779000000.0,3304431600000.0,3353817000000.0,3140536000000.0,3278189000000.0,3264338000000.0,3334870400000.0,3253051000000.0
2034.0,3222276400000.0,3300643800000.0,3162720700000.0,3166026000000.0,3286794800000.0,3341078500000.0,3104288800000.0,3264186700000.0,3255650700000.0,3315296400000.0,3237209400000.0
2035.0,3205963400000.0,3306101000000.0,3133927300000.0,3159845500000.0,3275561400000.0,3320633000000.0,3078886000000.0,3244352000000.0,3227148000000.0,3307414200000.0,3209376800000.0
2036.0,3190739700000.0,3298941200000.0,3097860500000.0,3136333000000.0,3256789800000.0,3300145200000.0,3063436800000.0,3224943200000.0,3211194500000.0,3310123000000.0,3193410200000.0
2037.0,3175915200000.0,3276136500000.0,3067840300000.0,3105382000000.0,3254573300000.0,3292610400000.0,3036046000000.0,3210027500000.0,3206330000000.0,3318453600000.0,3182821000000.0
2038.0,3157776400000.0,3259403000000.0,3037488200000.0,3088768800000.0,3249645000000.0,3297221500000.0,3012242200000.0,3188537400000.0,3191538500000.0,3316491000000.0,3149048300000.0
2039.0,3147396000000.0,3247562300000.0,3017776000000.0,3071784500000.0,3238219700000.0,3286425100000.0,2995321800000.0,3162497400000.0,3179368200000.0,3318648100000.0,3129035000000.0
2040.0,3122215000000.0,3233726600000.0,2998361400000.0,3051187600000.0,3218558000000.0,3267378300000.0,2970927000000.0,3150199400000.0,3170493500000.0,3324463300000.0,3101416000000.0
2041.0,3124479000000.0,3228461400000.0,2967530400000.0,3017725400000.0,3204316400000.0,3255139600000.0,2946814400000.0,3143206400000.0,3157476800000.0,3323607600000.0,3076310700000.0
2042.0,3104242400000.0,3215709000000.0,2939728700000.0,3005455000000.0,3184624700000.0,3247988500000.0,2911795000000.0,3127172400000.0,3138796700000.0,3321591800000.0,3052747600000.0
2043.0,3080735200000.0,3203429600000.0,2910690500000.0,2979169600000.0,3170576000000.0,3238377800000.0,2891729900000.0,3105539000000.0,3123772400000.0,3312311000000.0,3027751000000.0
2044.0,3056267700000.0,3188998300000.0,2885391000000.0,2948000400000.0,3163446000000.0,3231851700000.0,2878545900000.0,3089628400000.0,3108723200000.0,3305995000000.0,3002488300000.0
2045.0,3042270200000.0,3167577700000.0,2856872600000.0,2921130400000.0,3136008500000.0,3214291500000.0,2860316600000.0,3077596800000.0,3084574800000.0,3303910000000.0,2977122000000.0
