time,CANESM2,NORESM1-M,GFDL-CM3,CCSM4,CNRM-CM5,GFDL-ESM2G,CESM1-CAM5,MPI-ESM-LR,GISS-E2-R,CSIRO-MK3-6-0,IPSL-CM5A-LR
2046.0,3024664700000.0,3163454400000.0,2816069600000.0,2897552900000.0,3113994000000.0,3209397300000.0,2835462800000.0,3064322600000.0,3072531000000.0,3296604700000.0,2951284500000.0
2047.0,2997040700000.0,3159268300000.0,2792652000000.0,2868560300000.0,3098811600000.0,3197412300000.0,2810585500000.0,3037734400000.0,3052781200000.0,3291133500000.0,2924713000000.0
2048.0,2973590000000.0,3139883200000.0,2764466800000.0,2836832500000.0,3097351200000.0,3187518700000.0,2789485600000.0,3025106400000.0,3029200300000.0,3284982000000.0,2905796200000.0
2049.0,2959326800000.0,3123690900000.0,2741876300000.0,2813319700000.0,3077463900000.0,3175489200000.0,2763920000000.0,2998036000000.0,3005155000000.0,3277480800000.0,2879559000000.0
2050.0,2949514500000.0,3108754700000.0,2712617400000.0,2797350700000.0,3059028900000.0,3166476000000.0,2737217500000.0,2972144600000.0,2987093700000.0,3268689000000.0,2855964800000.0
2051.0,2938367000000.0,3091584500000.0,2690602800000.0,2783341200000.0,3052387200000.0,3140780800000.0,2726511200000.0,2956771500000.0,2979427500000.0,3273150200000.0,2831275300000.0
2052.0,2926642000000.0,3084730200000.0,2658355600000.0,2761282000000.0,3038694900000.0,3127410700000.0,2703766600000.0,2928961000000.0,2960452700000.0,3280709600000.0,2808493600000.0
2053.0,2902965400000.0,3057320000000.0,2635144000000.0,2739799600000.0,3022047200000.0,3111218000000.0,2685258200000.0,2913702000000.0,2962325800000.0,3272893300000.0,2780473900000.0
2054.0,2875394400000.0,3044075600000.0,2591892400000.0,2718344700000.0,3013311200000.0,3100987600000.0,2660725000000.0,2893737600000.0,2950858300000.0,3269550100000.0,2760695300000.0
2055.0,2844712800000.0,3036055000000.0,2559536300000.0,2700351400000.0,2999426200000.0,3099880800000.0,2642524800000.0,2874034400000.0,2932172400000.0,3265813800000.0,2745114600000.0
2056.0,2820191000000.0,3012618000000.0,2531490500000.0,2682883100000.0,2979221000000.0,3094999500000.0,2617845200000.0,2857072000000.0,2919121300000.0,3273972800000.0,2723255000000.0
2057.0,2797087800000.0,2993216600000.0,2519279000000.0,2664516600000.0,2958826700000.0,3098196600000.0,2601253300000.0,2839546200000.0,2904154400000.0,3274019400000.0,2687904000000.0
2058.0,2784368300000.0,2976886000000.0,2502648100000.0,2647388300000.0,2952315300000.0,3088165600000.0,2573568800000.0,2828038800000.0,2881128500000.0,3286405500000.0,2672314000000.0
2059.0,2751160400000.0,2953084400000.0,2490836500000.0,2637518000000.0,2931969500000.0,3077669400000.0,2550606000000.0,2816845500000.0,2885893200000.0,3295494500000.0,2654707000000.0
2060.0,2727386000000.0,2932348000000.0,2470034300000.0,2625368800000.0,2912044200000.0,3059478000000.0,2520063100000.0,2809161800000.0,2877750500000.0,3303580400000.0,2646739000000.0
2061.0,2704475400000.0,2901162300000.0,2448321200000.0,2625238700000.0,2907759000000.0,3054049400000.0,2491568000000.0,2783618500000.0,2880241700000.0,3298504000000.0,2619566200000.0
2062.0,2677106300000.0,2883279700000.0,2430160900000.0,2616244600000.0,2888725200000.0,3048540000000.0,2467601600000.0,2769523800000.0,2875431300000.0,3303223900000.0,2584812200000.0
2063.0,2653374000000.0,2880015700000.0,2419516000000.0,2596023000000.0,2869892000000.0,3046426000000.0,2434995600000.0,2753612700000.0,2871761600000.0,3298913700000.0,2562310800000.0
2064.0,2624154200000.0,2868079500000.0,2403776300000.0,2582571400000.0,2858829200000.0,3041324200000.0,2414505400000.0,2742496800000.0,2876181300000.0,3296952800000.0,2536134700000.0
2065.0,2613821300000.0,2847910100000.0,2383591500000.0,2573382200000.0,2838437300000.0,3025024800000.0,2395993800000.0,2726731200000.0,2864714000000.0,3304841000000.0,2513680200000.0
2066.0,2597247300000.0,2830375600000.0,2365964700000.0,2561982000000.0,2832477500000.0,3005240600000.0,2366588300000.0,2715715400000.0,2851901500000.0,3313434000000.0,2483543300000.0
2067.0,2587046400000.0,2812488500000.0,2353192800000.0,2547393500000.0,2832875000000.0,3001381600000.0,2343397000000.0,2704986000000.0,2850718700000.0,3319103800000.0,2454118700000.0
2068.0,2559924200000.0,2795930600000.0,2325042200000.0,2526681500000.0,2814381700000.0,2997298400000.0,2317363400000.0,2675156700000.0,2858248300000.0,3311821000000.0,2417484400000.0
2069.0,2552576300000.0,2780054400000.0,2298688600000.0,2513496200000.0,2802480000000.0,2990156000000.0,2300530700000.0,2656599800000.0,2840023500000.0,3322513000000.0,2395262200000.0
2070.0,2546211000000.0,2765401400000.0,2277696600000.0,2504482400000.0,2794896000000.0,2985921300000.0,2278290600000.0,2640483000000.0,2843021000000.0,3310251400000.0,2364698500000.0
2071.0,2527917500000.0,2754386900000.0,2257023400000.0,2491735300000.0,2782364200000.0,2989610800000.0,2254402500000.0,2630007400000.0,2829523400000.0,3310821300000.0,2341267000000.0
2072.0,2509860500000.0,2750611500000.0,2232477800000.0,2481328000000.0,2776570300000.0,2983999000000.0,2237097600000.0,2624448600000.0,2831892000000.0,3305202000000.0,2313975000000.0
2073.0,2499359300000.0,2743182000000.0,2212487500000.0,2464719000000.0,2765903000000.0,2979323200000.0,2214537500000.0,2612726300000.0,2831152600000.0,3308133000000.0,2296244900000.0
2074.0,2472677000000.0,2737172000000.0,2186421500000.0,2454151800000.0,2764811000000.0,2980273000000.0,2188317800000.0,2611093200000.0,2823633200000.0,3305388400000.0,2271832400000.0
2075.0,2451101700000.0,2729762000000.0,2163455600000.0,2448629200000.0,2762183000000.0,2974655400000.0,2161088400000.0,2596275000000.0,2815667000000.0,3308233000000.0,2252435600000.0
2076.0,2430131200000.0,2707679000000.0,2142685200000.0,2434454000000.0,2762176500000.0,2971762000000.0,2141491200000.0,2585793700000.0,2813245300000.0,3313126000000.0,2231833700000.0
2077.0,2401751300000.0,2693908000000.0,2116006300000.0,2418345500000.0,2745349700000.0,2971537500000.0,2123323000000.0,2583247500000.0,2808822000000.0,3319609000000.0,2211997000000.0
2078.0,2386804300000.0,2677812500000.0,2093370600000.0,2401116600000.0,2738871300000.0,2976557300000.0,2104752200000.0,2581617400000.0,2807288300000.0,3318547500000.0,2199484600000.0
2079.0,2364072300000.0,2668497700000.0,2076619800000.0,2389178000000.0,2732258500000.0,2977799600000.0,2084677400000.0,2572047600000.0,2817560400000.0,3311278200000.0,2176285000000.0
2080.0,2332544200000.0,2657665400000.0,2067812600000.0,2375527200000.0,2720037600000.0,2977348000000.0,2060002700000.0,2561035500000.0,2821490000000.0,3316126600000.0,2163169000000.0
2081.0,2311273800000.0,2644378000000.0,2047349000000.0,2366763400000.0,2704567400000.0,2981754300000.0,2050045800000.0,2545229500000.0,2820637700000.0,3328025800000.0,2144164900000.0
2082.0,2287477000000.0,2638683000000.0,2031497600000.0,2350836000000.0,2696116200000.0,2980685500000.0,2034133800000.0,2533293000000.0,2813736800000.0,3301363000000.0,2131055900000.0
2083.0,2269207300000.0,2625928200000.0,2021457400000.0,2337127300000.0,2687939600000.0,2979428800000.0,2016003400000.0,2517692600000.0,2806923100000.0,3288629000000.0,2113512400000.0
2084.0,2260444400000.0,2609235600000.0,1998800600000.0,2332123000000.0,2692414200000.0,2978239700000.0,2000068800000.0,2502043600000.0,2798006000000.0,3276240600000.0,2088423800000.0
2085.0,2247645200000.0,2584921500000.0,1979805500000.0,2324663400000.0,2687343300000.0,2978605200000.0,1987733900000.0,2490902200000.0,2791882600000.0,3275783000000.0,2066192900000.0
2086.0,2229630700000.0,2556120300000.0,1960564900000.0,2310211000000.0,2670687200000.0,2975381800000.0,1974644600000.0,2481178300000.0,2782436300000.0,3267561500000.0,2048401200000.0
2087.0,2213537400000.0,2541961300000.0,1948209500000.0,2299655600000.0,2666606600000.0,2978901700000.0,1964352500000.0,2468673500000.0,2788415000000.0,3254870600000.0,2026830600000.0
2088.0,2202103200000.0,2526923500000.0,1933678600000.0,2284239000000.0,2664839000000.0,2979297000000.0,1949716400000.0,2464734200000.0,2787452400000.0,3251917000000.0,2010849100000.0
2089.0,2190907100000.0,2504607000000.0,1919792300000.0,2273215300000.0,2657559800000.0,2979419400000.0,1940880500000.0,2460769000000.0,2777762800000.0,3236600000000.0,1997437300000.0
2090.0,2170550700000.0,2485282400000.0,1903214200000.0,2261292700000.0,2662562300000.0,2976472400000.0,1936930800000.0,2451019100000.0,2776499200000.0,3230400000000.0,1986755400000.0
2091.0,2154785000000.0,2464831000000.0,1893050400000.0,2250167000000.0,2661147700000.0,2969001800000.0,1927425000000.0,2438149400000.0,2771102200000.0,3210436700000.0,1966062700000.0
2092.0,2135686100000.0,2458543200000.0,1884408000000.0,2235136000000.0,2659683400000.0,2967659000000.0,1917243100000.0,2431826000000.0,2770761200000.0,3185085800000.0,1945141500000.0
2093.0,2112698600000.0,2441372000000.0,1864853600000.0,2212687000000.0,2660261200000.0,2962814100000.0,1906891400000.0,2424868200000.0,2764133400000.0,3173265200000.0,1930025200000.0
2094.0,2096258900000.0,2424127000000.0,1849697100000.0,2201078500000.0,2659277000000.0,2964554800000.0,1894773400000.0,2412388300000.0,2755544000000.0,3170423300000.0,1917515300000.0
2095.0,2084294800000.0,2405436000000.0,1838888000000.0,2183830300000.0,2654425000000.0,2957650000000.0,1880237400000.0,2404885200000.0,2762013400000.0,3167697000000.0,1912932500000.0
2096.0,2069320200000.0,2397309500000.0,1819705100000.0,2168914000000.0,2641293200000.0,2955085000000.0,1872215500000.0,2388512700000.0,2751454800000.0,3163486400000.0,1899699100000.0
2097.0,2057411900000.0,2391229900000.0,1802521400000.0,2157289500000.0,2627058500000.0,2953303800000.0,1868702700000.0,2386167600000.0,2749661000000.0,3155839200000.0,1883294300000.0
2098.0,2043968700000.0,2384074400000.0,1797714700000.0,2148199800000.0,2613376200000.0,2952631200000.0,1856770900000.0,2378426000000.0,2747753600000.0,3149125400000.0,1867343000000.0
2099.0,2028992500000.0,2377912200000.0,1784461700000.0,2128282500000.0,2614750600000.0,2952621700000.0,1844067600000.0,2369116700000.0,2740821700000.0,3134479000000.0,1857450700000.0
2100.0,2011485400000.0,2361050800000.0,1768572200000.0,2120381100000.0,2611515000000.0,2943404200000.0,1831328500000.0,2364339400000.0,2742850700000.0,3130341700000.0,1843969700000.0
