time,CCSM4,GFDL-CM3,NORESM1-M,CESM1-CAM5,IPSL-CM5A-LR,CSIRO-MK3-6-0,GISS-E2-R,GFDL-ESM2G
2045.0,3038408600000.0,2970222900000.0,3139406000000.0,2877468200000.0,2789552400000.0,3484858700000.0,3052113500000.0,3220064700000.0
2046.0,3022109000000.0,2945401200000.0,3111309500000.0,2845244400000.0,2764631400000.0,3464627700000.0,3043795400000.0,3218716000000.0
2047.0,3008391500000.0,2934203500000.0,3100202200000.0,2820567200000.0,2717952200000.0,3454102700000.0,3027617400000.0,3210175300000.0
2048.0,2995524500000.0,2919887500000.0,3088959100000.0,2790605000000.0,2681719500000.0,3458258400000.0,3005063600000.0,3202257500000.0
2049.0,2986620000000.0,2901622000000.0,3076478500000.0,2751947600000.0,2654380800000.0,3444319500000.0,2988345000000.0,3198470000000.0
2050.0,2968664700000.0,2883926600000.0,3059334500000.0,2718788000000.0,2617934600000.0,3446678700000.0,2974057000000.0,3189693500000.0
2051.0,2952596600000.0,2867231500000.0,3040251000000.0,2683436300000.0,2575089800000.0,3440762000000.0,2953299000000.0,3188566300000.0
2052.0,2931900500000.0,2854980200000.0,3031399100000.0,2662375600000.0,2545260700000.0,3438079400000.0,2927341000000.0,3179215600000.0
2053.0,2914273500000.0,2835297900000.0,3002118700000.0,2643369100000.0,2516658400000.0,3433300200000.0,2905074600000.0,3166281100000.0
2054.0,2880813000000.0,2817164300000.0,2984954000000.0,2620954800000.0,2483436000000.0,3429720400000.0,2891455100000.0,3152013400000.0
2055.0,2862218700000.0,2789771600000.0,2954658300000.0,2593614000000.0,2457972800000.0,3433206000000.0,2866510800000.0,3139659600000.0
2056.0,2848991200000.0,2752099600000.0,2932505300000.0,2570273200000.0,2420439500000.0,3439831000000.0,2857155200000.0,3129900000000.0
2057.0,2822422000000.0,2720654000000.0,2926132300000.0,2545857300000.0,2387246300000.0,3436175000000.0,2835088100000.0,3124156000000.0
2058.0,2795907000000.0,2698568300000.0,2910533200000.0,2524359400000.0,2364756000000.0,3427236600000.0,2814606600000.0,3107708500000.0
2059.0,2779907000000.0,2670646500000.0,2900822000000.0,2502055000000.0,2334827200000.0,3435613400000.0,2798193500000.0,3081581600000.0
2060.0,2764145700000.0,2644107000000.0,2888188600000.0,2473941300000.0,2308300600000.0,3441791300000.0,2788380600000.0,3060853000000.0
2061.0,2744660300000.0,2626871400000.0,2861077600000.0,2455202200000.0,2281508200000.0,3427646000000.0,2772112500000.0,3044706600000.0
2062.0,2726759000000.0,2605180500000.0,2836520200000.0,2435058800000.0,2256093800000.0,3428151200000.0,2756421400000.0,3025963000000.0
2063.0,2712703600000.0,2584200600000.0,2819850800000.0,2411793500000.0,2215639500000.0,3430946700000.0,2751245600000.0,3009869300000.0
2064.0,2691242100000.0,2560612400000.0,2803069000000.0,2392383300000.0,2190141800000.0,3433646500000.0,2740081700000.0,2997968200000.0
