time,CESM1-CAM5,CanESM2,MPI-ESM-LR
2000,97554022248.89287,97554022248.89287,97554022248.89287
2001,98113145826.34854,98152311837.88818,97261437884.72397
2002,98537789802.85849,98023206131.85106,96973771149.26643
2003,96582006422.16066,98039006560.71597,95299063012.47757
2004,94808974023.28741,96252986369.96786,92835424943.02579
2005,94390367215.76788,95196516381.00294,92200207484.6095
2006,93608813226.65985,93557742344.29594,91349595624.84906
2007,92721298297.36383,89814924010.78865,90972199159.73354
2008,92306194643.38116,89650488652.01346,89563505752.1214
2009,90395954861.52017,89771508966.57079,89241002132.71509
2010,87248420943.24092,89954078920.12036,89512053386.79126
2011,85089921604.25983,89738887462.81044,87779820748.25967
2012,84556484120.95692,87359693630.34894,85267905931.4942
2013,84033093097.48503,84719993913.58229,83564314262.57266
2014,81383092824.1549,81945755870.77428,80153687883.23024
2015,75344957987.26283,81245104096.07625,75945798916.63693
2016,73742712991.70752,79249215926.55484,71018817096.44902
2017,73981365003.37585,78085190966.07877,70865486438.1215
2018,73575160936.80597,75942499326.28517,70454505417.17113
2019,72234324501.39467,72847142775.19574,70453522229.59966
2020,68810741760.241,68890137454.31612,69798912152.02266
2021,64549881769.329506,65614653496.34779,66137214925.52981
2022,62330700228.645485,63971898481.6211,64153090984.776245
2023,61045875769.41219,61276790578.33986,63268877893.34713
2024,58855505292.90169,57700495173.05765,61350557309.753716
2025,55759321486.66217,56267420323.36729,59796580048.025955
2026,51900844081.432144,55248690401.206215,59851845547.93681
2027,50747732926.44858,53342106529.272514,57535438620.93238
2028,50129373977.0859,51456054266.92577,55358693533.06238
2029,47460487647.84394,48796701574.734795,52618042567.89967
2030,43198378311.76429,45864746983.10419,51170521863.511765
2031,42498671651.21296,44410490562.58682,48452977184.0412
2032,42111665499.641365,44335312026.31639,44104723516.47831
2033,40422368368.92673,43319475693.23042,42545132614.15687
2034,38442482377.01116,40934202677.2803,43167934106.77008
2035,37337416730.68527,38235620380.50839,42586519219.20459
2036,36819085586.557755,36796319805.31592,41379451776.36938
2037,36394115849.07816,35670528942.32377,39266749265.75012
2038,35264611516.4414,34099097501.86838,37468187327.71237
2039,33842122061.352474,33068234461.083347,35708209482.998604
2040,32017355337.294224,32778644654.89409,34740851850.86777
2041,31905330119.885605,31830453959.077023,34042209835.979733
2042,31644555269.45092,30597067597.07212,33874070897.508945
2043,31317543770.936024,30030096874.192135,33004502813.435234
2044,30551203687.225494,28149838169.697556,30501926469.645584
2045,30292550278.175823,27091444482.83361,27143262687.49237
2046,30321357257.802628,27347716406.934975,27420248822.832733
2047,30303342606.14912,26816994943.398697,27111261248.42475
2048,29628602856.735756,26162869834.312366,26466954984.22343
2049,28042430379.63855,25800874257.482403,26401374119.834526
2050,28121486417.613304,24490772022.185307,26010885696.590034
2051,28446362062.828663,22507668180.89764,25922496133.031616
2052,27788519255.89488,22290415107.00306,26086503904.263634
2053,25860777600.51566,22551939138.154808,26265632493.348316
2054,25707814744.161774,21916819093.425083,26315777420.102604
2055,25958418873.2449,21622073562.901943,26085341846.03802
2056,25596732343.63329,21253595326.362206,26212183796.429035
2057,24462050604.81584,21213929880.156174,26414284716.855885
2058,24077223096.98617,21234223644.531406,26632780124.00563
2059,23059476328.295082,20255073227.809624,27143611232.9858
2060,21992779176.935402,19731970271.29383,27023984521.865776
2061,21557371628.88693,19553379641.598167,26212628355.283985
2062,20872916648.565815,19359443254.439823,25082619750.05691
2063,19581200471.187473,19503180962.24759,24363479746.293644
2064,19926097594.285694,19206515613.286827,23836667794.456272
2065,20241864228.523937,19106703813.653038,24073579958.23314
