time,CCSM4,CESM1-CAM5
2000,875245119394.9921,875245119394.9921
2001,865753416338.2341,863130526799.7837
2002,856266801210.7745,854882084326.3848
2003,847491687678.9429,841557301266.7913
2004,841557593972.3779,832375420137.9319
2005,829229460959.6273,823831577603.4282
2006,819746067666.3915,812040554207.4968
2007,804809515167.2163,795441193718.1963
2008,795906007629.5494,781526571469.1333
2009,787595072026.7904,771514627659.7
2010,774457399159.9698,762410113676.36
2011,764869454291.9736,756998439962.5194
2012,759461110536.7452,748217459457.3549
2013,747325270659.3303,734260841339.6156
2014,734180879962.984,723870564432.2229
2015,723862921659.7178,707303677952.5087
2016,707893672295.4755,696614640634.8224
2017,691794155951.669,686922286537.5282
2018,675347162310.7876,676380469623.867
2019,663101500123.7244,665719053911.9504
2020,655376762298.2833,651596287915.4102
2021,640660404118.7815,640266581669.1724
2022,628745673802.527,623075903380.0549
2023,616050875236.4891,611190558177.9938
2024,604021999527.8256,594593500859.9857
2025,593446082893.6091,583336596661.2064
2026,578693977340.8914,573630970244.861
2027,570268317216.7662,560536710549.3215
2028,562501447822.0775,545449030763.18787
2029,548737709211.31433,525054863466.0435
2030,538382197249.05035,514042867935.32166
2031,526212360884.0539,497311096478.7806
2032,514037168815.02924,483461056215.692
2033,498383424842.12354,474963927727.51196
2034,483448290754.58875,463775397320.3202
2035,464448531396.2036,452210076342.91943
2036,456155653592.55096,434721940361.5737
2037,441190162799.1684,420823859880.6038
2038,429990141382.8584,411446524957.94104
2039,411133525749.4164,399122532337.6776
2040,399864228757.56,391359752536.29474
2041,388510431186.0399,379343717214.8524
2042,379011893165.3863,370222050667.4099
2043,370158877324.1196,359239550729.18365
2044,360937988578.2155,347573028118.16614
2045,351477147019.84894,329863364108.5089
2046,340360310656.7934,320006288428.26465
2047,330339503989.01355,308928347295.98834
2048,319106481721.0631,303416218694.1074
2049,308847809146.8444,296614617326.10443
2050,298545331339.9376,287619141874.3725
2051,287776779655.8884,278943781799.6075
2052,279878401459.43024,271002240101.58585
2053,274985096032.6858,263809015148.65115
2054,263956069032.58115,255781913920.30008
2055,254410991083.14035,247981972853.6744
2056,246679035071.70764,242100301851.72583
2057,239358303920.1858,237746650632.35007
2058,231643769826.19586,231459058660.68723
2059,225340109653.07352,225116971971.23993
2060,220827480477.39273,217459677628.30008
