time,CCSM4,MPI-ESM-LR,CSIRO-MK3-6-0
2000.0,13993788000000.0,13993788000000.0,13993788000000.0
2001.0,13971424000000.0,13971424000000.0,13971424000000.0
2002.0,13953153000000.0,13953153000000.0,13953153000000.0
2003.0,13942589000000.0,13942589000000.0,13942589000000.0
2004.0,13941719000000.0,13941719000000.0,13941719000000.0
2005.0,13938462000000.0,13938462000000.0,13938462000000.0
2006.0,13927112000000.0,13927112000000.0,13927112000000.0
2007.0,13912716000000.0,13912716000000.0,13912716000000.0
2008.0,13909418000000.0,13909418000000.0,13909418000000.0
2009.0,13903807000000.0,13903807000000.0,13903807000000.0
2010.0,13891562000000.0,13891562000000.0,13891562000000.0
2011.0,13885847000000.0,13885847000000.0,13885847000000.0
2012.0,13882452000000.0,13882452000000.0,13882452000000.0
2013.0,13860700000000.0,13860700000000.0,13860700000000.0
2014.0,13831282000000.0,13831282000000.0,13831282000000.0
2015.0,13838983000000.0,13838983000000.0,13838983000000.0
2016.0,13826489000000.0,13826489000000.0,13826489000000.0
2017.0,13795144000000.0,13795144000000.0,13795144000000.0
2018.0,13788537000000.0,13788537000000.0,13788537000000.0
2019.0,13768660000000.0,13768660000000.0,13768660000000.0
2020.0,13755328000000.0,13755328000000.0,13755328000000.0
2021.0,13732427000000.0,13740007000000.0,13729998000000.0
2022.0,13700960000000.0,13718226000000.0,13726946000000.0
2023.0,13685442000000.0,13685296000000.0,13689600000000.0
2024.0,13654190000000.0,13669997000000.0,13670339000000.0
2025.0,13622284000000.0,13659204000000.0,13650683000000.0
2026.0,13595785000000.0,13614913000000.0,13629075000000.0
2027.0,13582178000000.0,13596264000000.0,13612303000000.0
2028.0,13564018000000.0,13574849000000.0,13597728000000.0
2029.0,13542752000000.0,13546831000000.0,13566706000000.0
2030.0,13523379000000.0,13525202000000.0,13557308000000.0
2031.0,13489675000000.0,13498082000000.0,13531907000000.0
2032.0,13460489000000.0,13470572000000.0,13510000000000.0
2033.0,13442985000000.0,13439879000000.0,13492205000000.0
2034.0,13429853000000.0,13418467000000.0,13479771000000.0
2035.0,13416040000000.0,13399356000000.0,13471016000000.0
2036.0,13378674000000.0,13372661000000.0,13445617000000.0
2037.0,13360880000000.0,13337658000000.0,13416468000000.0
2038.0,13343812000000.0,13316569000000.0,13395293000000.0
2039.0,13312959000000.0,13269164000000.0,13374089000000.0
2040.0,13317827000000.0,13250778000000.0,13352644000000.0
2041.0,13311166000000.0,13205519000000.0,13315180000000.0
2042.0,13300705000000.0,13183050000000.0,13282355000000.0
2043.0,13290107000000.0,13144877000000.0,13263424000000.0
2044.0,13258035000000.0,13107538000000.0,13240564000000.0
2045.0,13229130000000.0,13060046000000.0,13208050000000.0
2046.0,13205860000000.0,13028807000000.0,13188940000000.0
2047.0,13187825000000.0,12985506000000.0,13153443000000.0
2048.0,13158329000000.0,12941628000000.0,13108136000000.0
2049.0,13130345000000.0,12883386000000.0,13067590000000.0
2050.0,13106985000000.0,12826040000000.0,13031799000000.0
2051.0,13066819000000.0,12773684000000.0,12996094000000.0
2052.0,12998570000000.0,12728231000000.0,12966232000000.0
2053.0,12950950000000.0,12661802000000.0,12911495000000.0
2054.0,12902021000000.0,12599381000000.0,12883445000000.0
2055.0,12862771000000.0,12542714000000.0,12841960000000.0
2056.0,12839064000000.0,12451842000000.0,12806163000000.0
