time,UKESM1-0-LL,MRI-ESM2-0,MPI-ESM1-2-HR,IPSL-CM6A-LR,GFDL-ESM4
2069.0,1310319000000.0,4157375800000.0,6187234400000.0,5196396000000.0,6233465000000.0
2070.0,1236010800000.0,4058289000000.0,6163628300000.0,5136681300000.0,6195069300000.0
2071.0,1145609900000.0,3955144500000.0,6139886400000.0,5088965000000.0,6170548400000.0
2072.0,1046654160000.0,3893655200000.0,6125093700000.0,5004170000000.0,6169897700000.0
2073.0,941503350000.0,3790119400000.0,6108174000000.0,4941080400000.0,6156046000000.0
2074.0,849906200000.0,3736615800000.0,6084257000000.0,4912079400000.0,6149334000000.0
2075.0,760102600000.0,3692359600000.0,6032407000000.0,4855637700000.0,6142413500000.0
2076.0,688067200000.0,3629292200000.0,6014768000000.0,4823568600000.0,6119128300000.0
2077.0,617149500000.0,3571923800000.0,5963351300000.0,4750970500000.0,6090080000000.0
2078.0,552727150000.0,3527659700000.0,5930061000000.0,4708826000000.0,6077818000000.0
2079.0,499472760000.0,3448646700000.0,5885703000000.0,4652835000000.0,6054671300000.0
2080.0,450314670000.0,3383549500000.0,5880077000000.0,4578971000000.0,6043831000000.0
2081.0,409539800000.0,3341121000000.0,5865252000000.0,4536580700000.0,6026750000000.0
2082.0,379057440000.0,3294757400000.0,5825484600000.0,4481109500000.0,5971378000000.0
2083.0,350941540000.0,3253986400000.0,5761702000000.0,4454419500000.0,5940378000000.0
2084.0,319590730000.0,3216377600000.0,5726699000000.0,4405775000000.0,5907929400000.0
2085.0,295492650000.0,3187154600000.0,5690139600000.0,4374614500000.0,5876226000000.0
2086.0,267151000000.0,3143679000000.0,5668592400000.0,4346847000000.0,5849700400000.0
2087.0,247759900000.0,3077212000000.0,5639077000000.0,4283313200000.0,5827781000000.0
2088.0,226540780000.0,3037061700000.0,5609358000000.0,4237199100000.0,5798338000000.0
2089.0,207489990000.0,2987358400000.0,5590251700000.0,4192983600000.0,5784056000000.0
2090.0,186838270000.0,2963746600000.0,5539974000000.0,4156803300000.0,5770659000000.0
2091.0,170215060000.0,2915417200000.0,5507739000000.0,4119582500000.0,5736381300000.0
2092.0,156071540000.0,2892559000000.0,5478547500000.0,4076838600000.0,5707845000000.0
2093.0,139727010000.0,2870402000000.0,5440208400000.0,4022888600000.0,5691463000000.0
2094.0,125796510000.0,2832250400000.0,5439532000000.0,3976101400000.0,5665545000000.0
2095.0,110898690000.0,2806405000000.0,5438940600000.0,3943532900000.0,5646808000000.0
2096.0,95895410000.0,2760150600000.0,5404214000000.0,3913307700000.0,5623607500000.0
2097.0,84065570000.0,2705765000000.0,5387012500000.0,3867845300000.0,5625947400000.0
2098.0,74887140000.0,2675885500000.0,5362016600000.0,3834681200000.0,5601307000000.0
2099.0,66936440000.0,2642060800000.0,5340435300000.0,3817500800000.0,5587259000000.0
2100.0,58866442000.0,2602044000000.0,5307140400000.0,3781136200000.0,5569852700000.0
