time,UKESM1-0-LL,MRI-ESM2-0,MPI-ESM1-2-HR,GFDL-ESM4,IPSL-CM6A-LR
2069.0,303966620000.0,3075262600000.0,5611304000000.0,5985511000000.0,4550760000000.0
2070.0,248018880000.0,2992028800000.0,5545494300000.0,5954159000000.0,4415380500000.0
2071.0,200483590000.0,2906233000000.0,5498338300000.0,5904308000000.0,4323043200000.0
2072.0,161410800000.0,2817660000000.0,5456765000000.0,5851573600000.0,4224200500000.0
2073.0,125292390000.0,2741660300000.0,5391518300000.0,5811742000000.0,4118267600000.0
2074.0,96335675000.0,2675766700000.0,5300200000000.0,5741795000000.0,4036842000000.0
2075.0,75592745000.0,2590150200000.0,5207003000000.0,5714610000000.0,3932749000000.0
2076.0,59183907000.0,2507082600000.0,5149954000000.0,5667334700000.0,3822291800000.0
2077.0,43978470000.0,2413886700000.0,5068609300000.0,5603959000000.0,3753248300000.0
2078.0,32631935000.0,2345994600000.0,4999263000000.0,5568240000000.0,3684906300000.0
2079.0,22437558000.0,2253087800000.0,4939470000000.0,5512839600000.0,3575933000000.0
2080.0,15083915000.0,2185206600000.0,4889825000000.0,5462066500000.0,3509883200000.0
2081.0,9277028000.0,2107880900000.0,4808349000000.0,5411566000000.0,3396543400000.0
2082.0,5741569500.0,2031059000000.0,4720683400000.0,5351574300000.0,3306014400000.0
2083.0,3522684000.0,1951585100000.0,4600199000000.0,5298009400000.0,3186795700000.0
2084.0,2122777500.0,1893718400000.0,4552017000000.0,5249063000000.0,3106635800000.0
2085.0,1051621950.0,1829159300000.0,4448356700000.0,5195389000000.0,3019855000000.0
2086.0,413596960.0,1762140500000.0,4362495300000.0,5145549000000.0,2916033800000.0
2087.0,338118530.0,1708866800000.0,4300647200000.0,5074290000000.0,2813094500000.0
2088.0,310870180.0,1642131400000.0,4237514000000.0,5014240000000.0,2711609100000.0
2089.0,278376220.0,1553684400000.0,4168764400000.0,4955520400000.0,2609422800000.0
2090.0,255303100.0,1487454100000.0,4094535400000.0,4909562300000.0,2516253400000.0
2091.0,240705390.0,1416633900000.0,4019869200000.0,4813710400000.0,2422732200000.0
2092.0,232399460.0,1357135600000.0,3968021800000.0,4729574000000.0,2327678000000.0
2093.0,219018800.0,1295479300000.0,3915712300000.0,4617423000000.0,2235650300000.0
2094.0,209627400.0,1238370000000.0,3857685200000.0,4537032000000.0,2148707200000.0
2095.0,201595200.0,1181364900000.0,3789718000000.0,4455755400000.0,2060998100000.0
2096.0,193642460.0,1119871000000.0,3692021400000.0,4387334300000.0,1982163800000.0
2097.0,184433250.0,1068184000000.0,3617967600000.0,4313056800000.0,1916432400000.0
2098.0,179485250.0,1009435200000.0,3552435200000.0,4243278800000.0,1845547200000.0
2099.0,170080800.0,963660150000.0,3481780600000.0,4188919000000.0,1766998900000.0
2100.0,162394740.0,917139100000.0,3379689700000.0,4079972000000.0,1691754800000.0
