time,MPI-ESM1-2-HR,UKESM1-0-LL,MRI-ESM2-0,IPSL-CM6A-LR,GFDL-ESM4
2044.0,6735438000000.0,4407418000000.0,6351609000000.0,6347674400000.0,6891241000000.0
2045.0,6686606600000.0,4296155000000.0,6304259600000.0,6274166600000.0,6853572000000.0
2046.0,6630709000000.0,4179676400000.0,6266170600000.0,6249575400000.0,6826980500000.0
2047.0,6587157000000.0,4032035600000.0,6161144000000.0,6186576000000.0,6781732000000.0
2048.0,6542209300000.0,3921734300000.0,6097462000000.0,6073000000000.0,6737290000000.0
2049.0,6515086000000.0,3779191000000.0,6006020500000.0,5973637300000.0,6701744000000.0
2050.0,6485112000000.0,3629998000000.0,5917525400000.0,5942683400000.0,6675747000000.0
2051.0,6430698500000.0,3477170600000.0,5857858300000.0,5910769000000.0,6666022000000.0
2052.0,6388684700000.0,3350659900000.0,5776927600000.0,5873336300000.0,6604652500000.0
2053.0,6353325000000.0,3169374000000.0,5663749000000.0,5828573000000.0,6538058000000.0
2054.0,6284443600000.0,3001490600000.0,5592569600000.0,5749168000000.0,6477761000000.0
2055.0,6227467000000.0,2812939300000.0,5504007000000.0,5702028400000.0,6447254000000.0
2056.0,6205457600000.0,2616805000000.0,5419900000000.0,5608744000000.0,6428291000000.0
2057.0,6126986000000.0,2448442000000.0,5311777700000.0,5533147300000.0,6442811000000.0
2058.0,6049387500000.0,2278777700000.0,5187415600000.0,5473706700000.0,6402966300000.0
2059.0,6020923400000.0,2111536600000.0,5073196000000.0,5410505000000.0,6354974500000.0
2060.0,5975467000000.0,1938991300000.0,4990050000000.0,5294408000000.0,6322898000000.0
2061.0,5918355000000.0,1789075400000.0,4869693000000.0,5224493000000.0,6273132700000.0
2062.0,5849330000000.0,1668420000000.0,4800706000000.0,5166768600000.0,6231214000000.0
2063.0,5818466400000.0,1535020000000.0,4707398500000.0,5083533000000.0,6175745600000.0
2064.0,5779846000000.0,1417445800000.0,4633963500000.0,4997219000000.0,6140252400000.0
2065.0,5727504000000.0,1319618000000.0,4513964000000.0,4942495500000.0,6111947700000.0
2066.0,5689635000000.0,1215573000000.0,4409593000000.0,4870120000000.0,6049391000000.0
2067.0,5651504000000.0,1107888200000.0,4361174400000.0,4791170000000.0,6015948000000.0
2068.0,5598102000000.0,978207500000.0,4260011000000.0,4738176000000.0,5955898600000.0
2069.0,5550832600000.0,856807830000.0,4158121000000.0,4662598600000.0,5918691400000.0
2070.0,5495721000000.0,732875700000.0,4035686400000.0,4571454000000.0,5853192700000.0
