time,CCSM4,GISS-E2-R,GFDL-ESM2G,CSIRO-MK3-6-0,CESM1-CAM5,NORESM1-M,GFDL-CM3,IPSL-CM5A-LR
2045.0,7281232600000.0,7432822000000.0,7380035700000.0,7286838000000.0,6291430300000.0,7067455000000.0,6304982600000.0,6877318500000.0
2046.0,7227970000000.0,7405554400000.0,7357307000000.0,7239667500000.0,6204158000000.0,7005647000000.0,6220774600000.0,6820869000000.0
2047.0,7200605500000.0,7352270500000.0,7340265000000.0,7212352700000.0,6096139000000.0,6946942400000.0,6158843600000.0,6775849000000.0
2048.0,7152993300000.0,7319745700000.0,7319660000000.0,7166937300000.0,5996268000000.0,6885003500000.0,6073259400000.0,6709726700000.0
2049.0,7097397300000.0,7268148000000.0,7299301600000.0,7132772600000.0,5914960600000.0,6838426300000.0,5991680000000.0,6641223000000.0
2050.0,7040049600000.0,7233686000000.0,7267118000000.0,7086501500000.0,5828876700000.0,6792407400000.0,5916950000000.0,6574610300000.0
2051.0,7001346000000.0,7185278000000.0,7224346000000.0,7057130400000.0,5721511400000.0,6750473000000.0,5828553000000.0,6516651000000.0
2052.0,6943258000000.0,7142919600000.0,7196213000000.0,7013101700000.0,5618561700000.0,6695782000000.0,5743402500000.0,6443108000000.0
2053.0,6876658000000.0,7104310000000.0,7146113600000.0,6966865300000.0,5520269000000.0,6637497600000.0,5653674000000.0,6393910300000.0
2054.0,6800374500000.0,7071578700000.0,7123147000000.0,6922450000000.0,5441696000000.0,6584513600000.0,5570076000000.0,6324951700000.0
2055.0,6756179600000.0,7037396700000.0,7077887000000.0,6879659000000.0,5356905000000.0,6524160000000.0,5486728400000.0,6269031000000.0
2056.0,6698282500000.0,7007389600000.0,7050089000000.0,6836178000000.0,5259453000000.0,6461097000000.0,5392631000000.0,6189860500000.0
2057.0,6636727400000.0,6975385000000.0,7029460600000.0,6795708300000.0,5162189000000.0,6388460300000.0,5303733600000.0,6133371600000.0
2058.0,6589777400000.0,6932134000000.0,6992507700000.0,6749111000000.0,5098509000000.0,6322748700000.0,5216973000000.0,6048935000000.0
2059.0,6533930300000.0,6897358300000.0,6962065400000.0,6702244000000.0,5009720000000.0,6266616300000.0,5122712000000.0,5990378000000.0
2060.0,6471726700000.0,6853551000000.0,6941040400000.0,6673679000000.0,4917002500000.0,6196153000000.0,5029987000000.0,5909874000000.0
2061.0,6419872000000.0,6789557400000.0,6909138000000.0,6638898000000.0,4829699000000.0,6120739400000.0,4941373000000.0,5830679700000.0
2062.0,6351367400000.0,6754096000000.0,6859749600000.0,6604941400000.0,4732242000000.0,6046524400000.0,4854550400000.0,5747221000000.0
2063.0,6284720500000.0,6716994400000.0,6807287000000.0,6575619000000.0,4646170000000.0,5973212000000.0,4756885000000.0,5666510000000.0
2064.0,6241653400000.0,6682826500000.0,6764388400000.0,6529995500000.0,4560616700000.0,5899696500000.0,4661880000000.0,5578186000000.0
2065.0,6191500500000.0,6654550600000.0,6721121000000.0,6495918000000.0,4473253500000.0,5823217500000.0,4550312000000.0,5510584000000.0
2066.0,6118772300000.0,6619034000000.0,6691015000000.0,6440242600000.0,4378003800000.0,5741085000000.0,4468316300000.0,5435218000000.0
2067.0,6060205000000.0,6578124000000.0,6656545500000.0,6386701300000.0,4272895800000.0,5664716400000.0,4373463000000.0,5377115000000.0
2068.0,6011069400000.0,6533006000000.0,6616217000000.0,6347893500000.0,4175437200000.0,5589901500000.0,4276255700000.0,5326308400000.0
2069.0,5964493000000.0,6488546300000.0,6568855000000.0,6304632000000.0,4088638500000.0,5525915300000.0,4190915500000.0,5252329000000.0
2070.0,5914241000000.0,6423129000000.0,6518573000000.0,6256708000000.0,3990279700000.0,5464003700000.0,4099561500000.0,5179355700000.0
2071.0,5867227000000.0,6373343500000.0,6469810000000.0,6223394000000.0,3894135800000.0,5371653500000.0,4017724600000.0,5116782400000.0
2072.0,5808242000000.0,6316348700000.0,6430469400000.0,6181817400000.0,3806920400000.0,5281185000000.0,3908520600000.0,5046539400000.0
2073.0,5769248400000.0,6273573600000.0,6390599000000.0,6144672700000.0,3730284700000.0,5205418600000.0,3808054700000.0,4963381000000.0
2074.0,5727553000000.0,6225826700000.0,6337260400000.0,6101335500000.0,3649080100000.0,5134579400000.0,3714697700000.0,4903749000000.0
2075.0,5679641000000.0,6177300700000.0,6285763000000.0,6034313000000.0,3558324600000.0,5049901600000.0,3617154700000.0,4830975000000.0
2076.0,5623152000000.0,6139539400000.0,6245999000000.0,5981520000000.0,3480242400000.0,4956120700000.0,3529776300000.0,4770687400000.0
2077.0,5548494300000.0,6082978600000.0,6206364600000.0,5942768000000.0,3414870700000.0,4866904700000.0,3432428600000.0,4726395500000.0
2078.0,5481014000000.0,6027029000000.0,6164915400000.0,5886239600000.0,3331068800000.0,4785195000000.0,3333436200000.0,4667343000000.0
2079.0,5426680700000.0,5985964000000.0,6125200600000.0,5842640300000.0,3247171200000.0,4707501000000.0,3242783700000.0,4592375000000.0
2080.0,5383200000000.0,5931244000000.0,6101905400000.0,5789318600000.0,3162334000000.0,4610660000000.0,3162452800000.0,4523611000000.0
2081.0,5327617000000.0,5883488600000.0,6067294600000.0,5718537000000.0,3085562000000.0,4521463400000.0,3065754400000.0,4452434600000.0
2082.0,5280947000000.0,5838663600000.0,6016323000000.0,5660954600000.0,3014788600000.0,4423266300000.0,2976694100000.0,4380793500000.0
2083.0,5223815300000.0,5792799400000.0,5977159000000.0,5604020000000.0,2934475300000.0,4325879300000.0,2883606500000.0,4298202700000.0
2084.0,5155474000000.0,5762643400000.0,5949031400000.0,5549526600000.0,2858646200000.0,4242092000000.0,2793906600000.0,4223792300000.0
2085.0,5087296500000.0,5714431000000.0,5913235700000.0,5493668400000.0,2785096200000.0,4160070600000.0,2710603000000.0,4158335000000.0
2086.0,5029520000000.0,5685826300000.0,5862664000000.0,5437640400000.0,2708873700000.0,4068389200000.0,2622625400000.0,4086093600000.0
2087.0,4975276600000.0,5645336000000.0,5816747000000.0,5382756400000.0,2639027800000.0,3989618000000.0,2534728300000.0,4010057000000.0
2088.0,4924035000000.0,5584544300000.0,5773113400000.0,5322055000000.0,2558598000000.0,3911405800000.0,2451755500000.0,3929076700000.0
2089.0,4876507000000.0,5533731000000.0,5724082500000.0,5255102000000.0,2484681300000.0,3840295000000.0,2375268200000.0,3857570600000.0
2090.0,4827888000000.0,5469583700000.0,5672137000000.0,5204634000000.0,2409087000000.0,3751595500000.0,2302824000000.0,3789256700000.0
2091.0,4759412000000.0,5426754600000.0,5616441000000.0,5149166700000.0,2330749600000.0,3652436000000.0,2223575100000.0,3712627500000.0
2092.0,4693027700000.0,5381616000000.0,5579623400000.0,5093667000000.0,2265242700000.0,3571586200000.0,2148822500000.0,3628863300000.0
2093.0,4633969300000.0,5319525700000.0,5534239400000.0,5046803600000.0,2191913900000.0,3498307000000.0,2076611400000.0,3552196200000.0
2094.0,4581549000000.0,5267577600000.0,5502647400000.0,4982617000000.0,2122296100000.0,3415232700000.0,2007834800000.0,3482171000000.0
2095.0,4515338600000.0,5226351000000.0,5464753000000.0,4929714400000.0,2055108200000.0,3343116100000.0,1944158600000.0,3424918700000.0
2096.0,4454396000000.0,5187620600000.0,5422180700000.0,4869298600000.0,1993099600000.0,3254018400000.0,1879175300000.0,3366190000000.0
2097.0,4385256500000.0,5140473400000.0,5382377000000.0,4803995400000.0,1930546800000.0,3161730000000.0,1812472500000.0,3300518500000.0
2098.0,4344346300000.0,5085268500000.0,5348796700000.0,4728964000000.0,1862252600000.0,3080993400000.0,1744307400000.0,3237325600000.0
2099.0,4279368400000.0,5048325000000.0,5301045000000.0,4664819400000.0,1797544200000.0,3011840300000.0,1684749500000.0,3178898000000.0
2100.0,4223887700000.0,5010398600000.0,5259922000000.0,4598304600000.0,1732259000000.0,2929691000000.0,1621951400000.0,3113184700000.0
