time,CESM1-CAM5,CCSM4,GISS-E2-R,CNRM-CM5,MPI-ESM-LR,GFDL-ESM2G,CANESM2,CSIRO-MK3-6-0,NORESM1-M,GFDL-CM3,IPSL-CM5A-LR
2047.0,5619408400000.0,7465901500000.0,7116477000000.0,7144383000000.0,6960595000000.0,7156073000000.0,7060774000000.0,7114933000000.0,6974465400000.0,5829628500000.0,6638807300000.0
2048.0,5522965000000.0,7424605000000.0,7061190500000.0,7114589000000.0,6904748700000.0,7109207400000.0,6999309000000.0,7060195400000.0,6918713600000.0,5725767600000.0,6564424500000.0
2049.0,5437039600000.0,7386062000000.0,7013901000000.0,7084894600000.0,6881221300000.0,7074147700000.0,6964654400000.0,7019723500000.0,6871143400000.0,5630053600000.0,6478395000000.0
2050.0,5331121000000.0,7346940000000.0,6962704000000.0,7051226000000.0,6835228000000.0,7031533600000.0,6906022000000.0,6979202000000.0,6817392000000.0,5554006700000.0,6396847000000.0
2051.0,5237429000000.0,7313729000000.0,6898225000000.0,7029463000000.0,6797448000000.0,6983284400000.0,6851653000000.0,6937455000000.0,6758083300000.0,5456410000000.0,6318610000000.0
2052.0,5136536600000.0,7293666000000.0,6851253500000.0,6993783300000.0,6758871000000.0,6935407000000.0,6795217000000.0,6887125300000.0,6711847000000.0,5370608600000.0,6243670000000.0
2053.0,5026145000000.0,7249235300000.0,6817365000000.0,6947571000000.0,6719314000000.0,6895742000000.0,6743492000000.0,6864867000000.0,6661021000000.0,5274209400000.0,6188060000000.0
2054.0,4927979500000.0,7202991500000.0,6774317400000.0,6899813000000.0,6687801500000.0,6856203300000.0,6674332000000.0,6828384000000.0,6604475000000.0,5173031000000.0,6124401000000.0
2055.0,4829166400000.0,7166215300000.0,6722557000000.0,6848486300000.0,6643470300000.0,6818440400000.0,6625176300000.0,6779507300000.0,6551865700000.0,5072799000000.0,6051645600000.0
2056.0,4723179000000.0,7125967300000.0,6669401000000.0,6789799000000.0,6608647000000.0,6780677000000.0,6595115000000.0,6735763300000.0,6500691500000.0,4965851500000.0,5987190700000.0
2057.0,4613735000000.0,7080658300000.0,6624650000000.0,6746639700000.0,6546103700000.0,6749772300000.0,6560729000000.0,6685470000000.0,6445569000000.0,4859661600000.0,5908734000000.0
2058.0,4520538500000.0,7047080000000.0,6581626300000.0,6699475300000.0,6506086400000.0,6711380000000.0,6510870000000.0,6652032000000.0,6380010000000.0,4750278000000.0,5829582000000.0
2059.0,4425781000000.0,6986272300000.0,6531976300000.0,6638346000000.0,6469919400000.0,6663981000000.0,6461421000000.0,6603596600000.0,6325028000000.0,4645669300000.0,5773779300000.0
2060.0,4335607500000.0,6955205700000.0,6479027400000.0,6583868000000.0,6435647000000.0,6634948500000.0,6418919300000.0,6557548000000.0,6266314000000.0,4546865000000.0,5692056400000.0
2061.0,4225688000000.0,6915311000000.0,6438189500000.0,6541330000000.0,6403922600000.0,6592122000000.0,6363276600000.0,6514212300000.0,6197538700000.0,4451614000000.0,5617608600000.0
2062.0,4135861400000.0,6880422300000.0,6391647000000.0,6463366400000.0,6363806700000.0,6549169000000.0,6333498700000.0,6469592000000.0,6134345000000.0,4369332800000.0,5540896300000.0
2063.0,4046951000000.0,6841720400000.0,6333290000000.0,6415815000000.0,6320439000000.0,6513474000000.0,6292211500000.0,6422899000000.0,6072350000000.0,4273476700000.0,5481490300000.0
2064.0,3947577500000.0,6794337000000.0,6291759600000.0,6362943700000.0,6272647000000.0,6477369000000.0,6251581000000.0,6376227000000.0,5991579000000.0,4189345000000.0,5404370700000.0
2065.0,3846602500000.0,6752929600000.0,6240799300000.0,6300952400000.0,6228172300000.0,6452506000000.0,6209022700000.0,6332970700000.0,5936601600000.0,4097093400000.0,5329797500000.0
