time,GFDL-CM3,GISS-E2-R,IPSL-CM5A-LR,CANESM2,MPI-ESM-LR,CCSM4,GFDL-ESM2G,NORESM1-M,CNRM-CM5,CSIRO-MK3-6-0
2036.0,16243159000000.0,16850580000000.0,15928374000000.0,16244070000000.0,16192860000000.0,15812713000000.0,16288179000000.0,15659953000000.0,16921507000000.0,16843690000000.0
2037.0,16018769000000.0,16810215000000.0,15748593000000.0,16091735000000.0,16121667000000.0,15618289000000.0,16044123000000.0,15343347000000.0,16801954000000.0,16679012000000.0
2038.0,15840607000000.0,16791401000000.0,15575944000000.0,15970297000000.0,15993298000000.0,15387451000000.0,15969738000000.0,15190844000000.0,16725334000000.0,16546852000000.0
2039.0,15688564000000.0,16732220000000.0,15340272000000.0,15796624000000.0,15912267000000.0,15190740000000.0,15795462000000.0,15029570000000.0,16608215000000.0,16500683000000.0
2040.0,15583342000000.0,16690722000000.0,15179512000000.0,15614059000000.0,15820645000000.0,14983083000000.0,15718780000000.0,14905998000000.0,16516191000000.0,16466694000000.0
2041.0,15397078000000.0,16649832000000.0,15034876000000.0,15461835000000.0,15810397000000.0,14816514000000.0,15520147000000.0,14772904000000.0,16402455000000.0,16307179000000.0
2042.0,15225484000000.0,16557959000000.0,14896087000000.0,15313803000000.0,15705289000000.0,14643533000000.0,15420970000000.0,14640281000000.0,16328203000000.0,16122463000000.0
2043.0,15040082000000.0,16432557000000.0,14700521000000.0,15103341000000.0,15559291000000.0,14455274000000.0,15384264000000.0,14577056000000.0,16253532000000.0,16044369000000.0
2044.0,14852220000000.0,16295081000000.0,14448989000000.0,14964957000000.0,15411650000000.0,14250999000000.0,15259549000000.0,14419063000000.0,16142554000000.0,15980743000000.0
2045.0,14642302000000.0,16119720000000.0,14194327000000.0,14793966000000.0,15292801000000.0,14037381000000.0,15138900000000.0,14155389000000.0,16046627000000.0,15746132000000.0
2046.0,14432850000000.0,16032405000000.0,13960560000000.0,14566970000000.0,15201517000000.0,13799292000000.0,15028184000000.0,14075030000000.0,16002586000000.0,15528557000000.0
2047.0,14232966000000.0,15954987000000.0,13808068000000.0,14388182000000.0,15067908000000.0,13638473000000.0,14963321000000.0,13988791000000.0,15878556000000.0,15263170000000.0
2048.0,14046984000000.0,15903947000000.0,13667016000000.0,14216079000000.0,14912296000000.0,13567685000000.0,14900858000000.0,13874472000000.0,15792045000000.0,15081243000000.0
2049.0,13802428000000.0,15747055000000.0,13427134000000.0,14039942000000.0,14789588000000.0,13358757000000.0,14806833000000.0,13659654000000.0,15644016000000.0,14954995000000.0
2050.0,13662546000000.0,15606751000000.0,13237661000000.0,13859405000000.0,14682632000000.0,13245899000000.0,14573560000000.0,13474000000000.0,15581871000000.0,14860901000000.0
2051.0,13443131000000.0,15547666000000.0,12983404000000.0,13653427000000.0,14476255000000.0,13084889000000.0,14341671000000.0,13301983000000.0,15483071000000.0,14682653000000.0
2052.0,13147254000000.0,15369816000000.0,12775686000000.0,13469005000000.0,14269910000000.0,12912532000000.0,14188244000000.0,13127272000000.0,15410053000000.0,14495941000000.0
2053.0,12942321000000.0,15077189000000.0,12579955000000.0,13240847000000.0,14113916000000.0,12633385000000.0,14026242000000.0,12977667000000.0,15407783000000.0,14282491000000.0
2054.0,12702962000000.0,14932543000000.0,12390920000000.0,13103150000000.0,13919272000000.0,12449761000000.0,13870660000000.0,12805158000000.0,15350384000000.0,14123089000000.0
2055.0,12555574000000.0,14836145000000.0,12134581000000.0,12978583000000.0,13758768000000.0,12317775000000.0,13775913000000.0,12550636000000.0,15314973000000.0,13959489000000.0
2056.0,12411560000000.0,14756864000000.0,11868558000000.0,12799184000000.0,13626134000000.0,12135767000000.0,13607839000000.0,12332800000000.0,15152912000000.0,13760086000000.0
2057.0,12212175000000.0,14641251000000.0,11660879000000.0,12647757000000.0,13546252000000.0,11952405000000.0,13487202000000.0,12157783000000.0,15015145000000.0,13621350000000.0
2058.0,12010515000000.0,14513504000000.0,11571456000000.0,12530045000000.0,13438861000000.0,11760728000000.0,13243341000000.0,11993652000000.0,14800622000000.0,13484665000000.0
2059.0,11836718000000.0,14502062000000.0,11389854000000.0,12273357000000.0,13292783000000.0,11588297000000.0,13112634000000.0,11811810000000.0,14636199000000.0,13364622000000.0
2060.0,11656512000000.0,14423906000000.0,11220712000000.0,12090652000000.0,13126114000000.0,11423153000000.0,13009832000000.0,11634212000000.0,14423020000000.0,13223261000000.0
2061.0,11458678000000.0,14317605000000.0,11001851000000.0,11871414000000.0,13020539000000.0,11290049000000.0,12876041000000.0,11415996000000.0,14278585000000.0,13009824000000.0
2062.0,11220982000000.0,14250100000000.0,10796044000000.0,11658968000000.0,12840266000000.0,11061122000000.0,12791412000000.0,11117846000000.0,14139590000000.0,12854878000000.0
2063.0,11010514000000.0,14140730000000.0,10585807000000.0,11499141000000.0,12715281000000.0,10758097000000.0,12702746000000.0,10857693000000.0,14049286000000.0,12740679000000.0
2064.0,10769324000000.0,13988255000000.0,10351788000000.0,11241063000000.0,12569410000000.0,10473971000000.0,12561258000000.0,10727747000000.0,13909303000000.0,12631909000000.0
2065.0,10602819000000.0,13845227000000.0,10196902000000.0,11039151000000.0,12495837000000.0,10225058000000.0,12533194000000.0,10526667000000.0,13784968000000.0,12441319000000.0
2066.0,10422570000000.0,13743058000000.0,9997706000000.0,10906600000000.0,12362570000000.0,10031122000000.0,12473677000000.0,10301246000000.0,13725123000000.0,12326261000000.0
2067.0,10233374000000.0,13698641000000.0,9740013000000.0,10782504000000.0,12193193000000.0,9906120000000.0,12245819000000.0,10091832000000.0,13564428000000.0,12106411000000.0
2068.0,9991036000000.0,13629936000000.0,9570874000000.0,10603348000000.0,12016793000000.0,9726363000000.0,12090296000000.0,9877080000000.0,13388348000000.0,11925499000000.0
2069.0,9768465000000.0,13573357000000.0,9380312000000.0,10355959000000.0,11811909000000.0,9565126000000.0,12048402000000.0,9578785000000.0,13221815000000.0,11784235000000.0
