time,GISS-E2-R,GFDL-CM3,GFDL-ESM2G,CCSM4,MPI-ESM-LR,CANESM2,IPSL-CM5A-LR,NORESM1-M,CSIRO-MK3-6-0,CNRM-CM5,CESM1-CAM5
2033.0,17094641000000.0,16693665000000.0,16403225000000.0,16586399000000.0,16533962000000.0,16632305000000.0,16562179000000.0,16705528000000.0,16869613000000.0,16942880000000.0,16907221000000.0
2034.0,16969001000000.0,16562353000000.0,16224014000000.0,16489917000000.0,16379117000000.0,16587954000000.0,16394031000000.0,16627370000000.0,16721320000000.0,16891120000000.0,16709094000000.0
2035.0,16821993000000.0,16402188000000.0,16138289000000.0,16430481000000.0,16233297000000.0,16465290000000.0,16317596000000.0,16453791000000.0,16642493000000.0,16881037000000.0,16521920000000.0
2036.0,16716383000000.0,16313763000000.0,15967434000000.0,16284630000000.0,16147262000000.0,16308508000000.0,16234817000000.0,16346431000000.0,16514210000000.0,16738088000000.0,16385204000000.0
2037.0,16559698000000.0,16158232000000.0,15893787000000.0,16180836000000.0,16073285000000.0,16168349000000.0,16145489000000.0,16103198000000.0,16326130000000.0,16614626000000.0,16284632000000.0
2038.0,16454027000000.0,16011119000000.0,15864359000000.0,16161299000000.0,15937204000000.0,15922027000000.0,16023753000000.0,15906114000000.0,16184440000000.0,16485213000000.0,16087908000000.0
2039.0,16349182000000.0,15939373000000.0,15768001000000.0,16102635000000.0,15811596000000.0,15753963000000.0,15955653000000.0,15678202000000.0,16067112000000.0,16384472000000.0,15971876000000.0
2040.0,16253209000000.0,15874301000000.0,15657206000000.0,15989200000000.0,15668716000000.0,15576092000000.0,15784193000000.0,15548564000000.0,15902743000000.0,16275742000000.0,15857355000000.0
2041.0,16105277000000.0,15675780000000.0,15552606000000.0,15911232000000.0,15569150000000.0,15411682000000.0,15634706000000.0,15338084000000.0,15792748000000.0,16205069000000.0,15704045000000.0
2042.0,15957843000000.0,15441685000000.0,15469582000000.0,15791763000000.0,15528861000000.0,15315257000000.0,15523541000000.0,15191880000000.0,15600479000000.0,16141468000000.0,15596479000000.0
2043.0,15790364000000.0,15350899000000.0,15304002000000.0,15745868000000.0,15390596000000.0,15135110000000.0,15341287000000.0,14926217000000.0,15451679000000.0,16092396000000.0,15570571000000.0
2044.0,15718449000000.0,15162952000000.0,15266762000000.0,15756978000000.0,15270794000000.0,14984497000000.0,15221813000000.0,14744711000000.0,15362341000000.0,15948946000000.0,15482529000000.0
2045.0,15556300000000.0,14929989000000.0,15196819000000.0,15664247000000.0,15125883000000.0,14795456000000.0,15175594000000.0,14521074000000.0,15197389000000.0,15844998000000.0,15327914000000.0
2046.0,15396352000000.0,14732778000000.0,15128296000000.0,15628021000000.0,14982085000000.0,14612828000000.0,15012861000000.0,14327534000000.0,14992470000000.0,15788978000000.0,15198957000000.0
2047.0,15298969000000.0,14528990000000.0,15047130000000.0,15584446000000.0,14832846000000.0,14387867000000.0,14969564000000.0,14238436000000.0,14871784000000.0,15691341000000.0,15023195000000.0
2048.0,15204714000000.0,14455953000000.0,14902520000000.0,15473429000000.0,14757991000000.0,14237321000000.0,14798706000000.0,14070466000000.0,14772166000000.0,15663639000000.0,14926453000000.0
2049.0,15108232000000.0,14278751000000.0,14824502000000.0,15362042000000.0,14636402000000.0,14108557000000.0,14684869000000.0,13843458000000.0,14624518000000.0,15511590000000.0,14804272000000.0
2050.0,15015365000000.0,14073058000000.0,14756438000000.0,15290655000000.0,14611643000000.0,14020371000000.0,14515480000000.0,13605010000000.0,14451914000000.0,15336707000000.0,14677424000000.0
2051.0,14962193000000.0,13977832000000.0,14672116000000.0,15240124000000.0,14550328000000.0,13805935000000.0,14304012000000.0,13440243000000.0,14293074000000.0,15251822000000.0,14508105000000.0
2052.0,14838276000000.0,13806549000000.0,14566256000000.0,15127740000000.0,14435116000000.0,13639618000000.0,14148118000000.0,13230155000000.0,14060608000000.0,15116657000000.0,14307823000000.0
2053.0,14753345000000.0,13683340000000.0,14543849000000.0,15100490000000.0,14210823000000.0,13504491000000.0,13888421000000.0,13025229000000.0,13876967000000.0,15068690000000.0,14186984000000.0
2054.0,14592825000000.0,13536283000000.0,14499502000000.0,14978751000000.0,13991468000000.0,13369119000000.0,13731665000000.0,12827436000000.0,13692007000000.0,14931952000000.0,14082390000000.0
2055.0,14516378000000.0,13370703000000.0,14427380000000.0,14802185000000.0,13913145000000.0,13267315000000.0,13706354000000.0,12678478000000.0,13444977000000.0,14907212000000.0,13833934000000.0
2056.0,14422895000000.0,13159125000000.0,14274107000000.0,14676967000000.0,13834770000000.0,13108625000000.0,13552830000000.0,12511022000000.0,13319028000000.0,14834985000000.0,13616344000000.0
2057.0,14303620000000.0,13008594000000.0,14068049000000.0,14583959000000.0,13653678000000.0,12961019000000.0,13386648000000.0,12322848000000.0,13221345000000.0,14742834000000.0,13412308000000.0
2058.0,14139956000000.0,12862631000000.0,13992319000000.0,14585684000000.0,13595096000000.0,12818316000000.0,13327358000000.0,12108670000000.0,12999541000000.0,14641030000000.0,13212066000000.0
2059.0,14043041000000.0,12753678000000.0,13871613000000.0,14595657000000.0,13484683000000.0,12649507000000.0,13153865000000.0,11929371000000.0,12802413000000.0,14585064000000.0,13023257000000.0
2060.0,13966814000000.0,12559842000000.0,13814012000000.0,14486127000000.0,13311056000000.0,12523857000000.0,13051424000000.0,11814746000000.0,12563620000000.0,14515962000000.0,12804994000000.0
