time,CANESM5,MRI-ESM2-0,ACCESS-ESM1-5,ACCESS-CM2,CESM2-WACCM,IPSL-CM6A-LR
2032.0,7501887000000.0,7477104500000.0,7665355000000.0,7683250300000.0,7573463000000.0,7605096000000.0
2033.0,7420540000000.0,7422315000000.0,7615649700000.0,7634699000000.0,7519159000000.0,7547023000000.0
2034.0,7362535000000.0,7366984600000.0,7580538000000.0,7575141000000.0,7464029000000.0,7503730000000.0
2035.0,7298581000000.0,7313451600000.0,7518959400000.0,7526174700000.0,7412907000000.0,7443250000000.0
2036.0,7206162000000.0,7286104000000.0,7474119700000.0,7485738000000.0,7336364600000.0,7393105700000.0
2037.0,7102061000000.0,7238432000000.0,7443115400000.0,7441260000000.0,7256655500000.0,7358129000000.0
2038.0,7032470000000.0,7189336400000.0,7425039000000.0,7386946000000.0,7196847000000.0,7316584300000.0
2039.0,6964841500000.0,7128331300000.0,7381423000000.0,7332685700000.0,7145351300000.0,7275770500000.0
2040.0,6899394700000.0,7071361700000.0,7343850000000.0,7282877300000.0,7090918700000.0,7222798600000.0
2041.0,6814391000000.0,7038191500000.0,7279980000000.0,7242388000000.0,7014050700000.0,7163266700000.0
2042.0,6732732000000.0,7005640000000.0,7242638000000.0,7182852600000.0,6939459700000.0,7118367000000.0
2043.0,6663402000000.0,6945276700000.0,7204632500000.0,7129987000000.0,6891156000000.0,7070698000000.0
2044.0,6590696000000.0,6884334000000.0,7144464700000.0,7075779000000.0,6829654000000.0,7013841000000.0
2045.0,6509197000000.0,6835998000000.0,7103930000000.0,7033112000000.0,6763908700000.0,6962704000000.0
2046.0,6440382000000.0,6790001000000.0,7049302000000.0,6982173500000.0,6684026000000.0,6909690600000.0
2047.0,6365169300000.0,6736620000000.0,7014147700000.0,6928725400000.0,6615580300000.0,6844405000000.0
2048.0,6283400000000.0,6692406300000.0,6983340500000.0,6878886600000.0,6576393400000.0,6784152500000.0
2049.0,6219770600000.0,6641966600000.0,6947690500000.0,6824144000000.0,6514170000000.0,6714348300000.0
2050.0,6149167000000.0,6590182700000.0,6913078000000.0,6767275700000.0,6454669000000.0,6640725000000.0
2051.0,6066621400000.0,6539821000000.0,6859821000000.0,6715074000000.0,6373965000000.0,6589392000000.0
