time,CSIRO-MK3-6-0,MPI-ESM-LR,CCSM4
2123.0,203890560.0,426897120.0,1813327200.0
2124.0,185430600.0,443350200.0,1835798300.0
2125.0,176021570.0,428596900.0,1802387000.0
2126.0,175144240.0,366495460.0,1640536200.0
2127.0,168159460.0,347507650.0,1638064400.0
2128.0,171650100.0,360114000.0,1641010800.0
2129.0,162391300.0,358701100.0,1646129800.0
2130.0,147829840.0,354844670.0,1604767500.0
2131.0,132679190.0,366634750.0,1525730000.0
2132.0,133012210.0,355868770.0,1408679200.0
2133.0,137802100.0,303071070.0,1392128100.0
2134.0,127356030.0,261955360.0,1299652100.0
2135.0,128887560.0,264612900.0,1267193900.0
2136.0,128895784.0,252923470.0,1187717600.0
2137.0,119268940.0,227907250.0,1116862700.0
2138.0,114468744.0,222240020.0,1096652000.0
2139.0,111822664.0,205568820.0,1102419300.0
2140.0,106672600.0,182133250.0,1109152500.0
2141.0,105160880.0,170714030.0,1126489300.0
2142.0,103708520.0,168233940.0,1083050500.0
2143.0,103257110.0,158817230.0,1039791000.0
2144.0,90225816.0,154574340.0,1073936600.0
2145.0,78881160.0,149521140.0,1076522600.0
2146.0,76272990.0,143306300.0,991537660.0
2147.0,72891510.0,141106190.0,934067650.0
2148.0,69278030.0,136403420.0,934983600.0
2149.0,67806690.0,121113704.0,954675800.0
2150.0,67175260.0,114285370.0,949285400.0
2151.0,61137970.0,114758890.0,858620300.0
2152.0,56996236.0,105448770.0,843362940.0
2153.0,52791024.0,96651840.0,833901760.0
2154.0,50511796.0,98049450.0,840433500.0
2155.0,46557810.0,95078984.0,813252800.0
2156.0,44791176.0,97370530.0,813770900.0
2157.0,45035430.0,98976870.0,823515600.0
2158.0,42273660.0,88499256.0,789023200.0
2159.0,39796020.0,83923340.0,740263000.0
2160.0,39497820.0,86883200.0,706294140.0
2161.0,37487788.0,84947256.0,708230850.0
2162.0,36531030.0,83235980.0,723722700.0
2163.0,36729124.0,81984170.0,717056100.0
2164.0,35592300.0,81588360.0,672939970.0
2165.0,34384816.0,81102040.0,650135900.0
2166.0,34518212.0,80223550.0,665696400.0
2167.0,34115796.0,75418790.0,685396800.0
2168.0,34213490.0,74894780.0,661313000.0
2169.0,34217256.0,72289160.0,613354100.0
2170.0,33760548.0,73584936.0,623437200.0
2171.0,33490394.0,75516830.0,627101060.0
2172.0,33806350.0,73475470.0,628376700.0
2173.0,33507990.0,66808376.0,604739460.0
2174.0,33131136.0,70092760.0,588887900.0
2175.0,33605476.0,70749030.0,573881400.0
2176.0,33623224.0,65905584.0,559018560.0
2177.0,32969316.0,63699676.0,525372100.0
2178.0,32910590.0,60549932.0,528928350.0
2179.0,32726902.0,63365532.0,488550000.0
2180.0,32350872.0,61255376.0,463772740.0
2181.0,32715266.0,57236256.0,469831700.0
2182.0,32222060.0,52244172.0,473008500.0
2183.0,32135446.0,52177144.0,463950400.0
2184.0,32581378.0,50382450.0,462984670.0
2185.0,32335558.0,48125530.0,451514720.0
2186.0,32156496.0,46959816.0,426395460.0
2187.0,31937810.0,44606452.0,421679870.0
2188.0,31996318.0,43989852.0,434389470.0
2189.0,31627680.0,43616116.0,438842800.0
2190.0,31977436.0,41039636.0,422549000.0
2191.0,31740974.0,39773264.0,408515870.0
2192.0,31645970.0,38684776.0,413304000.0
2193.0,32075516.0,38039580.0,425749700.0
2194.0,31821284.0,36578428.0,410614980.0
2195.0,31661704.0,36420620.0,397377820.0
2196.0,31390708.0,35709796.0,386260200.0
2197.0,31344570.0,35924440.0,383327780.0
2198.0,31200858.0,36689230.0,369542560.0
2199.0,30895706.0,35987256.0,363542300.0
2200.0,30904338.0,35647400.0,355735780.0
2201.0,31048100.0,35166056.0,337463070.0
2202.0,30750742.0,34960344.0,319852740.0
2203.0,31183348.0,35174384.0,311765200.0
2204.0,31177680.0,34421244.0,311543970.0
2205.0,30646860.0,34440210.0,323199040.0
2206.0,30604846.0,34454364.0,336138020.0
2207.0,30662462.0,34033650.0,317002020.0
2208.0,30344202.0,33762564.0,311181860.0
2209.0,30384884.0,33375062.0,316208130.0
2210.0,30360526.0,34674332.0,306165250.0
2211.0,30594534.0,34411452.0,291169470.0
2212.0,30351302.0,33904164.0,279941800.0
2213.0,30137762.0,33455052.0,262507890.0
2214.0,30002802.0,34391156.0,268821440.0
2215.0,30351802.0,33947564.0,261082720.0
2216.0,29939108.0,33317300.0,254984480.0
2217.0,29970444.0,33661756.0,239818160.0
2218.0,29698516.0,33890548.0,237739940.0
2219.0,29635184.0,33486572.0,237327940.0
2220.0,29473728.0,33146412.0,230831520.0
2221.0,29714198.0,32926822.0,220046180.0
2222.0,29565976.0,32937332.0,218901020.0
2223.0,29300132.0,33104644.0,222053380.0
2224.0,29015612.0,33344772.0,228071200.0
2225.0,29053466.0,33091326.0,230168420.0
2226.0,28984972.0,32763294.0,221499660.0
2227.0,29017208.0,32988424.0,216972350.0
2228.0,29077978.0,32316854.0,215558480.0
2229.0,28965216.0,32540406.0,204633940.0
2230.0,29056592.0,32698984.0,190146910.0
2231.0,28924992.0,32608266.0,194589900.0
2232.0,28936624.0,32667800.0,200391420.0
2233.0,29033550.0,32819558.0,208105000.0
2234.0,28793698.0,32809124.0,203519000.0
2235.0,28971622.0,32628016.0,194257010.0
2236.0,28996622.0,32605134.0,198205630.0
2237.0,28968030.0,32516146.0,212321200.0
2238.0,28861756.0,32147314.0,215793310.0
2239.0,29114814.0,32033306.0,215901520.0
2240.0,28756950.0,31722384.0,214800480.0
2241.0,28707188.0,31837780.0,217284020.0
2242.0,28999350.0,32303320.0,216981390.0
2243.0,28901068.0,32490644.0,202534300.0
2244.0,28706996.0,32007332.0,195505060.0
2245.0,28635806.0,31980188.0,199897810.0
2246.0,28726870.0,32203980.0,198622670.0
2247.0,28485386.0,32326196.0,188477340.0
2248.0,28722878.0,32003140.0,188186290.0
2249.0,28615810.0,32155224.0,180472270.0
2250.0,28480900.0,32030762.0,185903700.0
