time,CESM1-CAM5,CCSM4
2000.0,93039410000.0,93039410000.0
2001.0,93092225000.0,93092225000.0
2002.0,94573404000.0,94573404000.0
2003.0,93630180000.0,93630180000.0
2004.0,92291875000.0,92291875000.0
2005.0,89926150000.0,89926150000.0
2006.0,88994595000.0,88994595000.0
2007.0,88025965000.0,88025965000.0
2008.0,88432010000.0,88432010000.0
2009.0,89439900000.0,89439900000.0
2010.0,87674430000.0,87674430000.0
2011.0,85156730000.0,85156730000.0
2012.0,86027540000.0,86027540000.0
2013.0,85461090000.0,85461090000.0
2014.0,85718560000.0,85718560000.0
2015.0,85020640000.0,85020640000.0
2016.0,81150520000.0,81150520000.0
2017.0,76327020000.0,76327020000.0
2018.0,74652200000.0,74652200000.0
2019.0,74993800000.0,74993800000.0
2020.0,73344020000.0,73344020000.0
2021.0,69026490000.0,73662670000.0
2022.0,67779006000.0,70796660000.0
2023.0,68321505000.0,69600354000.0
2024.0,67342450000.0,69718340000.0
2025.0,65416370000.0,71042840000.0
2026.0,66251088000.0,69994406000.0
2027.0,63613860000.0,68100624000.0
2028.0,58928644000.0,68503597000.0
2029.0,57055597000.0,67353140000.0
2030.0,56668740000.0,67142574000.0
2031.0,54800490000.0,63902482000.0
2032.0,52483834000.0,62002635000.0
2033.0,49455640000.0,59861324000.0
2034.0,49832727000.0,60128137000.0
2035.0,50963665000.0,59290767000.0
2036.0,50252714000.0,57343980000.0
2037.0,49295270000.0,53831713000.0
2038.0,49389863000.0,53879456000.0
2039.0,47572267000.0,52695340000.0
2040.0,43714110000.0,49018560000.0
2041.0,41100680000.0,47979000000.0
2042.0,41414570000.0,47335630000.0
2043.0,40645080000.0,46679230000.0
2044.0,39123160000.0,45716140000.0
2045.0,37643313000.0,45658590000.0
2046.0,36340580000.0,44715717000.0
2047.0,36631044000.0,42513195000.0
2048.0,36017990000.0,41658753000.0
2049.0,34038317000.0,40810320000.0
2050.0,32031857000.0,40207688000.0
2051.0,30283727000.0,37351035000.0
2052.0,29848146000.0,34788760000.0
2053.0,30143113000.0,34648590000.0
2054.0,30065142000.0,34123547000.0
2055.0,28537004000.0,32283812000.0
2056.0,25778192000.0,31216771000.0
2057.0,25939421000.0,30957107000.0
2058.0,26457630000.0,30797406000.0
2059.0,24880155000.0,30724151000.0
2060.0,22353738000.0,30206132000.0
2061.0,22408528000.0,29739600000.0
2062.0,22191436000.0,30202745000.0
2063.0,21748201000.0,29414290000.0
2064.0,20892520000.0,28627354000.0
2065.0,19534803000.0,28484730000.0
2066.0,17770690000.0,28720638000.0
2067.0,17503205000.0,28712680000.0
2068.0,17391921000.0,27368960000.0
2069.0,16835126000.0,26770332000.0
2070.0,16009319000.0,26481598000.0
2071.0,16010939000.0,26505767000.0
2072.0,14971009000.0,26143146000.0
2073.0,13377600000.0,25718878000.0
2074.0,13697840000.0,24038806000.0
2075.0,13930556000.0,22189777000.0
2076.0,13548602000.0,21799350000.0
2077.0,12846007000.0,21534218000.0
2078.0,12226892000.0,20878438000.0
2079.0,11722150000.0,19925615000.0
2080.0,11841069000.0,18903267000.0
2081.0,11781133000.0,18592702000.0
2082.0,10935629000.0,17856623000.0
2083.0,9516113000.0,17726120000.0
2084.0,9694352000.0,17916850000.0
2085.0,9784538000.0,17673585000.0
2086.0,9535878000.0,16648161000.0
2087.0,9090486000.0,16646860000.0
2088.0,8641346000.0,16188892000.0
2089.0,8161613300.0,15330367000.0
2090.0,7750395000.0,14733235000.0
2091.0,6943598600.0,14476198000.0
2092.0,6798621700.0,14198277000.0
2093.0,7029752000.0,14338391000.0
2094.0,6895282700.0,14530566000.0
2095.0,6235821600.0,14231684000.0
2096.0,6237260000.0,14089273000.0
2097.0,6230157300.0,13742714000.0
2098.0,6294835700.0,13475027000.0
2099.0,6047145500.0,13370611000.0
2100.0,5726141400.0,13006758000.0
2101.0,5538607600.0,12603021000.0
2102.0,5596393000.0,12581023000.0
2103.0,5571788000.0,12437391000.0
2104.0,5479732700.0,12149838000.0
2105.0,5136838700.0,11848585000.0
2106.0,4877146600.0,11761285000.0
2107.0,4975252000.0,11548855000.0
2108.0,5231933000.0,11314181000.0
2109.0,5109809700.0,11315919000.0
2110.0,4478204000.0,11354855000.0
2111.0,4414410000.0,10821830000.0
2112.0,4615660500.0,10366323000.0
2113.0,4672340500.0,10384161000.0
2114.0,4511310300.0,10529876000.0
2115.0,4200840700.0,10256676000.0
2116.0,4153329200.0,9735686000.0
2117.0,4036145700.0,9685689000.0
2118.0,3839695400.0,9386561000.0
2119.0,3879616000.0,9089593000.0
2120.0,3940380400.0,8959421000.0
2121.0,3988030200.0,8985759000.0
2122.0,4027046700.0,8685718000.0
2123.0,4149229800.0,8264058000.0
