time,NORESM1-M,CANESM2,CNRM-CM5,CSIRO-MK3-6-0,CCSM4,GFDL-ESM2G,MPI-ESM-LR,GISS-E2-R,IPSL-CM5A-LR,GFDL-CM3
2024.0,2994496300000.0,2995003900000.0,2999551500000.0,2944487700000.0,2982256600000.0,3069428000000.0,3023004200000.0,3035857200000.0,3008324000000.0,2959865300000.0
2025.0,2957116700000.0,2952099800000.0,2975442400000.0,2918862600000.0,2959263400000.0,3047019500000.0,3013359700000.0,3002959700000.0,2976990600000.0,2922023200000.0
2026.0,2916665000000.0,2922277000000.0,2957984100000.0,2866304000000.0,2946391000000.0,3030255700000.0,3005735800000.0,2981152000000.0,2949187600000.0,2873876500000.0
2027.0,2871885600000.0,2856376300000.0,2946996400000.0,2841134200000.0,2937886600000.0,2980387200000.0,3018861300000.0,2957275600000.0,2912904300000.0,2824939800000.0
2028.0,2852066200000.0,2825196100000.0,2927522200000.0,2813555000000.0,2915024200000.0,2983312500000.0,3013912000000.0,2927026000000.0,2884329800000.0,2764093300000.0
2029.0,2812267000000.0,2766617200000.0,2890024400000.0,2768906700000.0,2869446800000.0,2972895400000.0,2988148000000.0,2899026400000.0,2849846000000.0,2692505700000.0
2030.0,2749071600000.0,2753608500000.0,2867382200000.0,2734545200000.0,2834035000000.0,2945115000000.0,2966901800000.0,2876188700000.0,2806841900000.0,2622709000000.0
2031.0,2693109000000.0,2714348000000.0,2842496900000.0,2707656000000.0,2795831300000.0,2907541900000.0,2937817100000.0,2839124600000.0,2770529700000.0,2561469000000.0
2032.0,2660406000000.0,2691405000000.0,2818608700000.0,2672441000000.0,2740855800000.0,2893975400000.0,2893863000000.0,2805110100000.0,2732457700000.0,2479759300000.0
2033.0,2620963200000.0,2656320000000.0,2795618700000.0,2613215000000.0,2714809700000.0,2873360600000.0,2870423300000.0,2772147400000.0,2690082000000.0,2429955900000.0
2034.0,2575666500000.0,2612797600000.0,2769516500000.0,2552480000000.0,2687508000000.0,2851584300000.0,2848010300000.0,2736475300000.0,2652195500000.0,2358375400000.0
2035.0,2541642800000.0,2556741300000.0,2744743000000.0,2505423000000.0,2644619600000.0,2809909000000.0,2840253700000.0,2710953000000.0,2602404400000.0,2288010400000.0
2036.0,2503709300000.0,2511746600000.0,2721938400000.0,2468207000000.0,2600941400000.0,2759128800000.0,2791198200000.0,2669113500000.0,2543360400000.0,2219931300000.0
2037.0,2479249400000.0,2463472500000.0,2696542700000.0,2420509200000.0,2569118400000.0,2728950000000.0,2749276600000.0,2626642800000.0,2486206000000.0,2154210300000.0
2038.0,2450480200000.0,2415678700000.0,2662685200000.0,2361513700000.0,2534447300000.0,2701237700000.0,2721691500000.0,2581761400000.0,2429850700000.0,2084200800000.0
2039.0,2413622700000.0,2364524700000.0,2635253000000.0,2306974700000.0,2493173000000.0,2676055300000.0,2685077800000.0,2538138200000.0,2377183000000.0,1993577700000.0
2040.0,2373471400000.0,2307870200000.0,2608395000000.0,2241437600000.0,2447550400000.0,2663066600000.0,2642333100000.0,2477264500000.0,2316689200000.0,1908421300000.0
2041.0,2334064600000.0,2250983900000.0,2568431000000.0,2189387900000.0,2407293000000.0,2664269300000.0,2595733000000.0,2440585300000.0,2264703200000.0,1827818000000.0
2042.0,2283943200000.0,2219714800000.0,2538812000000.0,2129408200000.0,2374922000000.0,2633762300000.0,2541350600000.0,2393813500000.0,2214380400000.0,1741255300000.0
2043.0,2238818300000.0,2164288100000.0,2501559700000.0,2076130400000.0,2336691600000.0,2602761200000.0,2512607500000.0,2343586500000.0,2167062900000.0,1657820300000.0
2044.0,2198684400000.0,2110696800000.0,2470035800000.0,2031746300000.0,2282570400000.0,2589783800000.0,2481550500000.0,2307199000000.0,2116204200000.0,1593607500000.0
2045.0,2157156500000.0,2050094400000.0,2425507300000.0,1975699800000.0,2231487200000.0,2571422400000.0,2434471300000.0,2275773800000.0,2050049800000.0,1531219800000.0
2046.0,2105945900000.0,2004125700000.0,2392356300000.0,1935505500000.0,2187304500000.0,2544143200000.0,2362782800000.0,2229098300000.0,1978347700000.0,1454148200000.0
2047.0,2064032700000.0,1939875200000.0,2362879000000.0,1892231000000.0,2143924600000.0,2503082200000.0,2299948400000.0,2177497700000.0,1911548800000.0,1386457100000.0
2048.0,2036439000000.0,1891998400000.0,2325828300000.0,1834586900000.0,2094674000000.0,2469936000000.0,2266575400000.0,2132855800000.0,1857085400000.0,1329963300000.0
2049.0,1991557900000.0,1834409100000.0,2293901800000.0,1780426200000.0,2059061200000.0,2441568800000.0,2207723300000.0,2089021500000.0,1792935300000.0,1266899700000.0
2050.0,1942701700000.0,1769924900000.0,2257733600000.0,1732582600000.0,2020561500000.0,2422917800000.0,2164431400000.0,2061439100000.0,1739941000000.0,1196505800000.0
2051.0,1910449100000.0,1708944500000.0,2227279000000.0,1676160500000.0,1976745900000.0,2392690000000.0,2117110500000.0,2011980200000.0,1685049800000.0,1146362400000.0
2052.0,1868032200000.0,1646314500000.0,2185262700000.0,1644032300000.0,1934865700000.0,2346797000000.0,2072107800000.0,1970146500000.0,1634233100000.0,1087091440000.0
2053.0,1812227800000.0,1583115100000.0,2155035400000.0,1592483000000.0,1901552700000.0,2326971500000.0,2029068400000.0,1925596600000.0,1580107400000.0,1035320200000.0
2054.0,1775166000000.0,1528676900000.0,2110734900000.0,1554938000000.0,1871898900000.0,2291677000000.0,1989439100000.0,1890481200000.0,1521886600000.0,974501050000.0
2055.0,1735880200000.0,1484997900000.0,2063670200000.0,1510752500000.0,1833882200000.0,2231042800000.0,1979046600000.0,1852631200000.0,1476359900000.0,929237200000.0
2056.0,1693196500000.0,1446999000000.0,2025270400000.0,1464629900000.0,1789652600000.0,2181818500000.0,1933375300000.0,1806015000000.0,1422851300000.0,880059200000.0
2057.0,1641351000000.0,1394513400000.0,1983513100000.0,1427521300000.0,1746626500000.0,2117799600000.0,1877304100000.0,1756074500000.0,1381839300000.0,840600900000.0
2058.0,1597240400000.0,1337226400000.0,1935507200000.0,1370291400000.0,1706852400000.0,2087246100000.0,1827129500000.0,1722608500000.0,1331603300000.0,796875750000.0
2059.0,1550314800000.0,1301660600000.0,1898427700000.0,1324432100000.0,1674326600000.0,2042139600000.0,1777522400000.0,1682719800000.0,1284534700000.0,755929700000.0
2060.0,1508175400000.0,1251893000000.0,1865929300000.0,1275689400000.0,1635595300000.0,2007400800000.0,1723763100000.0,1642289700000.0,1242988300000.0,717627460000.0
2061.0,1477128200000.0,1199148800000.0,1832773500000.0,1236159700000.0,1599293500000.0,1965038100000.0,1664071400000.0,1609466100000.0,1209070500000.0,684060840000.0
2062.0,1449504100000.0,1151163800000.0,1807288100000.0,1197603200000.0,1555154600000.0,1940831900000.0,1594703500000.0,1575888100000.0,1165361400000.0,651783300000.0
2063.0,1409013600000.0,1105095400000.0,1764932800000.0,1157964000000.0,1523576200000.0,1913403200000.0,1553781400000.0,1545069800000.0,1124666700000.0,614810400000.0
2064.0,1357484500000.0,1072309000000.0,1720673800000.0,1109456000000.0,1486417300000.0,1894064500000.0,1502267800000.0,1515593700000.0,1090711600000.0,584604840000.0
2065.0,1316467400000.0,1033306100000.0,1686674000000.0,1065141340000.0,1449928700000.0,1851554700000.0,1451336700000.0,1484052400000.0,1041775070000.0,553604500000.0
2066.0,1282473700000.0,989553100000.0,1636918900000.0,1027041660000.0,1410358400000.0,1815803300000.0,1398249200000.0,1451853700000.0,1004637700000.0,525883240000.0
2067.0,1246142700000.0,944317100000.0,1595332500000.0,994639150000.0,1377515300000.0,1784054800000.0,1344876200000.0,1421808000000.0,963999800000.0,498442270000.0
2068.0,1214088100000.0,911750660000.0,1552737200000.0,959933840000.0,1337096000000.0,1739688000000.0,1301352400000.0,1383596400000.0,923000800000.0,473029280000.0
2069.0,1171234400000.0,876965800000.0,1518655400000.0,925641400000.0,1290420200000.0,1713065300000.0,1263692200000.0,1349098500000.0,890182700000.0,448174160000.0
2070.0,1127592100000.0,844310050000.0,1493391000000.0,886452800000.0,1245473800000.0,1674624200000.0,1224803600000.0,1319549100000.0,847921100000.0,426881120000.0
2071.0,1089154000000.0,805138600000.0,1450246900000.0,857997700000.0,1207524400000.0,1629459300000.0,1173465200000.0,1290897500000.0,809695600000.0,405363430000.0
2072.0,1053977800000.0,778360650000.0,1412228800000.0,825703900000.0,1176108100000.0,1602613500000.0,1132845500000.0,1260434900000.0,770103400000.0,382180920000.0
2073.0,1017959000000.0,750719100000.0,1367975900000.0,800036160000.0,1137786500000.0,1574597300000.0,1102468300000.0,1230804400000.0,737565300000.0,359886600000.0
2074.0,986212340000.0,720043840000.0,1334910900000.0,767261200000.0,1106934400000.0,1542666600000.0,1075151440000.0,1201546600000.0,699023900000.0,341566700000.0
2075.0,948539160000.0,690255360000.0,1309108100000.0,741172700000.0,1083231440000.0,1495546700000.0,1028062500000.0,1175246900000.0,663093640000.0,323523900000.0
2076.0,913025100000.0,663671900000.0,1266929500000.0,703098850000.0,1048305530000.0,1457476600000.0,980346670000.0,1151208900000.0,630814600000.0,302327560000.0
2077.0,880135900000.0,631175900000.0,1229334800000.0,672613300000.0,1005672700000.0,1420652200000.0,949455160000.0,1123042200000.0,596244040000.0,285669850000.0
2078.0,852526040000.0,595790900000.0,1198559300000.0,642445200000.0,971665100000.0,1386104200000.0,916051600000.0,1095721200000.0,562201100000.0,269420300000.0
2079.0,819439860000.0,564066400000.0,1171863500000.0,613437600000.0,937800240000.0,1346058000000.0,888825200000.0,1071032500000.0,538090400000.0,250767750000.0
2080.0,789567300000.0,543659850000.0,1137443500000.0,594824130000.0,907689850000.0,1313564900000.0,847172600000.0,1045960460000.0,506595000000.0,235441440000.0
2081.0,762405450000.0,514590050000.0,1106313700000.0,572232100000.0,872001600000.0,1288302500000.0,802249640000.0,1022975300000.0,480832720000.0,216077060000.0
2082.0,742448200000.0,485967040000.0,1078039300000.0,542788300000.0,839998500000.0,1249833100000.0,765488000000.0,994101760000.0,453267950000.0,201872110000.0
2083.0,714320300000.0,461069420000.0,1040602600000.0,517755930000.0,820524200000.0,1217385200000.0,732265700000.0,967351500000.0,426481840000.0,185480660000.0
2084.0,688647440000.0,433586700000.0,1018965500000.0,497319940000.0,793149830000.0,1185504600000.0,703084100000.0,940358500000.0,403403150000.0,171791070000.0
2085.0,661804900000.0,408266600000.0,986165600000.0,474055200000.0,761583760000.0,1138804900000.0,686359250000.0,919149900000.0,382162040000.0,156951580000.0
2086.0,639800200000.0,384179470000.0,956896440000.0,453893900000.0,734457760000.0,1094243450000.0,654266100000.0,890840150000.0,352174570000.0,143966910000.0
2087.0,616586000000.0,359606750000.0,921235160000.0,431546900000.0,708426400000.0,1056265600000.0,625046260000.0,863264000000.0,329356250000.0,132999610000.0
2088.0,599579030000.0,339625180000.0,891545400000.0,410605100000.0,687352600000.0,1023062050000.0,596198600000.0,837812750000.0,303274130000.0,124310350000.0
2089.0,572666940000.0,314870460000.0,869033800000.0,384524680000.0,670308240000.0,990194500000.0,565123200000.0,813467760000.0,276598030000.0,115448180000.0
2090.0,548789750000.0,291894720000.0,840801850000.0,364367050000.0,644034800000.0,967090800000.0,533037800000.0,792547800000.0,259700620000.0,106219370000.0
2091.0,524547060000.0,276043300000.0,817861360000.0,340657340000.0,617041360000.0,940931900000.0,502259840000.0,767761300000.0,241742140000.0,96451600000.0
2092.0,503788470000.0,253443080000.0,792847500000.0,319410600000.0,590616460000.0,906739250000.0,475633680000.0,744208300000.0,222463950000.0,90567470000.0
2093.0,485718360000.0,236019910000.0,776778500000.0,305552950000.0,566574400000.0,875476700000.0,450489250000.0,720592900000.0,200981070000.0,83782566000.0
2094.0,461414500000.0,219968630000.0,750644360000.0,286731800000.0,536335160000.0,835219500000.0,426019750000.0,699850700000.0,182462410000.0,78685450000.0
2095.0,443965370000.0,203602300000.0,727119100000.0,267436310000.0,512380930000.0,806435600000.0,408556540000.0,673238750000.0,162735540000.0,73372530000.0
2096.0,425661370000.0,190339480000.0,705559400000.0,249856720000.0,490410020000.0,780545560000.0,381653100000.0,649041000000.0,150731780000.0,69014750000.0
2097.0,403734500000.0,172526530000.0,687766100000.0,233467170000.0,470389850000.0,761540400000.0,361737500000.0,629350330000.0,138428630000.0,64417386000.0
2098.0,385269830000.0,161903620000.0,668159300000.0,218081600000.0,450725800000.0,734517660000.0,346980780000.0,608174100000.0,128610710000.0,59630674000.0
2099.0,367396300000.0,150651420000.0,646017500000.0,206008000000.0,434752260000.0,716525700000.0,321708600000.0,589303600000.0,118359310000.0,54908797000.0
2100.0,348294680000.0,143008550000.0,629137600000.0,195201470000.0,414952650000.0,692038200000.0,298941220000.0,570993500000.0,109724510000.0,50511725000.0
