time,MPI-ESM-LR,CESM1-CAM5,GFDL-ESM2G,CANESM2,NORESM1-M,CCSM4,CSIRO-MK3-6-0,CNRM-CM5,GFDL-CM3,IPSL-CM5A-LR,GISS-E2-R
2033.0,2727077700000.0,2702359000000.0,2929473000000.0,2715601600000.0,2746848600000.0,2714719500000.0,2831379300000.0,2787023800000.0,2469338800000.0,2786738800000.0,2767422800000.0
2034.0,2701880200000.0,2663625300000.0,2907657500000.0,2707442400000.0,2725872100000.0,2678892000000.0,2802131400000.0,2766615300000.0,2406843200000.0,2753975300000.0,2752770500000.0
2035.0,2695444800000.0,2627762400000.0,2916868200000.0,2677334600000.0,2698745700000.0,2653275600000.0,2745399500000.0,2755201000000.0,2333544500000.0,2725240000000.0,2736468800000.0
2036.0,2686378800000.0,2604446500000.0,2902662300000.0,2665891800000.0,2668490700000.0,2619685200000.0,2721680500000.0,2724591600000.0,2296406300000.0,2694789700000.0,2724811000000.0
2037.0,2691778200000.0,2571197200000.0,2872403600000.0,2627618700000.0,2629306700000.0,2597718900000.0,2685164000000.0,2709884800000.0,2249535300000.0,2653341000000.0,2716378300000.0
2038.0,2663669300000.0,2546362200000.0,2833782700000.0,2599119500000.0,2596835200000.0,2574087600000.0,2666292300000.0,2679096000000.0,2185114700000.0,2627665000000.0,2699438300000.0
2039.0,2644069000000.0,2525235500000.0,2789646300000.0,2565623500000.0,2564449600000.0,2549709800000.0,2629927400000.0,2641368400000.0,2130794500000.0,2608208800000.0,2683402500000.0
2040.0,2615870800000.0,2506768000000.0,2783709500000.0,2533012800000.0,2535498000000.0,2535684000000.0,2628617500000.0,2606986400000.0,2070109500000.0,2575954600000.0,2661491400000.0
2041.0,2586590000000.0,2477805300000.0,2758622000000.0,2490076000000.0,2513733200000.0,2528220800000.0,2606007600000.0,2583976200000.0,2007833200000.0,2556682800000.0,2642891800000.0
2042.0,2552929000000.0,2430794700000.0,2741165400000.0,2450191500000.0,2497201300000.0,2499282000000.0,2585481400000.0,2558671000000.0,1948942000000.0,2530879500000.0,2612273600000.0
2043.0,2549898500000.0,2372099400000.0,2704885200000.0,2402931400000.0,2460044500000.0,2475617200000.0,2549640600000.0,2515624500000.0,1886470000000.0,2507863200000.0,2578645000000.0
2044.0,2543262600000.0,2349490000000.0,2673089200000.0,2376345800000.0,2446938900000.0,2438074500000.0,2536850000000.0,2493859200000.0,1810201600000.0,2478975200000.0,2551054000000.0
2045.0,2525995000000.0,2324097100000.0,2679973600000.0,2352022800000.0,2432520200000.0,2414783200000.0,2501410000000.0,2473673400000.0,1754822700000.0,2448337100000.0,2539531800000.0
2046.0,2484741600000.0,2275979300000.0,2669326400000.0,2315953600000.0,2401286800000.0,2398482600000.0,2491747100000.0,2452142000000.0,1700096100000.0,2408152000000.0,2523258200000.0
2047.0,2473854000000.0,2243476300000.0,2689584300000.0,2301459200000.0,2369592500000.0,2375842500000.0,2454098800000.0,2433778200000.0,1632883000000.0,2389106500000.0,2513306000000.0
2048.0,2487643300000.0,2245888600000.0,2673759200000.0,2264797300000.0,2342417300000.0,2356620300000.0,2396679300000.0,2414342600000.0,1578728700000.0,2359334300000.0,2501103000000.0
2049.0,2432248600000.0,2245084300000.0,2645304000000.0,2229880500000.0,2324033000000.0,2333881400000.0,2358197400000.0,2397324700000.0,1502942500000.0,2339423000000.0,2472930200000.0
2050.0,2411308500000.0,2208766400000.0,2628572200000.0,2209685400000.0,2295498300000.0,2322703600000.0,2332263400000.0,2379853600000.0,1443948100000.0,2314315800000.0,2440478600000.0
