time,CCSM4,CNRM-CM5,CSIRO-MK3-6-0,CANESM2,NORESM1-M,MPI-ESM-LR,CESM1-CAM5,GFDL-ESM2G,IPSL-CM5A-LR,GISS-E2-R,GFDL-CM3
2033.0,2812653900000.0,2784728200000.0,2713703000000.0,2635387600000.0,2666469300000.0,2759551600000.0,2831787000000.0,2815862200000.0,2721656300000.0,2826695900000.0,2368100400000.0
2034.0,2779281000000.0,2759008200000.0,2672292300000.0,2593406300000.0,2631196200000.0,2750025600000.0,2812321500000.0,2812030700000.0,2683857500000.0,2803429300000.0,2303911000000.0
2035.0,2736105200000.0,2723284500000.0,2626206800000.0,2548496600000.0,2580401400000.0,2699797500000.0,2793676200000.0,2805701500000.0,2647522000000.0,2794302200000.0,2249102500000.0
2036.0,2721103500000.0,2698210000000.0,2588013500000.0,2494485200000.0,2544989400000.0,2666530600000.0,2780080000000.0,2796909500000.0,2581994100000.0,2761808400000.0,2194119900000.0
2037.0,2688742600000.0,2665407000000.0,2538359000000.0,2437288000000.0,2521016800000.0,2641904800000.0,2735706000000.0,2769934400000.0,2523628000000.0,2736034200000.0,2133520000000.0
2038.0,2650808300000.0,2637956600000.0,2517945000000.0,2421384800000.0,2487912800000.0,2643699200000.0,2722582000000.0,2752488000000.0,2476167400000.0,2711610200000.0,2080702000000.0
2039.0,2612207800000.0,2597216000000.0,2477419700000.0,2363781300000.0,2444267000000.0,2598282500000.0,2690866700000.0,2737036600000.0,2435652300000.0,2681791300000.0,2023076100000.0
2040.0,2575161000000.0,2555928600000.0,2426437400000.0,2319565000000.0,2415135300000.0,2578352700000.0,2660878500000.0,2704856300000.0,2401600300000.0,2652932400000.0,1966255900000.0
2041.0,2530727000000.0,2530305000000.0,2394287800000.0,2288663700000.0,2382956600000.0,2524011000000.0,2630598300000.0,2693322200000.0,2351661800000.0,2614843700000.0,1901044600000.0
2042.0,2489478800000.0,2515732300000.0,2343207200000.0,2242397300000.0,2333410600000.0,2480848500000.0,2587620000000.0,2686303000000.0,2316447000000.0,2590921000000.0,1835063800000.0
2043.0,2453561000000.0,2490192600000.0,2305071300000.0,2205043700000.0,2297366000000.0,2447547600000.0,2549147200000.0,2682363600000.0,2282352300000.0,2559827500000.0,1769918000000.0
2044.0,2420850600000.0,2473552500000.0,2250561600000.0,2163451100000.0,2271271700000.0,2425641500000.0,2511953500000.0,2660797500000.0,2236787700000.0,2540048700000.0,1710690400000.0
2045.0,2392865400000.0,2454239600000.0,2205872000000.0,2103725900000.0,2256464800000.0,2418648000000.0,2479642600000.0,2639584000000.0,2190421000000.0,2506677800000.0,1660691000000.0
2046.0,2360516500000.0,2435810300000.0,2157824200000.0,2039591000000.0,2223544200000.0,2371252000000.0,2431488000000.0,2604800100000.0,2147491800000.0,2486360900000.0,1610327100000.0
2047.0,2308847400000.0,2402908400000.0,2103424700000.0,2012623700000.0,2172965900000.0,2326739800000.0,2394802400000.0,2578853100000.0,2101166500000.0,2463217700000.0,1548954100000.0
2048.0,2278321600000.0,2375920000000.0,2054384900000.0,1963285700000.0,2141030700000.0,2293332700000.0,2375792200000.0,2565163500000.0,2069817600000.0,2434544700000.0,1482313400000.0
2049.0,2248772400000.0,2336336600000.0,2008402500000.0,1911471500000.0,2104863000000.0,2252767000000.0,2345993000000.0,2543871600000.0,2026003200000.0,2384290000000.0,1419951100000.0
2050.0,2202888300000.0,2316171700000.0,1972948800000.0,1876910900000.0,2060488000000.0,2225789000000.0,2308592000000.0,2527323800000.0,1973761700000.0,2353845500000.0,1368228200000.0
2051.0,2167433100000.0,2289073400000.0,1931920100000.0,1827970700000.0,2019554200000.0,2180841300000.0,2276037200000.0,2513347800000.0,1938835200000.0,2323135300000.0,1318298300000.0
2052.0,2133114200000.0,2254328600000.0,1904241300000.0,1792914200000.0,1979351700000.0,2162329000000.0,2265358800000.0,2470143300000.0,1891965500000.0,2285049700000.0,1259282500000.0
2053.0,2117317300000.0,2218196700000.0,1867374900000.0,1740557100000.0,1948567100000.0,2128980900000.0,2244189400000.0,2464730600000.0,1854412800000.0,2256768600000.0,1204523000000.0
2054.0,2099336800000.0,2194774600000.0,1838464400000.0,1709732800000.0,1921611000000.0,2083971000000.0,2211181500000.0,2453505600000.0,1810733900000.0,2233413400000.0,1149939500000.0
2055.0,2074071000000.0,2171058400000.0,1813110700000.0,1653475800000.0,1876475400000.0,2054375100000.0,2175633600000.0,2428861700000.0,1771620300000.0,2208535400000.0,1098554800000.0
2056.0,2045113700000.0,2139282300000.0,1765399300000.0,1608511100000.0,1841763700000.0,2020789500000.0,2146743400000.0,2417490100000.0,1740913400000.0,2177378500000.0,1050886300000.0
2057.0,2014233800000.0,2110293800000.0,1713033200000.0,1571293400000.0,1798778400000.0,1970957300000.0,2113228800000.0,2399195600000.0,1703790600000.0,2149832200000.0,1013056100000.0
2058.0,1992072400000.0,2079574700000.0,1665498200000.0,1534436600000.0,1773509300000.0,1939286400000.0,2087976000000.0,2377460000000.0,1658274600000.0,2111202500000.0,975824750000.0
2059.0,1971223700000.0,2046514600000.0,1627359200000.0,1498940400000.0,1732127100000.0,1938407000000.0,2067520700000.0,2368391000000.0,1632512400000.0,2082160000000.0,930572600000.0
2060.0,1937381800000.0,2017254800000.0,1600429800000.0,1471015000000.0,1704577200000.0,1881226000000.0,2024467600000.0,2327029700000.0,1593053300000.0,2063504200000.0,890898800000.0
2061.0,1915188400000.0,1980772000000.0,1573737000000.0,1445225800000.0,1682588000000.0,1862794100000.0,2006035500000.0,2301955100000.0,1556777900000.0,2023788500000.0,859322700000.0
