time,CESM2-WACCM,CanESM5,IPSL-CM6A-LR,MRI-ESM2-0
2000,167671177080086.97,167671980358016.25,167671980358016.25,167647835809119.06
2001,167301234770814.38,167428196270628.25,167219914498808.2,167380276855124.94
2002,166827733812929.16,167238309155933.66,166898071358692.3,166987625346622.88
2003,166414600774257.0,166987817348403.94,166637019977132.12,166609730900873.1
2004,166063177143378.03,166678513478054.7,166388615960643.1,166380851305531.5
2005,165730185663926.34,166417717070751.94,166078525621682.88,165979423995373.2
2006,165381013280418.75,166109595053575.4,165664903447698.28,165619569161031.62
2007,165138889286786.12,165843311525883.12,165349353151439.97,165244269700257.06
2008,164807205892585.56,165605683374587.06,165070658432252.8,164820970800676.38
2009,164327843526519.44,165372772777541.7,164673765051266.16,164304735180084.75
2010,163869394995688.25,164936422784009.3,164181397719867.84,163877989199710.7
2011,163497193927489.06,164448628665604.84,163707712664396.6,163527760552460.6
2012,163083378685795.06,163978032522621.16,163285960259811.56,163097137296709.03
2013,162621293189285.53,163499624287174.72,162881990793590.84,162723633256212.28
2014,162157931631930.66,163011794812872.8,162438519979156.44,162248742261704.34
2015,161654597489916.38,162438239028811.6,162049504416616.94,161895515040275.3
2016,161298031427931.22,161929609035895.9,161601625172137.84,161414983713157.66
2017,160906481491026.5,161436215410340.94,161039824886189.06,160890074898616.5
2018,160444873454320.3,160715982845657.56,160456879511738.9,160298908617376.88
2019,159948575009596.66,159923458471201.06,159910029773287.06,159839502912090.4
2020,159402875372838.2,159332609074776.56,159449167574304.1,159412881133830.44
2021,158867166624173.88,158755967449201.12,158949392992358.12,158961485533411.06
2022,158122983650156.8,158116906624797.94,158268295385963.0,158540225432007.88
2023,157465190597214.7,157422069015752.2,157686311133233.12,157768728734117.5
2024,156913623062937.1,156682399081008.2,157255524500891.53,157074590219301.44
2025,156229037389603.25,155839596918432.53,156658279868343.97,156454392767046.38
2026,155529865643547.88,155253591971228.38,155903792588883.62,155856512657448.7
2027,154854558264280.12,154530996428647.75,155397131637513.4,155278113348778.0
2028,154142206160902.88,153667630302979.0,154774505209338.06,154654457163343.2
2029,153484579619385.5,152769822617041.5,154056044779375.03,154012689832416.03
2030,152961988514538.75,152052413284489.38,153342343313761.62,153431428864085.4
2031,152493537191248.94,151211638113595.75,152502592239766.12,152645160549689.4
2032,151953353425497.94,150292912574189.66,151787554968568.7,151929434447489.53
2033,151302920245883.1,149443147837357.25,151179281645307.62,151264362238692.56
2034,150647287426972.47,148522739678786.28,150594581839893.2,150538501793446.6
2035,149949141019592.8,147626741363383.5,150059496477004.56,149905153408281.3
2036,149283500756826.75,146756387650542.5,149494089464472.2,149265702956040.56
2037,148587208116361.66,145866136824464.9,148913965225982.16,148504128789157.66
2038,147669534799117.47,144859731977296.47,148231459310170.2,147601182022992.4
2039,146851457944754.72,143855818309973.8,147541866493904.0,146696958498063.03
2040,146085623424053.62,142912478975539.8,146793057124697.78,145838250768793.75
2041,145292590953780.3,141889120364583.44,146073692141040.03,144964215963752.56
2042,144452441782176.8,140764620899171.9,145381027132553.2,144007596423774.12
2043,143743581342063.25,139644650518052.94,144463560178646.12,142990865988815.97
2044,142843005684929.78,138529094676793.16,143646093528652.62,142217238306100.25
2045,142009647596666.2,137552983614008.42,142824526736235.56,141228199554488.28
2046,141203145170544.5,136429889995081.06,141863000545299.62,140362109844753.23
2047,140493286605283.16,135361203588551.67,141067677643226.0,139405798663841.12
2048,139683888779730.03,134183544876667.5,140188225212716.02,138446899576995.31
2049,138886416743477.88,133131748518427.52,139296294071027.66,137570095462604.1
2050,137978068662797.62,132080308571698.16,138502331999025.02,136580439304066.16
2051,137156603753828.12,131010487376820.94,137738706187440.45,135611853346551.31
2052,136094389491598.47,129840016887617.25,136935759287783.19,134703183727215.02
2053,135164617751089.33,128734045848852.88,136202306651896.34,133602370024357.44
2054,134219048676918.9,127674346226977.28,135356275179087.42,132549944113396.9
2055,133344340873069.39,126482952399242.64,134416212856269.9,131691664393391.97
2056,132376661546702.06,125413370191333.25,133546747996348.33,130797918712561.9
2057,131353934303949.6,124205588689359.1,132753103132687.9,129964997984998.81
2058,130396658858533.56,123095614929190.66,131777867374349.7,129025628220371.0
2059,129460568588968.06,122017440045710.42,130874320358473.34,128109735638463.88
2060,128672895384487.81,120809574867991.03,129984779850363.88,127409461844151.39
2061,127826892750516.5,119744810161973.28,129043005189246.53,126534318659409.23
2062,127022402632502.88,118595912940537.5,128135321056494.22,125836105077608.44
2063,126185895878030.55,117452229935000.47,127146084391665.94,125222305551381.94
2064,125291524936570.53,116367320378835.08,126367504804668.84,124379898735720.0
2065,124385180329355.94,115395767282971.83,125575433417523.31,123645932361464.14
2066,123620698993077.9,114304921757094.31,124725808025488.94,122911650058469.81
2067,122752285760299.6,113315552498682.56,123889854284736.12,122325113481802.23
2068,121878014615219.05,112295801932770.08,123016837836469.31,121792878771795.94
2069,121053492262915.53,111203377726519.22,122052414539047.14,121237564630573.25
2070,120266796561206.56,110334290630923.0,121233372264881.53,120594532435689.4
2071,119426636231966.52,109505253379846.94,120461603471520.45,119916501016057.72
2072,118692285191870.06,108606821524792.38,119740545816392.08,119166500511793.78
2073,117952935004914.97,107651629065211.22,119043611470527.9,118449161745431.0
2074,117235924882345.81,106967320452732.88,118282181411689.53,117801257383788.36
2075,116700027351245.9,106127100144609.5,117588872556333.86,117147437713587.94
2076,115755723317199.12,105209704942135.1,116707251599580.2,116485079595971.81
2077,115195070407265.86,104334836886839.61,116122617150022.56,115713860647008.31
2078,114430221375661.78,103582668101574.44,115416808382177.44,115104366906048.75
2079,113756767449087.22,102842479826491.31,114730482105039.02,114423003529343.4
2080,112980497202823.47,102200117252511.4,114106483812601.66,113707621671351.3
2081,112373187225064.02,101441093062406.7,113585135507643.9,112972539184764.17
2082,111923315023715.34,100741787749567.44,112933639682324.98,112350200462607.81
2083,111268482030465.22,100009232370288.86,112240236541810.12,111725572560014.88
2084,110657073940152.66,99157666732010.03,111620058305851.81,111163330443356.84
2085,110104862062023.72,98501707159621.94,110940592708478.05,110574460989240.19
2086,109732305571451.62,97950269945644.53,110273065542758.75,110127102122080.94
2087,109197696459123.5,97353820881795.6,109577134624304.88,109779534580559.0
2088,108553037372562.84,96739329824257.44,109034329416069.6,109457180609882.4
2089,107941167558697.02,96085641274871.02,108490667754747.12,109139925158534.1
2090,107450646867436.66,95481560897118.28,107805689434767.22,108757386628191.56
2091,106847000860399.64,94887122769317.44,107222104885084.1,108403583308984.28
2092,106400544048990.47,94432522912552.38,106635559174501.28,107899472405842.4
2093,105957961984852.5,93919164337636.88,106057186336166.94,107518535911166.6
2094,105363768045701.94,93319658467310.75,105495949504248.75,106990922417757.03
2095,104740023664505.6,92800363086585.44,105008520095407.78,106617712442461.42
2096,104152710672072.42,92139410949921.38,104563054231559.69,106306490495596.81
2097,103678800121440.75,91635456295055.22,104137737577596.9,105999862017375.31
2098,103132581059613.4,91196965956383.02,103639526754381.55,105626957539453.56
2099,102719859999260.44,90702715905893.62,103143828855147.16,105333581646707.94
2100,102277816576734.53,90139234529381.22,102620244349342.25,105003741863948.34
2101,101859189171541.84,89721621408277.64,102104152446710.44,104716576952179.5
2102,101294377703270.06,89295787288239.47,101596718446871.88,104464686601725.47
2103,100794367269824.44,88898480763324.84,101103816591670.81,104223704682715.9
2104,100389040458744.56,88497010880979.6,100651848048447.1,104024234459376.0
2105,100051542241211.33,88144232326078.7,100203845616673.88,103806355473318.9
2106,99751126204655.4,87608369602102.58,99789592661703.17,103602917725136.88
2107,99450261375682.9,87233525760667.33,99305510745729.5,103424540502177.88
2108,99074146723505.9,86761930868276.75,98957468964545.1,103131351334997.52
2109,98614016262626.86,86398147228490.62,98501171270493.25,102884199613041.98
2110,98279399024531.4,85958135666312.16,98152211696810.42,102655820570085.14
2111,98040919443184.47,85573033196080.4,97796854456721.08,102450728242633.56
2112,97602987723125.72,85213587451747.19,97490896351730.31,102190493468406.0
2113,97146777415272.88,84834755390157.48,97154683898567.47,101978840289754.25
2114,96781845762271.56,84513331663435.03,96731910815080.34,101783252651021.64
2115,96463290863148.4,84196064189116.34,96422981291482.19,101518567030488.7
2116,96130428720341.4,83947595765922.12,96093620728629.66,101292771124739.98
2117,95753533870373.84,83758725697045.36,95869350159782.81,101139234961568.5
2118,95351244611750.86,83530275809180.66,95588985190397.62,100938983272253.9
2119,95050458243863.12,83297354491632.19,95217740846407.75,100767558978666.67
2120,94763204813150.6,82980091484405.16,94868355896541.69,100568695541774.31
2121,94499375627324.19,82700046430171.84,94531664788371.6,100196277115042.58
2122,94231425232338.25,82409349273821.77,94150359942677.66,100042729955276.25
2123,93909662156448.47,82131339032271.38,93857639175144.53,99796490495349.0
2124,93762798433641.84,81864086987751.28,93543809859145.62,99596140100568.58
2125,93519073037501.4,81652955676099.22,93308947796926.88,99385609370511.14
2126,93299091570653.16,81393284187777.17,93055394240804.75,99228439376923.31
2127,93081030927033.22,81076757732341.03,92735342658735.97,99112715184097.84
2128,92762927493224.19,80779939673654.84,92400178064122.1,99014699455074.19
2129,92482496601964.47,80522033121502.17,92037402142129.23,98979759921747.72
2130,92261985975639.77,80207068291620.28,91760395497421.81,98783042880376.56
2131,91972309032996.5,79899627776814.56,91504838339152.66,98663361455291.81
2132,91788818444015.19,79603201830662.78,91235581380052.9,98572522679433.98
2133,91583493915537.28,79372856286278.56,90940703851636.28,98424907177576.06
2134,91351092152654.22,79147450873093.38,90610392155551.36,98224518632505.69
2135,91111688942031.12,78963583676690.12,90265741112210.16,98151680272748.92
2136,90849843679801.25,78718879673956.66,89990628525502.1,98076675620765.23
2137,90566749343181.94,78538695900822.89,89809915223326.1,97973123828608.97
2138,90315940069498.72,78340658922699.34,89541998279891.28,97878388148935.31
2139,90087978537462.7,78113137967717.06,89230742048367.0,97794356731446.31
2140,89869356837219.22,77880776698226.73,88986930244112.61,97709140557799.3
2141,89631192694218.66,77630370196344.75,88736245230112.39,97591648791085.47
2142,89407630436785.86,77470148251590.95,88546067407033.94,97450537488764.62
2143,89164466818266.7,77339279817113.77,88368175220757.84,97328468488556.3
