time,CANESM5,MRI-ESM2-0,ACCESS-ESM1-5,IPSL-CM6A-LR,ACCESS-CM2,CESM2-WACCM
2068.0,3257782800000.0,3616015600000.0,3607284700000.0,3444801500000.0,3059898600000.0,3168039300000.0
2069.0,3212832100000.0,3603186300000.0,3585848600000.0,3429505400000.0,3031790800000.0,3141342600000.0
2070.0,3182367600000.0,3583956500000.0,3561964200000.0,3429227300000.0,2990346300000.0,3110318600000.0
2071.0,3155767900000.0,3584187400000.0,3527307400000.0,3405037200000.0,2962165300000.0,3093510500000.0
2072.0,3120095300000.0,3574324300000.0,3502839200000.0,3388580300000.0,2950464500000.0,3068630700000.0
2073.0,3100660200000.0,3543377600000.0,3478730000000.0,3356293900000.0,2917512800000.0,3019292500000.0
2074.0,3079051700000.0,3538179600000.0,3456667500000.0,3330798500000.0,2891167000000.0,2995477500000.0
2075.0,3046697600000.0,3508946300000.0,3445388200000.0,3313604800000.0,2873090400000.0,2964393600000.0
2076.0,3034780500000.0,3494621700000.0,3413585400000.0,3299053000000.0,2859537800000.0,2930590600000.0
2077.0,3004496300000.0,3479511200000.0,3399741300000.0,3281609600000.0,2825976300000.0,2898597200000.0
2078.0,2989797000000.0,3452819500000.0,3387419000000.0,3269959600000.0,2808335600000.0,2862334300000.0
2079.0,2975623300000.0,3441758300000.0,3363411300000.0,3242401200000.0,2791426200000.0,2851940600000.0
2080.0,2948874400000.0,3418550000000.0,3355659200000.0,3235532500000.0,2766479600000.0,2829295000000.0
2081.0,2941518000000.0,3414088700000.0,3347000900000.0,3208788600000.0,2747860300000.0,2795547400000.0
2082.0,2924789400000.0,3411781000000.0,3333416800000.0,3178407000000.0,2734235600000.0,2796392300000.0
2083.0,2916920300000.0,3411235300000.0,3319849500000.0,3161911200000.0,2719113500000.0,2785344500000.0
2084.0,2898832700000.0,3403984400000.0,3308603000000.0,3130445300000.0,2705136800000.0,2761392700000.0
2085.0,2878802000000.0,3385829000000.0,3304681000000.0,3114828000000.0,2688560700000.0,2711687300000.0
2086.0,2849435800000.0,3373924000000.0,3288536700000.0,3111119700000.0,2665541000000.0,2692112400000.0
2087.0,2824447700000.0,3323916500000.0,3260367000000.0,3109619200000.0,2648440300000.0,2658158200000.0
2088.0,2813405400000.0,3303404500000.0,3251367300000.0,3099893200000.0,2608779500000.0,2629473400000.0
2089.0,2807852400000.0,3287419500000.0,3237040000000.0,3065481500000.0,2582549600000.0,2609483000000.0
2090.0,2788773600000.0,3271398500000.0,3243182400000.0,3051613800000.0,2574764000000.0,2577216300000.0
2091.0,2760770800000.0,3248825000000.0,3239338000000.0,3037242300000.0,2543147500000.0,2564778000000.0
2092.0,2724279000000.0,3238909000000.0,3227383000000.0,3018458400000.0,2527217000000.0,2550606900000.0
2093.0,2723247600000.0,3214021200000.0,3229224500000.0,3002337000000.0,2518563200000.0,2526237400000.0
2094.0,2718920600000.0,3207726000000.0,3211134200000.0,2989159000000.0,2501381500000.0,2520095700000.0
2095.0,2715657400000.0,3204082600000.0,3194911000000.0,2986284200000.0,2480148800000.0,2501280500000.0
2096.0,2708665800000.0,3197124500000.0,3189557700000.0,2988553300000.0,2467749200000.0,2483268400000.0
2097.0,2685936900000.0,3184427800000.0,3186307400000.0,2970644600000.0,2448715200000.0,2456452900000.0
2098.0,2671185800000.0,3183165300000.0,3185343000000.0,2968468600000.0,2433529000000.0,2442786000000.0
