time,GFDL-CM3,CCSM4,CANESM2,GISS-E2-R,IPSL-CM5A-LR,CSIRO-MK3-6-0,CNRM-CM5,GFDL-ESM2G,MPI-ESM-LR,NORESM1-M
2048.0,24351219000000.0,25737388000000.0,24542400000000.0,24860693000000.0,25353756000000.0,25419390000000.0,24317940000000.0,24990917000000.0,25335958000000.0,24876335000000.0
2049.0,24239512000000.0,25647880000000.0,24408207000000.0,24680348000000.0,25292612000000.0,25375619000000.0,24311513000000.0,24948301000000.0,25172342000000.0,24801482000000.0
2050.0,24069685000000.0,25601681000000.0,24336342000000.0,24614880000000.0,25188880000000.0,25316010000000.0,24137853000000.0,24876767000000.0,25053756000000.0,24731644000000.0
2051.0,23965040000000.0,25521765000000.0,24302588000000.0,24578827000000.0,25104384000000.0,25281075000000.0,23982376000000.0,24767732000000.0,24941066000000.0,24636016000000.0
2052.0,23803592000000.0,25492478000000.0,24266148000000.0,24552027000000.0,24951128000000.0,25259930000000.0,23916356000000.0,24725374000000.0,24884757000000.0,24493345000000.0
2053.0,23673730000000.0,25433903000000.0,24132022000000.0,24474278000000.0,24862223000000.0,25220434000000.0,23811368000000.0,24721672000000.0,24814040000000.0,24392460000000.0
2054.0,23568420000000.0,25358848000000.0,24051284000000.0,24455242000000.0,24740880000000.0,25159410000000.0,23704059000000.0,24670850000000.0,24693885000000.0,24293327000000.0
2055.0,23504250000000.0,25281398000000.0,23942857000000.0,24345170000000.0,24693218000000.0,25117027000000.0,23645660000000.0,24635448000000.0,24687116000000.0,24258976000000.0
2056.0,23350754000000.0,25234650000000.0,23726735000000.0,24251201000000.0,24629932000000.0,25050248000000.0,23469148000000.0,24592052000000.0,24626153000000.0,24165580000000.0
2057.0,23149660000000.0,25159547000000.0,23654916000000.0,24204672000000.0,24474519000000.0,25006260000000.0,23400390000000.0,24546166000000.0,24522770000000.0,24021473000000.0
2058.0,22967409000000.0,25038825000000.0,23554815000000.0,24156150000000.0,24322419000000.0,24914998000000.0,23201900000000.0,24470048000000.0,24431024000000.0,23928213000000.0
2059.0,22745012000000.0,24993207000000.0,23448194000000.0,24131215000000.0,24184556000000.0,24833505000000.0,23066892000000.0,24402087000000.0,24377265000000.0,23880287000000.0
2060.0,22550208000000.0,24955640000000.0,23293770000000.0,23970567000000.0,24020169000000.0,24755118000000.0,22913711000000.0,24298040000000.0,24309091000000.0,23723824000000.0
2061.0,22344630000000.0,24910984000000.0,23135567000000.0,23812040000000.0,23838996000000.0,24673744000000.0,22789055000000.0,24235477000000.0,24238826000000.0,23659704000000.0
2062.0,22238470000000.0,24898710000000.0,23024993000000.0,23735464000000.0,23780217000000.0,24556476000000.0,22538270000000.0,24195620000000.0,24087777000000.0,23564732000000.0
2063.0,22166978000000.0,24804321000000.0,22920213000000.0,23643705000000.0,23653770000000.0,24517701000000.0,22327197000000.0,24139077000000.0,23953570000000.0,23440277000000.0
