time,CCSM4,CESM1-CAM5,GISS-E2-R,CANESM2,GFDL-CM3,CNRM-CM5,NORESM1-M,MPI-ESM-LR,GFDL-ESM2G,IPSL-CM5A-LR,CSIRO-MK3-6-0
2019.0,26780020000000.0,26780020000000.0,26780020000000.0,26780020000000.0,26780020000000.0,26780020000000.0,26780020000000.0,26780020000000.0,26780020000000.0,26780020000000.0,26780020000000.0
2020.0,26796683000000.0,26796683000000.0,26796683000000.0,26796683000000.0,26796683000000.0,26796683000000.0,26796683000000.0,26796683000000.0,26796683000000.0,26796683000000.0,26796683000000.0
2021.0,26795137000000.0,26699117000000.0,26798149000000.0,26768344000000.0,26678986000000.0,26713258000000.0,26714476000000.0,26757840000000.0,26761948000000.0,26762048000000.0,26790580000000.0
2022.0,26777303000000.0,26567948000000.0,26746263000000.0,26697053000000.0,26612727000000.0,26581899000000.0,26700224000000.0,26751753000000.0,26741800000000.0,26696695000000.0,26749008000000.0
2023.0,26754907000000.0,26523216000000.0,26743985000000.0,26666057000000.0,26534606000000.0,26541113000000.0,26582637000000.0,26716949000000.0,26713124000000.0,26643943000000.0,26765087000000.0
2024.0,26740072000000.0,26492308000000.0,26730719000000.0,26601731000000.0,26446060000000.0,26528964000000.0,26451282000000.0,26674329000000.0,26700094000000.0,26575284000000.0,26728922000000.0
2025.0,26678514000000.0,26388352000000.0,26621828000000.0,26519737000000.0,26395248000000.0,26524140000000.0,26366560000000.0,26669470000000.0,26638423000000.0,26519836000000.0,26644440000000.0
2026.0,26613130000000.0,26275962000000.0,26621170000000.0,26453448000000.0,26288335000000.0,26544544000000.0,26333569000000.0,26646082000000.0,26599756000000.0,26416446000000.0,26542273000000.0
2027.0,26519670000000.0,26184658000000.0,26669020000000.0,26441308000000.0,26175630000000.0,26482860000000.0,26274846000000.0,26633474000000.0,26550440000000.0,26405566000000.0,26471339000000.0
2028.0,26433372000000.0,26118858000000.0,26577312000000.0,26355901000000.0,26010978000000.0,26371020000000.0,26181456000000.0,26530860000000.0,26513260000000.0,26355406000000.0,26413954000000.0
2029.0,26401281000000.0,26077915000000.0,26470404000000.0,26277185000000.0,25918343000000.0,26303764000000.0,26087973000000.0,26454744000000.0,26505940000000.0,26194064000000.0,26397135000000.0
2030.0,26338134000000.0,25997611000000.0,26419185000000.0,26232488000000.0,25809666000000.0,26262634000000.0,26022578000000.0,26421724000000.0,26447010000000.0,26049155000000.0,26375692000000.0
2031.0,26317733000000.0,25962677000000.0,26445707000000.0,26084170000000.0,25688386000000.0,26216262000000.0,25967740000000.0,26446727000000.0,26410672000000.0,25967810000000.0,26268244000000.0
2032.0,26289784000000.0,25925664000000.0,26284367000000.0,25973253000000.0,25659556000000.0,26249626000000.0,25916491000000.0,26352420000000.0,26392511000000.0,25828488000000.0,26230166000000.0
2033.0,26237440000000.0,25761998000000.0,26258990000000.0,25895780000000.0,25562490000000.0,26256807000000.0,25914723000000.0,26228598000000.0,26395428000000.0,25776903000000.0,26194353000000.0
2034.0,26231764000000.0,25707604000000.0,26197124000000.0,25779304000000.0,25496482000000.0,26230150000000.0,25839024000000.0,26240550000000.0,26369034000000.0,25657738000000.0,26198757000000.0
2035.0,26233117000000.0,25588956000000.0,26090634000000.0,25797604000000.0,25412044000000.0,26143063000000.0,25689747000000.0,26109375000000.0,26356470000000.0,25552503000000.0,26097760000000.0
2036.0,26177188000000.0,25468495000000.0,26049163000000.0,25720909000000.0,25369552000000.0,26148520000000.0,25542259000000.0,26040360000000.0,26358808000000.0,25386165000000.0,26057445000000.0
2037.0,26095793000000.0,25422058000000.0,26016770000000.0,25727582000000.0,25269916000000.0,26084560000000.0,25489677000000.0,26033535000000.0,26350356000000.0,25257981000000.0,26038768000000.0
2038.0,26077894000000.0,25378897000000.0,26000927000000.0,25657394000000.0,25236494000000.0,26066460000000.0,25466707000000.0,25991250000000.0,26334135000000.0,25135440000000.0,26015200000000.0
2039.0,25983285000000.0,25241045000000.0,26030738000000.0,25628034000000.0,25149483000000.0,26025270000000.0,25401678000000.0,25891002000000.0,26331067000000.0,24986526000000.0,25904540000000.0
2040.0,25896109000000.0,25093818000000.0,25965558000000.0,25598968000000.0,24974157000000.0,25969608000000.0,25298374000000.0,25800028000000.0,26301245000000.0,24888430000000.0,25829365000000.0
2041.0,25821708000000.0,25041522000000.0,25956810000000.0,25622586000000.0,24888520000000.0,25885256000000.0,25209275000000.0,25759333000000.0,26259738000000.0,24817697000000.0,25808932000000.0
2042.0,25769464000000.0,24919094000000.0,25926710000000.0,25589117000000.0,24758471000000.0,25897250000000.0,25100127000000.0,25724816000000.0,26231915000000.0,24851264000000.0,25795515000000.0
2043.0,25711815000000.0,24786267000000.0,25921887000000.0,25492258000000.0,24617490000000.0,25823122000000.0,25015997000000.0,25685763000000.0,26159650000000.0,24774705000000.0,25772104000000.0
2044.0,25652326000000.0,24652263000000.0,25842179000000.0,25407405000000.0,24524670000000.0,25747742000000.0,24915140000000.0,25586605000000.0,26066064000000.0,24698654000000.0,25757760000000.0
2045.0,25558098000000.0,24553479000000.0,25774128000000.0,25332596000000.0,24348692000000.0,25644510000000.0,24797375000000.0,25430319000000.0,26010477000000.0,24576818000000.0,25747341000000.0
2046.0,25446765000000.0,24498925000000.0,25850313000000.0,25229617000000.0,24254379000000.0,25645900000000.0,24728178000000.0,25323626000000.0,25909053000000.0,24454898000000.0,25635246000000.0
2047.0,25363992000000.0,24438274000000.0,25855334000000.0,25226818000000.0,24150796000000.0,25525345000000.0,24605234000000.0,25219280000000.0,25848730000000.0,24328297000000.0,25587754000000.0
2048.0,25348398000000.0,24364640000000.0,25786604000000.0,25169257000000.0,24060931000000.0,25547418000000.0,24621078000000.0,25237278000000.0,25747210000000.0,24214010000000.0,25567750000000.0
2049.0,25294019000000.0,24219333000000.0,25715250000000.0,25168508000000.0,23980631000000.0,25520094000000.0,24563800000000.0,25190579000000.0,25728014000000.0,24130617000000.0,25519286000000.0
2050.0,25254620000000.0,24189577000000.0,25590250000000.0,25175440000000.0,23864973000000.0,25419967000000.0,24463890000000.0,25184258000000.0,25650980000000.0,24062835000000.0,25456173000000.0
2051.0,25264885000000.0,24158983000000.0,25564973000000.0,25046672000000.0,23755072000000.0,25422444000000.0,24336251000000.0,25125475000000.0,25643096000000.0,24039362000000.0,25397916000000.0
2052.0,25264984000000.0,24052935000000.0,25512666000000.0,24964530000000.0,23629117000000.0,25280410000000.0,24261635000000.0,25030214000000.0,25581810000000.0,23901680000000.0,25381675000000.0
2053.0,25214149000000.0,23943189000000.0,25455713000000.0,24878353000000.0,23498181000000.0,25096167000000.0,24273855000000.0,24983720000000.0,25604502000000.0,23766410000000.0,25334230000000.0
2054.0,25189402000000.0,23865321000000.0,25369898000000.0,24791306000000.0,23300200000000.0,25108234000000.0,24190694000000.0,24932709000000.0,25592072000000.0,23641370000000.0,25257340000000.0
2055.0,25103272000000.0,23729254000000.0,25393262000000.0,24758077000000.0,23159649000000.0,25057910000000.0,24067470000000.0,24889466000000.0,25613190000000.0,23575352000000.0,25220323000000.0
2056.0,25148999000000.0,23598046000000.0,25336805000000.0,24644554000000.0,23027860000000.0,24930041000000.0,24047040000000.0,24829042000000.0,25577230000000.0,23536170000000.0,25187565000000.0
2057.0,25160596000000.0,23467110000000.0,25292515000000.0,24518987000000.0,22891184000000.0,24782832000000.0,24059589000000.0,24804353000000.0,25553367000000.0,23483753000000.0,25117540000000.0
2058.0,25140239000000.0,23312906000000.0,25233482000000.0,24496440000000.0,22821349000000.0,24768718000000.0,23962600000000.0,24745934000000.0,25529676000000.0,23328465000000.0,25041930000000.0
2059.0,25116910000000.0,23152057000000.0,25198936000000.0,24460887000000.0,22696212000000.0,24692710000000.0,23877338000000.0,24742000000000.0,25484050000000.0,23331238000000.0,24993092000000.0
2060.0,25022452000000.0,22970510000000.0,25042250000000.0,24445295000000.0,22635442000000.0,24445400000000.0,23781483000000.0,24718206000000.0,25497598000000.0,23154378000000.0,24915734000000.0
2061.0,25035150000000.0,22801738000000.0,25003800000000.0,24387850000000.0,22512205000000.0,24380535000000.0,23628966000000.0,24582623000000.0,25472753000000.0,23077330000000.0,24942110000000.0
2062.0,24929578000000.0,22631588000000.0,25055570000000.0,24303210000000.0,22387825000000.0,24320395000000.0,23569020000000.0,24534028000000.0,25445900000000.0,23020557000000.0,24897760000000.0
2063.0,24943836000000.0,22416068000000.0,24928372000000.0,24293195000000.0,22243694000000.0,24248043000000.0,23492016000000.0,24466522000000.0,25406703000000.0,22982022000000.0,24860676000000.0
2064.0,24910687000000.0,22181300000000.0,24836007000000.0,24233269000000.0,22076950000000.0,24078950000000.0,23427591000000.0,24369143000000.0,25343562000000.0,22898446000000.0,24828801000000.0
2065.0,24939208000000.0,21959167000000.0,24793452000000.0,24203032000000.0,21952025000000.0,23939806000000.0,23323814000000.0,24346750000000.0,25308156000000.0,22833208000000.0,24750181000000.0
2066.0,24919981000000.0,21834982000000.0,24790130000000.0,24138882000000.0,21831344000000.0,23874956000000.0,23264315000000.0,24302965000000.0,25322276000000.0,22808262000000.0,24738598000000.0
2067.0,24927453000000.0,21658266000000.0,24758366000000.0,24088446000000.0,21626473000000.0,23785074000000.0,23210016000000.0,24252336000000.0,25289023000000.0,22665903000000.0,24687040000000.0
2068.0,24915388000000.0,21575496000000.0,24691920000000.0,23980128000000.0,21455494000000.0,23819874000000.0,23105242000000.0,24168203000000.0,25197320000000.0,22618330000000.0,24624245000000.0
2069.0,24812760000000.0,21421086000000.0,24646326000000.0,23946450000000.0,21316598000000.0,23734375000000.0,23106266000000.0,24135720000000.0,25179101000000.0,22538753000000.0,24580490000000.0
2070.0,24728486000000.0,21276490000000.0,24674501000000.0,23856830000000.0,21246954000000.0,23663166000000.0,23030010000000.0,24102369000000.0,25116488000000.0,22455888000000.0,24522739000000.0
2071.0,24689790000000.0,21230197000000.0,24700411000000.0,23814216000000.0,21121657000000.0,23539990000000.0,22923550000000.0,24055235000000.0,25126133000000.0,22324921000000.0,24464220000000.0
2072.0,24519576000000.0,21064808000000.0,24687660000000.0,23792166000000.0,20943250000000.0,23496665000000.0,22860390000000.0,23970955000000.0,25157976000000.0,22183542000000.0,24437722000000.0
2073.0,24488983000000.0,20930017000000.0,24644440000000.0,23766659000000.0,20847410000000.0,23387523000000.0,22765252000000.0,23901013000000.0,25136260000000.0,22040415000000.0,24403960000000.0
2074.0,24452088000000.0,20801084000000.0,24630460000000.0,23690662000000.0,20694178000000.0,23326286000000.0,22708797000000.0,23894765000000.0,25116094000000.0,21912367000000.0,24386373000000.0
2075.0,24375410000000.0,20660191000000.0,24593383000000.0,23675934000000.0,20623695000000.0,23241990000000.0,22652327000000.0,23780047000000.0,25145773000000.0,21835985000000.0,24354134000000.0
2076.0,24296282000000.0,20558809000000.0,24417120000000.0,23565603000000.0,20425453000000.0,23135040000000.0,22624722000000.0,23704105000000.0,25118210000000.0,21764212000000.0,24322014000000.0
2077.0,24285215000000.0,20432120000000.0,24366532000000.0,23524033000000.0,20353248000000.0,23046086000000.0,22542211000000.0,23678310000000.0,25119137000000.0,21723104000000.0,24291945000000.0
2078.0,24319688000000.0,20248321000000.0,24295382000000.0,23520138000000.0,20224187000000.0,23086234000000.0,22489728000000.0,23657820000000.0,25140425000000.0,21649762000000.0,24195354000000.0
2079.0,24231073000000.0,20100592000000.0,24213121000000.0,23351953000000.0,20065726000000.0,22965473000000.0,22370383000000.0,23641155000000.0,25072635000000.0,21542550000000.0,24164512000000.0
2080.0,24227363000000.0,19925438000000.0,24213606000000.0,23242966000000.0,19955215000000.0,22915693000000.0,22323697000000.0,23572427000000.0,25003510000000.0,21470252000000.0,24084421000000.0
2081.0,24161794000000.0,19786516000000.0,24134782000000.0,23116510000000.0,19858696000000.0,22806250000000.0,22161943000000.0,23495420000000.0,24950430000000.0,21355470000000.0,24045486000000.0
2082.0,24095377000000.0,19672777000000.0,24068934000000.0,23113660000000.0,19708527000000.0,22716740000000.0,22086680000000.0,23438540000000.0,24920967000000.0,21350098000000.0,24000437000000.0
2083.0,24048073000000.0,19556918000000.0,24074540000000.0,23006544000000.0,19614371000000.0,22644355000000.0,21980665000000.0,23361800000000.0,24891112000000.0,21270823000000.0,23932283000000.0
2084.0,24052460000000.0,19422301000000.0,24089113000000.0,22913797000000.0,19540550000000.0,22647908000000.0,21842759000000.0,23269850000000.0,24848700000000.0,21230789000000.0,23884573000000.0
2085.0,24056305000000.0,19360160000000.0,24050869000000.0,22843300000000.0,19419026000000.0,22549526000000.0,21798404000000.0,23261620000000.0,24815660000000.0,21126508000000.0,23883898000000.0
2086.0,24010520000000.0,19251721000000.0,24018585000000.0,22699242000000.0,19285833000000.0,22484926000000.0,21731176000000.0,23151845000000.0,24773640000000.0,21084592000000.0,23873966000000.0
2087.0,23972708000000.0,19155342000000.0,23979420000000.0,22610795000000.0,19124082000000.0,22385103000000.0,21682178000000.0,23041703000000.0,24770094000000.0,21077655000000.0,23908888000000.0
2088.0,23912365000000.0,19035173000000.0,23986472000000.0,22568411000000.0,19027260000000.0,22365906000000.0,21582242000000.0,23003120000000.0,24738592000000.0,20974860000000.0,23814820000000.0
2089.0,23843878000000.0,18908835000000.0,23908412000000.0,22517419000000.0,18949146000000.0,22286801000000.0,21462228000000.0,22977488000000.0,24728132000000.0,20963860000000.0,23721836000000.0
2090.0,23728360000000.0,18692065000000.0,23863958000000.0,22504861000000.0,18843181000000.0,22115976000000.0,21343770000000.0,22914248000000.0,24688540000000.0,20901827000000.0,23690767000000.0
2091.0,23668135000000.0,18494356000000.0,23902699000000.0,22328793000000.0,18709809000000.0,22092610000000.0,21223287000000.0,22895730000000.0,24676443000000.0,20863768000000.0,23594891000000.0
2092.0,23672673000000.0,18296393000000.0,23903010000000.0,22267591000000.0,18586770000000.0,21997371000000.0,21073351000000.0,22836127000000.0,24659368000000.0,20801177000000.0,23590594000000.0
2093.0,23699583000000.0,18081833000000.0,23872026000000.0,22172910000000.0,18478994000000.0,21913416000000.0,20984585000000.0,22848607000000.0,24621458000000.0,20732623000000.0,23561918000000.0
2094.0,23570540000000.0,17903508000000.0,23835364000000.0,22164420000000.0,18445660000000.0,21834326000000.0,20936636000000.0,22798880000000.0,24595726000000.0,20671190000000.0,23468293000000.0
2095.0,23514648000000.0,17752654000000.0,23811689000000.0,22130444000000.0,18284695000000.0,21722785000000.0,20903706000000.0,22750737000000.0,24619455000000.0,20565652000000.0,23450860000000.0
2096.0,23511897000000.0,17645070000000.0,23853790000000.0,22013691000000.0,18267846000000.0,21709512000000.0,20881414000000.0,22743544000000.0,24628209000000.0,20495158000000.0,23377186000000.0
2097.0,23483610000000.0,17501582000000.0,23792917000000.0,21955038000000.0,18151127000000.0,21628132000000.0,20819739000000.0,22702704000000.0,24629528000000.0,20411836000000.0,23371870000000.0
2098.0,23477266000000.0,17367405000000.0,23744091000000.0,21903295000000.0,18044160000000.0,21577510000000.0,20734678000000.0,22626114000000.0,24592744000000.0,20290803000000.0,23275137000000.0
2099.0,23359710000000.0,17192214000000.0,23723750000000.0,21862717000000.0,17946923000000.0,21488959000000.0,20651981000000.0,22604482000000.0,24569327000000.0,20243559000000.0,23242960000000.0
2100.0,23377868000000.0,17057529000000.0,23684004000000.0,21815743000000.0,17829531000000.0,21388767000000.0,20600536000000.0,22583250000000.0,24549639000000.0,20212374000000.0,23200264000000.0
