time,MPI-ESM-LR,CANESM2,CESM1-CAM5
2000.0,45424260000000.0,45427575000000.0,45427584000000.0
2001.0,45418920000000.0,45422257000000.0,45422265000000.0
2002.0,45414490000000.0,45417866000000.0,45417870000000.0
2003.0,45295384000000.0,45298770000000.0,45298777000000.0
2004.0,45261154000000.0,45264600000000.0,45264610000000.0
2005.0,45235028000000.0,45238510000000.0,45238513000000.0
2006.0,45265430000000.0,45268920000000.0,45268930000000.0
2007.0,45167755000000.0,45171224000000.0,45171232000000.0
2008.0,45113100000000.0,45116597000000.0,45116606000000.0
2009.0,45094804000000.0,45098340000000.0,45098348000000.0
2010.0,45010783000000.0,45014336000000.0,45014344000000.0
2011.0,44985538000000.0,44989130000000.0,44989137000000.0
2012.0,44920350000000.0,44923957000000.0,44923960000000.0
2013.0,44927145000000.0,44930800000000.0,44930806000000.0
2014.0,44828600000000.0,44832265000000.0,44832274000000.0
2015.0,44912960000000.0,44916684000000.0,44916692000000.0
2016.0,44883770000000.0,44887513000000.0,44887520000000.0
2017.0,44896686000000.0,44900450000000.0,44900456000000.0
2018.0,44756562000000.0,44760340000000.0,44760346000000.0
2019.0,44718906000000.0,44722698000000.0,44722706000000.0
2020.0,44702720000000.0,44706537000000.0,44706545000000.0
2021.0,44669720000000.0,44504960000000.0,44574800000000.0
2022.0,44616833000000.0,44425946000000.0,44484420000000.0
2023.0,44602967000000.0,44357164000000.0,44418050000000.0
2024.0,44566240000000.0,44264893000000.0,44319120000000.0
2025.0,44589280000000.0,44264264000000.0,44214075000000.0
2026.0,44546870000000.0,44199886000000.0,44090670000000.0
2027.0,44490128000000.0,44203644000000.0,43927378000000.0
2028.0,44465062000000.0,44234866000000.0,43789163000000.0
2029.0,44465234000000.0,44124737000000.0,43669994000000.0
2030.0,44460260000000.0,43998375000000.0,43542530000000.0
2031.0,44414670000000.0,43874995000000.0,43340444000000.0
2032.0,44352570000000.0,43785086000000.0,43122480000000.0
2033.0,44358430000000.0,43558837000000.0,43004280000000.0
2034.0,44239577000000.0,43460670000000.0,42904735000000.0
2035.0,44193570000000.0,43276543000000.0,42706170000000.0
2036.0,44161240000000.0,43170810000000.0,42554985000000.0
2037.0,44078037000000.0,43006095000000.0,42470872000000.0
2038.0,43983686000000.0,42775685000000.0,42386380000000.0
2039.0,43957245000000.0,42629253000000.0,42264570000000.0
2040.0,43945514000000.0,42460270000000.0,42141250000000.0
2041.0,43867170000000.0,42418817000000.0,41826710000000.0
2042.0,43836198000000.0,42275644000000.0,41502995000000.0
2043.0,43755567000000.0,42133633000000.0,41227676000000.0
