time,NORESM1-M,MPI-ESM-LR,CSIRO-MK3-6-0,CESM1-CAM5
2085.0,35940244000000.0,38352154000000.0,32217530000000.0,29749575000000.0
2086.0,35804097000000.0,38305823000000.0,31917276000000.0,29409585000000.0
2087.0,35684996000000.0,38102860000000.0,31621500000000.0,29088998000000.0
2088.0,35522830000000.0,37998507000000.0,31331410000000.0,28800256000000.0
2089.0,35400810000000.0,37805100000000.0,31059492000000.0,28517954000000.0
2090.0,35291247000000.0,37703387000000.0,30833237000000.0,28132445000000.0
2091.0,35153982000000.0,37563790000000.0,30456725000000.0,27804087000000.0
2092.0,35025498000000.0,37426090000000.0,30188706000000.0,27458693000000.0
2093.0,34866318000000.0,37258030000000.0,29858726000000.0,27237180000000.0
2094.0,34675570000000.0,37127258000000.0,29561014000000.0,27018354000000.0
2095.0,34522263000000.0,36918290000000.0,29302544000000.0,26756290000000.0
2096.0,34427692000000.0,36667113000000.0,29118420000000.0,26552413000000.0
2097.0,34332966000000.0,36539858000000.0,28909058000000.0,26275341000000.0
2098.0,34250100000000.0,36476088000000.0,28632454000000.0,25969344000000.0
2099.0,33999949000000.0,36384420000000.0,28298113000000.0,25590147000000.0
2100.0,33981758000000.0,36241202000000.0,27973992000000.0,25259036000000.0
2101.0,33887305000000.0,36083070000000.0,27733973000000.0,24978911000000.0
2102.0,33730186000000.0,36004930000000.0,27421020000000.0,24728459000000.0
2103.0,33590448000000.0,35839700000000.0,27164007000000.0,24416623000000.0
2104.0,33446057000000.0,35750880000000.0,26828306000000.0,24128745000000.0
2105.0,33374962000000.0,35671784000000.0,26585923000000.0,23798881000000.0
2106.0,33167449000000.0,35645846000000.0,26335787000000.0,23528284000000.0
2107.0,33049222000000.0,35615740000000.0,26033130000000.0,23205824000000.0
2108.0,32907140000000.0,35509015000000.0,25737386000000.0,22819824000000.0
2109.0,32708227000000.0,35386374000000.0,25483977000000.0,22472458000000.0
2110.0,32590803000000.0,35354288000000.0,25142642000000.0,22267774000000.0
2111.0,32532257000000.0,35198000000000.0,24952430000000.0,22044920000000.0
2112.0,32345910000000.0,35113060000000.0,24585140000000.0,21744010000000.0
2113.0,32265254000000.0,35021251000000.0,24288602000000.0,21473895000000.0
2114.0,32113378000000.0,34886417000000.0,23984354000000.0,21211174000000.0
2115.0,31894496000000.0,34763675000000.0,23622470000000.0,20770220000000.0
2116.0,31685809000000.0,34705091000000.0,23414016000000.0,20430224000000.0
