time,CESM2-WACCM,MRI-ESM2-0,IPSL-CM6A-LR,CANESM5
2068.0,33711265000000.0,36196546000000.0,35570726000000.0,36933997000000.0
2069.0,33461407000000.0,35989603000000.0,35354317000000.0,36601440000000.0
2070.0,33112076000000.0,35761530000000.0,35153045000000.0,36348333000000.0
2071.0,32620228000000.0,35545080000000.0,34933980000000.0,36098420000000.0
2072.0,32153516000000.0,35321308000000.0,34665226000000.0,35572177000000.0
2073.0,31789622000000.0,35083790000000.0,34330397000000.0,35262147000000.0
2074.0,31525557000000.0,34875252000000.0,34075836000000.0,35100912000000.0
2075.0,31199571000000.0,34569270000000.0,33893556000000.0,34932324000000.0
2076.0,30918081000000.0,34314719000000.0,33754903000000.0,34738715000000.0
2077.0,30599117000000.0,34052180000000.0,33454673000000.0,34389166000000.0
2078.0,30333014000000.0,33782460000000.0,33182141000000.0,34004930000000.0
2079.0,30001129000000.0,33452447000000.0,33020325000000.0,33684753000000.0
2080.0,29631724000000.0,33235942000000.0,32862263000000.0,33538055000000.0
2081.0,29418072000000.0,32988367000000.0,32764078000000.0,33329215000000.0
2082.0,29174540000000.0,32760016000000.0,32573565000000.0,33062980000000.0
2083.0,28853989000000.0,32526260000000.0,32374330000000.0,32788756000000.0
2084.0,28382658000000.0,32201217000000.0,32198726000000.0,32453324000000.0
2085.0,28135236000000.0,31900341000000.0,31999510000000.0,32165985000000.0
2086.0,27900720000000.0,31721364000000.0,31807345000000.0,31919943000000.0
2087.0,27646402000000.0,31619760000000.0,31611695000000.0,31759120000000.0
2088.0,27379540000000.0,31502042000000.0,31528755000000.0,31517930000000.0
2089.0,27056188000000.0,31356057000000.0,31366016000000.0,31294837000000.0
2090.0,26701166000000.0,31055373000000.0,31118187000000.0,31056017000000.0
2091.0,26263940000000.0,30894770000000.0,30973282000000.0,30852065000000.0
2092.0,25900886000000.0,30686260000000.0,30794119000000.0,30677588000000.0
2093.0,25621530000000.0,30495004000000.0,30526933000000.0,30385757000000.0
2094.0,25295277000000.0,30249980000000.0,30409916000000.0,30104388000000.0
2095.0,24982920000000.0,30047380000000.0,30203932000000.0,29813759000000.0
2096.0,24602814000000.0,29903198000000.0,30033895000000.0,29440682000000.0
2097.0,24241452000000.0,29739278000000.0,29873985000000.0,29156629000000.0
2098.0,23931684000000.0,29648094000000.0,29707509000000.0,28966851000000.0
2099.0,23656281000000.0,29537230000000.0,29571490000000.0,28711164000000.0
2100.0,23258236000000.0,29336822000000.0,29444991000000.0,28453902000000.0
2101.0,22998470000000.0,29121732000000.0,29265838000000.0,28246836000000.0
2102.0,22628664000000.0,28903339000000.0,29062077000000.0,28094050000000.0
2103.0,22308951000000.0,28705563000000.0,28918036000000.0,27857393000000.0
2104.0,22108055000000.0,28504138000000.0,28761785000000.0,27689853000000.0
2105.0,21880466000000.0,28261778000000.0,28674085000000.0,27497520000000.0
2106.0,21676930000000.0,28076652000000.0,28509630000000.0,27317920000000.0
2107.0,21394054000000.0,27889697000000.0,28373435000000.0,27157347000000.0
2108.0,21089856000000.0,27614488000000.0,28209465000000.0,26976950000000.0
2109.0,20797520000000.0,27385055000000.0,27994874000000.0,26787373000000.0
2110.0,20542946000000.0,27174927000000.0,27892252000000.0,26513202000000.0
2111.0,20377718000000.0,26935359000000.0,27781591000000.0,26374159000000.0
2112.0,20148543000000.0,26701800000000.0,27670736000000.0,26124694000000.0
2113.0,19827857000000.0,26557920000000.0,27542590000000.0,25916101000000.0
2114.0,19623567000000.0,26317968000000.0,27419038000000.0,25810520000000.0
2115.0,19365345000000.0,26092713000000.0,27395065000000.0,25673584000000.0
2116.0,19183234000000.0,25917947000000.0,27277551000000.0,25528482000000.0
2117.0,18984338000000.0,25823520000000.0,27194910000000.0,25432758000000.0
2118.0,18724235000000.0,25599260000000.0,27150873000000.0,25278982000000.0
2119.0,18516170000000.0,25385205000000.0,27019885000000.0,25216676000000.0
2120.0,18355669000000.0,25160837000000.0,26845165000000.0,25016368000000.0
2121.0,18157312000000.0,25000663000000.0,26738558000000.0,24870878000000.0
2122.0,17987797000000.0,24821430000000.0,26547445000000.0,24775125000000.0
2123.0,17806628000000.0,24713921000000.0,26410509000000.0,24564346000000.0
2124.0,17663990000000.0,24515206000000.0,26268238000000.0,24463152000000.0
2125.0,17469877000000.0,24292780000000.0,26132884000000.0,24343847000000.0
2126.0,17282158000000.0,24152755000000.0,26102404000000.0,24218850000000.0
2127.0,17177774000000.0,24000812000000.0,25975830000000.0,24076922000000.0
2128.0,16986401000000.0,23897490000000.0,25671152000000.0,23929680000000.0
2129.0,16812540000000.0,23793722000000.0,25473015000000.0,23784896000000.0
2130.0,16678144000000.0,23595426000000.0,25309603000000.0,23678680000000.0
2131.0,16551523000000.0,23378030000000.0,25262213000000.0,23560980000000.0
2132.0,16400535000000.0,23192465000000.0,25167791000000.0,23402790000000.0
2133.0,16223427000000.0,22994930000000.0,25029090000000.0,23283284000000.0
2134.0,16105326000000.0,22680846000000.0,24866156000000.0,23159688000000.0
2135.0,15953761000000.0,22501678000000.0,24714196000000.0,23059707000000.0
2136.0,15789896000000.0,22334818000000.0,24507350000000.0,22968170000000.0
2137.0,15616842000000.0,22184402000000.0,24426335000000.0,22902978000000.0
2138.0,15469804000000.0,22089092000000.0,24375294000000.0,22777568000000.0
2139.0,15305292000000.0,22024555000000.0,24251910000000.0,22687934000000.0
2140.0,15200808000000.0,21908220000000.0,24180366000000.0,22639666000000.0
2141.0,15093541000000.0,21739986000000.0,24096308000000.0,22558871000000.0
2142.0,14976681000000.0,21564987000000.0,24024862000000.0,22486658000000.0
2143.0,14892127000000.0,21435056000000.0,23949168000000.0,22406750000000.0
2144.0,14810124000000.0,21293389000000.0,23857201000000.0,22289333000000.0
2145.0,14734953000000.0,21099807000000.0,23827164000000.0,22233238000000.0
2146.0,14610591000000.0,20940134000000.0,23757188000000.0,22111704000000.0
2147.0,14522596000000.0,20801758000000.0,23651917000000.0,22083145000000.0
2148.0,14381287000000.0,20657425000000.0,23525207000000.0,22028894000000.0
2149.0,14285458000000.0,20541335000000.0,23434461000000.0,21953587000000.0
2150.0,14193809000000.0,20435163000000.0,23203260000000.0,21833632000000.0
2151.0,14087071000000.0,20306261000000.0,23110542000000.0,21832963000000.0
2152.0,13999032000000.0,20194494000000.0,23026683000000.0,21757030000000.0
2153.0,13838467000000.0,20111380000000.0,22957938000000.0,21691810000000.0
2154.0,13733752000000.0,20060985000000.0,22913674000000.0,21659644000000.0
2155.0,13627510000000.0,19893740000000.0,22835546000000.0,21612300000000.0
2156.0,13537425000000.0,19781346000000.0,22773307000000.0,21563227000000.0
2157.0,13436754000000.0,19738544000000.0,22655955000000.0,21548207000000.0
2158.0,13320369000000.0,19650205000000.0,22589833000000.0,21494273000000.0
2159.0,13196330000000.0,19517506000000.0,22448871000000.0,21458556000000.0
2160.0,13072929000000.0,19405760000000.0,22393135000000.0,21411494000000.0
2161.0,12982756000000.0,19303640000000.0,22342990000000.0,21370327000000.0
2162.0,12869327000000.0,19182278000000.0,22283712000000.0,21268282000000.0
2163.0,12805764000000.0,19076288000000.0,22220752000000.0,21186803000000.0
2164.0,12732111000000.0,19026036000000.0,22162543000000.0,21109000000000.0
2165.0,12652421000000.0,18955356000000.0,22090126000000.0,21020562000000.0
2166.0,12590861000000.0,18819910000000.0,22010445000000.0,20949559000000.0
2167.0,12527689000000.0,18681732000000.0,21904956000000.0,20919420000000.0
2168.0,12446012000000.0,18557092000000.0,21853224000000.0,20863011000000.0
2169.0,12354690000000.0,18441927000000.0,21784332000000.0,20778131000000.0
2170.0,12206578000000.0,18361941000000.0,21713979000000.0,20704364000000.0
2171.0,12103234000000.0,18255318000000.0,21642101000000.0,20710454000000.0
2172.0,12048959000000.0,18132515000000.0,21564695000000.0,20675784000000.0
2173.0,11997499000000.0,17988447000000.0,21521343000000.0,20623620000000.0
2174.0,11885179000000.0,17896219000000.0,21443771000000.0,20569882000000.0
2175.0,11818582000000.0,17816334000000.0,21402074000000.0,20558530000000.0
2176.0,11746066000000.0,17735476000000.0,21349406000000.0,20535291000000.0
2177.0,11657387000000.0,17646120000000.0,21282907000000.0,20406258000000.0
2178.0,11556124000000.0,17569945000000.0,21226976000000.0,20318630000000.0
2179.0,11501144000000.0,17441958000000.0,21150671000000.0,20261340000000.0
2180.0,11420005000000.0,17327880000000.0,21128257000000.0,20178337000000.0
2181.0,11288135000000.0,17278172000000.0,21090982000000.0,20132196000000.0
2182.0,11227333000000.0,17204050000000.0,21040734000000.0,20086534000000.0
2183.0,11213373000000.0,17104029000000.0,21000033000000.0,20019044000000.0
2184.0,11049442000000.0,17045160000000.0,20950758000000.0,19947464000000.0
2185.0,10938350000000.0,16972028000000.0,20861073000000.0,19936288000000.0
2186.0,10868424000000.0,16855191000000.0,20808857000000.0,19912605000000.0
2187.0,10807245000000.0,16786993000000.0,20745174000000.0,19898156000000.0
2188.0,10762636000000.0,16692402000000.0,20733495000000.0,19870589000000.0
2189.0,10701281000000.0,16592620000000.0,20698610000000.0,19818487000000.0
2190.0,10643179000000.0,16495973000000.0,20633410000000.0,19768197000000.0
2191.0,10602384000000.0,16389477000000.0,20591095000000.0,19765110000000.0
2192.0,10558339000000.0,16328239000000.0,20535067000000.0,19761120000000.0
2193.0,10493901000000.0,16227100000000.0,20489353000000.0,19725965000000.0
2194.0,10435261000000.0,16162819000000.0,20457361000000.0,19726177000000.0
2195.0,10357774000000.0,16082847000000.0,20416765000000.0,19661444000000.0
2196.0,10312592000000.0,16028663000000.0,20357920000000.0,19560309000000.0
2197.0,10249258000000.0,15923340000000.0,20329397000000.0,19524435000000.0
2198.0,10195173000000.0,15867702000000.0,20285223000000.0,19489104000000.0
2199.0,10156414000000.0,15818152000000.0,20186158000000.0,19445534000000.0
2200.0,10123314000000.0,15727880000000.0,20115433000000.0,19419604000000.0
2201.0,10078364000000.0,15656987000000.0,19984506000000.0,19368363000000.0
2202.0,10048462000000.0,15603667000000.0,20001598000000.0,19352320000000.0
2203.0,10001192000000.0,15564551000000.0,19996101000000.0,19351992000000.0
2204.0,9906686000000.0,15477754000000.0,19957323000000.0,19298225000000.0
2205.0,9846186000000.0,15351164000000.0,19868124000000.0,19268073000000.0
2206.0,9787157000000.0,15251353000000.0,19834160000000.0,19205502000000.0
2207.0,9735207000000.0,15185299000000.0,19806313000000.0,19157452000000.0
2208.0,9711985000000.0,15108821000000.0,19815715000000.0,19117734000000.0
2209.0,9673751000000.0,15009516000000.0,19810438000000.0,19067914000000.0
2210.0,9604555000000.0,14903499000000.0,19793038000000.0,19020686000000.0
2211.0,9554523000000.0,14829895000000.0,19780155000000.0,18953508000000.0
2212.0,9511320000000.0,14804441000000.0,19765800000000.0,18955614000000.0
2213.0,9444871000000.0,14746685000000.0,19759070000000.0,18935420000000.0
2214.0,9407323000000.0,14685310000000.0,19718660000000.0,18911430000000.0
2215.0,9377912000000.0,14588624000000.0,19700080000000.0,18864073000000.0
2216.0,9329395000000.0,14488010000000.0,19680052000000.0,18851970000000.0
2217.0,9323859000000.0,14437843000000.0,19657036000000.0,18807226000000.0
2218.0,9287420000000.0,14381479000000.0,19638851000000.0,18776148000000.0
2219.0,9229430000000.0,14319804000000.0,19634825000000.0,18772652000000.0
2220.0,9164164000000.0,14252378000000.0,19654385000000.0,18723495000000.0
2221.0,9137992000000.0,14212577000000.0,19643498000000.0,18624159000000.0
2222.0,9105985000000.0,14147326000000.0,19641050000000.0,18552493000000.0
2223.0,9047602000000.0,14105885000000.0,19655027000000.0,18468690000000.0
2224.0,8956739000000.0,14001092000000.0,19620052000000.0,18361690000000.0
2225.0,8887563000000.0,13977453000000.0,19600475000000.0,18334962000000.0
2226.0,8848523000000.0,13966023000000.0,19593080000000.0,18294100000000.0
2227.0,8790662000000.0,13905772000000.0,19569605000000.0,18224526000000.0
2228.0,8753066300000.0,13847508000000.0,19554269000000.0,18209216000000.0
2229.0,8717136300000.0,13770941000000.0,19550871000000.0,18163893000000.0
2230.0,8689748000000.0,13693870000000.0,19556217000000.0,18094095000000.0
2231.0,8652649000000.0,13630866000000.0,19558742000000.0,18067449000000.0
2232.0,8638351000000.0,13574278000000.0,19564602000000.0,18034633000000.0
2233.0,8599044600000.0,13481509000000.0,19563954000000.0,18027785000000.0
2234.0,8565557000000.0,13455701000000.0,19529892000000.0,17960314000000.0
2235.0,8513955000000.0,13334400000000.0,19491100000000.0,17929110000000.0
2236.0,8461386000000.0,13230725000000.0,19522275000000.0,17919023000000.0
2237.0,8433720000000.0,13173914000000.0,19501400000000.0,17884764000000.0
2238.0,8390795300000.0,13146057000000.0,19460260000000.0,17877134000000.0
2239.0,8331965000000.0,13123697000000.0,19450695000000.0,17856522000000.0
2240.0,8270712000000.0,13087415000000.0,19411591000000.0,17853506000000.0
2241.0,8226955000000.0,13054925000000.0,19408324000000.0,17836670000000.0
2242.0,8186714000000.0,12980975000000.0,19368019000000.0,17815048000000.0
2243.0,8152487000000.0,12945259000000.0,19323950000000.0,17741128000000.0
2244.0,8104158700000.0,12938782000000.0,19249045000000.0,17722654000000.0
2245.0,8062832000000.0,12920664000000.0,19181880000000.0,17711180000000.0
2246.0,8032257000000.0,12904237000000.0,19117044000000.0,17670160000000.0
2247.0,7988092000000.0,12864882000000.0,19077328000000.0,17642499000000.0
2248.0,7932546000000.0,12861156000000.0,19043099000000.0,17612572000000.0
2249.0,7902577000000.0,12806613000000.0,19008156000000.0,17560093000000.0
2250.0,7868257000000.0,12763678000000.0,18998492000000.0,17548107000000.0
2251.0,7855849600000.0,12738443000000.0,18977530000000.0,17539738000000.0
2252.0,7835706500000.0,12680884000000.0,18939954000000.0,17531522000000.0
2253.0,7812250000000.0,12624693000000.0,18925574000000.0,17499271000000.0
2254.0,7788719000000.0,12538136000000.0,18895063000000.0,17452526000000.0
2255.0,7771310000000.0,12491776000000.0,18866116000000.0,17433195000000.0
2256.0,7752597000000.0,12444184000000.0,18870760000000.0,17393262000000.0
2257.0,7728432000000.0,12387759000000.0,18834826000000.0,17361694000000.0
2258.0,7687798500000.0,12315374000000.0,18823095000000.0,17338819000000.0
2259.0,7665345400000.0,12263228000000.0,18801860000000.0,17270070000000.0
2260.0,7626947000000.0,12220700000000.0,18821279000000.0,17272377000000.0
2261.0,7615139000000.0,12168670000000.0,18777698000000.0,17225023000000.0
2262.0,7599811000000.0,12104125000000.0,18747348000000.0,17233725000000.0
2263.0,7567272600000.0,11979095000000.0,18692755000000.0,17249490000000.0
2264.0,7549188000000.0,11899180000000.0,18673134000000.0,17254351000000.0
2265.0,7512079000000.0,11846882000000.0,18655868000000.0,17250472000000.0
2266.0,7458923000000.0,11815720000000.0,18656591000000.0,17178753000000.0
2267.0,7421203000000.0,11763865000000.0,18646772000000.0,17127991000000.0
2268.0,7402970700000.0,11686970000000.0,18648274000000.0,17097846000000.0
2269.0,7404644700000.0,11608191000000.0,18591794000000.0,17092339000000.0
2270.0,7388443700000.0,11586794000000.0,18509812000000.0,17084475000000.0
2271.0,7370324000000.0,11548046000000.0,18485908000000.0,17061010000000.0
2272.0,7347971000000.0,11537636000000.0,18443644000000.0,17050597000000.0
2273.0,7304774000000.0,11505342000000.0,18417950000000.0,17051503000000.0
2274.0,7269966700000.0,11458304000000.0,18410071000000.0,17008754000000.0
2275.0,7231612000000.0,11435415000000.0,18360155000000.0,16980983000000.0
2276.0,7193513000000.0,11412127000000.0,18354325000000.0,16924809000000.0
2277.0,7180388000000.0,11381464000000.0,18312723000000.0,16859604000000.0
2278.0,7160672600000.0,11348878000000.0,18284141000000.0,16865778000000.0
2279.0,7130823300000.0,11292271000000.0,18267293000000.0,16878033000000.0
2280.0,7118527700000.0,11275030000000.0,18251680000000.0,16837427000000.0
2281.0,7083506300000.0,11232794000000.0,18221938000000.0,16813622000000.0
2282.0,7075597400000.0,11186535000000.0,18217322000000.0,16796933000000.0
2283.0,7064171000000.0,11133030000000.0,18178170000000.0,16714192000000.0
2284.0,7057919400000.0,11076086000000.0,18159931000000.0,16702350000000.0
2285.0,7032511400000.0,11033165000000.0,18131538000000.0,16664079000000.0
2286.0,7012480000000.0,11014317000000.0,18125886000000.0,16660470000000.0
2287.0,7002845000000.0,10993420000000.0,18134960000000.0,16682026000000.0
2288.0,6977350000000.0,10988532000000.0,18071945000000.0,16673538000000.0
2289.0,6979778500000.0,10959475000000.0,18052905000000.0,16651686000000.0
2290.0,6962324000000.0,10919087000000.0,18053526000000.0,16661900000000.0
2291.0,6947098600000.0,10886354000000.0,18029725000000.0,16671134000000.0
2292.0,6940399000000.0,10846415000000.0,18047442000000.0,16639116000000.0
2293.0,6926596000000.0,10813177000000.0,18000774000000.0,16624217000000.0
2294.0,6910659500000.0,10770215000000.0,17979224000000.0,16628080000000.0
2295.0,6881494400000.0,10740685000000.0,17989483000000.0,16619515000000.0
2296.0,6854200000000.0,10760214000000.0,17999042000000.0,16601777000000.0
2297.0,6818034000000.0,10733282000000.0,17993052000000.0,16605683000000.0
2298.0,6760913400000.0,10693996000000.0,17996666000000.0,16600424000000.0
2299.0,6737634000000.0,10702556000000.0,18016234000000.0,16556224000000.0
2300.0,6733298000000.0,10667889000000.0,17962094000000.0,16545096000000.0
