time,CESM2-WACCM,ACCESS-CM2,CANESM5,IPSL-CM6A-LR,MRI-ESM2-0,ACCESS-ESM1-5
2000.0,45427584000000.0,45427584000000.0,45427584000000.0,45427584000000.0,45427584000000.0,45427584000000.0
2001.0,45422265000000.0,45422265000000.0,45422265000000.0,45422265000000.0,45422265000000.0,45422265000000.0
2002.0,45417870000000.0,45417870000000.0,45417870000000.0,45417870000000.0,45417870000000.0,45417870000000.0
2003.0,45298777000000.0,45298777000000.0,45298777000000.0,45298777000000.0,45298777000000.0,45298777000000.0
2004.0,45264610000000.0,45264610000000.0,45264610000000.0,45264610000000.0,45264610000000.0,45264610000000.0
2005.0,45238513000000.0,45238513000000.0,45238513000000.0,45238513000000.0,45238513000000.0,45238513000000.0
2006.0,45268930000000.0,45268930000000.0,45268930000000.0,45268930000000.0,45268930000000.0,45268930000000.0
2007.0,45171232000000.0,45171232000000.0,45171232000000.0,45171232000000.0,45171232000000.0,45171232000000.0
2008.0,45116606000000.0,45116606000000.0,45116606000000.0,45116606000000.0,45116606000000.0,45116606000000.0
2009.0,45098348000000.0,45098348000000.0,45098348000000.0,45098348000000.0,45098348000000.0,45098348000000.0
2010.0,45014344000000.0,45014344000000.0,45014344000000.0,45014344000000.0,45014344000000.0,45014344000000.0
2011.0,44989137000000.0,44989137000000.0,44989137000000.0,44989137000000.0,44989137000000.0,44989137000000.0
2012.0,44923960000000.0,44923960000000.0,44923960000000.0,44923960000000.0,44923960000000.0,44923960000000.0
2013.0,44930806000000.0,44930806000000.0,44930806000000.0,44930806000000.0,44930806000000.0,44930806000000.0
2014.0,44832274000000.0,44832274000000.0,44832274000000.0,44832274000000.0,44832274000000.0,44832274000000.0
2015.0,44916692000000.0,44916692000000.0,44916692000000.0,44916692000000.0,44916692000000.0,44916692000000.0
2016.0,44887520000000.0,44887520000000.0,44887520000000.0,44887520000000.0,44887520000000.0,44887520000000.0
2017.0,44900456000000.0,44900456000000.0,44900456000000.0,44900456000000.0,44900456000000.0,44900456000000.0
2018.0,44760346000000.0,44760346000000.0,44760346000000.0,44760346000000.0,44760346000000.0,44760346000000.0
2019.0,44722706000000.0,44722706000000.0,44722706000000.0,44722706000000.0,44722706000000.0,44722706000000.0
2020.0,44706545000000.0,44706545000000.0,44706545000000.0,44706545000000.0,44706545000000.0,44706545000000.0
2021.0,44611377000000.0,44673624000000.0,44610047000000.0,44613290000000.0,44558482000000.0,44662130000000.0
2022.0,44494376000000.0,44518090000000.0,44471916000000.0,44367444000000.0,44451770000000.0,44548206000000.0
2023.0,44383206000000.0,44425930000000.0,44426143000000.0,44225622000000.0,44334737000000.0,44473187000000.0
2024.0,44253800000000.0,44299470000000.0,44415763000000.0,44114507000000.0,44302920000000.0,44381483000000.0
2025.0,44181730000000.0,44144930000000.0,44292697000000.0,43981652000000.0,44179783000000.0,44270333000000.0
2026.0,44076040000000.0,44086564000000.0,44286310000000.0,43662147000000.0,44034710000000.0,44217875000000.0
2027.0,43823024000000.0,43980545000000.0,44283474000000.0,43630752000000.0,43954940000000.0,44150934000000.0
2028.0,43670984000000.0,43800546000000.0,44245570000000.0,43514776000000.0,43763520000000.0,44116763000000.0
2029.0,43579225000000.0,43633546000000.0,44147440000000.0,43503095000000.0,43727290000000.0,44098652000000.0
2030.0,43503130000000.0,43504957000000.0,44162657000000.0,43378250000000.0,43712768000000.0,44079940000000.0
2031.0,43430063000000.0,43299394000000.0,44051198000000.0,43180817000000.0,43535873000000.0,43977230000000.0
2032.0,43323690000000.0,43085320000000.0,43966460000000.0,42949287000000.0,43430974000000.0,43813133000000.0
2033.0,43251164000000.0,42901984000000.0,43893656000000.0,42709420000000.0,43299600000000.0,43822143000000.0
2034.0,43155156000000.0,42713090000000.0,43800634000000.0,42595623000000.0,43156356000000.0,43775414000000.0
2035.0,42988890000000.0,42623530000000.0,43723153000000.0,42453850000000.0,42950890000000.0,43703010000000.0
2036.0,42801136000000.0,42543830000000.0,43599186000000.0,42250294000000.0,42702650000000.0,43732884000000.0
2037.0,42596440000000.0,42380732000000.0,43594484000000.0,42075618000000.0,42537530000000.0,43691633000000.0
2038.0,42291950000000.0,42171495000000.0,43467990000000.0,41826480000000.0,42444054000000.0,43653620000000.0
2039.0,42063120000000.0,41921032000000.0,43380453000000.0,41679840000000.0,42289687000000.0,43666282000000.0
2040.0,41800590000000.0,41757694000000.0,43331470000000.0,41484410000000.0,42224690000000.0,43601657000000.0
2041.0,41669357000000.0,41649766000000.0,43208206000000.0,41291840000000.0,41975403000000.0,43481213000000.0
2042.0,41658956000000.0,41582360000000.0,43105823000000.0,41025300000000.0,41870718000000.0,43360840000000.0
2043.0,41464923000000.0,41349270000000.0,42930660000000.0,40838587000000.0,41818540000000.0,43313957000000.0
