time,ACCESS-CM2,CESM2-WACCM,ACCESS-ESM1-5,CANESM5,IPSL-CM6A-LR,MRI-ESM2-0
2000.0,67995947000.0,67995947000.0,67995947000.0,67995947000.0,67995947000.0,67995947000.0
2001.0,68388170000.0,68388170000.0,68388170000.0,68388170000.0,68388170000.0,68388170000.0
2002.0,67276767000.0,67276767000.0,67276767000.0,67276767000.0,67276767000.0,67276767000.0
2003.0,67564410000.0,67564410000.0,67564410000.0,67564410000.0,67564410000.0,67564410000.0
2004.0,67666846000.0,67666846000.0,67666846000.0,67666846000.0,67666846000.0,67666846000.0
2005.0,68806850000.0,68806850000.0,68806850000.0,68806850000.0,68806850000.0,68806850000.0
2006.0,67142107000.0,67142107000.0,67142107000.0,67142107000.0,67142107000.0,67142107000.0
2007.0,67504070000.0,67504070000.0,67504070000.0,67504070000.0,67504070000.0,67504070000.0
2008.0,66514580000.0,66514580000.0,66514580000.0,66514580000.0,66514580000.0,66514580000.0
2009.0,65255637000.0,65255637000.0,65255637000.0,65255637000.0,65255637000.0,65255637000.0
2010.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0
2011.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0
2012.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0
2013.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0
2014.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0
2015.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0
2016.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0
2017.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0
2018.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0
2019.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0
2020.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0
2021.0,55436050000.0,55079776000.0,53430620000.0,55018447000.0,55375643000.0,53036680000.0
2022.0,54183694000.0,55403140000.0,52909540000.0,54078830000.0,55792714000.0,53789720000.0
2023.0,53325890000.0,54827037000.0,51995410000.0,52949017000.0,54907994000.0,53038854000.0
2024.0,53250840000.0,54624186000.0,50566033000.0,51331070000.0,53489160000.0,52556640000.0
2025.0,51710894000.0,53963460000.0,49388100000.0,49714266000.0,51786908000.0,53481830000.0
2026.0,51371780000.0,54663340000.0,47832154000.0,47395783000.0,50263410000.0,52871287000.0
2027.0,50035180000.0,54087954000.0,47170195000.0,46083020000.0,50188636000.0,51221357000.0
2028.0,49806680000.0,52880884000.0,46699380000.0,44292410000.0,49708360000.0,52348117000.0
2029.0,48939123000.0,52104483000.0,46203073000.0,42313814000.0,48612340000.0,52452760000.0
2030.0,48156660000.0,51232834000.0,46219203000.0,41210233000.0,48433795000.0,51439350000.0
2031.0,48689025000.0,51187864000.0,46720640000.0,41301115000.0,47309730000.0,50980753000.0
2032.0,48359875000.0,50087444000.0,45860510000.0,40793235000.0,46800480000.0,50776625000.0
2033.0,46928826000.0,49064542000.0,45602054000.0,39943184000.0,46193430000.0,51616900000.0
2034.0,46989033000.0,47417135000.0,45132153000.0,39020507000.0,45747155000.0,50578076000.0
2035.0,44865830000.0,47240870000.0,44441160000.0,38210245000.0,46051484000.0,49564475000.0
2036.0,43354354000.0,45740335000.0,43899994000.0,37789876000.0,44889250000.0,49964306000.0
2037.0,42606020000.0,44405875000.0,43134630000.0,37450140000.0,42996960000.0,50639143000.0
2038.0,41753740000.0,44073144000.0,42573566000.0,36085215000.0,41366250000.0,50585776000.0
2039.0,41481220000.0,43110056000.0,43106066000.0,34794060000.0,39903940000.0,49713980000.0
2040.0,39545418000.0,40697283000.0,43081290000.0,33618436000.0,38534320000.0,48664320000.0
2041.0,38125200000.0,39518640000.0,42062270000.0,33162932000.0,37916197000.0,49218564000.0
2042.0,36802690000.0,38888112000.0,39854390000.0,32102863000.0,36799697000.0,48408764000.0
2043.0,35737035000.0,37860970000.0,38651548000.0,31169898000.0,35832246000.0,48520495000.0
2044.0,35190292000.0,36779800000.0,37765435000.0,30959272000.0,35235640000.0,47594996000.0
2045.0,34063264000.0,34866967000.0,36915680000.0,30149814000.0,34670522000.0,45051073000.0
2046.0,33753668000.0,34727334000.0,36340510000.0,29182527000.0,34088018000.0,42157830000.0
2047.0,32666898000.0,33508202000.0,35795940000.0,27483810000.0,32582277000.0,41372630000.0
2048.0,31864504000.0,32581196000.0,34376876000.0,27034755000.0,31324290000.0,40015626000.0
2049.0,30837094000.0,31406795000.0,33293435000.0,25912525000.0,29904690000.0,37651042000.0
2050.0,30033652000.0,31015719000.0,32634094000.0,24740784000.0,28893125000.0,36115653000.0
2051.0,29260590000.0,29772087000.0,31513184000.0,23945884000.0,28511050000.0,35779680000.0
2052.0,28613480000.0,28605434000.0,29520247000.0,22761847000.0,28019950000.0,33601247000.0
2053.0,28045765000.0,27963080000.0,29033056000.0,21770045000.0,26671772000.0,31991327000.0
2054.0,27551570000.0,27048720000.0,27480076000.0,21019200000.0,25670187000.0,31818922000.0
2055.0,26403938000.0,25913928000.0,26605490000.0,20371720000.0,25202340000.0,30819725000.0
2056.0,25079294000.0,25049973000.0,25833669000.0,20016333000.0,24218833000.0,30175440000.0
