time,IPSL-CM6A-LR,CANESM5,CESM2-WACCM,MRI-ESM2-0
2085.0,9694972000000.0,6194035000000.0,11544433000000.0,8483464300000.0
2086.0,9605447000000.0,6080123000000.0,11514458000000.0,8431370000000.0
2087.0,9517689000000.0,5988463700000.0,11456026000000.0,8372336000000.0
2088.0,9439770000000.0,5904220000000.0,11438908000000.0,8305261400000.0
2089.0,9356707000000.0,5822045000000.0,11400843000000.0,8253920000000.0
2090.0,9267922000000.0,5735316500000.0,11367316000000.0,8207424000000.0
2091.0,9179407000000.0,5654201000000.0,11329961000000.0,8174091400000.0
2092.0,9086927000000.0,5561298000000.0,11302724000000.0,8130964000000.0
2093.0,8990414000000.0,5474691300000.0,11281453000000.0,8084249400000.0
2094.0,8914430000000.0,5388707600000.0,11244994000000.0,8032139300000.0
2095.0,8842105000000.0,5317969600000.0,11223186000000.0,7983944700000.0
2096.0,8764225000000.0,5243680000000.0,11203975000000.0,7940704600000.0
2097.0,8686527000000.0,5154618700000.0,11179140000000.0,7894280400000.0
2098.0,8617424000000.0,5080758000000.0,11142619000000.0,7839265000000.0
2099.0,8534373700000.0,5006439000000.0,11112228000000.0,7799869300000.0
2100.0,8447949500000.0,4936644000000.0,11081011000000.0,7752083000000.0
2101.0,8386557500000.0,4872317000000.0,11049209000000.0,7715862000000.0
2102.0,8314547600000.0,4790946400000.0,11021198000000.0,7681703000000.0
2103.0,8251373500000.0,4718259000000.0,10998227000000.0,7641040000000.0
2104.0,8188486000000.0,4646324000000.0,10970263000000.0,7607499600000.0
2105.0,8125598400000.0,4582189000000.0,10940280000000.0,7560433000000.0
2106.0,8061446500000.0,4515268400000.0,10910389000000.0,7526366000000.0
2107.0,8001782500000.0,4433873000000.0,10896487000000.0,7497745700000.0
2108.0,7945342000000.0,4373558000000.0,10869350000000.0,7486851500000.0
2109.0,7883134000000.0,4306699800000.0,10842560000000.0,7471883000000.0
2110.0,7812659000000.0,4253828300000.0,10820626000000.0,7448097700000.0
2111.0,7752046300000.0,4208582700000.0,10792202000000.0,7407497000000.0
2112.0,7683740500000.0,4156715400000.0,10776404000000.0,7376826000000.0
2113.0,7623356700000.0,4096991000000.0,10731595000000.0,7358042300000.0
2114.0,7578701000000.0,4051406200000.0,10705043000000.0,7334950600000.0
2115.0,7528773000000.0,3997975200000.0,10686669000000.0,7317458000000.0
2116.0,7489464600000.0,3945689300000.0,10658752000000.0,7302033000000.0
2117.0,7457605700000.0,3898385000000.0,10630329000000.0,7291372300000.0
2118.0,7406883400000.0,3854410200000.0,10589559000000.0,7272374000000.0
2119.0,7355619600000.0,3802255600000.0,10575184000000.0,7247301700000.0
2120.0,7306195000000.0,3753756600000.0,10562787000000.0,7220243700000.0
2121.0,7262404000000.0,3706932200000.0,10548643000000.0,7185508600000.0
2122.0,7209024500000.0,3657320600000.0,10503235000000.0,7181924000000.0
2123.0,7161569000000.0,3610337300000.0,10452002000000.0,7157757500000.0
2124.0,7123485000000.0,3564670300000.0,10420305000000.0,7150458400000.0
2125.0,7090186000000.0,3509526000000.0,10403746000000.0,7140476000000.0
2126.0,7056128000000.0,3445224400000.0,10390663000000.0,7119426000000.0
2127.0,7017788000000.0,3390936700000.0,10371604000000.0,7111950500000.0
2128.0,6988965000000.0,3346234900000.0,10339646000000.0,7097241000000.0
