time,GFDL-CM3,CCSM4,GISS-E2-R,CESM1-CAM5,CANESM2,NORESM1-M,IPSL-CM5A-LR,MPI-ESM-LR,CNRM-CM5,GFDL-ESM2G,CSIRO-MK3-6-0
2033.0,12705501000000.0,13501863000000.0,13515471000000.0,13197915000000.0,13326523000000.0,13394717000000.0,13544752000000.0,13532555000000.0,13487361000000.0,13585962000000.0,13511335000000.0
2034.0,12649213000000.0,13483351000000.0,13519203000000.0,13124520000000.0,13280725000000.0,13363892000000.0,13532378000000.0,13510380000000.0,13457559000000.0,13579138000000.0,13497314000000.0
2035.0,12621018000000.0,13454076000000.0,13505075000000.0,13069337000000.0,13235636000000.0,13343995000000.0,13518662000000.0,13486116000000.0,13436753000000.0,13586348000000.0,13474011000000.0
2036.0,12556361000000.0,13412887000000.0,13497300000000.0,13007492000000.0,13180326000000.0,13329537000000.0,13436559000000.0,13460173000000.0,13397692000000.0,13576942000000.0,13457343000000.0
2037.0,12516312000000.0,13395170000000.0,13486239000000.0,12949290000000.0,13121342000000.0,13285963000000.0,13414166000000.0,13429438000000.0,13352610000000.0,13563641000000.0,13444074000000.0
2038.0,12466833000000.0,13342054000000.0,13463675000000.0,12897013000000.0,13087116000000.0,13249153000000.0,13372569000000.0,13398236000000.0,13326946000000.0,13561590000000.0,13442579000000.0
2039.0,12421316000000.0,13317886000000.0,13438502000000.0,12830321000000.0,12996956000000.0,13212642000000.0,13312820000000.0,13359195000000.0,13265539000000.0,13551789000000.0,13425797000000.0
2040.0,12351596000000.0,13284527000000.0,13431910000000.0,12784374000000.0,12957836000000.0,13184527000000.0,13268777000000.0,13329930000000.0,13188806000000.0,13525295000000.0,13416393000000.0
2041.0,12236119000000.0,13224585000000.0,13425402000000.0,12724379000000.0,12918515000000.0,13130720000000.0,13231749000000.0,13301159000000.0,13145503000000.0,13514639000000.0,13385371000000.0
2042.0,12126505000000.0,13199230000000.0,13408649000000.0,12683522000000.0,12879197000000.0,13077061000000.0,13174161000000.0,13268772000000.0,13095555000000.0,13494389000000.0,13365474000000.0
2043.0,12017705000000.0,13174529000000.0,13398407000000.0,12638027000000.0,12846529000000.0,13027158000000.0,13136261000000.0,13240611000000.0,12986488000000.0,13470910000000.0,13350498000000.0
2044.0,11914271000000.0,13128784000000.0,13387491000000.0,12546553000000.0,12782597000000.0,13001403000000.0,13083908000000.0,13191511000000.0,12913950000000.0,13446944000000.0,13316244000000.0
2045.0,11785665000000.0,13083853000000.0,13381138000000.0,12458549000000.0,12686395000000.0,12951342000000.0,13022004000000.0,13149515000000.0,12826582000000.0,13422124000000.0,13285780000000.0
2046.0,11675195000000.0,13059062000000.0,13369296000000.0,12382465000000.0,12558486000000.0,12881076000000.0,13005662000000.0,13105977000000.0,12769952000000.0,13427993000000.0,13263996000000.0
2047.0,11560145000000.0,13016589000000.0,13346632000000.0,12282046000000.0,12515168000000.0,12856537000000.0,12953843000000.0,13094215000000.0,12710050000000.0,13413325000000.0,13248780000000.0
2048.0,11433514000000.0,12973326000000.0,13326233000000.0,12204490000000.0,12483680000000.0,12806118000000.0,12929537000000.0,13071481000000.0,12640831000000.0,13404745000000.0,13228935000000.0
2049.0,11380169000000.0,12945477000000.0,13294815000000.0,12136075000000.0,12394369000000.0,12776847000000.0,12885311000000.0,13048502000000.0,12550976000000.0,13387165000000.0,13216214000000.0
2050.0,11332095000000.0,12909542000000.0,13272237000000.0,12046284000000.0,12336742000000.0,12744221000000.0,12870276000000.0,13026388000000.0,12493506000000.0,13377156000000.0,13195459000000.0
2051.0,11261319000000.0,12885329000000.0,13274835000000.0,11958492000000.0,12298644000000.0,12721077000000.0,12806381000000.0,13008828000000.0,12412285000000.0,13360765000000.0,13174429000000.0
2052.0,11227473000000.0,12864145000000.0,13257222000000.0,11850039000000.0,12277093000000.0,12676386000000.0,12777959000000.0,12968621000000.0,12309420000000.0,13354554000000.0,13167835000000.0
2053.0,11139817000000.0,12840770000000.0,13243608000000.0,11795830000000.0,12206116000000.0,12618819000000.0,12731010000000.0,12938360000000.0,12221767000000.0,13340366000000.0,13143024000000.0
2054.0,11033663000000.0,12814425000000.0,13237618000000.0,11712091000000.0,12128583000000.0,12579643000000.0,12709681000000.0,12914309000000.0,12097609000000.0,13341621000000.0,13120389000000.0
2055.0,10948622000000.0,12776143000000.0,13230397000000.0,11616548000000.0,12041007000000.0,12535967000000.0,12671547000000.0,12891443000000.0,11991931000000.0,13317338000000.0,13089987000000.0
2056.0,10875009000000.0,12746219000000.0,13198904000000.0,11528847000000.0,11995229000000.0,12488664000000.0,12598522000000.0,12871594000000.0,11905594000000.0,13307826000000.0,13073400000000.0
2057.0,10748555000000.0,12720599000000.0,13152860000000.0,11458118000000.0,11961670000000.0,12437031000000.0,12547283000000.0,12841511000000.0,11825768000000.0,13280494000000.0,13060007000000.0
2058.0,10650804000000.0,12681855000000.0,13154613000000.0,11401725000000.0,11913478000000.0,12391845000000.0,12514384000000.0,12807255000000.0,11744636000000.0,13255309000000.0,13031359000000.0
2059.0,10581666000000.0,12638790000000.0,13146838000000.0,11322846000000.0,11847628000000.0,12355922000000.0,12437288000000.0,12752010000000.0,11659520000000.0,13248190000000.0,13000352000000.0
2060.0,10454972000000.0,12627582000000.0,13137973000000.0,11210504000000.0,11811921000000.0,12318598000000.0,12364738000000.0,12705115000000.0,11574308000000.0,13241567000000.0,12992714000000.0
2061.0,10302922000000.0,12596139000000.0,13117928000000.0,11121287000000.0,11711801000000.0,12288521000000.0,12307425000000.0,12677623000000.0,11513340000000.0,13238461000000.0,12973685000000.0
2062.0,10150105000000.0,12574563000000.0,13103965000000.0,11027927000000.0,11654360000000.0,12243974000000.0,12271315000000.0,12673128000000.0,11410854000000.0,13234760000000.0,12935943000000.0
2063.0,10025408000000.0,12508266000000.0,13093298000000.0,10935945000000.0,11583062000000.0,12183142000000.0,12235004000000.0,12623108000000.0,11328643000000.0,13219307000000.0,12904081000000.0
2064.0,9914221000000.0,12464213000000.0,13096774000000.0,10860618000000.0,11509663000000.0,12141280000000.0,12212799000000.0,12591564000000.0,11236346000000.0,13214064000000.0,12885623000000.0
2065.0,9834568000000.0,12424891000000.0,13103985000000.0,10792329000000.0,11453354000000.0,12109796000000.0,12161540000000.0,12527685000000.0,11169896000000.0,13204463000000.0,12842361000000.0
