time,GISS-E2-R,GFDL-CM3,CCSM4,CNRM-CM5,MPI-ESM-LR,IPSL-CM5A-LR,CSIRO-MK3-6-0,GFDL-ESM2G,NORESM1-M,CESM1-CAM5,CANESM2
2027.0,13601375000000.0,13483754000000.0,13700750000000.0,13663082000000.0,13560743000000.0,13505374000000.0,13612714000000.0,13687807000000.0,13595923000000.0,13568592000000.0,13555933000000.0
2028.0,13587874000000.0,13465594000000.0,13675660000000.0,13649597000000.0,13519969000000.0,13477479000000.0,13596815000000.0,13693370000000.0,13579461000000.0,13515195000000.0,13557953000000.0
2029.0,13587290000000.0,13448461000000.0,13633774000000.0,13630307000000.0,13496171000000.0,13461923000000.0,13567541000000.0,13667928000000.0,13542272000000.0,13487339000000.0,13532116000000.0
2030.0,13576946000000.0,13431836000000.0,13593110000000.0,13618858000000.0,13460489000000.0,13441334000000.0,13549198000000.0,13668051000000.0,13509751000000.0,13460970000000.0,13505619000000.0
2031.0,13573610000000.0,13415233000000.0,13578767000000.0,13606615000000.0,13430841000000.0,13443532000000.0,13540562000000.0,13644658000000.0,13496619000000.0,13428345000000.0,13492913000000.0
2032.0,13560041000000.0,13388803000000.0,13552146000000.0,13591746000000.0,13399463000000.0,13421773000000.0,13501010000000.0,13634871000000.0,13447947000000.0,13403832000000.0,13438531000000.0
2033.0,13530692000000.0,13356710000000.0,13527438000000.0,13568374000000.0,13383577000000.0,13411575000000.0,13464588000000.0,13612606000000.0,13419814000000.0,13361876000000.0,13398824000000.0
2034.0,13501174000000.0,13311311000000.0,13499916000000.0,13553841000000.0,13359626000000.0,13357100000000.0,13444069000000.0,13594225000000.0,13385515000000.0,13328623000000.0,13365654000000.0
2035.0,13481686000000.0,13274395000000.0,13466528000000.0,13533094000000.0,13344017000000.0,13324260000000.0,13433166000000.0,13583540000000.0,13335132000000.0,13298072000000.0,13331482000000.0
2036.0,13480665000000.0,13248571000000.0,13431475000000.0,13522044000000.0,13331307000000.0,13275734000000.0,13411703000000.0,13566906000000.0,13315650000000.0,13256088000000.0,13291551000000.0
2037.0,13450594000000.0,13205693000000.0,13408228000000.0,13519428000000.0,13298759000000.0,13229067000000.0,13361897000000.0,13561485000000.0,13290513000000.0,13194732000000.0,13259689000000.0
2038.0,13432393000000.0,13175681000000.0,13371090000000.0,13495468000000.0,13273271000000.0,13229134000000.0,13316548000000.0,13552317000000.0,13274001000000.0,13148548000000.0,13232086000000.0
2039.0,13412668000000.0,13140925000000.0,13349723000000.0,13463049000000.0,13249649000000.0,13191667000000.0,13287574000000.0,13551200000000.0,13272270000000.0,13114305000000.0,13196187000000.0
2040.0,13387581000000.0,13109091000000.0,13307267000000.0,13420597000000.0,13226342000000.0,13168555000000.0,13271533000000.0,13541788000000.0,13265664000000.0,13060049000000.0,13183254000000.0
2041.0,13370718000000.0,13075761000000.0,13294242000000.0,13370290000000.0,13211607000000.0,13131895000000.0,13257470000000.0,13535515000000.0,13241999000000.0,13003531000000.0,13134228000000.0
2042.0,13359340000000.0,13026887000000.0,13259674000000.0,13325035000000.0,13173497000000.0,13105445000000.0,13236274000000.0,13543502000000.0,13220273000000.0,12944147000000.0,13113488000000.0
2043.0,13342849000000.0,12962585000000.0,13221914000000.0,13295462000000.0,13136254000000.0,13065103000000.0,13215367000000.0,13554397000000.0,13190647000000.0,12885024000000.0,13027230000000.0
2044.0,13337031000000.0,12912871000000.0,13205900000000.0,13231993000000.0,13090396000000.0,13019053000000.0,13183755000000.0,13559893000000.0,13155129000000.0,12819773000000.0,12990735000000.0
2045.0,13323499000000.0,12855252000000.0,13177096000000.0,13206544000000.0,13062448000000.0,12981241000000.0,13156784000000.0,13552102000000.0,13124843000000.0,12775565000000.0,12941706000000.0
2046.0,13276247000000.0,12785823000000.0,13135329000000.0,13163180000000.0,13024842000000.0,12955884000000.0,13135584000000.0,13544173000000.0,13053212000000.0,12712718000000.0,12915409000000.0
2047.0,13235514000000.0,12722506000000.0,13104552000000.0,13111391000000.0,12983691000000.0,12902134000000.0,13114256000000.0,13541126000000.0,13032132000000.0,12651117000000.0,12884604000000.0
2048.0,13179209000000.0,12657219000000.0,13083727000000.0,13059211000000.0,12920719000000.0,12836626000000.0,13098298000000.0,13546029000000.0,12999052000000.0,12606626000000.0,12854041000000.0
2049.0,13173495000000.0,12590839000000.0,13059066000000.0,13033361000000.0,12879019000000.0,12781477000000.0,13068538000000.0,13526322000000.0,12979270000000.0,12547723000000.0,12808113000000.0
2050.0,13165266000000.0,12522409000000.0,13037188000000.0,12985444000000.0,12833404000000.0,12763078000000.0,13034861000000.0,13487283000000.0,12978209000000.0,12494544000000.0,12779727000000.0
2051.0,13157559000000.0,12443147000000.0,13011567000000.0,12927602000000.0,12808643000000.0,12710495000000.0,13024539000000.0,13486495000000.0,12950338000000.0,12451579000000.0,12700156000000.0
2052.0,13136192000000.0,12341640000000.0,12977816000000.0,12902375000000.0,12775363000000.0,12676461000000.0,12988279000000.0,13481649000000.0,12924314000000.0,12390425000000.0,12662716000000.0
2053.0,13119001000000.0,12263163000000.0,12956141000000.0,12872822000000.0,12739163000000.0,12679362000000.0,12987372000000.0,13480070000000.0,12889206000000.0,12372945000000.0,12625298000000.0
2054.0,13098988000000.0,12159369000000.0,12951779000000.0,12815628000000.0,12694572000000.0,12665053000000.0,12995771000000.0,13480432000000.0,12833533000000.0,12305745000000.0,12586629000000.0
2055.0,13072987000000.0,12097281000000.0,12937592000000.0,12779239000000.0,12662492000000.0,12641997000000.0,12968352000000.0,13476344000000.0,12807705000000.0,12227083000000.0,12557264000000.0
2056.0,13067775000000.0,12048328000000.0,12890399000000.0,12752322000000.0,12641847000000.0,12610174000000.0,12953908000000.0,13477294000000.0,12767815000000.0,12185852000000.0,12491391000000.0
2057.0,13052473000000.0,11979702000000.0,12799069000000.0,12707231000000.0,12605258000000.0,12595190000000.0,12925565000000.0,13485809000000.0,12731334000000.0,12163594000000.0,12452854000000.0
2058.0,13056691000000.0,11914277000000.0,12760776000000.0,12646095000000.0,12572817000000.0,12561728000000.0,12902779000000.0,13470974000000.0,12697361000000.0,12123116000000.0,12400546000000.0
2059.0,13046023000000.0,11867026000000.0,12715659000000.0,12566137000000.0,12538570000000.0,12530512000000.0,12864691000000.0,13445768000000.0,12636411000000.0,12081688000000.0,12371453000000.0
2060.0,13037751000000.0,11806235000000.0,12713586000000.0,12494965000000.0,12500081000000.0,12498837000000.0,12840251000000.0,13435435000000.0,12600812000000.0,12014489000000.0,12324830000000.0
2061.0,13014071000000.0,11741093000000.0,12692855000000.0,12422443000000.0,12457604000000.0,12482498000000.0,12824444000000.0,13412535000000.0,12568134000000.0,11951155000000.0,12284769000000.0
2062.0,12992084000000.0,11664790000000.0,12666410000000.0,12355763000000.0,12423136000000.0,12463397000000.0,12797374000000.0,13413508000000.0,12529161000000.0,11894188000000.0,12257849000000.0
2063.0,12986862000000.0,11593153000000.0,12625180000000.0,12295529000000.0,12393926000000.0,12450822000000.0,12778688000000.0,13400387000000.0,12464845000000.0,11859492000000.0,12224141000000.0
2064.0,12975231000000.0,11540751000000.0,12609503000000.0,12250567000000.0,12369911000000.0,12408590000000.0,12744208000000.0,13377100000000.0,12423316000000.0,11814627000000.0,12176891000000.0
2065.0,12953682000000.0,11490113000000.0,12591567000000.0,12170747000000.0,12333181000000.0,12393532000000.0,12723589000000.0,13365348000000.0,12408775000000.0,11768789000000.0,12141200000000.0
2066.0,12939324000000.0,11447218000000.0,12581596000000.0,12131766000000.0,12308542000000.0,12371353000000.0,12707038000000.0,13350200000000.0,12387414000000.0,11726006000000.0,12054854000000.0
2067.0,12901157000000.0,11400675000000.0,12552441000000.0,12061120000000.0,12280072000000.0,12329760000000.0,12685953000000.0,13351214000000.0,12368154000000.0,11667995000000.0,12020848000000.0
2068.0,12880725000000.0,11336215000000.0,12537878000000.0,12004697000000.0,12246842000000.0,12323530000000.0,12660945000000.0,13342508000000.0,12331512000000.0,11630019000000.0,11979901000000.0
2069.0,12882013000000.0,11288103000000.0,12535265000000.0,11942743000000.0,12211992000000.0,12304880000000.0,12624698000000.0,13318155000000.0,12270687000000.0,11584525000000.0,11907172000000.0
2070.0,12867181000000.0,11211581000000.0,12519495000000.0,11883920000000.0,12189373000000.0,12291461000000.0,12612516000000.0,13303398000000.0,12239064000000.0,11534384000000.0,11839973000000.0
2071.0,12844421000000.0,11125760000000.0,12496066000000.0,11835752000000.0,12165589000000.0,12291289000000.0,12600186000000.0,13313709000000.0,12224415000000.0,11481405000000.0,11789452000000.0
2072.0,12827742000000.0,11032661000000.0,12476353000000.0,11761302000000.0,12140559000000.0,12263545000000.0,12592632000000.0,13292676000000.0,12167021000000.0,11430623000000.0,11760173000000.0
2073.0,12814070000000.0,10947491000000.0,12448455000000.0,11716540000000.0,12115712000000.0,12233458000000.0,12562978000000.0,13282699000000.0,12131222000000.0,11396906000000.0,11709576000000.0
2074.0,12802444000000.0,10848082000000.0,12421463000000.0,11647916000000.0,12080843000000.0,12231543000000.0,12540621000000.0,13268318000000.0,12076076000000.0,11347507000000.0,11686384000000.0
2075.0,12785510000000.0,10754783000000.0,12409880000000.0,11569593000000.0,12042389000000.0,12210122000000.0,12515892000000.0,13255550000000.0,12035213000000.0,11288158000000.0,11642709000000.0
2076.0,12784220000000.0,10678140000000.0,12375356000000.0,11499769000000.0,11991218000000.0,12164044000000.0,12493558000000.0,13258454000000.0,12017285000000.0,11233389000000.0,11602544000000.0
2077.0,12777704000000.0,10599825000000.0,12372565000000.0,11443608000000.0,11944690000000.0,12129712000000.0,12465865000000.0,13241513000000.0,11968564000000.0,11201931000000.0,11580538000000.0
2078.0,12774786000000.0,10521015000000.0,12355096000000.0,11389766000000.0,11910786000000.0,12100465000000.0,12443266000000.0,13222389000000.0,11924286000000.0,11136694000000.0,11530597000000.0
2079.0,12754885000000.0,10438059000000.0,12354311000000.0,11334592000000.0,11885249000000.0,12069218000000.0,12417455000000.0,13213179000000.0,11880985000000.0,11084651000000.0,11505823000000.0
2080.0,12724242000000.0,10363494000000.0,12329330000000.0,11288411000000.0,11864220000000.0,12035313000000.0,12386875000000.0,13198933000000.0,11850205000000.0,11041148000000.0,11442567000000.0
2081.0,12723460000000.0,10294282000000.0,12309063000000.0,11271237000000.0,11829421000000.0,12030821000000.0,12352887000000.0,13188610000000.0,11817109000000.0,11001184000000.0,11396048000000.0
2082.0,12712662000000.0,10195740000000.0,12296587000000.0,11229003000000.0,11801313000000.0,12018732000000.0,12332985000000.0,13182995000000.0,11765854000000.0,10958337000000.0,11352036000000.0
2083.0,12704452000000.0,10133644000000.0,12268852000000.0,11192921000000.0,11772366000000.0,11996996000000.0,12316880000000.0,13169952000000.0,11743902000000.0,10933688000000.0,11307278000000.0
2084.0,12687236000000.0,10047417000000.0,12269300000000.0,11168918000000.0,11743253000000.0,11975498000000.0,12285898000000.0,13153755000000.0,11706465000000.0,10881268000000.0,11283956000000.0
2085.0,12679676000000.0,9983367000000.0,12243312000000.0,11140626000000.0,11725994000000.0,11963595000000.0,12252713000000.0,13146475000000.0,11683030000000.0,10850179000000.0,11255875000000.0
2086.0,12657821000000.0,9901434000000.0,12219559000000.0,11072065000000.0,11697627000000.0,11960565000000.0,12230003000000.0,13111297000000.0,11655616000000.0,10816415000000.0,11228173000000.0
2087.0,12638452000000.0,9842036000000.0,12217514000000.0,11016087000000.0,11651091000000.0,11929901000000.0,12214700000000.0,13109059000000.0,11594199000000.0,10768646000000.0,11200221000000.0
2088.0,12625265000000.0,9760392000000.0,12201517000000.0,11002508000000.0,11629265000000.0,11883834000000.0,12193964000000.0,13096095000000.0,11579569000000.0,10735384000000.0,11148851000000.0
2089.0,12589544000000.0,9703921000000.0,12163102000000.0,10948909000000.0,11611068000000.0,11875692000000.0,12175915000000.0,13074125000000.0,11558549000000.0,10712025000000.0,11092652000000.0
2090.0,12575759000000.0,9647362000000.0,12139257000000.0,10916346000000.0,11589270000000.0,11831496000000.0,12172360000000.0,13078183000000.0,11531509000000.0,10689746000000.0,11040965000000.0
2091.0,12563294000000.0,9579438000000.0,12115852000000.0,10869793000000.0,11543892000000.0,11795470000000.0,12162711000000.0,13076571000000.0,11503777000000.0,10638862000000.0,10970144000000.0
2092.0,12544333000000.0,9478250000000.0,12053453000000.0,10824554000000.0,11505336000000.0,11797124000000.0,12144790000000.0,13044959000000.0,11473278000000.0,10594397000000.0,10944832000000.0
2093.0,12531457000000.0,9382500000000.0,12016502000000.0,10772386000000.0,11467122000000.0,11773770000000.0,12099700000000.0,13042151000000.0,11458623000000.0,10545611000000.0,10899485000000.0
2094.0,12523850000000.0,9273586000000.0,11986354000000.0,10732819000000.0,11441364000000.0,11742109000000.0,12069936000000.0,13046391000000.0,11438204000000.0,10509055000000.0,10840556000000.0
2095.0,12495193000000.0,9176284000000.0,11977601000000.0,10684849000000.0,11410684000000.0,11721735000000.0,12045978000000.0,13042698000000.0,11411678000000.0,10438949000000.0,10813576000000.0
2096.0,12478001000000.0,9100238000000.0,11933671000000.0,10622378000000.0,11384377000000.0,11705692000000.0,12025870000000.0,13036243000000.0,11378760000000.0,10406446000000.0,10780800000000.0
2097.0,12465608000000.0,9020613000000.0,11917494000000.0,10569369000000.0,11319834000000.0,11684776000000.0,12018003000000.0,13050361000000.0,11347403000000.0,10355357000000.0,10735631000000.0
2098.0,12449097000000.0,8947719000000.0,11932203000000.0,10497612000000.0,11277644000000.0,11660096000000.0,11987560000000.0,13055515000000.0,11307677000000.0,10305393000000.0,10697012000000.0
2099.0,12439539000000.0,8876209000000.0,11932113000000.0,10449130000000.0,11243352000000.0,11647738000000.0,11957362000000.0,13055102000000.0,11294996000000.0,10264592000000.0,10656696000000.0
2100.0,12432382000000.0,8794605000000.0,11922018000000.0,10409861000000.0,11200765000000.0,11627561000000.0,11939709000000.0,13051600000000.0,11271587000000.0,10213158000000.0,10612103000000.0
