time,GISS-E2-R,CCSM4,GFDL-CM3,NORESM1-M,CANESM2,CSIRO-MK3-6-0,GFDL-ESM2G,MPI-ESM-LR,IPSL-CM5A-LR,CNRM-CM5
2036.0,13489359000000.0,13403795000000.0,13073767000000.0,13271532000000.0,13224174000000.0,13449531000000.0,13322272000000.0,13356664000000.0,13485478000000.0,13170611000000.0
2037.0,13464410000000.0,13386715000000.0,13013217000000.0,13212004000000.0,13196694000000.0,13421133000000.0,13282224000000.0,13317308000000.0,13473131000000.0,13105390000000.0
2038.0,13459257000000.0,13368953000000.0,12978498000000.0,13127495000000.0,13106576000000.0,13401095000000.0,13240927000000.0,13295064000000.0,13445825000000.0,13001439000000.0
2039.0,13454440000000.0,13339725000000.0,12915980000000.0,13079760000000.0,13078126000000.0,13381222000000.0,13177326000000.0,13244479000000.0,13418448000000.0,12946715000000.0
2040.0,13430550000000.0,13345628000000.0,12822283000000.0,13050848000000.0,13032899000000.0,13359601000000.0,13158944000000.0,13224067000000.0,13396504000000.0,12912648000000.0
2041.0,13428089000000.0,13339816000000.0,12740581000000.0,13027776000000.0,13008912000000.0,13322907000000.0,13136725000000.0,13179688000000.0,13375644000000.0,12838055000000.0
2042.0,13402669000000.0,13327602000000.0,12638797000000.0,12957157000000.0,12925171000000.0,13290481000000.0,13101581000000.0,13156491000000.0,13350623000000.0,12752393000000.0
2043.0,13399671000000.0,13316300000000.0,12568810000000.0,12908881000000.0,12855798000000.0,13272410000000.0,13094867000000.0,13119807000000.0,13334000000000.0,12674131000000.0
2044.0,13397560000000.0,13285907000000.0,12476935000000.0,12854991000000.0,12805287000000.0,13251141000000.0,13082773000000.0,13081930000000.0,13312055000000.0,12598933000000.0
2045.0,13367537000000.0,13256971000000.0,12390630000000.0,12819323000000.0,12740896000000.0,13218761000000.0,13037846000000.0,13031995000000.0,13287150000000.0,12535255000000.0
2046.0,13359247000000.0,13234444000000.0,12302902000000.0,12763367000000.0,12679456000000.0,13200066000000.0,13015510000000.0,13000807000000.0,13254215000000.0,12458826000000.0
2047.0,13342193000000.0,13216831000000.0,12194468000000.0,12692043000000.0,12606333000000.0,13165195000000.0,12995014000000.0,12958278000000.0,13215994000000.0,12401473000000.0
2048.0,13322181000000.0,13188682000000.0,12114253000000.0,12613054000000.0,12511659000000.0,13120436000000.0,12936682000000.0,12911374000000.0,13109121000000.0,12320473000000.0
2049.0,13293604000000.0,13160810000000.0,12036784000000.0,12525779000000.0,12474762000000.0,13080739000000.0,12912198000000.0,12848396000000.0,13045143000000.0,12245574000000.0
2050.0,13273326000000.0,13138838000000.0,11957870000000.0,12475957000000.0,12362530000000.0,13045032000000.0,12853101000000.0,12787420000000.0,12994417000000.0,12141917000000.0
2051.0,13232290000000.0,13099387000000.0,11870451000000.0,12412168000000.0,12264620000000.0,13011271000000.0,12805153000000.0,12737447000000.0,12929781000000.0,12009933000000.0
2052.0,13205691000000.0,13034931000000.0,11772415000000.0,12349012000000.0,12152999000000.0,12981008000000.0,12759903000000.0,12684795000000.0,12872207000000.0,11869857000000.0
2053.0,13180998000000.0,12989239000000.0,11661301000000.0,12305574000000.0,12068809000000.0,12930386000000.0,12695770000000.0,12612943000000.0,12810807000000.0,11787621000000.0
2054.0,13167282000000.0,12943702000000.0,11555034000000.0,12229880000000.0,11963865000000.0,12902093000000.0,12649415000000.0,12547635000000.0,12731102000000.0,11697270000000.0
2055.0,13137371000000.0,12908774000000.0,11476537000000.0,12143549000000.0,11916309000000.0,12859456000000.0,12582214000000.0,12486127000000.0,12665452000000.0,11600274000000.0
2056.0,13102582000000.0,12886970000000.0,11386063000000.0,12053387000000.0,11848188000000.0,12824197000000.0,12491169000000.0,12386231000000.0,12583536000000.0,11549115000000.0
2057.0,13030594000000.0,12825718000000.0,11278845000000.0,11987191000000.0,11783167000000.0,12780658000000.0,12414519000000.0,12314569000000.0,12512264000000.0,11428198000000.0
2058.0,12999885000000.0,12771010000000.0,11158072000000.0,11910575000000.0,11713454000000.0,12738231000000.0,12331623000000.0,12258163000000.0,12429974000000.0,11302728000000.0
2059.0,12969848000000.0,12715610000000.0,11054546000000.0,11841859000000.0,11653091000000.0,12709472000000.0,12252718000000.0,12181939000000.0,12355473000000.0,11210333000000.0
2060.0,12922558000000.0,12657675000000.0,10933132000000.0,11785624000000.0,11524328000000.0,12659553000000.0,12177566000000.0,12101584000000.0,12249603000000.0,11070693000000.0
2061.0,12855816000000.0,12633549000000.0,10833053000000.0,11716116000000.0,11465886000000.0,12622085000000.0,12117018000000.0,12029097000000.0,12192392000000.0,10931894000000.0
2062.0,12816709000000.0,12586220000000.0,10696312000000.0,11636730000000.0,11368534000000.0,12580649000000.0,12045297000000.0,11977666000000.0,12103155000000.0,10780948000000.0
2063.0,12768026000000.0,12517870000000.0,10548225000000.0,11543198000000.0,11221818000000.0,12547423000000.0,11987996000000.0,11902735000000.0,12051370000000.0,10628431000000.0
2064.0,12725799000000.0,12469892000000.0,10396528000000.0,11470505000000.0,11127733000000.0,12494973000000.0,11940310000000.0,11829990000000.0,11924266000000.0,10483307000000.0
2065.0,12689244000000.0,12403178000000.0,10256749000000.0,11359350000000.0,11036706000000.0,12451869000000.0,11895646000000.0,11748882000000.0,11850833000000.0,10323656000000.0
2066.0,12652013000000.0,12330097000000.0,10084360000000.0,11246369000000.0,10905308000000.0,12406082000000.0,11859384000000.0,11688789000000.0,11772115000000.0,10195877000000.0
2067.0,12609771000000.0,12252682000000.0,9935982000000.0,11152661000000.0,10764603000000.0,12355153000000.0,11811214000000.0,11625773000000.0,11657491000000.0,10064275000000.0
2068.0,12554649000000.0,12214321000000.0,9784966000000.0,11060973000000.0,10577216000000.0,12306837000000.0,11769759000000.0,11536457000000.0,11530281000000.0,9943072000000.0
2069.0,12535481000000.0,12132038000000.0,9650417000000.0,10959630000000.0,10428192000000.0,12246140000000.0,11700256000000.0,11441337000000.0,11439004000000.0,9844996000000.0
2070.0,12460955000000.0,12057398000000.0,9513897000000.0,10926495000000.0,10307064000000.0,12194943000000.0,11625186000000.0,11348415000000.0,11347997000000.0,9723249000000.0
2071.0,12398983000000.0,12007484000000.0,9359345000000.0,10851211000000.0,10136411000000.0,12143725000000.0,11544855000000.0,11266870000000.0,11240062000000.0,9575098000000.0
2072.0,12367375000000.0,11957640000000.0,9213013000000.0,10740126000000.0,9997866000000.0,12103340000000.0,11501563000000.0,11202844000000.0,11100280000000.0,9414357000000.0
2073.0,12317970000000.0,11877386000000.0,9063167000000.0,10663137000000.0,9881581000000.0,12056409000000.0,11433168000000.0,11113081000000.0,10996616000000.0,9228327000000.0
