time,MRI-ESM2-0,CESM2-WACCM,CANESM5,IPSL-CM6A-LR
2048.0,11742430000000.0,13242337000000.0,10688772000000.0,12858526000000.0
2049.0,11629573000000.0,13207182000000.0,10563550000000.0,12819303000000.0
2050.0,11532294000000.0,13186924000000.0,10431085000000.0,12756924000000.0
2051.0,11409180000000.0,13139026000000.0,10295066000000.0,12686318000000.0
2052.0,11261513000000.0,13085092000000.0,10171730000000.0,12632897000000.0
2053.0,11136130000000.0,13025028000000.0,10046628000000.0,12579277000000.0
2054.0,11017618000000.0,12967191000000.0,9914155000000.0,12500063000000.0
2055.0,10929415000000.0,12923659000000.0,9764900000000.0,12405835000000.0
2056.0,10831287000000.0,12858384000000.0,9622086000000.0,12313846000000.0
2057.0,10743955000000.0,12816648000000.0,9491588000000.0,12240560000000.0
2058.0,10640110000000.0,12788815000000.0,9374864000000.0,12155436000000.0
2059.0,10560311000000.0,12739131000000.0,9246980000000.0,12047643000000.0
2060.0,10497485000000.0,12708543000000.0,9106818000000.0,11942480000000.0
2061.0,10414380000000.0,12659876000000.0,8974737000000.0,11844903000000.0
2062.0,10337038000000.0,12595139000000.0,8842258000000.0,11747952000000.0
2063.0,10246215000000.0,12545680000000.0,8699530700000.0,11656172000000.0
2064.0,10165744000000.0,12503991000000.0,8557452000000.0,11548274000000.0
2065.0,10094925000000.0,12463216000000.0,8437031000000.0,11454614000000.0
2066.0,9998951000000.0,12432385000000.0,8295419000000.0,11352077000000.0
2067.0,9919333000000.0,12360596000000.0,8161814600000.0,11233297000000.0
2068.0,9820037000000.0,12309344000000.0,8007264500000.0,11143154000000.0
2069.0,9739818000000.0,12277178000000.0,7870176300000.0,11046176000000.0
2070.0,9653171000000.0,12248693000000.0,7755007000000.0,10960132000000.0
2071.0,9539068000000.0,12186592000000.0,7645917300000.0,10901292000000.0
2072.0,9451931000000.0,12132400000000.0,7535975700000.0,10830551000000.0
2073.0,9360164000000.0,12096596000000.0,7432957300000.0,10750437000000.0
2074.0,9287820000000.0,12052905000000.0,7318089500000.0,10662745000000.0
2075.0,9205928000000.0,11999944000000.0,7200880000000.0,10587514000000.0
2076.0,9117657000000.0,11939524000000.0,7095474700000.0,10507463000000.0
2077.0,9050542000000.0,11890786000000.0,6994677000000.0,10403283000000.0
2078.0,8942347000000.0,11846234000000.0,6910992400000.0,10309112000000.0
2079.0,8852709000000.0,11792278000000.0,6805408700000.0,10223242000000.0
2080.0,8777899000000.0,11743148000000.0,6693537000000.0,10137533000000.0
2081.0,8719815000000.0,11725908000000.0,6599282000000.0,10050250000000.0
2082.0,8658240000000.0,11695247000000.0,6479112000000.0,9953063000000.0
2083.0,8599615600000.0,11641318000000.0,6373505500000.0,9854617000000.0
2084.0,8551260000000.0,11615433000000.0,6281078000000.0,9762944000000.0
2085.0,8483464300000.0,11544433000000.0,6194035000000.0,9694972000000.0
2086.0,8431370000000.0,11514458000000.0,6080123000000.0,9605447000000.0
2087.0,8372336000000.0,11456026000000.0,5988463700000.0,9517689000000.0
2088.0,8305261400000.0,11438908000000.0,5904220000000.0,9439770000000.0
2089.0,8253920000000.0,11400843000000.0,5822045000000.0,9356707000000.0
2090.0,8207424000000.0,11367316000000.0,5735316500000.0,9267922000000.0
2091.0,8174091400000.0,11329961000000.0,5654201000000.0,9179407000000.0
2092.0,8130964000000.0,11302724000000.0,5561298000000.0,9086927000000.0
2093.0,8084249400000.0,11281453000000.0,5474691300000.0,8990414000000.0
2094.0,8032139300000.0,11244994000000.0,5388707600000.0,8914430000000.0
2095.0,7983944700000.0,11223186000000.0,5317969600000.0,8842105000000.0
2096.0,7940704600000.0,11203975000000.0,5243680000000.0,8764225000000.0
2097.0,7894280400000.0,11179140000000.0,5154618700000.0,8686527000000.0
2098.0,7839265000000.0,11142619000000.0,5080758000000.0,8617424000000.0
2099.0,7799869300000.0,11112228000000.0,5006439000000.0,8534373700000.0
2100.0,7752083000000.0,11081011000000.0,4936644000000.0,8447949500000.0
