time,EC-EARTH3-VEG,GFDL-ESM4,CAMS-CSM1-0,MRI-ESM2-0
2085.0,9575803000000.0,12190436000000.0,12686679000000.0,10055986000000.0
2086.0,9493893000000.0,12171690000000.0,12682912000000.0,10008948000000.0
2087.0,9415645000000.0,12154778000000.0,12654554000000.0,9979549000000.0
2088.0,9336758000000.0,12145090000000.0,12630749000000.0,9955149000000.0
2089.0,9258197000000.0,12135059000000.0,12609858000000.0,9926106000000.0
2090.0,9178794000000.0,12114375000000.0,12610033000000.0,9889465000000.0
2091.0,9073633000000.0,12092930000000.0,12589900000000.0,9860592000000.0
2092.0,8991213000000.0,12081756000000.0,12587924000000.0,9827559000000.0
2093.0,8918114000000.0,12061876000000.0,12555941000000.0,9776441000000.0
2094.0,8833689000000.0,12040199000000.0,12545539000000.0,9759448000000.0
2095.0,8723062300000.0,12039345000000.0,12524339000000.0,9709184000000.0
2096.0,8640927000000.0,12025657000000.0,12516706000000.0,9681797000000.0
2097.0,8572095000000.0,12020978000000.0,12489059000000.0,9643326000000.0
2098.0,8478727000000.0,12018314000000.0,12475102000000.0,9595151000000.0
2099.0,8393287000000.0,12001747000000.0,12457249000000.0,9548443000000.0
2100.0,8321155700000.0,11991882000000.0,12453492000000.0,9515167000000.0
