time,CCSM4,CESM1-CAM5
2146,35682473421677.414,28569097241794.12
2147,35521088425263.97,28248986075781.312
2148,35343685615845.984,27978719706910.38
2149,35162518471516.375,27737000700498.055
2150,34985808545030.19,27508677607688.86
2151,34772002590970.9,27207957766196.773
2152,34587903248416.84,26875611688537.223
2153,34397618801274.98,26570759101051.39
2154,34205589674082.355,26293841312900.008
2155,33998953841095.867,25916483535895.15
2156,33743704137388.48,25637931435570.156
2157,33592065860514.246,25373367112525.78
2158,33466578073814.04,25090273811764.355
2159,33299664733049.684,24729309781602.215
2160,33138887562691.258,24394133283473.04
2161,32986789117301.348,24115733863896.156
2162,32816884379508.35,23847449636400.117
2163,32602337071118.28,23542911546615.793
2164,32447373156969.848,23307219117540.88
2165,32258381797089.652,23082450838090.55
2166,32069548361218.977,22860090690767.06
2167,31850148510623.418,22541559684418.805
2168,31602969684099.8,22284945561108.227
2169,31424258431007.875,22040172503896.992
2170,31262695932122.64,21833260420973.78
2171,31059876496095.027,21581156627395.27
2172,30840228147959.688,21328507278795.73
2173,30668221581471.332,21097841314190.793
2174,30434425556573.41,20842686804260.938
2175,30212185086347.04,20601220324728.555
2176,29942206607465.96,20327785933702.29
2177,29712177583179.03,20089321547146.387
2178,29553298288147.836,19878608817554.715
2179,29301873471868.254,19625053505754.83
2180,29087154465131.344,19462082262124.54
2181,28874641036091.97,19266870991168.582
2182,28699082265485.25,19042277392175.68
2183,28601533129769.594,18756837266904.445
2184,28408501515145.38,18514725395539.82
2185,28206788519457.617,18337331162594.656
2186,28053115107747.82,18070659731479.715
2187,27867402715689.227,17819256622039.96
2188,27719498539527.04,17632693916134.98
2189,27563846348100.902,17370955404708.05
2190,27383381083563.594,17143985718033.229
2191,27224426827665.01,16929871197254.793
2192,27069883454009.465,16761109713392.445
2193,26919512696077.7,16561564410436.064
2194,26786468552706.008,16355698532809.135
2195,26668057203940.07,16143723374354.02
2196,26482323647185.477,15923418468936.932
2197,26336551465521.098,15719068845209.238
2198,26157418230810.13,15573820571108.328
2199,25993181833973.18,15384965816327.545
2200,25758179820059.77,15206778923547.658
2201,25584684254091.445,15033130612292.732
2202,25374918483633.84,14812454946809.629
2203,25235796933083.504,14588231372065.002
2204,25069887149867.395,14396386215902.846
2205,24885833409025.99,14192752747962.648
2206,24753419674108.367,14024991587454.42
2207,24551740951833.777,13784664988764.012
2208,24362757562239.51,13591778767196.21
2209,24233525863862.98,13393027677666.09
2210,24115325559148.395,13227811241828.049
2211,23882187373382.84,13029019858712.275
2212,23705363203848.297,12854823534091.365
2213,23547233595126.445,12638959667658.318
2214,23418423439287.152,12401951004206.957
2215,23279165812219.117,12231357470434.19
2216,23104900949233.297,12080777529845.482
2217,22957540327672.938,11937970305735.648
2218,22787247580733.336,11750028269930.178
2219,22621077495401.61,11560655158700.578
2220,22490543484575.164,11361634038202.674
2221,22340369852428.246,11215503449221.986
2222,22193100453554.58,11053679558929.457
2223,22087229392224.965,10912201803396.908
2224,21975215389971.957,10757298595521.197
2225,21827627263390.418,10596467620521.26
2226,21598029230983.445,10429451017112.998
2227,21457710825802.105,10281764658618.35
2228,21278562179368.523,10136411178740.77
2229,21058607715091.086,9963464205175.953
2230,20935984098945.7,9840285419797.938
2231,20755121034445.03,9711796882248.498
2232,20562709129562.836,9574695852622.434
2233,20464819172658.133,9432779083221.727
