time,MPI-ESM1-2-HR,IPSL-CM6A-LR,GFDL-ESM4,UKESM1-0-LL,MRI-ESM2-0
2069.0,6549566000000.0,5368003000000.0,6493537600000.0,4532098600000.0,5242527000000.0
2070.0,6513024000000.0,5316895300000.0,6466934700000.0,4430086000000.0,5187985000000.0
2071.0,6493051600000.0,5262055300000.0,6442919700000.0,4343368500000.0,5149728000000.0
2072.0,6453733600000.0,5156188000000.0,6401287000000.0,4247436100000.0,5115150000000.0
2073.0,6440970400000.0,5054449000000.0,6368767500000.0,4152767800000.0,5052815000000.0
2074.0,6411597000000.0,4958763000000.0,6309506700000.0,4065191500000.0,5027642000000.0
2075.0,6375951300000.0,4897012000000.0,6285495400000.0,3978675600000.0,4986083000000.0
2076.0,6357397300000.0,4827699500000.0,6215933000000.0,3888094400000.0,4930035000000.0
2077.0,6332096000000.0,4740088300000.0,6197538000000.0,3811799000000.0,4866455000000.0
2078.0,6293403000000.0,4658652000000.0,6180124500000.0,3755146700000.0,4818028500000.0
2079.0,6253982000000.0,4575364400000.0,6163514000000.0,3683070800000.0,4742312400000.0
2080.0,6200071600000.0,4497958000000.0,6106496600000.0,3594998500000.0,4730480000000.0
2081.0,6159900600000.0,4428317300000.0,6066744600000.0,3522530000000.0,4697547000000.0
2082.0,6136991000000.0,4342309200000.0,6041084000000.0,3462898400000.0,4635564000000.0
2083.0,6100107000000.0,4304304600000.0,5987243000000.0,3388537000000.0,4581770000000.0
2084.0,6070735500000.0,4231092800000.0,5945892000000.0,3321203800000.0,4524207500000.0
2085.0,6014707000000.0,4166426800000.0,5914547000000.0,3253981400000.0,4486539500000.0
2086.0,5977276000000.0,4084347400000.0,5845737000000.0,3187642000000.0,4458339600000.0
2087.0,5975428300000.0,3990061000000.0,5808184000000.0,3094671500000.0,4394444000000.0
2088.0,5917080300000.0,3939605000000.0,5767933000000.0,3038988200000.0,4350643500000.0
2089.0,5831344000000.0,3878346600000.0,5728411000000.0,2957716800000.0,4299507400000.0
2090.0,5782177300000.0,3773824000000.0,5692819000000.0,2865062500000.0,4271340800000.0
2091.0,5755448000000.0,3693780000000.0,5656651000000.0,2797456900000.0,4247948600000.0
2092.0,5731772000000.0,3640879200000.0,5598184700000.0,2748659300000.0,4237685700000.0
2093.0,5713281000000.0,3559856300000.0,5550060000000.0,2694999400000.0,4168038700000.0
2094.0,5688354400000.0,3520082700000.0,5512045000000.0,2640173600000.0,4139377000000.0
2095.0,5672585400000.0,3469302800000.0,5465718700000.0,2555881000000.0,4150253600000.0
2096.0,5659203500000.0,3412298800000.0,5422402500000.0,2509012000000.0,4104336000000.0
2097.0,5625347000000.0,3346444000000.0,5401582500000.0,2443620600000.0,4050990100000.0
2098.0,5575067000000.0,3276830000000.0,5352068000000.0,2398410200000.0,4013873700000.0
2099.0,5544251000000.0,3228468800000.0,5308664000000.0,2343823700000.0,3976941500000.0
2100.0,5525350000000.0,3182994000000.0,5286345000000.0,2282820000000.0,3959706000000.0
