time,IPSL-CM6A-LR,MPI-ESM1-2-HR,UKESM1-0-LL,MRI-ESM2-0,GFDL-ESM4
2069.0,4273378400000.0,6362006300000.0,3727052800000.0,4840228400000.0,5951563000000.0
2070.0,4155549700000.0,6326213000000.0,3630968000000.0,4722005600000.0,5882604000000.0
2071.0,4022716000000.0,6286979000000.0,3500362400000.0,4642350600000.0,5796985000000.0
2072.0,3839706800000.0,6238620400000.0,3385185500000.0,4563545400000.0,5733803400000.0
2073.0,3691937500000.0,6182807000000.0,3272892500000.0,4493748500000.0,5667977000000.0
2074.0,3550713500000.0,6162002000000.0,3157947300000.0,4421942000000.0,5613814300000.0
2075.0,3421330700000.0,6106989000000.0,3024767000000.0,4337732000000.0,5500757300000.0
2076.0,3312422700000.0,6043342000000.0,2905945000000.0,4271797700000.0,5446730000000.0
2077.0,3173353500000.0,5989342400000.0,2767546500000.0,4181665800000.0,5369055000000.0
2078.0,3001971400000.0,5952859300000.0,2640257000000.0,4111012500000.0,5308878000000.0
2079.0,2882926500000.0,5890739500000.0,2491216800000.0,3997779000000.0,5240134300000.0
2080.0,2735471600000.0,5867937000000.0,2382695000000.0,3904592400000.0,5186557300000.0
2081.0,2605798400000.0,5806191000000.0,2272842500000.0,3780126700000.0,5132463000000.0
2082.0,2482285600000.0,5768603000000.0,2178713800000.0,3693190800000.0,5074491300000.0
2083.0,2386399600000.0,5725820600000.0,2067594700000.0,3581813700000.0,5038397000000.0
2084.0,2276591700000.0,5696991000000.0,1941062800000.0,3475946000000.0,4930775000000.0
2085.0,2174935100000.0,5666702000000.0,1830680800000.0,3402554000000.0,4869265600000.0
2086.0,2064661300000.0,5625245300000.0,1714461100000.0,3332209400000.0,4802172400000.0
2087.0,1944366200000.0,5603752000000.0,1614291500000.0,3267896500000.0,4735520700000.0
2088.0,1843365200000.0,5544460400000.0,1515579200000.0,3175502300000.0,4652632000000.0
2089.0,1745360500000.0,5490867000000.0,1417614700000.0,3093862500000.0,4594697000000.0
2090.0,1649435300000.0,5448686600000.0,1313845100000.0,3014078800000.0,4509487600000.0
2091.0,1538387600000.0,5406145000000.0,1221498600000.0,2919574300000.0,4445191500000.0
2092.0,1437578000000.0,5347624400000.0,1127787000000.0,2832708100000.0,4382508700000.0
2093.0,1344632700000.0,5263230000000.0,1035486700000.0,2754531000000.0,4315893700000.0
2094.0,1252379000000.0,5215599700000.0,943304100000.0,2687606200000.0,4266248600000.0
2095.0,1168271200000.0,5143999300000.0,860751100000.0,2631492700000.0,4206236800000.0
2096.0,1085770200000.0,5075574500000.0,779906100000.0,2563339700000.0,4148545700000.0
2097.0,992893530000.0,5028846000000.0,701740400000.0,2491499200000.0,4058882500000.0
2098.0,908943800000.0,4970210000000.0,632471600000.0,2434048700000.0,3977555500000.0
2099.0,836061600000.0,4918934000000.0,568213960000.0,2357238400000.0,3902109600000.0
2100.0,769942550000.0,4850943300000.0,514475700000.0,2298745200000.0,3831854800000.0
