time,CSIRO-MK3-6-0,CCSM4,MPI-ESM-LR
2123.0,347823230.0,776665340.0,453248800.0
2124.0,343702270.0,750992830.0,415459420.0
2125.0,301646980.0,738429800.0,383684540.0
2126.0,296980300.0,747097100.0,329386850.0
2127.0,270096480.0,711434200.0,309345300.0
2128.0,266089310.0,699781700.0,278861630.0
2129.0,232728060.0,674979460.0,240468480.0
2130.0,230339650.0,648495500.0,224243540.0
2131.0,210672420.0,641533060.0,195926200.0
2132.0,198603360.0,617404500.0,163558860.0
2133.0,194076640.0,592498940.0,178203230.0
2134.0,197050990.0,538834370.0,178648620.0
2135.0,187154320.0,540173100.0,154868930.0
2136.0,181625680.0,549491600.0,138838750.0
2137.0,154720750.0,573079000.0,131543930.0
2138.0,135474340.0,526984770.0,122250536.0
2139.0,110388930.0,487943840.0,99235140.0
2140.0,98609544.0,482527200.0,91761040.0
2141.0,91671030.0,455190430.0,88971920.0
2142.0,84386680.0,437460600.0,91462940.0
2143.0,71541820.0,412039300.0,89259416.0
2144.0,65702560.0,389903140.0,90511620.0
2145.0,58468196.0,379529540.0,83846500.0
2146.0,49157730.0,375463170.0,78573660.0
2147.0,44601770.0,350153400.0,73484560.0
2148.0,36498148.0,300120700.0,67196664.0
2149.0,31472948.0,285971330.0,64098536.0
2150.0,26566960.0,286472830.0,58304420.0
2151.0,21925022.0,268738000.0,52494216.0
2152.0,18331856.0,244139460.0,46846468.0
2153.0,14994120.0,238417950.0,46250330.0
2154.0,12575973.0,215282670.0,45280960.0
2155.0,10502394.0,223827340.0,40720176.0
2156.0,10182494.0,211141230.0,39818524.0
2157.0,10326951.0,209785780.0,34172600.0
2158.0,9402747.0,204036740.0,33879710.0
2159.0,9269760.0,208513400.0,30817976.0
2160.0,7952563.5,198543150.0,27315486.0
2161.0,6556560.0,201955920.0,23555492.0
2162.0,6324774.0,192269200.0,21263788.0
2163.0,6063487.5,180710200.0,18494910.0
2164.0,5676526.5,179791700.0,16274937.0
2165.0,5236688.5,176334380.0,14845910.0
2166.0,5024403.0,174838740.0,13228502.0
2167.0,4620708.0,157983940.0,11899540.0
2168.0,4060057.2,140393360.0,10094137.0
2169.0,3345544.5,142746620.0,10244225.0
2170.0,3060561.8,137326800.0,9086554.0
2171.0,2742192.0,143881890.0,7981036.0
2172.0,2501476.8,137754200.0,7296177.0
2173.0,2284381.2,127564470.0,7462557.5
2174.0,1947711.1,128676170.0,6619143.5
2175.0,1761175.2,126766740.0,5557883.5
2176.0,1515506.8,124334150.0,5524477.0
2177.0,1244776.9,114858060.0,4948504.0
2178.0,1053276.1,110882330.0,4348452.5
2179.0,876986.5,113256560.0,3828060.8
2180.0,657720.3,110686856.0,3668351.8
2181.0,435415.84,111656350.0,3466038.2
2182.0,238649.27,114512510.0,3330981.0
2183.0,66786.47,108901000.0,3232770.5
2184.0,0.0,95127944.0,3064392.0
2185.0,0.0,95720264.0,2895813.2
2186.0,0.0,88903896.0,2728920.2
2187.0,0.0,78076584.0,2551158.5
2188.0,0.0,73755670.0,2365344.0
2189.0,0.0,75480460.0,2178718.8
2190.0,0.0,70455510.0,2074747.5
2191.0,0.0,65827628.0,1999631.1
2192.0,0.0,58924104.0,1738945.0
2193.0,0.0,53647680.0,1721458.5
2194.0,0.0,48784880.0,1648612.2
2195.0,0.0,49289344.0,1466327.0
2196.0,0.0,44052884.0,1248314.4
2197.0,0.0,42408396.0,1225529.5
2198.0,0.0,43163308.0,1038600.75
2199.0,0.0,43245900.0,905504.7
2200.0,0.0,37640890.0,815162.7
2201.0,0.0,36393564.0,760225.56
2202.0,0.0,33838176.0,612804.6
2203.0,0.0,32411360.0,483512.34
2204.0,0.0,29863384.0,299851.72
2205.0,0.0,30048668.0,219766.39
2206.0,0.0,32052914.0,88381.45
2207.0,0.0,30311458.0,8714.538
2208.0,0.0,27526196.0,0.0
2209.0,0.0,26278534.0,0.0
2210.0,0.0,24935296.0,0.0
2211.0,0.0,25098086.0,0.0
2212.0,0.0,22460914.0,0.0
2213.0,0.0,21640886.0,0.0
2214.0,0.0,19851300.0,0.0
2215.0,0.0,19726040.0,0.0
2216.0,0.0,17668212.0,5123.1777
2217.0,0.0,17513256.0,0.0
2218.0,0.0,16899846.0,0.0
2219.0,0.0,14731095.0,0.0
2220.0,0.0,14251142.0,0.0
2221.0,0.0,13651528.0,0.0
2222.0,0.0,12888817.0,0.0
2223.0,0.0,11767105.0,0.0
2224.0,0.0,10938292.0,0.0
2225.0,0.0,9878322.0,0.0
2226.0,0.0,10011080.0,0.0
2227.0,0.0,10114109.0,0.0
2228.0,0.0,9661516.0,0.0
2229.0,0.0,9353335.0,0.0
2230.0,0.0,9330375.0,0.0
2231.0,0.0,9172467.0,0.0
2232.0,0.0,8337575.0,0.0
2233.0,0.0,8960332.0,0.0
2234.0,0.0,8365686.0,0.0
2235.0,0.0,7939480.0,0.0
2236.0,0.0,8672615.0,0.0
2237.0,0.0,8064659.0,0.0
2238.0,0.0,7990601.0,0.0
2239.0,0.0,7240476.5,0.0
2240.0,0.0,7296268.5,0.0
2241.0,0.0,7118064.5,0.0
2242.0,0.0,6965893.0,0.0
2243.0,0.0,6495466.5,0.0
2244.0,0.0,6112970.5,0.0
2245.0,0.0,5929637.0,0.0
2246.0,0.0,5735903.0,0.0
2247.0,0.0,5704643.0,0.0
2248.0,0.0,5339736.0,0.0
2249.0,0.0,5432798.0,0.0
2250.0,0.0,5695214.5,0.0
2251.0,0.0,5215411.0,0.0
2252.0,0.0,4593397.5,0.0
2253.0,0.0,5193022.5,0.0
2254.0,0.0,4897557.5,0.0
2255.0,0.0,4589461.5,0.0
2256.0,0.0,4755408.0,0.0
2257.0,0.0,4368566.0,0.0
2258.0,0.0,4135962.2,0.0
2259.0,0.0,3938785.8,0.0
2260.0,0.0,4893330.0,0.0
2261.0,0.0,3889915.0,0.0
2262.0,0.0,3733102.2,0.0
2263.0,0.0,3729520.2,0.0
2264.0,0.0,3591921.2,0.0
2265.0,0.0,3520034.2,0.0
2266.0,0.0,3324461.5,0.0
2267.0,0.0,3341348.0,0.0
2268.0,0.0,3231208.2,0.0
2269.0,0.0,3105495.2,0.0
2270.0,0.0,2870402.8,0.0
2271.0,0.0,2686523.2,0.0
2272.0,0.0,2642009.0,0.0
2273.0,0.0,2624496.2,0.0
2274.0,0.0,2643042.2,0.0
2275.0,0.0,2620326.2,0.0
2276.0,0.0,2524125.8,0.0
2277.0,0.0,2497795.0,0.0
2278.0,0.0,2481063.5,0.0
2279.0,0.0,2616916.0,0.0
2280.0,0.0,2451692.5,0.0
2281.0,0.0,2503785.5,0.0
2282.0,0.0,2438200.8,0.0
2283.0,0.0,2448593.5,0.0
2284.0,0.0,2352616.0,0.0
2285.0,0.0,2262540.5,0.0
2286.0,0.0,2243738.5,0.0
2287.0,0.0,2375091.0,0.0
2288.0,0.0,2255786.5,0.0
2289.0,0.0,2230606.8,0.0
2290.0,0.0,2185266.8,0.0
2291.0,0.0,2160102.2,0.0
2292.0,0.0,2039882.0,0.0
2293.0,0.0,1945012.0,0.0
2294.0,0.0,2489615.0,0.0
2295.0,0.0,1991946.9,0.0
2296.0,0.0,1972839.5,0.0
2297.0,0.0,2051866.2,0.0
2298.0,0.0,2886601.0,0.0
2299.0,0.0,2248181.8,0.0
2300.0,0.0,2303200.2,0.0
