time,MPI-ESM-LR,NORESM1-M,CSIRO-MK3-6-0,CESM1-CAM5
2000.0,888781200000.0,888707800000.0,887186850000.0,888781200000.0
2001.0,888295400000.0,888223400000.0,886709000000.0,888295400000.0
2002.0,885718600000.0,885648700000.0,884138840000.0,885718600000.0
2003.0,883533900000.0,883464600000.0,881966450000.0,883533900000.0
2004.0,879303300000.0,879236000000.0,877737300000.0,879303300000.0
2005.0,875491030000.0,875426150000.0,873934160000.0,875491030000.0
2006.0,865732460000.0,865669550000.0,864173500000.0,865732460000.0
2007.0,853378000000.0,853317400000.0,851831700000.0,853378000000.0
2008.0,843030270000.0,842972270000.0,841491700000.0,843030270000.0
2009.0,840793000000.0,840737360000.0,839247700000.0,840793000000.0
2010.0,822662300000.0,822609700000.0,821144400000.0,822662300000.0
2011.0,810176350000.0,810128000000.0,808646900000.0,810176350000.0
2012.0,804650300000.0,804604740000.0,803110700000.0,804650300000.0
2013.0,791628550000.0,791586870000.0,790095270000.0,791628550000.0
2014.0,787362000000.0,787320800000.0,785821900000.0,787362000000.0
2015.0,775666340000.0,775627300000.0,774139150000.0,775666340000.0
2016.0,770273000000.0,770235800000.0,768746200000.0,770273000000.0
2017.0,760538100000.0,760504100000.0,759031330000.0,760538100000.0
2018.0,752490100000.0,752457740000.0,750985940000.0,752490100000.0
2019.0,740732960000.0,740702400000.0,739233230000.0,740732960000.0
2020.0,733207400000.0,733178700000.0,731709200000.0,733207400000.0
2021.0,717374900000.0,726382500000.0,723962360000.0,720789600000.0
2022.0,711377940000.0,708531500000.0,717418100000.0,711801960000.0
2023.0,721133100000.0,694634800000.0,700625300000.0,703169230000.0
2024.0,714458400000.0,677199940000.0,699435900000.0,693983640000.0
2025.0,702694900000.0,650519200000.0,688124850000.0,690227700000.0
2026.0,703141400000.0,656288060000.0,662372600000.0,683705800000.0
2027.0,691401850000.0,640191000000.0,650448000000.0,669296200000.0
2028.0,682265000000.0,630318960000.0,627984240000.0,657616300000.0
2029.0,666446800000.0,608952060000.0,617431800000.0,648010600000.0
2030.0,644770900000.0,599482600000.0,613781600000.0,629439600000.0
2031.0,641993100000.0,583433850000.0,621377800000.0,625667600000.0
2032.0,623736460000.0,574812000000.0,605665000000.0,607359100000.0
2033.0,621128250000.0,560033900000.0,593579600000.0,596698700000.0
2034.0,630376100000.0,542962300000.0,571505800000.0,574708300000.0
2035.0,610475300000.0,532351900000.0,553067540000.0,549247580000.0
2036.0,603070000000.0,513410630000.0,531883980000.0,543018100000.0
2037.0,585171340000.0,510115020000.0,522204250000.0,529147360000.0
2038.0,567092100000.0,496749900000.0,513513400000.0,514086830000.0
2039.0,555835400000.0,482280640000.0,518088430000.0,500421330000.0
2040.0,535001760000.0,483069700000.0,514485550000.0,491051900000.0
2041.0,512307920000.0,467791800000.0,508665360000.0,472849550000.0
2042.0,501750200000.0,461555630000.0,494422500000.0,460380960000.0
2043.0,488887800000.0,447502700000.0,482824260000.0,447982100000.0
2044.0,474024600000.0,433352900000.0,470799200000.0,431675150000.0
2045.0,452339600000.0,412665300000.0,452054450000.0,420860460000.0
2046.0,441935700000.0,400606560000.0,445636670000.0,413528400000.0
2047.0,435337630000.0,409944880000.0,425502440000.0,398542340000.0
2048.0,427538780000.0,398319200000.0,408698300000.0,399385130000.0
2049.0,408256740000.0,390359940000.0,397012140000.0,394856240000.0
2050.0,396847100000.0,377270400000.0,388081420000.0,385952580000.0
2051.0,387082030000.0,368527700000.0,383034750000.0,373910670000.0
2052.0,369596900000.0,379198800000.0,370814750000.0,361901260000.0
2053.0,355704440000.0,367404200000.0,358310870000.0,353456980000.0
2054.0,343822900000.0,371883900000.0,345715300000.0,344117480000.0
2055.0,331625760000.0,364314850000.0,331948300000.0,331420430000.0
2056.0,319859600000.0,361126100000.0,319524370000.0,322650300000.0
2057.0,312578200000.0,354482000000.0,307556940000.0,317514840000.0
2058.0,305291460000.0,345300500000.0,302442940000.0,311102280000.0
2059.0,297211720000.0,340983400000.0,290044580000.0,306131760000.0
2060.0,288098980000.0,329828470000.0,281614650000.0,296638550000.0
2061.0,280085200000.0,325338960000.0,273641360000.0,289123370000.0
2062.0,277628940000.0,320868020000.0,269853660000.0,286329540000.0
2063.0,269677260000.0,311179800000.0,262840600000.0,277629900000.0
2064.0,265793980000.0,304846180000.0,264075850000.0,271708470000.0
2065.0,256530100000.0,299935470000.0,252571090000.0,265174560000.0
2066.0,250705430000.0,320030830000.0,253099790000.0,257956990000.0
2067.0,243083660000.0,311063970000.0,250633800000.0,251352730000.0
2068.0,238449260000.0,310242540000.0,245103500000.0,243760990000.0
2069.0,234350850000.0,308910700000.0,249114800000.0,241126720000.0
2070.0,239175250000.0,305423160000.0,245862900000.0,235043860000.0
2071.0,231360380000.0,295842600000.0,282534400000.0,229637100000.0
2072.0,234105600000.0,288074040000.0,271645470000.0,226520860000.0
2073.0,232836000000.0,284942100000.0,262644300000.0,224140920000.0
2074.0,232838800000.0,280164830000.0,258018360000.0,216855900000.0
2075.0,224853560000.0,273727850000.0,252312110000.0,213746860000.0
2076.0,221779070000.0,272186490000.0,246170100000.0,213734520000.0
2077.0,220052340000.0,267117260000.0,237393690000.0,208297970000.0
2078.0,217274500000.0,263060670000.0,231151100000.0,207868130000.0
2079.0,215101730000.0,267909800000.0,223062360000.0,205957710000.0
2080.0,214056960000.0,262235900000.0,217619500000.0,206118060000.0
2081.0,209322440000.0,256588700000.0,209820340000.0,202681750000.0
2082.0,208527200000.0,255367460000.0,203613670000.0,199057080000.0
2083.0,209622430000.0,247748940000.0,196441150000.0,194840400000.0
2084.0,209186490000.0,245133820000.0,189958470000.0,190597350000.0
2085.0,205654130000.0,244256920000.0,187956460000.0,184913120000.0
2086.0,203533010000.0,243467120000.0,182252520000.0,180363460000.0
2087.0,201248110000.0,248370710000.0,176303280000.0,180750120000.0
2088.0,195077180000.0,248184800000.0,174449540000.0,176554660000.0
2089.0,192126780000.0,247013820000.0,166610200000.0,172894630000.0
2090.0,191527680000.0,238657110000.0,160023350000.0,168240680000.0
2091.0,188629340000.0,234009500000.0,158008870000.0,165731350000.0
2092.0,186864290000.0,228509810000.0,151482420000.0,161944300000.0
2093.0,197365960000.0,229214780000.0,147540600000.0,156526870000.0
2094.0,197868290000.0,222515500000.0,145343000000.0,158141500000.0
2095.0,195201100000.0,222841950000.0,142483910000.0,154523350000.0
2096.0,191631650000.0,219600320000.0,145078140000.0,153327600000.0
2097.0,188539750000.0,213559440000.0,150853600000.0,153185270000.0
2098.0,185071940000.0,210666340000.0,162703490000.0,149773900000.0
2099.0,184137040000.0,201576400000.0,164683480000.0,148423460000.0
2100.0,183674670000.0,201210580000.0,167288440000.0,148249990000.0
2101.0,182169550000.0,198615760000.0,165674040000.0,148003100000.0
2102.0,177642140000.0,199455850000.0,163325460000.0,143436580000.0
2103.0,174147350000.0,200777430000.0,171118540000.0,145577980000.0
2104.0,169011760000.0,200841600000.0,182294640000.0,145014010000.0
2105.0,170222200000.0,196352070000.0,181044050000.0,143056400000.0
2106.0,165374670000.0,193213800000.0,182472030000.0,141934380000.0
2107.0,159613060000.0,190498050000.0,181854860000.0,141503050000.0
2108.0,157214210000.0,195116340000.0,184016580000.0,139122700000.0
2109.0,154054840000.0,194128220000.0,196152050000.0,138037460000.0
2110.0,151169340000.0,194354400000.0,202453990000.0,135848526000.0
2111.0,148228960000.0,194371440000.0,201052270000.0,137294480000.0
2112.0,146476810000.0,194194780000.0,204532730000.0,137694800000.0
2113.0,144003200000.0,190173740000.0,195506200000.0,137168450000.0
2114.0,141374700000.0,189730700000.0,199319650000.0,136722110000.0
2115.0,137007790000.0,187240450000.0,205437880000.0,139613180000.0
2116.0,132658480000.0,187832160000.0,195165160000.0,140726600000.0
2117.0,134083910000.0,192572240000.0,189147380000.0,140803340000.0
2118.0,134429890000.0,194432040000.0,185989680000.0,137633040000.0
2119.0,132921025000.0,191260410000.0,181955530000.0,138869520000.0
