time,MPI-ESM-LR,CCSM4,CSIRO-MK3-6-0
2000.0,888781200000.0,888781200000.0,876087600000.0
2001.0,888295400000.0,888295400000.0,875606800000.0
2002.0,885718600000.0,885718600000.0,873057900000.0
2003.0,883533900000.0,883533900000.0,870965840000.0
2004.0,879303300000.0,879303300000.0,866721860000.0
2005.0,875491030000.0,875491030000.0,862984800000.0
2006.0,865732460000.0,865732460000.0,853215350000.0
2007.0,853378000000.0,853378000000.0,840958600000.0
2008.0,843030270000.0,843030270000.0,830676340000.0
2009.0,840793000000.0,840793000000.0,828351800000.0
2010.0,822662300000.0,822662300000.0,810445800000.0
2011.0,810176350000.0,810176350000.0,797858860000.0
2012.0,804650300000.0,804650300000.0,792238400000.0
2013.0,791628550000.0,791628550000.0,779320200000.0
2014.0,787362000000.0,787362000000.0,774998200000.0
2015.0,775666340000.0,775666340000.0,763448460000.0
2016.0,770273000000.0,770273000000.0,758037000000.0
2017.0,760538100000.0,760538100000.0,748483440000.0
2018.0,752490100000.0,752490100000.0,740439500000.0
2019.0,740732960000.0,740732960000.0,728726630000.0
2020.0,733207400000.0,733207400000.0,721212340000.0
2021.0,721597560000.0,720668400000.0,705300700000.0
2022.0,706715060000.0,704328400000.0,701266600000.0
2023.0,685858300000.0,684690800000.0,701737600000.0
2024.0,665128100000.0,663821160000.0,700486600000.0
2025.0,646606100000.0,647908500000.0,690134100000.0
2026.0,630292700000.0,634023400000.0,677169900000.0
2027.0,613038300000.0,626740600000.0,670807600000.0
2028.0,600537800000.0,615079400000.0,666027100000.0
2029.0,581589800000.0,601702900000.0,648253200000.0
2030.0,575594600000.0,589802300000.0,636624300000.0
2031.0,580048800000.0,576055200000.0,667810600000.0
2032.0,581263950000.0,559270300000.0,650178460000.0
2033.0,575554850000.0,547840800000.0,636872900000.0
2034.0,556934700000.0,531992380000.0,625080400000.0
2035.0,548828400000.0,521323740000.0,603991440000.0
2036.0,533325600000.0,511797430000.0,602590740000.0
2037.0,522924300000.0,491020780000.0,597893840000.0
2038.0,513104600000.0,472240000000.0,593446630000.0
2039.0,498924980000.0,456557430000.0,571428900000.0
2040.0,476117430000.0,445426040000.0,563393660000.0
2041.0,460833720000.0,434267500000.0,548272000000.0
2042.0,444315000000.0,421961920000.0,532796570000.0
2043.0,433144600000.0,411837300000.0,507487940000.0
2044.0,420328400000.0,393549200000.0,495427600000.0
2045.0,412215400000.0,381125820000.0,490502800000.0
2046.0,398832240000.0,369214700000.0,472347100000.0
2047.0,384768570000.0,361545600000.0,460513440000.0
2048.0,369970050000.0,352654720000.0,451107550000.0
2049.0,357284020000.0,345003460000.0,443829130000.0
2050.0,347167030000.0,335196230000.0,432460860000.0
2051.0,332742700000.0,327724340000.0,531777600000.0
2052.0,324504400000.0,319884070000.0,514388300000.0
2053.0,312899500000.0,306143500000.0,503984230000.0
2054.0,299146870000.0,296133620000.0,484323160000.0
2055.0,285067670000.0,289616530000.0,498866320000.0
2056.0,266949150000.0,276772320000.0,482701770000.0
2057.0,252857430000.0,264125420000.0,460366680000.0
2058.0,248154770000.0,252985570000.0,447785140000.0
2059.0,233842340000.0,245498460000.0,433862400000.0
2060.0,227045950000.0,233200200000.0,440089600000.0
2061.0,217091960000.0,224580780000.0,428689260000.0
2062.0,210280860000.0,214806900000.0,408327100000.0
2063.0,201209300000.0,202952440000.0,380473150000.0
2064.0,186095570000.0,194179320000.0,360502130000.0
2065.0,174338260000.0,187947160000.0,343129800000.0
2066.0,168739230000.0,183023440000.0,336194470000.0
2067.0,160061280000.0,173604240000.0,320329700000.0
2068.0,153722320000.0,166869520000.0,306444370000.0
2069.0,149260470000.0,157068920000.0,285507700000.0
2070.0,143297460000.0,149604040000.0,271760650000.0
2071.0,138221570000.0,145714270000.0,261088760000.0
2072.0,130891360000.0,140946700000.0,252580300000.0
2073.0,125951810000.0,136399380000.0,240977230000.0
2074.0,118677700000.0,132334570000.0,230112890000.0
2075.0,112711210000.0,128237450000.0,215410310000.0
2076.0,109544360000.0,122998596000.0,208411160000.0
2077.0,107065630000.0,119920600000.0,205376420000.0
2078.0,99748720000.0,114113300000.0,195356500000.0
2079.0,95989940000.0,109239460000.0,185703600000.0
2080.0,90995155000.0,106114740000.0,175051030000.0
2081.0,89407550000.0,100321350000.0,165123640000.0
2082.0,84728900000.0,96923110000.0,156029630000.0
2083.0,80357650000.0,92974014000.0,151395880000.0
2084.0,76083280000.0,90842990000.0,144718200000.0
2085.0,72406340000.0,88855520000.0,141945290000.0
2086.0,69312600000.0,84710380000.0,133858790000.0
2087.0,66831230000.0,83146375000.0,124246680000.0
2088.0,64532566000.0,82302020000.0,117242060000.0
2089.0,61762044000.0,79956890000.0,116185375000.0
2090.0,58362937000.0,76523110000.0,108688490000.0
2091.0,56653996000.0,73866130000.0,103577790000.0
2092.0,54509240000.0,70959960000.0,104095400000.0
2093.0,52491444000.0,68165964000.0,100844820000.0
2094.0,49826378000.0,68387254000.0,96821805000.0
2095.0,47135285000.0,65900052000.0,90553980000.0
2096.0,46634295000.0,64520980000.0,85846820000.0
2097.0,45960315000.0,63319024000.0,88706110000.0
2098.0,44488884000.0,63258860000.0,86543760000.0
2099.0,42527543000.0,60879766000.0,83818290000.0
2100.0,40802136000.0,60737573000.0,80263455000.0
2101.0,39147266000.0,57299930000.0,77686080000.0
2102.0,37276860000.0,56122274000.0,74547750000.0
2103.0,35879145000.0,55496524000.0,72030450000.0
2104.0,34334448000.0,55208420000.0,68922790000.0
2105.0,33370335000.0,53823450000.0,66760230000.0
2106.0,32164088000.0,54241595000.0,63620047000.0
2107.0,31958594000.0,53984215000.0,61042630000.0
2108.0,29984412000.0,53373637000.0,58377884000.0
2109.0,28846914000.0,52341760000.0,56993608000.0
2110.0,29137277000.0,51448582000.0,55874417000.0
2111.0,29272650000.0,50194575000.0,54149595000.0
2112.0,28771598000.0,48331833000.0,52521894000.0
2113.0,26910314000.0,47257950000.0,49157095000.0
2114.0,26603854000.0,45306454000.0,52231393000.0
2115.0,26103575000.0,44588520000.0,50839765000.0
2116.0,24755501000.0,43553620000.0,47253844000.0
2117.0,23493153000.0,44023144000.0,48486855000.0
2118.0,22960810000.0,43062366000.0,45967184000.0
2119.0,22392330000.0,42125607000.0,43411476000.0
2120.0,21072564000.0,41034640000.0,42445740000.0
2121.0,20495920000.0,40289130000.0,42453885000.0
2122.0,19487386000.0,39992594000.0,38449730000.0
2123.0,18592800000.0,39545897000.0,36264997000.0
2124.0,18556850000.0,40329420000.0,34263330000.0
2125.0,18076027000.0,38604160000.0,33266538000.0
2126.0,17659460000.0,38674543000.0,31547232000.0
2127.0,17633460000.0,37585687000.0,30133506000.0
2128.0,17289052000.0,36585150000.0,29530036000.0
2129.0,16964123000.0,35565060000.0,29992290000.0
2130.0,16364450000.0,35265780000.0,28886800000.0
2131.0,15666605000.0,34714042000.0,27887430000.0
2132.0,14998869000.0,33918929000.0,28808143000.0
2133.0,14444567000.0,32420512000.0,28582440000.0
2134.0,14209488000.0,31363707000.0,27245476000.0
2135.0,14243333000.0,30738708000.0,26961210000.0
2136.0,13942863000.0,29983810000.0,26260922000.0
2137.0,13119568000.0,29328212000.0,25454873000.0
2138.0,12513562000.0,28325927000.0,24120488000.0
2139.0,12024882000.0,27827765000.0,23214655000.0
2140.0,11512082000.0,27463810000.0,23549798000.0
2141.0,11077265000.0,27315100000.0,27689423000.0
2142.0,10861543000.0,26818700000.0,26740896000.0
2143.0,10582890000.0,26190406000.0,24291060000.0
2144.0,10644103000.0,25649080000.0,22878042000.0
2145.0,10596338000.0,25996544000.0,22891852000.0
2146.0,10455013000.0,25450555000.0,21778630000.0
2147.0,10135860000.0,25481497000.0,20240304000.0
2148.0,9621131000.0,25972427000.0,18498212000.0
2149.0,8926051000.0,25637802000.0,17747325000.0
2150.0,8583117300.0,24608790000.0,16528403000.0
2151.0,8150768000.0,24390644000.0,16010810000.0
2152.0,7739183600.0,24393902000.0,15638128000.0
2153.0,7246624300.0,23487205000.0,14916383000.0
2154.0,7499086000.0,23226305000.0,14719997000.0
2155.0,7734446600.0,22964298000.0,14181021000.0
2156.0,7565672400.0,22442893000.0,14550599000.0
2157.0,7289341000.0,21893245000.0,14734179000.0
2158.0,6862876700.0,21333137000.0,13654067000.0
2159.0,6609714000.0,21355061000.0,13189753000.0
2160.0,6704699400.0,20393314000.0,13219536000.0
2161.0,6533665000.0,19723162000.0,13422830000.0
2162.0,6576251000.0,19681130000.0,13227127000.0
2163.0,6252208000.0,19102802000.0,13223888000.0
2164.0,6197177000.0,18481398000.0,13300270000.0
2165.0,6249088000.0,18738209000.0,12303114000.0
2166.0,5868055000.0,18831206000.0,13493118000.0
2167.0,5776181000.0,18418072000.0,12458616000.0
2168.0,5677292000.0,17594810000.0,12781572000.0
2169.0,5514899000.0,16982503000.0,12566171000.0
2170.0,5518513000.0,16784878000.0,11302641000.0
2171.0,5707016000.0,16578103000.0,10095738000.0
2172.0,5755240000.0,16556283000.0,9588963000.0
2173.0,5654827000.0,16329307000.0,8726738000.0
2174.0,5717098500.0,16526047000.0,8474382300.0
2175.0,5652952600.0,16380332000.0,7760884700.0
2176.0,5562809000.0,15966875000.0,9136325000.0
2177.0,5292684300.0,15705498000.0,9297964000.0
2178.0,5105731000.0,15402434000.0,8826328000.0
2179.0,4876154400.0,15253321000.0,8137131000.0
2180.0,4853961000.0,15308587000.0,8003570700.0
2181.0,4842326000.0,15323206000.0,7649365500.0
2182.0,4801144000.0,15223038000.0,7229554000.0
2183.0,4774673400.0,14946446000.0,7291342300.0
2184.0,4729218600.0,15304194000.0,9252850000.0
2185.0,4714309000.0,15063101000.0,8778906000.0
2186.0,4460866000.0,14745510000.0,8403014000.0
2187.0,4281225700.0,14615918000.0,7278810000.0
2188.0,4159859200.0,14879694000.0,7452063000.0
2189.0,4141711000.0,14869264000.0,7308355600.0
2190.0,4261073200.0,14356639000.0,6706320000.0
2191.0,4022144500.0,14007539000.0,6078025000.0
2192.0,4026906600.0,14067927000.0,5695587000.0
2193.0,3948565800.0,14366662000.0,5501143000.0
2194.0,3978405400.0,14118689000.0,5468381000.0
2195.0,3954616800.0,14191325000.0,5588201500.0
2196.0,3793958100.0,14162338000.0,5193736700.0
2197.0,3878361300.0,14257908000.0,4902866400.0
2198.0,3890386000.0,13772004000.0,4940855300.0
2199.0,3724503300.0,13970651000.0,4736833500.0
2200.0,3771695400.0,13736831000.0,4877247500.0
2201.0,3691720700.0,13932120000.0,4842937300.0
2202.0,3481919700.0,14216875000.0,4640210000.0
2203.0,3416193000.0,13564128000.0,4253751300.0
2204.0,3560909600.0,13099490000.0,4085977300.0
2205.0,3661439500.0,12936230000.0,4012168000.0
2206.0,3610596400.0,12907192000.0,3709779200.0
2207.0,3629553200.0,13005544000.0,3646876200.0
2208.0,3599492000.0,12682774000.0,3593113000.0
2209.0,3603501000.0,12456140000.0,3384276000.0
2210.0,3671704300.0,12565578000.0,3221609200.0
2211.0,3624540700.0,12610809000.0,3683563300.0
2212.0,3549706800.0,12222038000.0,3754773500.0
2213.0,3532779000.0,12178781000.0,3740138200.0
2214.0,3628164900.0,12032923000.0,3690110200.0
2215.0,3519415000.0,11970698000.0,3633716500.0
2216.0,3658005500.0,11687996000.0,4022844700.0
2217.0,3717180400.0,11914317000.0,3705963500.0
2218.0,3647409000.0,11951825000.0,3420105700.0
2219.0,3514238700.0,11719600000.0,3344525800.0
2220.0,3368537300.0,11754586000.0,3186777600.0
2221.0,3317788000.0,11720421000.0,3126040000.0
2222.0,3199663900.0,11387631000.0,3125098000.0
2223.0,3205736200.0,11064355000.0,3127307800.0
2224.0,3199987200.0,11461797000.0,3157531600.0
2225.0,3122294500.0,11478666000.0,3544941300.0
2226.0,2896154400.0,11317887000.0,3477651700.0
2227.0,2809437200.0,11153823000.0,3511550000.0
2228.0,2667230000.0,10830867000.0,3731495400.0
2229.0,2545881300.0,10560307000.0,4957784000.0
2230.0,2558642000.0,10596066000.0,4592948700.0
2231.0,2504380200.0,10853129000.0,4035050000.0
2232.0,2402948600.0,10377544000.0,3796113200.0
2233.0,2410253800.0,10170195000.0,3617063700.0
2234.0,2411012600.0,9781201000.0,3697741800.0
2235.0,2356457000.0,9469874000.0,3609213000.0
2236.0,2347212300.0,9558710000.0,3640342500.0
2237.0,2379139000.0,9806579000.0,3802284000.0
2238.0,2397586700.0,9900205000.0,4016323300.0
2239.0,2374332700.0,10004895000.0,4057353700.0
2240.0,2310846500.0,9640659000.0,4614975500.0
2241.0,2257962000.0,9565169000.0,4150612700.0
2242.0,2303101400.0,9521247000.0,3783289900.0
2243.0,2446602500.0,9384138000.0,3868143400.0
2244.0,2445980000.0,9628564000.0,4326388700.0
2245.0,2555667500.0,9858928000.0,4312470500.0
2246.0,2716707300.0,9814255000.0,3868427000.0
2247.0,2739371800.0,9714601000.0,3664146200.0
2248.0,2712525800.0,9663683000.0,3630074400.0
2249.0,2615830500.0,9432067000.0,3402437400.0
2250.0,2628769500.0,10066269000.0,3578865700.0
2251.0,2602898200.0,9867903000.0,3332527400.0
2252.0,2503202000.0,9714634000.0,3328154000.0
2253.0,2448746800.0,9408753000.0,3399120100.0
2254.0,2331849700.0,9587239000.0,3426615000.0
2255.0,2290777900.0,9427020000.0,3027549400.0
2256.0,2248891400.0,9334800000.0,2844418300.0
2257.0,2308738000.0,9385080000.0,2898741200.0
2258.0,2419334700.0,9394177000.0,2644992800.0
2259.0,2464920000.0,9389104000.0,2563179800.0
2260.0,2451196200.0,9180908000.0,2665347800.0
2261.0,2421844500.0,9233378000.0,2615082800.0
2262.0,2384100000.0,9349235000.0,2755612000.0
2263.0,2372085000.0,9434879000.0,3329990000.0
2264.0,2329940500.0,9151455000.0,3221878500.0
2265.0,2268012300.0,8944522000.0,3330941400.0
2266.0,2305867300.0,8705431000.0,3148670000.0
2267.0,2282228000.0,8736784000.0,2870293000.0
2268.0,2257635800.0,8663393000.0,2529994800.0
2269.0,2260361000.0,8635466000.0,2724839000.0
2270.0,2276524500.0,8474968000.0,3100992000.0
2271.0,2275723000.0,8487441400.0,2989606000.0
2272.0,2294601500.0,8708890000.0,2813984300.0
2273.0,2272242000.0,8942917000.0,2693095000.0
2274.0,2245086700.0,9010093000.0,2870844400.0
2275.0,2316169000.0,8975620000.0,2707339500.0
2276.0,2342479600.0,9103243000.0,2498036500.0
2277.0,2293716500.0,8636871000.0,2576050000.0
2278.0,2273516800.0,8444338700.0,2393212400.0
2279.0,2246326300.0,8662352000.0,2374534700.0
2280.0,2191064800.0,8827272000.0,2866556000.0
2281.0,2183876600.0,8862268000.0,2846523600.0
2282.0,2202801400.0,8698717000.0,2488716800.0
2283.0,2112065400.0,8676506000.0,2209411800.0
2284.0,2168339000.0,8717285000.0,2235851300.0
2285.0,2130975100.0,8747438000.0,2334999300.0
2286.0,2121857000.0,8688872000.0,2168617200.0
2287.0,2070542300.0,8614477000.0,2092659000.0
2288.0,2094579800.0,8422776300.0,2005717400.0
2289.0,2048190000.0,8173550000.0,1918314100.0
2290.0,2048739100.0,8746465000.0,1973731200.0
2291.0,2003145300.0,8638414000.0,1877514500.0
2292.0,2135864600.0,8605027000.0,1863071600.0
2293.0,2199228200.0,8576757000.0,2045569000.0
2294.0,2149233700.0,8800786000.0,2523087600.0
2295.0,2146531600.0,8674012000.0,2605974500.0
2296.0,2036207400.0,8622426000.0,3787680300.0
2297.0,2085843200.0,8558941000.0,3157767400.0
2298.0,2061297900.0,8358704600.0,2660830500.0
2299.0,2038774000.0,8644407000.0,2904929500.0
2300.0,1970240600.0,8517945000.0,2774540500.0
