time,UKESM1-0-LL,MPI-ESM1-2-HR,MRI-ESM2-0,IPSL-CM6A-LR,GFDL-ESM4
2033.0,57096462000.0,80256710000.0,59588730000.0,73678860000.0,86684460000.0
2034.0,53515497000.0,78136600000.0,56745595000.0,69948514000.0,84592110000.0
2035.0,50057662000.0,77184836000.0,53841887000.0,66190370000.0,84222270000.0
2036.0,46773280000.0,75398270000.0,52246200000.0,63988150000.0,82413750000.0
2037.0,43224596000.0,73560260000.0,49912422000.0,61923176000.0,81036890000.0
2038.0,40146470000.0,70950800000.0,46280925000.0,60189390000.0,78573820000.0
2039.0,38193275000.0,69293220000.0,42799497000.0,57543570000.0,76330660000.0
2040.0,34664220000.0,68120890000.0,40657440000.0,54509875000.0,73522890000.0
2041.0,31907252000.0,65714352000.0,38520865000.0,51573645000.0,70989520000.0
2042.0,29491378000.0,64419537000.0,37035164000.0,49372460000.0,69254370000.0
2043.0,27732777000.0,61867480000.0,34947880000.0,47427056000.0,67417370000.0
2044.0,25587552000.0,60940845000.0,33337480000.0,44651827000.0,66812820000.0
2045.0,23546579000.0,59265550000.0,31686885000.0,43071160000.0,64642980000.0
2046.0,21870858000.0,57295864000.0,29625991000.0,40769710000.0,63521325000.0
2047.0,20315636000.0,56604578000.0,27768690000.0,38791230000.0,62163950000.0
2048.0,18174855000.0,55207883000.0,26480525000.0,37113450000.0,59679680000.0
2049.0,16616831000.0,52850123000.0,25355442000.0,34485450000.0,58190578000.0
2050.0,15560824000.0,50303920000.0,24495150000.0,32213279000.0,56604090000.0
2051.0,14336706000.0,48148970000.0,23693677000.0,30005043000.0,55238943000.0
2052.0,13305121000.0,45720936000.0,22957670000.0,28256772000.0,53172703000.0
2053.0,12391045000.0,43813560000.0,22190000000.0,26705727000.0,51864690000.0
2054.0,11633361000.0,41759130000.0,21624881000.0,25184866000.0,50680828000.0
2055.0,10802046000.0,41150665000.0,21044658000.0,23588575000.0,49830530000.0
2056.0,10023369000.0,39639384000.0,20398717000.0,22106466000.0,47727100000.0
2057.0,9574418000.0,37164310000.0,19641660000.0,20558533000.0,45553267000.0
2058.0,8955274000.0,35714900000.0,19055290000.0,19299050000.0,44131475000.0
2059.0,8453464000.0,33698886000.0,17952570000.0,17833953000.0,43019182000.0
2060.0,7969255400.0,32159328000.0,17100955000.0,16685676000.0,40750174000.0
2061.0,7549603000.0,30756504000.0,16503565000.0,15504880000.0,39126036000.0
2062.0,7007468500.0,29791558000.0,15710051000.0,14736328000.0,37936742000.0
2063.0,6571841500.0,28574745000.0,15040015000.0,13409255000.0,36577450000.0
2064.0,6216541000.0,27168092000.0,14576651000.0,12470314000.0,34940076000.0
2065.0,6050806000.0,26151199000.0,14250354000.0,11902486000.0,33297447000.0
2066.0,5718492700.0,24829993000.0,13882367000.0,11414667000.0,32120068000.0
2067.0,5458435000.0,23731184000.0,13471516000.0,10763484000.0,31100180000.0
2068.0,5177102300.0,22921620000.0,12932983000.0,10198688000.0,29749199000.0
2069.0,4950949400.0,21843517000.0,12710401000.0,9477034000.0,28837630000.0
2070.0,4644433000.0,20776894000.0,12167947000.0,9064653000.0,27339809000.0
2071.0,4483357700.0,19868830000.0,11773798000.0,8518312000.0,26509752000.0
2072.0,4321677300.0,19442620000.0,11674319000.0,8085527000.0,25704774000.0
2073.0,4190681600.0,18885034000.0,11351980000.0,7553831000.0,24684850000.0
2074.0,4028335400.0,18242260000.0,11049662000.0,7190186500.0,23663600000.0
2075.0,3819475000.0,17631429000.0,10792160000.0,6953563600.0,23148505000.0
2076.0,3698503200.0,16865631000.0,10658764000.0,6668086000.0,22236207000.0
2077.0,3511783200.0,15937337000.0,10388872000.0,6424341000.0,21687628000.0
2078.0,3365763300.0,15242220000.0,10066719000.0,6211576000.0,21394352000.0
2079.0,3213877000.0,14766354000.0,9755957000.0,5926997500.0,20446642000.0
2080.0,3079412000.0,14217006000.0,9427732000.0,5658504000.0,19564683000.0
2081.0,2952681000.0,13518036000.0,9036611000.0,5409401000.0,18617070000.0
2082.0,2823819300.0,12970955000.0,8744346000.0,5240953000.0,17722073000.0
2083.0,2697245200.0,12526248000.0,8466220000.0,4952870400.0,16831284000.0
2084.0,2512806000.0,12271562000.0,8141687300.0,4713980400.0,16112215000.0
2085.0,2414899000.0,11542947000.0,7864005600.0,4516245500.0,15178874000.0
2086.0,2288253400.0,11114338000.0,7656507000.0,4282221600.0,14545994000.0
2087.0,2205566000.0,10699475000.0,7371565600.0,4087710500.0,14079328000.0
2088.0,2061492600.0,10314426000.0,7169289700.0,3857999600.0,13570348000.0
2089.0,1927903400.0,9998619000.0,7175698000.0,3672290000.0,13109270000.0
2090.0,1792304100.0,9521467000.0,7031987000.0,3420797200.0,12405266000.0
2091.0,1664801900.0,9144738000.0,6877767000.0,3253915100.0,11781881000.0
2092.0,1573729500.0,8734001000.0,6606408000.0,3103177000.0,11172189000.0
2093.0,1480082200.0,8516766000.0,6480650000.0,2957531400.0,10714717000.0
2094.0,1390444200.0,8163597300.0,6315510300.0,2829512200.0,10341387000.0
2095.0,1234474600.0,7946980400.0,6094588400.0,2704660000.0,9923448000.0
2096.0,1141394800.0,7675491300.0,5965933600.0,2604281000.0,9654772000.0
2097.0,1069122700.0,7489443300.0,5769229300.0,2435765200.0,9244891000.0
2098.0,980045250.0,7293101000.0,5563635700.0,2309226000.0,8869820000.0
2099.0,918499140.0,7152758300.0,5410137000.0,2214967600.0,8564121600.0
2100.0,847967360.0,6940126700.0,5382124000.0,2152868600.0,8186030000.0
