time,EC-EARTH3-VEG,EC-EARTH3,INM-CM5-0,INM-CM4-8,NORESM2-MM,CESM2-WACCM,CAMS-CSM1-0,MPI-ESM1-2-HR,FGOALS-F3-L,BCC-CSM2-MR,CESM2,MRI-ESM2-0,GFDL-ESM4
2022.0,4608233600000.0,4625054300000.0,4648020000000.0,4642682000000.0,4666849500000.0,4605175400000.0,4646273300000.0,4651157000000.0,4616240500000.0,4622363700000.0,4616404600000.0,4682737000000.0,4639141400000.0
2023.0,4587708000000.0,4599244000000.0,4630436600000.0,4607246000000.0,4651201000000.0,4569802000000.0,4620309000000.0,4637353600000.0,4590313000000.0,4592631000000.0,4579150000000.0,4649609000000.0,4623147000000.0
2024.0,4568377700000.0,4571122400000.0,4610779500000.0,4577321500000.0,4626562000000.0,4534699000000.0,4598697000000.0,4610402000000.0,4557189400000.0,4575102000000.0,4552159000000.0,4610648000000.0,4598466600000.0
2025.0,4545750500000.0,4537529700000.0,4578969400000.0,4539727500000.0,4591429600000.0,4483619000000.0,4563449000000.0,4590683000000.0,4520444000000.0,4545859000000.0,4512367000000.0,4605367000000.0,4569561000000.0
2026.0,4495001000000.0,4512819400000.0,4548668700000.0,4493869000000.0,4576434500000.0,4462803000000.0,4539931000000.0,4565350500000.0,4499264000000.0,4496758400000.0,4488293000000.0,4590412000000.0,4539141300000.0
2027.0,4472235400000.0,4484075400000.0,4512632300000.0,4470286000000.0,4547274000000.0,4419121000000.0,4522533500000.0,4553359000000.0,4458486400000.0,4470211600000.0,4456905700000.0,4587576000000.0,4501272000000.0
2028.0,4450356300000.0,4461093700000.0,4484249000000.0,4438562400000.0,4506835000000.0,4401322300000.0,4491584000000.0,4532254300000.0,4391412400000.0,4431893500000.0,4432859000000.0,4581591400000.0,4481895000000.0
2029.0,4424406000000.0,4423524300000.0,4453795600000.0,4401843400000.0,4461501000000.0,4370792700000.0,4465581600000.0,4516433400000.0,4357016500000.0,4402217000000.0,4406956000000.0,4555247000000.0,4458418300000.0
2030.0,4386286000000.0,4387941600000.0,4419172000000.0,4358292400000.0,4444787000000.0,4331335600000.0,4450340000000.0,4504686000000.0,4333839000000.0,4378678000000.0,4356119500000.0,4523879300000.0,4434045000000.0
2031.0,4341722800000.0,4351011600000.0,4388592300000.0,4328106000000.0,4417125000000.0,4302463800000.0,4429199700000.0,4487301000000.0,4298108800000.0,4329011200000.0,4297566500000.0,4460219000000.0,4417852000000.0
2032.0,4304189000000.0,4303457400000.0,4350391600000.0,4306615000000.0,4402555400000.0,4260266200000.0,4399698000000.0,4472746000000.0,4251954700000.0,4290682300000.0,4268228300000.0,4442115000000.0,4405273300000.0
2033.0,4273129000000.0,4268817000000.0,4323296400000.0,4264421200000.0,4381138200000.0,4202166000000.0,4387936700000.0,4460417000000.0,4228622600000.0,4261122700000.0,4249986800000.0,4428416000000.0,4370908800000.0
2034.0,4235942000000.0,4234249800000.0,4287967300000.0,4236775300000.0,4364617400000.0,4191927400000.0,4362573400000.0,4426437000000.0,4188831700000.0,4219383300000.0,4197193600000.0,4403658500000.0,4346066800000.0
2035.0,4211662700000.0,4187477800000.0,4264634600000.0,4219067400000.0,4367130300000.0,4191207300000.0,4348638700000.0,4414403000000.0,4160108400000.0,4180170800000.0,4148553300000.0,4367721200000.0,4315338000000.0
2036.0,4197092400000.0,4169324600000.0,4234452700000.0,4192583800000.0,4351423200000.0,4182103300000.0,4306511300000.0,4395390200000.0,4113952000000.0,4153766800000.0,4108745700000.0,4352441000000.0,4288677200000.0
2037.0,4163059800000.0,4158821000000.0,4216222400000.0,4167645800000.0,4301398000000.0,4177636400000.0,4280118400000.0,4364494200000.0,4039136000000.0,4128246600000.0,4071377600000.0,4322891700000.0,4257383000000.0
2038.0,4119027800000.0,4145341500000.0,4194040500000.0,4140687200000.0,4241869800000.0,4159921700000.0,4259232600000.0,4345979000000.0,4015931300000.0,4072558000000.0,4028721300000.0,4291793800000.0,4218247200000.0
2039.0,4068656800000.0,4124164800000.0,4166814000000.0,4108143800000.0,4206120000000.0,4140896600000.0,4241093600000.0,4326635600000.0,3983883600000.0,4010135800000.0,3983658700000.0,4265380200000.0,4181553300000.0
2040.0,4033307700000.0,4084677000000.0,4135344100000.0,4099689400000.0,4186105400000.0,4120455400000.0,4218190000000.0,4300195500000.0,3914791400000.0,3956466300000.0,3970956500000.0,4240591600000.0,4165837000000.0
2041.0,3999514800000.0,4061838200000.0,4117575800000.0,4071340000000.0,4170848700000.0,4071268800000.0,4188332000000.0,4283597000000.0,3887016700000.0,3934326600000.0,3946541200000.0,4241933200000.0,4130167600000.0
2042.0,3960210200000.0,4041770500000.0,4100303400000.0,4060362000000.0,4159428600000.0,4037925000000.0,4167809600000.0,4249470400000.0,3864530000000.0,3907750000000.0,3934412300000.0,4210838700000.0,4119607600000.0
2043.0,3935718600000.0,4014430700000.0,4085381600000.0,4047353000000.0,4130413000000.0,3991402000000.0,4154360900000.0,4217255800000.0,3821495600000.0,3871043500000.0,3911853000000.0,4213991800000.0,4094176000000.0
2044.0,3892586500000.0,3970487500000.0,4067692400000.0,4013429000000.0,4084404800000.0,3962247600000.0,4130519400000.0,4196122200000.0,3781825000000.0,3824755400000.0,3883541000000.0,4189068000000.0,4068462600000.0
2045.0,3852591200000.0,3944474700000.0,4046558600000.0,3987527000000.0,4073782200000.0,3926831400000.0,4084758700000.0,4168869000000.0,3761122800000.0,3801746500000.0,3853231000000.0,4185598500000.0,4038704800000.0
2046.0,3826099700000.0,3907275200000.0,4025566000000.0,3955173600000.0,4050027500000.0,3887500000000.0,4073932000000.0,4157904000000.0,3733083400000.0,3776406000000.0,3825687600000.0,4162687000000.0,4008947500000.0
2047.0,3784644000000.0,3848887900000.0,3996380600000.0,3927879500000.0,4019700600000.0,3840776600000.0,4062894600000.0,4135450300000.0,3686799800000.0,3746222800000.0,3791072300000.0,4124158700000.0,3968333000000.0
2048.0,3752436700000.0,3803288700000.0,3971836000000.0,3899379200000.0,3966974300000.0,3797359500000.0,4048126500000.0,4113423400000.0,3656923500000.0,3699682300000.0,3772254500000.0,4091839000000.0,3953824000000.0
2049.0,3710321400000.0,3763336000000.0,3945336000000.0,3869182300000.0,3939485600000.0,3771094000000.0,4021270600000.0,4068914800000.0,3641390400000.0,3663029300000.0,3757404300000.0,4078363500000.0,3922276000000.0
2050.0,3663731400000.0,3716118200000.0,3934206300000.0,3835404200000.0,3913954000000.0,3718296400000.0,3997801400000.0,4052091700000.0,3597373300000.0,3623737400000.0,3727534000000.0,4052755200000.0,3882778400000.0
2051.0,3617967300000.0,3691753200000.0,3922847300000.0,3799020500000.0,3898882700000.0,3683676800000.0,3988335000000.0,4033273100000.0,3574903900000.0,3587260500000.0,3708568000000.0,4030958400000.0,3858106400000.0
2052.0,3580977000000.0,3663096000000.0,3909219500000.0,3776448300000.0,3876960900000.0,3638270400000.0,3944291200000.0,4002454700000.0,3527737000000.0,3556541200000.0,3662622800000.0,4010142300000.0,3837585000000.0
2053.0,3518451000000.0,3630588000000.0,3902185100000.0,3744941700000.0,3834626700000.0,3577995000000.0,3916015900000.0,3975950600000.0,3498928200000.0,3525708300000.0,3631582800000.0,3999102700000.0,3817913000000.0
2054.0,3498182400000.0,3575451000000.0,3881006300000.0,3727275000000.0,3812932200000.0,3553840000000.0,3900602000000.0,3929824300000.0,3460819800000.0,3478947000000.0,3578185400000.0,3960416800000.0,3792826300000.0
2055.0,3453720000000.0,3521569400000.0,3847896200000.0,3712826200000.0,3794773200000.0,3517333400000.0,3865796700000.0,3900569300000.0,3420664000000.0,3445731600000.0,3520175000000.0,3926682500000.0,3771980300000.0
2056.0,3437424500000.0,3510430900000.0,3825424400000.0,3680751600000.0,3780769500000.0,3468854300000.0,3839213000000.0,3871006500000.0,3363982000000.0,3397114100000.0,3477384000000.0,3891578500000.0,3765105600000.0
2057.0,3417479300000.0,3478132000000.0,3795714800000.0,3658437600000.0,3728816500000.0,3416965000000.0,3823252300000.0,3838394000000.0,3342645300000.0,3367842600000.0,3429363400000.0,3863863600000.0,3744648000000.0
2058.0,3390101800000.0,3455947600000.0,3776829200000.0,3641327500000.0,3667431000000.0,3379891300000.0,3795043700000.0,3817481200000.0,3309987400000.0,3352338400000.0,3399270000000.0,3804047000000.0,3724716300000.0
2059.0,3366915100000.0,3412096700000.0,3761363000000.0,3625520500000.0,3654547700000.0,3330603500000.0,3762051000000.0,3792820200000.0,3275562000000.0,3327935600000.0,3346157800000.0,3766742200000.0,3706435100000.0
2060.0,3340610000000.0,3382708800000.0,3732455300000.0,3613566200000.0,3640119500000.0,3271656200000.0,3735360000000.0,3767116000000.0,3246613600000.0,3293951800000.0,3292292700000.0,3729785600000.0,3677550800000.0
2061.0,3309891700000.0,3340119000000.0,3714354500000.0,3590605200000.0,3615963700000.0,3246376600000.0,3726763400000.0,3740793000000.0,3218781200000.0,3260416000000.0,3261358700000.0,3718634300000.0,3654709700000.0
2062.0,3289338000000.0,3307505200000.0,3692433200000.0,3564964000000.0,3587573000000.0,3204540300000.0,3699246600000.0,3715946800000.0,3188329300000.0,3220217000000.0,3225154000000.0,3683922700000.0,3624610600000.0
2063.0,3244033000000.0,3267624000000.0,3675354300000.0,3547494400000.0,3570374500000.0,3148017000000.0,3671424800000.0,3697471400000.0,3141199500000.0,3178392500000.0,3185786200000.0,3633101700000.0,3610591400000.0
2064.0,3201305000000.0,3220062600000.0,3647524600000.0,3531081500000.0,3570955000000.0,3114147000000.0,3655652000000.0,3687123300000.0,3109093000000.0,3142759200000.0,3156022400000.0,3596904800000.0,3583585600000.0
2065.0,3190714500000.0,3192009800000.0,3622713700000.0,3498277000000.0,3561738700000.0,3087138800000.0,3620261600000.0,3654015000000.0,3078762300000.0,3115999800000.0,3132630200000.0,3561344200000.0,3567912000000.0
2066.0,3166426000000.0,3146270000000.0,3615465400000.0,3485222600000.0,3515815000000.0,3057874400000.0,3592551100000.0,3633064200000.0,3035115300000.0,3087517400000.0,3079032500000.0,3554045900000.0,3529411000000.0
2067.0,3129255400000.0,3113743500000.0,3592023200000.0,3474003000000.0,3456047300000.0,3010389900000.0,3556265200000.0,3618343200000.0,2989838000000.0,3051044000000.0,3054014800000.0,3505199500000.0,3508540000000.0
2068.0,3091681800000.0,3071320800000.0,3577213000000.0,3433676400000.0,3426628400000.0,2972193000000.0,3520080600000.0,3607337400000.0,2951485600000.0,3000480000000.0,3021634300000.0,3460376800000.0,3506143800000.0
2069.0,3052633600000.0,3046641200000.0,3570924500000.0,3404724200000.0,3389308800000.0,2947086000000.0,3502778400000.0,3581250400000.0,2915296300000.0,2969493600000.0,2991400400000.0,3425669000000.0,3478767000000.0
2070.0,3027929700000.0,3021347700000.0,3559294500000.0,3379432800000.0,3350950800000.0,2905511600000.0,3486982900000.0,3553305000000.0,2890298000000.0,2937601000000.0,2957954000000.0,3369604000000.0,3455289700000.0
2071.0,2996833000000.0,2990646200000.0,3553486700000.0,3355738600000.0,3333694000000.0,2867231000000.0,3464418300000.0,3535331400000.0,2846033000000.0,2907108300000.0,2910963000000.0,3307926700000.0,3441520500000.0
2072.0,2970419500000.0,2949886800000.0,3546730200000.0,3325019000000.0,3291494200000.0,2819968700000.0,3436531200000.0,3507507200000.0,2799999400000.0,2875151000000.0,2857747300000.0,3262544000000.0,3423398800000.0
2073.0,2929547000000.0,2906983800000.0,3525075500000.0,3304929400000.0,3261825000000.0,2786013700000.0,3409183500000.0,3486530700000.0,2745528700000.0,2842178600000.0,2805074200000.0,3219974000000.0,3405671600000.0
2074.0,2892911300000.0,2885961000000.0,3498083400000.0,3263084400000.0,3247450600000.0,2741372000000.0,3384310500000.0,3456525700000.0,2711746800000.0,2813802600000.0,2772019400000.0,3201798200000.0,3365698300000.0
2075.0,2850853000000.0,2847863500000.0,3472935400000.0,3245089800000.0,3215684800000.0,2696335000000.0,3350305700000.0,3426586700000.0,2676373000000.0,2787544700000.0,2735217800000.0,3154682300000.0,3315814600000.0
2076.0,2800827000000.0,2814820700000.0,3447544300000.0,3224843600000.0,3175335300000.0,2640775700000.0,3319290700000.0,3394365800000.0,2645158300000.0,2762983300000.0,2703184600000.0,3119134300000.0,3284719000000.0
2077.0,2760530500000.0,2771684700000.0,3426876700000.0,3203066000000.0,3125759400000.0,2599781100000.0,3304643600000.0,3360747700000.0,2605929000000.0,2722636500000.0,2627623500000.0,3100553800000.0,3255631000000.0
2078.0,2741377200000.0,2733492000000.0,3412206600000.0,3180302700000.0,3120475400000.0,2561941400000.0,3292012000000.0,3333210800000.0,2585822800000.0,2688277800000.0,2600724000000.0,3080349500000.0,3237669000000.0
2079.0,2699914000000.0,2673556800000.0,3393875300000.0,3161257100000.0,3112351600000.0,2526417000000.0,3269730000000.0,3309373800000.0,2548939400000.0,2659146300000.0,2559026400000.0,3058189000000.0,3212170200000.0
2080.0,2671543800000.0,2639790300000.0,3382891200000.0,3146279300000.0,3079454600000.0,2498648300000.0,3252971600000.0,3291305500000.0,2506953900000.0,2632828300000.0,2518085300000.0,3041304500000.0,3186209800000.0
2081.0,2648973000000.0,2593631800000.0,3349971000000.0,3129615800000.0,3035281500000.0,2471659000000.0,3229263300000.0,3278329600000.0,2464533000000.0,2611473000000.0,2488238000000.0,3012893900000.0,3158034000000.0
2082.0,2609391600000.0,2570284000000.0,3327501000000.0,3111026400000.0,3023774400000.0,2422712800000.0,3196038000000.0,3261183000000.0,2428255300000.0,2585193600000.0,2448853800000.0,2970908000000.0,3118859300000.0
2083.0,2578716300000.0,2535144600000.0,3303838000000.0,3105810300000.0,2999060300000.0,2390509000000.0,3180552500000.0,3228697400000.0,2385853500000.0,2553897000000.0,2386047000000.0,2939661300000.0,3083166300000.0
2084.0,2548392500000.0,2487790000000.0,3287530600000.0,3089280800000.0,2973995000000.0,2342854300000.0,3144004400000.0,3204549700000.0,2336237600000.0,2519583400000.0,2351136200000.0,2913032200000.0,3063787600000.0
2085.0,2516213300000.0,2443219600000.0,3251590000000.0,3067602000000.0,2962524000000.0,2301693500000.0,3117623000000.0,3175598000000.0,2315644800000.0,2489683500000.0,2301477800000.0,2884013400000.0,3050473000000.0
2086.0,2457829600000.0,2411087000000.0,3212089200000.0,3050638700000.0,2937301000000.0,2252307400000.0,3105918000000.0,3150877600000.0,2277871200000.0,2459891000000.0,2261257000000.0,2837237000000.0,3023989000000.0
2087.0,2405997700000.0,2384784000000.0,3170849800000.0,3022757300000.0,2925916300000.0,2213463700000.0,3082167500000.0,3122123500000.0,2237427000000.0,2422061400000.0,2225909000000.0,2808445700000.0,3005639800000.0
2088.0,2371785000000.0,2346028600000.0,3143805700000.0,2994535700000.0,2907815300000.0,2161324700000.0,3070163000000.0,3090995700000.0,2196734300000.0,2388786700000.0,2184384300000.0,2790452600000.0,2971992600000.0
2089.0,2329089100000.0,2307979700000.0,3125844600000.0,2971544000000.0,2883524000000.0,2110637700000.0,3039455300000.0,3078398000000.0,2168270400000.0,2361543600000.0,2143668500000.0,2762474800000.0,2936491500000.0
2090.0,2283379600000.0,2238837400000.0,3098646400000.0,2951008700000.0,2844217800000.0,2079680400000.0,3016002400000.0,3060143000000.0,2121416000000.0,2333949600000.0,2103622900000.0,2737470700000.0,2912236600000.0
2091.0,2246588500000.0,2193777800000.0,3092855700000.0,2958204300000.0,2831475800000.0,2039015400000.0,2982927000000.0,3040083700000.0,2079224200000.0,2312527400000.0,2061206000000.0,2715589500000.0,2869417700000.0
2092.0,2209445800000.0,2160535900000.0,3077654200000.0,2931237000000.0,2814976000000.0,1990368000000.0,2965709500000.0,3017059300000.0,2051580000000.0,2281216000000.0,2020017400000.0,2689027800000.0,2845058300000.0
2093.0,2165498200000.0,2128644500000.0,3046541000000.0,2914496800000.0,2800958300000.0,1955157100000.0,2932561700000.0,2983078100000.0,2014796200000.0,2250676000000.0,1971614900000.0,2661946000000.0,2817928500000.0
2094.0,2115814000000.0,2080868500000.0,3023308600000.0,2896622300000.0,2785582300000.0,1920702300000.0,2913000800000.0,2952960700000.0,1985035000000.0,2222813000000.0,1931318500000.0,2638330700000.0,2797944700000.0
2095.0,2082173600000.0,2049995300000.0,3005359600000.0,2881686600000.0,2750925000000.0,1888273300000.0,2903548600000.0,2921368600000.0,1960431500000.0,2191122200000.0,1894553100000.0,2624120400000.0,2771098300000.0
2096.0,2047548600000.0,2010502900000.0,2990059800000.0,2854014000000.0,2732055000000.0,1847407700000.0,2891222600000.0,2897535300000.0,1927172500000.0,2158592900000.0,1852268600000.0,2583985400000.0,2749875000000.0
2097.0,2018872500000.0,1974130300000.0,2965675000000.0,2834254800000.0,2720942000000.0,1796737000000.0,2864678000000.0,2865765000000.0,1873182600000.0,2121608200000.0,1815251300000.0,2549251000000.0,2730228000000.0
2098.0,1990721000000.0,1935028100000.0,2936950200000.0,2810671800000.0,2715559100000.0,1763814000000.0,2843773500000.0,2842478200000.0,1832679000000.0,2075659700000.0,1774934600000.0,2518335400000.0,2709976500000.0
2099.0,1960343100000.0,1895721600000.0,2905404300000.0,2776444400000.0,2694387900000.0,1723990800000.0,2822804300000.0,2812176200000.0,1813434900000.0,2042428700000.0,1741491300000.0,2495139500000.0,2670819300000.0
2100.0,1930907000000.0,1867470000000.0,2885948000000.0,2750782400000.0,2644979500000.0,1698945200000.0,2801231200000.0,2785179000000.0,1793310000000.0,2007557900000.0,1689498200000.0,2444943400000.0,2638438000000.0
