time,MRI-ESM2-0,CANESM5,IPSL-CM6A-LR,CESM2-WACCM
2031.0,4435875000000.0,4357044000000.0,4325301600000.0,4285852500000.0
2032.0,4417181000000.0,4310040600000.0,4281008400000.0,4249155300000.0
2033.0,4409624000000.0,4282010800000.0,4241474500000.0,4220544000000.0
2034.0,4389500600000.0,4260576400000.0,4221658200000.0,4179982500000.0
2035.0,4372386000000.0,4229874000000.0,4189629400000.0,4156593500000.0
2036.0,4356577400000.0,4201439600000.0,4157724200000.0,4113162000000.0
2037.0,4334225500000.0,4174025900000.0,4138375800000.0,4074780000000.0
2038.0,4304403200000.0,4134475400000.0,4102199700000.0,4021621400000.0
2039.0,4269451200000.0,4094658300000.0,4076347600000.0,3995422200000.0
2040.0,4238733200000.0,4064695500000.0,4056771500000.0,3961047200000.0
2041.0,4214413000000.0,4012292000000.0,4026336000000.0,3950724000000.0
2042.0,4193639200000.0,3972321500000.0,4002238400000.0,3919723000000.0
2043.0,4151113700000.0,3936548600000.0,3960178700000.0,3889832100000.0
2044.0,4128950000000.0,3910111600000.0,3925192000000.0,3836695300000.0
2045.0,4097316500000.0,3865671000000.0,3912970800000.0,3795507000000.0
2046.0,4076907300000.0,3812227500000.0,3867932600000.0,3762230400000.0
2047.0,4039742000000.0,3773375200000.0,3834217000000.0,3718564500000.0
2048.0,4006144400000.0,3739820000000.0,3786400900000.0,3690980200000.0
2049.0,3973655600000.0,3704337200000.0,3753045100000.0,3655204300000.0
2050.0,3944155400000.0,3677319900000.0,3724582000000.0,3600928700000.0
2051.0,3927176600000.0,3646491200000.0,3702553600000.0,3566915300000.0
2052.0,3898821000000.0,3589710500000.0,3675363200000.0,3515886000000.0
2053.0,3886999100000.0,3545813200000.0,3641394600000.0,3474078000000.0
2054.0,3869248300000.0,3506385500000.0,3605635300000.0,3412977500000.0
2055.0,3843787600000.0,3477368500000.0,3557285200000.0,3374118000000.0
2056.0,3830671000000.0,3453449700000.0,3530729000000.0,3321468300000.0
2057.0,3818061000000.0,3407295000000.0,3491252400000.0,3269500300000.0
2058.0,3809351000000.0,3364680400000.0,3446481000000.0,3228003700000.0
2059.0,3777471000000.0,3343656000000.0,3417023400000.0,3178718800000.0
2060.0,3749898000000.0,3317102000000.0,3397905000000.0,3158324500000.0
2061.0,3744452000000.0,3286268600000.0,3349779300000.0,3116600700000.0
2062.0,3721843000000.0,3240165400000.0,3325368000000.0,3073765000000.0
2063.0,3698785300000.0,3201699700000.0,3298932800000.0,3043138200000.0
2064.0,3664533300000.0,3164209000000.0,3268991800000.0,3004473000000.0
2065.0,3645298200000.0,3124680500000.0,3227903300000.0,2969687300000.0
2066.0,3630438300000.0,3081528700000.0,3203906400000.0,2929135000000.0
2067.0,3619099800000.0,3053104400000.0,3164654500000.0,2885854200000.0
2068.0,3588375700000.0,3020840800000.0,3129469300000.0,2862844000000.0
2069.0,3558551600000.0,2979627300000.0,3090521800000.0,2818100700000.0
2070.0,3548426000000.0,2958632000000.0,3052698300000.0,2769570800000.0
2071.0,3528399300000.0,2931196700000.0,3035255300000.0,2737197300000.0
2072.0,3512583800000.0,2898026600000.0,3008896200000.0,2719840500000.0
2073.0,3486142200000.0,2863579000000.0,2988948600000.0,2690912000000.0
2074.0,3469872200000.0,2841165200000.0,2971816400000.0,2663142000000.0
2075.0,3452603700000.0,2811558000000.0,2941967100000.0,2630370500000.0
2076.0,3428875000000.0,2780925500000.0,2927711000000.0,2588210400000.0
2077.0,3420679600000.0,2764037400000.0,2909848700000.0,2571125000000.0
2078.0,3384648400000.0,2741224000000.0,2883023300000.0,2538984200000.0
2079.0,3344629800000.0,2724883600000.0,2866366600000.0,2509369000000.0
2080.0,3337261200000.0,2708046300000.0,2857026000000.0,2480773800000.0
2081.0,3320788800000.0,2695617300000.0,2840253000000.0,2458111000000.0
2082.0,3303421800000.0,2681861000000.0,2817128700000.0,2432852300000.0
2083.0,3284026500000.0,2650972600000.0,2794685700000.0,2392489200000.0
2084.0,3271126700000.0,2601435300000.0,2770941500000.0,2371175300000.0
2085.0,3239198600000.0,2589043500000.0,2744439000000.0,2354013300000.0
2086.0,3222833200000.0,2584068800000.0,2722835700000.0,2332570200000.0
2087.0,3224692300000.0,2565257300000.0,2702285000000.0,2298772700000.0
2088.0,3209633000000.0,2528612700000.0,2692212300000.0,2285138300000.0
2089.0,3201154700000.0,2516419000000.0,2681714500000.0,2251399400000.0
2090.0,3192937300000.0,2504628600000.0,2659849300000.0,2240171500000.0
2091.0,3178480000000.0,2478280500000.0,2647120400000.0,2216319300000.0
2092.0,3167797000000.0,2460698000000.0,2639794300000.0,2204873300000.0
2093.0,3157896200000.0,2442433400000.0,2632064700000.0,2180597300000.0
2094.0,3151580000000.0,2426983400000.0,2624032600000.0,2152324800000.0
2095.0,3127201800000.0,2404188000000.0,2612384500000.0,2123695500000.0
2096.0,3108267600000.0,2384732600000.0,2603985400000.0,2085915900000.0
2097.0,3095573000000.0,2370709700000.0,2596593700000.0,2067602000000.0
2098.0,3087562200000.0,2349345500000.0,2576197600000.0,2049589400000.0
2099.0,3076059600000.0,2332457200000.0,2559029500000.0,2046495400000.0
2100.0,3052256000000.0,2313403000000.0,2548452000000.0,2028476800000.0
