time,GFDL-ESM4,MRI-ESM2-0,CESM2,FGOALS-F3-L,BCC-CSM2-MR,MPI-ESM1-2-HR,IPSL-CM6A-LR,CESM2-WACCM,CAMS-CSM1-0,NORESM2-MM,INM-CM5-0,INM-CM4-8,EC-EARTH3-VEG,CANESM5,EC-EARTH3,ACCESS-CM2,ACCESS-ESM1-5
2010.0,4980125000000.0,4980125000000.0,4980125000000.0,4980125000000.0,4980125000000.0,4980125000000.0,4980125000000.0,4980125000000.0,4980125000000.0,4980125000000.0,4980125000000.0,4980125000000.0,4980125000000.0,4980125000000.0,4980125000000.0,4980125000000.0,4980125000000.0
2011.0,4967154300000.0,4967154300000.0,4967154300000.0,4967154300000.0,4967154300000.0,4967154300000.0,4967154300000.0,4967154300000.0,4967154300000.0,4967154300000.0,4967154300000.0,4967154300000.0,4967154300000.0,4967154300000.0,4967154300000.0,4967154300000.0,4967154300000.0
2012.0,4926467000000.0,4926467000000.0,4926467000000.0,4926467000000.0,4926467000000.0,4926467000000.0,4926467000000.0,4926467000000.0,4926467000000.0,4926467000000.0,4926467000000.0,4926467000000.0,4926467000000.0,4926467000000.0,4926467000000.0,4926467000000.0,4926467000000.0
2013.0,4901891000000.0,4901891000000.0,4901891000000.0,4901891000000.0,4901891000000.0,4901891000000.0,4901891000000.0,4901891000000.0,4901891000000.0,4901891000000.0,4901891000000.0,4901891000000.0,4901891000000.0,4901891000000.0,4901891000000.0,4901891000000.0,4901891000000.0
2014.0,4867358700000.0,4867358700000.0,4867358700000.0,4867358700000.0,4867358700000.0,4867358700000.0,4867358700000.0,4867358700000.0,4867358700000.0,4867358700000.0,4867358700000.0,4867358700000.0,4867358700000.0,4867358700000.0,4867358700000.0,4867358700000.0,4867358700000.0
2015.0,4865627000000.0,4865627000000.0,4865627000000.0,4865627000000.0,4865627000000.0,4865627000000.0,4865627000000.0,4865627000000.0,4865627000000.0,4865627000000.0,4865627000000.0,4865627000000.0,4865627000000.0,4865627000000.0,4865627000000.0,4865627000000.0,4865627000000.0
2016.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0
2017.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0
2018.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0
2019.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0
2020.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0
2021.0,4650515000000.0,4657799000000.0,4663401000000.0,4627735000000.0,4654144400000.0,4679651600000.0,4672043600000.0,4664668500000.0,4665260000000.0,4667972500000.0,4653526000000.0,4645844400000.0,4648766300000.0,4669802300000.0,4661902300000.0,4637677600000.0,4648389000000.0
2022.0,4618556000000.0,4635762000000.0,4607124000000.0,4617958600000.0,4623829600000.0,4679050700000.0,4637748400000.0,4631898400000.0,4640840000000.0,4637158000000.0,4637228300000.0,4620730000000.0,4635742400000.0,4642319600000.0,4624709300000.0,4625812400000.0,4622535600000.0
2023.0,4604192400000.0,4609888000000.0,4556816600000.0,4593089000000.0,4596660400000.0,4659460700000.0,4631557000000.0,4573766000000.0,4637136500000.0,4607580000000.0,4602860700000.0,4615752400000.0,4600866300000.0,4604984600000.0,4573895300000.0,4598354000000.0,4606872000000.0
2024.0,4583868300000.0,4590663000000.0,4496652500000.0,4558285000000.0,4554866300000.0,4638056600000.0,4607303500000.0,4534381300000.0,4626656000000.0,4569300000000.0,4560231000000.0,4584611000000.0,4542735000000.0,4582620000000.0,4544897000000.0,4578875000000.0,4581259500000.0
2025.0,4584083300000.0,4548158000000.0,4478175000000.0,4522362000000.0,4528143300000.0,4602439000000.0,4568563300000.0,4521475000000.0,4594577000000.0,4546805400000.0,4534259000000.0,4562574000000.0,4527034500000.0,4567044000000.0,4526299000000.0,4532119500000.0,4548361500000.0
2026.0,4578347600000.0,4516435500000.0,4458544600000.0,4514422000000.0,4486172500000.0,4576838700000.0,4503349000000.0,4486213000000.0,4547645300000.0,4524087400000.0,4511260700000.0,4553685000000.0,4504850000000.0,4549250600000.0,4498312400000.0,4482555400000.0,4543100000000.0
2027.0,4556477000000.0,4490707000000.0,4417431500000.0,4477032600000.0,4452900700000.0,4545480000000.0,4476611000000.0,4477858300000.0,4526128000000.0,4463742400000.0,4482373500000.0,4516362600000.0,4476413400000.0,4528542000000.0,4473394600000.0,4434773000000.0,4508338000000.0
2028.0,4529186000000.0,4473458000000.0,4396563800000.0,4447172000000.0,4422657600000.0,4519071600000.0,4436888000000.0,4448665500000.0,4503121000000.0,4435188000000.0,4476639400000.0,4498162000000.0,4427688000000.0,4486276300000.0,4459919300000.0,4393442700000.0,4481867000000.0
2029.0,4493442000000.0,4444134000000.0,4395800000000.0,4430241500000.0,4388011400000.0,4476810000000.0,4419170600000.0,4414261700000.0,4466916000000.0,4392298500000.0,4444792600000.0,4486160000000.0,4383301400000.0,4463775400000.0,4416322000000.0,4363158000000.0,4459709600000.0
2030.0,4461969000000.0,4425442000000.0,4344534500000.0,4402190500000.0,4357004200000.0,4441184400000.0,4389388000000.0,4385947000000.0,4421232600000.0,4352623500000.0,4401890000000.0,4433946600000.0,4365059000000.0,4434203500000.0,4360056600000.0,4335949600000.0,4430589600000.0
2031.0,4444892700000.0,4392196000000.0,4282249600000.0,4369351400000.0,4311616300000.0,4419342000000.0,4355899500000.0,4359306000000.0,4399474700000.0,4316945700000.0,4384076900000.0,4403655300000.0,4329140600000.0,4396911200000.0,4350310000000.0,4289212400000.0,4408927000000.0
2032.0,4427209500000.0,4366109000000.0,4249956000000.0,4336556700000.0,4292487700000.0,4386944700000.0,4325559200000.0,4337008000000.0,4361430500000.0,4270874400000.0,4373629000000.0,4365869600000.0,4329021400000.0,4353301000000.0,4341546400000.0,4269026300000.0,4408267000000.0
2033.0,4409893300000.0,4328531000000.0,4216238000000.0,4291519000000.0,4272814600000.0,4349165300000.0,4273711300000.0,4294597100000.0,4341344500000.0,4231940000000.0,4347360000000.0,4333595500000.0,4308510000000.0,4287821000000.0,4317569000000.0,4255692600000.0,4400978300000.0
2034.0,4380355500000.0,4298276000000.0,4165514000000.0,4233301000000.0,4225378000000.0,4312212700000.0,4219461200000.0,4287250600000.0,4322181800000.0,4217540400000.0,4308770800000.0,4300076500000.0,4269627000000.0,4247816200000.0,4270401800000.0,4201239800000.0,4382910600000.0
2035.0,4320677900000.0,4241395300000.0,4138036400000.0,4191519500000.0,4178700700000.0,4272180200000.0,4187157000000.0,4238946600000.0,4316613000000.0,4196191200000.0,4263327000000.0,4285414800000.0,4240957800000.0,4196560500000.0,4222015000000.0,4160910500000.0,4344703600000.0
2036.0,4288841300000.0,4220302400000.0,4099170400000.0,4165317700000.0,4116168300000.0,4268508300000.0,4152185000000.0,4190053000000.0,4285569200000.0,4164383100000.0,4251219400000.0,4258392400000.0,4203603800000.0,4174717000000.0,4174945700000.0,4116976000000.0,4331783600000.0
2037.0,4266043600000.0,4207738400000.0,4052137500000.0,4130676400000.0,4096738700000.0,4224130200000.0,4108488500000.0,4143862800000.0,4262553700000.0,4145030000000.0,4244957800000.0,4238845700000.0,4173417000000.0,4140635800000.0,4148891000000.0,4094897400000.0,4317427000000.0
2038.0,4234367500000.0,4183500800000.0,4034883500000.0,4104690000000.0,4056678700000.0,4208525300000.0,4060887000000.0,4098034200000.0,4246059000000.0,4113678200000.0,4231197600000.0,4201514800000.0,4139127700000.0,4113281800000.0,4127770000000.0,4035361600000.0,4261840200000.0
2039.0,4201291700000.0,4175911000000.0,3989650300000.0,4071386800000.0,4014585700000.0,4188513800000.0,4019376000000.0,4070589300000.0,4230491700000.0,4073379300000.0,4195653500000.0,4174359300000.0,4111181300000.0,4082413000000.0,4092584000000.0,4000485000000.0,4220864400000.0
2040.0,4185388700000.0,4155137300000.0,3963815500000.0,4037577300000.0,3989962800000.0,4162822600000.0,3985769200000.0,4034641500000.0,4199521200000.0,4017443000000.0,4169225500000.0,4152283400000.0,4078599100000.0,4034796200000.0,4070175100000.0,3975584200000.0,4198593700000.0
2041.0,4172235100000.0,4128304300000.0,3928623400000.0,4032765000000.0,3941030700000.0,4137525000000.0,3961937700000.0,4006073000000.0,4165508300000.0,4012068300000.0,4152970000000.0,4116500200000.0,4051688000000.0,4007690000000.0,4021328500000.0,3937642700000.0,4187864200000.0
2042.0,4155274000000.0,4113498000000.0,3876468300000.0,4010197400000.0,3931651400000.0,4106490000000.0,3933399400000.0,3958263800000.0,4130943000000.0,3985774500000.0,4137158000000.0,4086906000000.0,4023508000000.0,3981811600000.0,3993376700000.0,3910696000000.0,4162649000000.0
2043.0,4140829500000.0,4091321000000.0,3854682800000.0,3971963700000.0,3913465500000.0,4096579000000.0,3894450600000.0,3918470600000.0,4113234700000.0,3946052800000.0,4122890000000.0,4064512300000.0,4008137000000.0,3973928200000.0,3984100200000.0,3879357400000.0,4137174400000.0
2044.0,4126460000000.0,4074248600000.0,3826711500000.0,3947220400000.0,3887575300000.0,4079062600000.0,3877045800000.0,3885849600000.0,4093912300000.0,3917281000000.0,4118728400000.0,4049413600000.0,3961205800000.0,3940062300000.0,3966342000000.0,3824882300000.0,4094060400000.0
2045.0,4093248000000.0,4056427500000.0,3815739000000.0,3908904000000.0,3856645000000.0,4066551500000.0,3860907400000.0,3864972000000.0,4078373200000.0,3873576300000.0,4113332000000.0,4031687400000.0,3921706700000.0,3878192200000.0,3950568800000.0,3800631600000.0,4064155800000.0
2046.0,4067437300000.0,4022224000000.0,3779150700000.0,3874931300000.0,3816876000000.0,4063452500000.0,3838942400000.0,3839622600000.0,4061678500000.0,3850926600000.0,4083177000000.0,4029311000000.0,3895516200000.0,3848315900000.0,3928545800000.0,3755898000000.0,4073818000000.0
2047.0,4050575700000.0,3999259400000.0,3737886700000.0,3857780000000.0,3784207800000.0,4046074000000.0,3814656600000.0,3825556300000.0,4044872200000.0,3835258500000.0,4049113200000.0,4007615000000.0,3866194600000.0,3797233200000.0,3911666600000.0,3736270500000.0,4042442100000.0
2048.0,4033571500000.0,3961514000000.0,3711069300000.0,3841540500000.0,3754360000000.0,4024477000000.0,3802469200000.0,3808190000000.0,4003846000000.0,3786565000000.0,4021336000000.0,3997180600000.0,3829580000000.0,3776560200000.0,3865723000000.0,3708653700000.0,4025935700000.0
2049.0,4016947000000.0,3955142700000.0,3677857500000.0,3793328500000.0,3695877000000.0,4008504500000.0,3773505000000.0,3793285800000.0,3969329000000.0,3759201600000.0,3992991000000.0,3974316200000.0,3790756000000.0,3755000700000.0,3828589500000.0,3674652800000.0,3993876800000.0
2050.0,4013198400000.0,3927553300000.0,3648901300000.0,3777138500000.0,3674197500000.0,3995689000000.0,3734282700000.0,3758908500000.0,3959895600000.0,3741853400000.0,3970524800000.0,3966577700000.0,3775620400000.0,3743729300000.0,3820099200000.0,3621710000000.0,3968664300000.0
2051.0,3989914000000.0,3913248100000.0,3597032800000.0,3763340300000.0,3619971000000.0,3946266200000.0,3721281100000.0,3728305300000.0,3948901000000.0,3727765800000.0,3957804500000.0,3952387000000.0,3741031900000.0,3706075200000.0,3802254500000.0,3600322700000.0,3931534300000.0
2052.0,3965995500000.0,3882099000000.0,3548615500000.0,3747117300000.0,3605246200000.0,3920791300000.0,3699072600000.0,3707144200000.0,3929802500000.0,3694725000000.0,3944020000000.0,3935078000000.0,3707506300000.0,3682401800000.0,3784062300000.0,3572033000000.0,3897373500000.0
2053.0,3937779000000.0,3860083000000.0,3524282500000.0,3726019700000.0,3557813600000.0,3914810300000.0,3682886700000.0,3668146400000.0,3912114600000.0,3683437000000.0,3936397600000.0,3933712200000.0,3687193200000.0,3639427000000.0,3757484000000.0,3544212600000.0,3881363000000.0
2054.0,3921597200000.0,3834131300000.0,3495232500000.0,3702587000000.0,3523620600000.0,3893538300000.0,3671761000000.0,3634048500000.0,3896986800000.0,3670997200000.0,3927599500000.0,3910207800000.0,3666771400000.0,3625983400000.0,3737373000000.0,3513703700000.0,3883737500000.0
2055.0,3904529800000.0,3820076700000.0,3465314000000.0,3666226000000.0,3496341000000.0,3882110400000.0,3668873300000.0,3592725000000.0,3905710200000.0,3645118000000.0,3919761600000.0,3884710600000.0,3637359000000.0,3598596700000.0,3702012500000.0,3480327600000.0,3878265300000.0
2056.0,3890993700000.0,3796902000000.0,3431463600000.0,3632597300000.0,3462589600000.0,3875556300000.0,3658344600000.0,3546309500000.0,3892272200000.0,3647266400000.0,3916174200000.0,3869166000000.0,3601415000000.0,3567051300000.0,3697808000000.0,3456627600000.0,3868773600000.0
2057.0,3881482300000.0,3775129200000.0,3416891900000.0,3613492000000.0,3440432400000.0,3870541200000.0,3642249700000.0,3518850000000.0,3876142700000.0,3624692400000.0,3888202000000.0,3853066200000.0,3584408200000.0,3527499800000.0,3665944400000.0,3422902800000.0,3846149000000.0
2058.0,3860512600000.0,3753751300000.0,3403078200000.0,3581585700000.0,3406693100000.0,3866178000000.0,3623821500000.0,3488249800000.0,3856300800000.0,3588768400000.0,3877044500000.0,3837272300000.0,3553080000000.0,3499923300000.0,3634833000000.0,3395713800000.0,3818179500000.0
2059.0,3856889000000.0,3739491500000.0,3375630000000.0,3578644000000.0,3381211400000.0,3851736800000.0,3600179800000.0,3438602600000.0,3842830000000.0,3551260300000.0,3860504200000.0,3808408000000.0,3530759900000.0,3466115000000.0,3601855700000.0,3352464200000.0,3787707400000.0
2060.0,3846433400000.0,3740021800000.0,3345610700000.0,3551924800000.0,3350265000000.0,3832810000000.0,3587009700000.0,3428153800000.0,3826144500000.0,3540866000000.0,3834778500000.0,3777802500000.0,3507734700000.0,3442129500000.0,3574305400000.0,3310539000000.0,3769077900000.0
2061.0,3833869600000.0,3729266800000.0,3298270400000.0,3525069000000.0,3322278600000.0,3808124500000.0,3565562000000.0,3390990200000.0,3814094300000.0,3516780800000.0,3823729000000.0,3772265800000.0,3479175700000.0,3420248000000.0,3553829300000.0,3288801200000.0,3767867300000.0
2062.0,3804858200000.0,3729125300000.0,3285078800000.0,3487521800000.0,3300504400000.0,3800412200000.0,3541111400000.0,3348381600000.0,3801530500000.0,3510896000000.0,3807793400000.0,3780890000000.0,3464448700000.0,3392310000000.0,3521818100000.0,3255291000000.0,3739267000000.0
2063.0,3775277600000.0,3732019600000.0,3267010800000.0,3454258400000.0,3273989000000.0,3767930500000.0,3524209400000.0,3325319000000.0,3772884000000.0,3486379100000.0,3783716000000.0,3774492700000.0,3439995400000.0,3367566300000.0,3488573300000.0,3225710800000.0,3695046300000.0
2064.0,3759623600000.0,3710060000000.0,3236083300000.0,3422930300000.0,3252569200000.0,3736737700000.0,3498313800000.0,3285461500000.0,3733916000000.0,3448009000000.0,3779452000000.0,3767432400000.0,3411346500000.0,3352855000000.0,3464182600000.0,3199063000000.0,3672885200000.0
2065.0,3744149500000.0,3687523000000.0,3212755900000.0,3408323000000.0,3226731800000.0,3728482200000.0,3477352200000.0,3254812700000.0,3717596700000.0,3415426500000.0,3778519500000.0,3767192000000.0,3379068000000.0,3338908700000.0,3451229000000.0,3165221600000.0,3664321700000.0
2066.0,3737832400000.0,3665532300000.0,3186552500000.0,3382327600000.0,3183997400000.0,3712237700000.0,3449572800000.0,3229846900000.0,3703614200000.0,3392418000000.0,3763696300000.0,3762643800000.0,3359598400000.0,3311808800000.0,3424763500000.0,3128537600000.0,3634436200000.0
2067.0,3733523500000.0,3642956200000.0,3181379600000.0,3335929700000.0,3155179600000.0,3692512100000.0,3452133700000.0,3199400000000.0,3704576300000.0,3379755200000.0,3763897000000.0,3754752000000.0,3353778600000.0,3277946600000.0,3398983000000.0,3089926700000.0,3629369500000.0
2068.0,3714342500000.0,3616015600000.0,3175794900000.0,3311199000000.0,3141756800000.0,3679773000000.0,3444801500000.0,3168039300000.0,3674148400000.0,3338638000000.0,3751707000000.0,3743140300000.0,3330468000000.0,3257782800000.0,3376837600000.0,3059898600000.0,3607284700000.0
2069.0,3698955400000.0,3603186300000.0,3142533300000.0,3299456600000.0,3112630200000.0,3663335500000.0,3429505400000.0,3141342600000.0,3676716100000.0,3312446000000.0,3744676200000.0,3734399600000.0,3302449700000.0,3212832100000.0,3362874000000.0,3031790800000.0,3585848600000.0
2070.0,3675126800000.0,3583956500000.0,3123121200000.0,3277848800000.0,3100826700000.0,3644571800000.0,3429227300000.0,3110318600000.0,3665913400000.0,3290687000000.0,3726754000000.0,3720259800000.0,3276417300000.0,3182367600000.0,3334696900000.0,2990346300000.0,3561964200000.0
2071.0,3675872000000.0,3584187400000.0,3106033400000.0,3264233600000.0,3084368700000.0,3636997000000.0,3405037200000.0,3093510500000.0,3644257200000.0,3271362600000.0,3712199000000.0,3707227600000.0,3260917700000.0,3155767900000.0,3308653000000.0,2962165300000.0,3527307400000.0
2072.0,3651455000000.0,3574324300000.0,3075791700000.0,3235631900000.0,3067519400000.0,3622209300000.0,3388580300000.0,3068630700000.0,3629653200000.0,3253283000000.0,3703770400000.0,3706769600000.0,3238393800000.0,3120095300000.0,3283230700000.0,2950464500000.0,3502839200000.0
2073.0,3636355400000.0,3543377600000.0,3054968000000.0,3199112300000.0,3041465700000.0,3616669200000.0,3356293900000.0,3019292500000.0,3617130300000.0,3242342000000.0,3688321800000.0,3697393300000.0,3213506400000.0,3100660200000.0,3262502700000.0,2917512800000.0,3478730000000.0
2074.0,3625061200000.0,3538179600000.0,3039400600000.0,3182412000000.0,3019021200000.0,3584976200000.0,3330798500000.0,2995477500000.0,3607800300000.0,3237246100000.0,3685793100000.0,3674851200000.0,3204363600000.0,3079051700000.0,3261723600000.0,2891167000000.0,3456667500000.0
2075.0,3617754400000.0,3508946300000.0,3025859500000.0,3156774500000.0,2993851000000.0,3573296000000.0,3313604800000.0,2964393600000.0,3596444200000.0,3233269000000.0,3664515700000.0,3665136700000.0,3176632400000.0,3046697600000.0,3236801000000.0,2873090400000.0,3445388200000.0
2076.0,3612996300000.0,3494621700000.0,2999112400000.0,3124238200000.0,2976819700000.0,3559742800000.0,3299053000000.0,2930590600000.0,3585574000000.0,3222889000000.0,3661251700000.0,3649131500000.0,3149337200000.0,3034780500000.0,3221278000000.0,2859537800000.0,3413585400000.0
2077.0,3602461500000.0,3479511200000.0,2964437900000.0,3108294600000.0,2957796200000.0,3553778200000.0,3281609600000.0,2898597200000.0,3557973300000.0,3211783600000.0,3650549200000.0,3653594300000.0,3139179600000.0,3004496300000.0,3192228000000.0,2825976300000.0,3399741300000.0
2078.0,3590903000000.0,3452819500000.0,2950020200000.0,3080710300000.0,2921240700000.0,3543952800000.0,3269959600000.0,2862334300000.0,3543283300000.0,3205300700000.0,3639624600000.0,3639529200000.0,3115073000000.0,2989797000000.0,3168718300000.0,2808335600000.0,3387419000000.0
2079.0,3541187700000.0,3441758300000.0,2928024700000.0,3055509000000.0,2901901800000.0,3505224200000.0,3242401200000.0,2851940600000.0,3519727800000.0,3177499000000.0,3632931800000.0,3633420700000.0,3104032200000.0,2975623300000.0,3136824000000.0,2791426200000.0,3363411300000.0
2080.0,3518039900000.0,3418550000000.0,2912278800000.0,3043927800000.0,2884267400000.0,3485203700000.0,3235532500000.0,2829295000000.0,3510658000000.0,3179506800000.0,3624277000000.0,3628195400000.0,3083937300000.0,2948874400000.0,3135741600000.0,2766479600000.0,3355659200000.0
2081.0,3504947000000.0,3414088700000.0,2890905200000.0,3024623200000.0,2865485600000.0,3452707000000.0,3208788600000.0,2795547400000.0,3500847100000.0,3159891400000.0,3610054800000.0,3635260400000.0,3074363500000.0,2941518000000.0,3113337700000.0,2747860300000.0,3347000900000.0
2082.0,3484883400000.0,3411781000000.0,2875344800000.0,2999638000000.0,2856682500000.0,3440097400000.0,3178407000000.0,2796392300000.0,3484155400000.0,3137612800000.0,3595126700000.0,3640796000000.0,3066843400000.0,2924789400000.0,3098723500000.0,2734235600000.0,3333416800000.0
2083.0,3464787700000.0,3411235300000.0,2859609600000.0,2993541000000.0,2827660800000.0,3425944700000.0,3161911200000.0,2785344500000.0,3481312700000.0,3112514000000.0,3591377000000.0,3629028700000.0,3051489600000.0,2916920300000.0,3087946200000.0,2719113500000.0,3319849500000.0
2084.0,3448939500000.0,3403984400000.0,2838582000000.0,2970114600000.0,2819026300000.0,3406293000000.0,3130445300000.0,2761392700000.0,3456469600000.0,3099382000000.0,3591021800000.0,3612154000000.0,3036218400000.0,2898832700000.0,3051782400000.0,2705136800000.0,3308603000000.0
2085.0,3454153800000.0,3385829000000.0,2839969800000.0,2969908300000.0,2800536300000.0,3401072000000.0,3114828000000.0,2711687300000.0,3429476900000.0,3088768600000.0,3589355300000.0,3601998500000.0,3022843500000.0,2878802000000.0,3035757000000.0,2688560700000.0,3304681000000.0
2086.0,3431866600000.0,3373924000000.0,2830239300000.0,2955232100000.0,2781560400000.0,3370496000000.0,3111119700000.0,2692112400000.0,3404499800000.0,3074234000000.0,3575795000000.0,3594630200000.0,3009076500000.0,2849435800000.0,3013346000000.0,2665541000000.0,3288536700000.0
2087.0,3415521400000.0,3323916500000.0,2825905000000.0,2939263600000.0,2774250300000.0,3365369300000.0,3109619200000.0,2658158200000.0,3404897200000.0,3056809300000.0,3576609000000.0,3593715000000.0,2980104000000.0,2824447700000.0,2999392100000.0,2648440300000.0,3260367000000.0
2088.0,3398994500000.0,3303404500000.0,2812691600000.0,2938187300000.0,2764437500000.0,3355584200000.0,3099893200000.0,2629473400000.0,3391724500000.0,3051273600000.0,3569410600000.0,3596221400000.0,2955941200000.0,2813405400000.0,2962068300000.0,2608779500000.0,3251367300000.0
2089.0,3400086600000.0,3287419500000.0,2798610000000.0,2935077200000.0,2749998800000.0,3343833000000.0,3065481500000.0,2609483000000.0,3384809400000.0,3053260600000.0,3539172600000.0,3571596100000.0,2906854300000.0,2807852400000.0,2942820700000.0,2582549600000.0,3237040000000.0
2090.0,3370532500000.0,3271398500000.0,2767877800000.0,2895576800000.0,2734629600000.0,3320544200000.0,3051613800000.0,2577216300000.0,3377985500000.0,3049626800000.0,3540381600000.0,3568098600000.0,2892444000000.0,2788773600000.0,2941210000000.0,2574764000000.0,3243182400000.0
2091.0,3350751000000.0,3248825000000.0,2746464000000.0,2886331500000.0,2733856000000.0,3323888000000.0,3037242300000.0,2564778000000.0,3366490200000.0,3032230400000.0,3530526300000.0,3555434400000.0,2877323700000.0,2760770800000.0,2914402700000.0,2543147500000.0,3239338000000.0
2092.0,3346023800000.0,3238909000000.0,2717583000000.0,2873827000000.0,2736771600000.0,3319832500000.0,3018458400000.0,2550606900000.0,3360774200000.0,3004126200000.0,3516262800000.0,3552026000000.0,2871690300000.0,2724279000000.0,2900677000000.0,2527217000000.0,3227383000000.0
2093.0,3350818500000.0,3214021200000.0,2702892300000.0,2857689400000.0,2736537500000.0,3307441500000.0,3002337000000.0,2526237400000.0,3337403800000.0,2997148700000.0,3514663200000.0,3544618600000.0,2848011600000.0,2723247600000.0,2893794200000.0,2518563200000.0,3229224500000.0
2094.0,3338892700000.0,3207726000000.0,2669103800000.0,2835688000000.0,2721211700000.0,3306081000000.0,2989159000000.0,2520095700000.0,3332922100000.0,2973486800000.0,3510050800000.0,3548838000000.0,2840306000000.0,2718920600000.0,2891084500000.0,2501381500000.0,3211134200000.0
2095.0,3344111200000.0,3204082600000.0,2631871200000.0,2828200000000.0,2716319400000.0,3294464300000.0,2986284200000.0,2501280500000.0,3317501000000.0,2945548300000.0,3506538300000.0,3538156300000.0,2829433000000.0,2715657400000.0,2887936600000.0,2480148800000.0,3194911000000.0
