time,EC-EARTH3-VEG,CAMS-CSM1-0,MRI-ESM2-0,GFDL-ESM4
2031.0,4343982000000.0,4382459000000.0,4508467000000.0,4501009000000.0
2032.0,4296265000000.0,4369721000000.0,4480991000000.0,4471158000000.0
2033.0,4274848500000.0,4365512600000.0,4465968000000.0,4438927000000.0
2034.0,4260346000000.0,4349457900000.0,4443872400000.0,4386651400000.0
2035.0,4228379000000.0,4331273000000.0,4393162000000.0,4360277600000.0
2036.0,4210636600000.0,4298582500000.0,4342667300000.0,4334877000000.0
2037.0,4166772600000.0,4262364400000.0,4316221400000.0,4297539000000.0
2038.0,4133915500000.0,4251485000000.0,4295967400000.0,4289103400000.0
2039.0,4109671300000.0,4219939000000.0,4280279000000.0,4284025000000.0
2040.0,4082992700000.0,4205629100000.0,4274905200000.0,4272688000000.0
2041.0,4042706400000.0,4189236000000.0,4274468200000.0,4229648600000.0
2042.0,4013096700000.0,4157404000000.0,4247503200000.0,4213276700000.0
2043.0,3989455800000.0,4136420800000.0,4215545800000.0,4192217900000.0
2044.0,3957397000000.0,4125396800000.0,4210688500000.0,4151756500000.0
2045.0,3938413000000.0,4117634200000.0,4193748300000.0,4122075500000.0
2046.0,3894246400000.0,4096343700000.0,4173695300000.0,4110150500000.0
2047.0,3851786000000.0,4071002700000.0,4150386800000.0,4088323000000.0
2048.0,3829537200000.0,4054437600000.0,4142925000000.0,4070049000000.0
2049.0,3807699000000.0,4028043600000.0,4133666200000.0,4063360200000.0
2050.0,3787154300000.0,3980711200000.0,4128194400000.0,4073591000000.0
2051.0,3754961700000.0,3966111600000.0,4120983600000.0,4055291400000.0
2052.0,3737652800000.0,3954704600000.0,4088356100000.0,4036950800000.0
2053.0,3702594500000.0,3939764500000.0,4051377300000.0,4024879500000.0
2054.0,3659784300000.0,3927717200000.0,4029707700000.0,4007078400000.0
2055.0,3627694400000.0,3912836800000.0,3996694300000.0,3990773600000.0
2056.0,3594064800000.0,3910173500000.0,3967222000000.0,3989432400000.0
2057.0,3561070000000.0,3890732000000.0,3930491700000.0,3994696800000.0
2058.0,3532223200000.0,3891074700000.0,3918890500000.0,3970052400000.0
2059.0,3512393500000.0,3879321500000.0,3903343600000.0,3957256600000.0
2060.0,3499885300000.0,3876597500000.0,3893446600000.0,3933959000000.0
2061.0,3488941900000.0,3872138200000.0,3900726000000.0,3926670200000.0
2062.0,3482947700000.0,3865186700000.0,3893684300000.0,3913032100000.0
2063.0,3468710400000.0,3864815000000.0,3860068800000.0,3897890400000.0
2064.0,3462870900000.0,3849943000000.0,3849699000000.0,3892021600000.0
2065.0,3450737300000.0,3822566500000.0,3837350400000.0,3885594300000.0
2066.0,3445578500000.0,3811482800000.0,3831839300000.0,3884300400000.0
2067.0,3436104000000.0,3794903800000.0,3799691800000.0,3865007000000.0
2068.0,3411952800000.0,3785280500000.0,3780286600000.0,3844390000000.0
2069.0,3404279000000.0,3781045500000.0,3763997200000.0,3838093300000.0
2070.0,3414889000000.0,3770473500000.0,3754513100000.0,3818413400000.0
2071.0,3409686800000.0,3766467700000.0,3751895600000.0,3809437800000.0
2072.0,3396528200000.0,3750398800000.0,3741662800000.0,3789808700000.0
2073.0,3385846400000.0,3738561400000.0,3734059400000.0,3781299500000.0
2074.0,3383229400000.0,3738085600000.0,3711959300000.0,3765904900000.0
2075.0,3364649200000.0,3719361500000.0,3688979000000.0,3774787000000.0
2076.0,3353111200000.0,3710159200000.0,3686682600000.0,3764657300000.0
2077.0,3351487400000.0,3713147600000.0,3672433500000.0,3765712000000.0
2078.0,3337330600000.0,3697190600000.0,3669538600000.0,3768512000000.0
2079.0,3336302500000.0,3694898200000.0,3661404300000.0,3767185200000.0
2080.0,3330243300000.0,3702693600000.0,3646153300000.0,3761097400000.0
2081.0,3317485800000.0,3685277800000.0,3623441700000.0,3733321000000.0
2082.0,3320535600000.0,3674138000000.0,3619289800000.0,3732424000000.0
2083.0,3334900800000.0,3668205000000.0,3620476800000.0,3713854900000.0
2084.0,3318111000000.0,3661115000000.0,3614643300000.0,3713689700000.0
2085.0,3306896500000.0,3656325300000.0,3607057000000.0,3709091400000.0
2086.0,3302430300000.0,3632085300000.0,3607674500000.0,3702340700000.0
2087.0,3296496200000.0,3604898600000.0,3603488600000.0,3691969200000.0
2088.0,3299060500000.0,3603854800000.0,3596058000000.0,3680698000000.0
2089.0,3287769200000.0,3601297000000.0,3592732800000.0,3672086400000.0
2090.0,3277530300000.0,3593585300000.0,3589800200000.0,3671306000000.0
2091.0,3269466300000.0,3576636000000.0,3584880300000.0,3671806400000.0
2092.0,3270358900000.0,3579167000000.0,3571537400000.0,3664765800000.0
2093.0,3257396600000.0,3570345000000.0,3568638000000.0,3671473500000.0
2094.0,3249683800000.0,3567210700000.0,3550589700000.0,3675496400000.0
2095.0,3234806600000.0,3559873300000.0,3549860000000.0,3697947200000.0
2096.0,3227266300000.0,3558785000000.0,3540309500000.0,3719417000000.0
2097.0,3214003700000.0,3557783800000.0,3523133000000.0,3717362400000.0
2098.0,3190984300000.0,3554274700000.0,3521210700000.0,3708644800000.0
2099.0,3174672600000.0,3549301000000.0,3518559700000.0,3709830700000.0
2100.0,3186483500000.0,3550156400000.0,3513183400000.0,3713444300000.0
