time,MPI-ESM1-2-HR,TAIESM1,IPSL-CM6A-LR,GFDL-ESM4,MRI-ESM2-0,CESM2,BCC-CSM2-MR,FGOALS-F3-L,INM-CM5-0,INM-CM4-8,EC-EARTH3,CANESM5,EC-EARTH3-VEG,ACCESS-ESM1-5,ACCESS-CM2,CAMS-CSM1-0,CESM2-WACCM,CMCC-CM2-SR5,NORESM2-MM
2016.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0
2017.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0
2018.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0
2019.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0
2020.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0
2021.0,4685176000000.0,4650417000000.0,4650891000000.0,4652586000000.0,4669606000000.0,4665672000000.0,4661673700000.0,4648666700000.0,4659826000000.0,4677619400000.0,4648147000000.0,4675770000000.0,4663522400000.0,4652371300000.0,4631247000000.0,4666017400000.0,4641143700000.0,4650667300000.0,4638541000000.0
2022.0,4668416000000.0,4620193600000.0,4616815600000.0,4629046000000.0,4644814000000.0,4642187500000.0,4625334300000.0,4608424400000.0,4642757000000.0,4655322000000.0,4621467000000.0,4634149700000.0,4640237000000.0,4625419000000.0,4584066000000.0,4646027400000.0,4591608400000.0,4637945000000.0,4609227600000.0
2023.0,4645619000000.0,4573797300000.0,4594167000000.0,4608676000000.0,4626656000000.0,4609968400000.0,4590455500000.0,4579226000000.0,4617563300000.0,4630174000000.0,4590613300000.0,4607877600000.0,4616542000000.0,4610727600000.0,4564149300000.0,4619609000000.0,4547994000000.0,4635892000000.0,4595949500000.0
2024.0,4621770700000.0,4530190700000.0,4587218500000.0,4575028300000.0,4621694000000.0,4592821000000.0,4552299000000.0,4546778000000.0,4575229000000.0,4599042300000.0,4557091000000.0,4565495000000.0,4586880000000.0,4582087000000.0,4537048400000.0,4578361000000.0,4507635300000.0,4615170400000.0,4562292300000.0
2025.0,4593730700000.0,4484225300000.0,4556443400000.0,4534022700000.0,4596704500000.0,4563000600000.0,4521301000000.0,4504522600000.0,4552554700000.0,4570053300000.0,4546620000000.0,4537060400000.0,4550375000000.0,4548115000000.0,4508268000000.0,4538441400000.0,4460409000000.0,4599674600000.0,4507889000000.0
2026.0,4581000500000.0,4445602600000.0,4507054000000.0,4485384000000.0,4578640000000.0,4545949700000.0,4490783000000.0,4467620600000.0,4531770400000.0,4538990000000.0,4495246000000.0,4518835000000.0,4513944600000.0,4503497600000.0,4477051000000.0,4505210500000.0,4407052700000.0,4585510400000.0,4441865000000.0
2027.0,4552572000000.0,4421353000000.0,4478517000000.0,4437790000000.0,4562975500000.0,4522639400000.0,4464089500000.0,4450123500000.0,4510085300000.0,4507410400000.0,4450659300000.0,4473286000000.0,4499631500000.0,4463460000000.0,4455328600000.0,4484205400000.0,4389395500000.0,4569739000000.0,4418101000000.0
2028.0,4530780500000.0,4382464400000.0,4456005000000.0,4406068000000.0,4515688300000.0,4501118000000.0,4439925600000.0,4396561700000.0,4475087000000.0,4470913000000.0,4398143500000.0,4421186500000.0,4474857300000.0,4452636400000.0,4401188000000.0,4460113300000.0,4367190000000.0,4538313500000.0,4389971400000.0
2029.0,4506662000000.0,4338007400000.0,4419677000000.0,4371073500000.0,4496251400000.0,4466092000000.0,4395771000000.0,4321985200000.0,4465950000000.0,4429062300000.0,4372835900000.0,4395983700000.0,4439053700000.0,4433617000000.0,4349662600000.0,4446555000000.0,4329771000000.0,4518616500000.0,4378059000000.0
2030.0,4479034300000.0,4300502500000.0,4360078600000.0,4331720400000.0,4467134600000.0,4430177000000.0,4351790200000.0,4282422400000.0,4449133000000.0,4401999600000.0,4330216000000.0,4386485700000.0,4423557000000.0,4390197700000.0,4319305500000.0,4420371000000.0,4305525000000.0,4473226300000.0,4379802300000.0
2031.0,4460577000000.0,4264305400000.0,4325348000000.0,4291174600000.0,4436195300000.0,4399681000000.0,4298626600000.0,4226247300000.0,4425301000000.0,4385623200000.0,4295537200000.0,4357017800000.0,4411099000000.0,4352708700000.0,4286143300000.0,4410836000000.0,4285870000000.0,4444856500000.0,4347886300000.0
2032.0,4430081000000.0,4227397000000.0,4280968800000.0,4255646700000.0,4417743000000.0,4388094000000.0,4266713200000.0,4159429100000.0,4413247700000.0,4357746300000.0,4269435300000.0,4309737500000.0,4384336000000.0,4307073400000.0,4230043400000.0,4377792500000.0,4249132000000.0,4416056300000.0,4294277900000.0
2033.0,4408921000000.0,4190525500000.0,4241321400000.0,4216729600000.0,4410419700000.0,4353518200000.0,4218674200000.0,4128883300000.0,4388274300000.0,4329735500000.0,4225278100000.0,4281259800000.0,4360945500000.0,4271690700000.0,4179482000000.0,4352346000000.0,4220527300000.0,4413584300000.0,4262584600000.0
2034.0,4382728700000.0,4110221000000.0,4221439000000.0,4167804600000.0,4390559400000.0,4345997600000.0,4175787000000.0,4105314800000.0,4356140700000.0,4304571700000.0,4175526400000.0,4259585500000.0,4333357200000.0,4255796700000.0,4122654500000.0,4315013000000.0,4179916500000.0,4407751000000.0,4242279800000.0
2035.0,4374914700000.0,4037713300000.0,4188781400000.0,4150788000000.0,4373826200000.0,4319406700000.0,4128062300000.0,4054284000000.0,4335815600000.0,4298161500000.0,4165351800000.0,4228590600000.0,4306187800000.0,4228262700000.0,4089298600000.0,4277327600000.0,4156492000000.0,4389674000000.0,4206214500000.0
2036.0,4362687500000.0,4005758500000.0,4156264000000.0,4139907000000.0,4358317000000.0,4279738800000.0,4084051500000.0,4013074200000.0,4308199000000.0,4275906500000.0,4123702600000.0,4199817700000.0,4271469200000.0,4205282600000.0,4052226400000.0,4258744200000.0,4113082600000.0,4365520200000.0,4175133700000.0
2037.0,4354025700000.0,3966500000000.0,4136234000000.0,4103897600000.0,4336093000000.0,4255211300000.0,4043091500000.0,3989660000000.0,4272117500000.0,4256188900000.0,4093466400000.0,4172009400000.0,4241670800000.0,4194688300000.0,4031770500000.0,4243064600000.0,4074866500000.0,4315126400000.0,4156960300000.0
2038.0,4323566400000.0,3918452800000.0,4099598500000.0,4077939000000.0,4306239800000.0,4237473300000.0,3964483000000.0,3958304400000.0,4250422700000.0,4229115400000.0,4072662000000.0,4132076500000.0,4213799600000.0,4168641700000.0,3998121000000.0,4212368300000.0,4021912600000.0,4282036800000.0,4150407500000.0
2039.0,4311554200000.0,3876002700000.0,4073255900000.0,4040454600000.0,4271346300000.0,4176988300000.0,3925325400000.0,3903996600000.0,4231213400000.0,4199076000000.0,4046986000000.0,4091840600000.0,4175519300000.0,4163416600000.0,3961585100000.0,4173119000000.0,3995814300000.0,4268458000000.0,4115802600000.0
2040.0,4286485400000.0,3829679800000.0,4053292000000.0,4009017200000.0,4240710000000.0,4131383000000.0,3871013900000.0,3875151500000.0,4201258200000.0,4161893000000.0,4024720700000.0,4061464400000.0,4150542000000.0,4120914700000.0,3912939300000.0,4147665200000.0,3961473000000.0,4238674000000.0,4093782300000.0
2041.0,4250044500000.0,3792066600000.0,4032453400000.0,3976879400000.0,4208980400000.0,4086828000000.0,3833132200000.0,3848530600000.0,4160037000000.0,4137386000000.0,3992835900000.0,4022658000000.0,4104098400000.0,4088813600000.0,3890443200000.0,4135321000000.0,3934432300000.0,4215868500000.0,4048762400000.0
2042.0,4237192300000.0,3767594600000.0,3991945600000.0,3942863000000.0,4142324500000.0,4025182800000.0,3795179000000.0,3801779300000.0,4122190000000.0,4107381000000.0,3937648500000.0,3996671000000.0,4059690200000.0,4059561500000.0,3855497600000.0,4108686000000.0,3889623000000.0,4184998200000.0,4018413000000.0
2043.0,4213260000000.0,3723760200000.0,3948584400000.0,3909724000000.0,4095294300000.0,3957040300000.0,3768492800000.0,3773666700000.0,4085127000000.0,4083815500000.0,3896515200000.0,3954536000000.0,4035341700000.0,4021813000000.0,3818785900000.0,4071231600000.0,3842396400000.0,4128122000000.0,3997773600000.0
2044.0,4191379300000.0,3688939000000.0,3911123000000.0,3872591200000.0,4050597700000.0,3950221000000.0,3735201800000.0,3734912600000.0,4063665600000.0,4054975800000.0,3876174400000.0,3911465300000.0,4012102000000.0,3983902500000.0,3789839100000.0,4019622000000.0,3811136200000.0,4065040300000.0,3984981200000.0
2045.0,4177610100000.0,3646410700000.0,3848376200000.0,3840306800000.0,4021499700000.0,3907563600000.0,3695340200000.0,3675779800000.0,4032608900000.0,4032725500000.0,3851054200000.0,3842439000000.0,3943873600000.0,3957162200000.0,3734909500000.0,3988340300000.0,3772867400000.0,4035239000000.0,3932891600000.0
2046.0,4157778200000.0,3613554400000.0,3808722400000.0,3793139500000.0,3980080400000.0,3854663700000.0,3667006000000.0,3633708500000.0,4008819000000.0,4016711400000.0,3819035000000.0,3782745000000.0,3910654200000.0,3925884800000.0,3695013300000.0,3960827000000.0,3734027600000.0,4024638400000.0,3905942200000.0
2047.0,4127734000000.0,3560088800000.0,3778496200000.0,3768168500000.0,3953598000000.0,3818217300000.0,3628769000000.0,3601822400000.0,3988624800000.0,3995972700000.0,3770654700000.0,3735958000000.0,3881409000000.0,3885013700000.0,3658377000000.0,3915240000000.0,3705849500000.0,3995125400000.0,3851595000000.0
2048.0,4089163800000.0,3524345700000.0,3746114800000.0,3736487900000.0,3917185500000.0,3753354500000.0,3590398000000.0,3547380300000.0,3961114000000.0,3985734600000.0,3704855000000.0,3687242800000.0,3836905800000.0,3868083600000.0,3646822500000.0,3864181600000.0,3671805400000.0,3963494300000.0,3780972000000.0
2049.0,4062196000000.0,3474355000000.0,3711883300000.0,3698517300000.0,3875594000000.0,3713976500000.0,3547855000000.0,3509610600000.0,3936956700000.0,3949056000000.0,3684747400000.0,3649012500000.0,3797067000000.0,3856849400000.0,3626023000000.0,3843274300000.0,3627390000000.0,3938900800000.0,3742333000000.0
2050.0,4030358400000.0,3410926500000.0,3690781700000.0,3671576800000.0,3828383000000.0,3687233400000.0,3507870800000.0,3485108800000.0,3920609400000.0,3929967700000.0,3668115700000.0,3608450400000.0,3759688000000.0,3841746300000.0,3610568000000.0,3799512500000.0,3569484300000.0,3907545000000.0,3696294400000.0
2051.0,3988087400000.0,3355856900000.0,3670486000000.0,3662642700000.0,3787304200000.0,3645526000000.0,3439119600000.0,3465719600000.0,3876105200000.0,3903294000000.0,3630300700000.0,3569491400000.0,3708657600000.0,3824837200000.0,3567744200000.0,3769262000000.0,3555717800000.0,3875043000000.0,3674977900000.0
2052.0,3966839600000.0,3331562700000.0,3634271000000.0,3634495500000.0,3774655500000.0,3612114200000.0,3396275000000.0,3432191400000.0,3841041400000.0,3872447800000.0,3574230200000.0,3538928000000.0,3654845200000.0,3813560500000.0,3542663800000.0,3744979700000.0,3536766600000.0,3845750300000.0,3665920300000.0
2053.0,3935981000000.0,3284397200000.0,3588447300000.0,3595439700000.0,3757626000000.0,3581635700000.0,3367732500000.0,3381262300000.0,3811573000000.0,3834978500000.0,3523468000000.0,3492003700000.0,3613204200000.0,3788856400000.0,3497702200000.0,3715757000000.0,3500392300000.0,3820058300000.0,3629622500000.0
2054.0,3914263400000.0,3255058800000.0,3548648000000.0,3573216000000.0,3715223800000.0,3538038800000.0,3341771600000.0,3340277600000.0,3777736500000.0,3787874400000.0,3495540000000.0,3463661500000.0,3562306800000.0,3744807500000.0,3448097000000.0,3679279600000.0,3474146500000.0,3812278000000.0,3574520600000.0
2055.0,3884552600000.0,3202333800000.0,3518337000000.0,3537770400000.0,3695043000000.0,3502779700000.0,3309976000000.0,3302745700000.0,3757337200000.0,3758158500000.0,3461801300000.0,3415671600000.0,3522788900000.0,3706288300000.0,3404394400000.0,3658285600000.0,3418667000000.0,3778847000000.0,3551064500000.0
2056.0,3851193200000.0,3154787200000.0,3486917600000.0,3523187300000.0,3668676700000.0,3459034600000.0,3275268000000.0,3261103900000.0,3749246700000.0,3725284000000.0,3438776200000.0,3351366000000.0,3496304200000.0,3656821500000.0,3358124100000.0,3638557100000.0,3387208800000.0,3743549800000.0,3534944200000.0
2057.0,3810029000000.0,3114051800000.0,3455962600000.0,3488497800000.0,3636971000000.0,3423795200000.0,3248315700000.0,3220839300000.0,3717495000000.0,3704736200000.0,3406077000000.0,3296005700000.0,3437994000000.0,3641763700000.0,3317659300000.0,3610654500000.0,3339248000000.0,3678444000000.0,3530966400000.0
2058.0,3793740600000.0,3076829500000.0,3404839300000.0,3465522700000.0,3611547100000.0,3391310300000.0,3224958700000.0,3202530700000.0,3693952600000.0,3680459600000.0,3371541700000.0,3242589400000.0,3406204800000.0,3619219000000.0,3289667900000.0,3580502700000.0,3292921600000.0,3643453700000.0,3512013700000.0
2059.0,3764445800000.0,3043595000000.0,3378655500000.0,3437011000000.0,3585337500000.0,3345514000000.0,3190898800000.0,3163047000000.0,3679769600000.0,3649060700000.0,3329237500000.0,3217662000000.0,3361355600000.0,3574275500000.0,3236754400000.0,3569222400000.0,3273021500000.0,3602705000000.0,3461908000000.0
2060.0,3744662600000.0,2991705600000.0,3347990400000.0,3409324800000.0,3555198800000.0,3301406700000.0,3154188700000.0,3102656000000.0,3648664400000.0,3632797600000.0,3292487000000.0,3175335600000.0,3314525000000.0,3527814000000.0,3193987000000.0,3539914500000.0,3244351000000.0,3571088400000.0,3420411100000.0
2061.0,3734163400000.0,2945745000000.0,3295590500000.0,3386099000000.0,3524085400000.0,3248539000000.0,3104068000000.0,3063702000000.0,3626011200000.0,3605458600000.0,3250082300000.0,3133905600000.0,3270022000000.0,3506347700000.0,3154408000000.0,3526757700000.0,3191871000000.0,3553413300000.0,3387752400000.0
2062.0,3709485000000.0,2896106600000.0,3273127000000.0,3365574500000.0,3509876400000.0,3188659000000.0,3060869600000.0,3027933300000.0,3596359800000.0,3572014300000.0,3209187000000.0,3093489000000.0,3226420600000.0,3456175200000.0,3096656200000.0,3488605800000.0,3140910600000.0,3510933000000.0,3340439700000.0
2063.0,3672455000000.0,2857875800000.0,3231183800000.0,3346062000000.0,3484244000000.0,3129752000000.0,3032709000000.0,2987550000000.0,3562017700000.0,3542158100000.0,3175596700000.0,3043263300000.0,3183162200000.0,3425065000000.0,3047213500000.0,3454500600000.0,3092584000000.0,3449405300000.0,3312098200000.0
2064.0,3644557000000.0,2825971000000.0,3198595400000.0,3323871400000.0,3458056600000.0,3068202300000.0,3006707800000.0,2949556200000.0,3538053800000.0,3519232000000.0,3121993500000.0,3008004400000.0,3152106500000.0,3387276400000.0,3004384100000.0,3430211600000.0,3032677600000.0,3406571200000.0,3290623600000.0
2065.0,3626361700000.0,2781900700000.0,3158581000000.0,3292198300000.0,3427371300000.0,3045747900000.0,2966599500000.0,2923568800000.0,3507639500000.0,3497011400000.0,3074452600000.0,2966770700000.0,3104524700000.0,3347282400000.0,2942605500000.0,3408713700000.0,2993197200000.0,3362714300000.0,3271077100000.0
2066.0,3598264600000.0,2737010000000.0,3127214900000.0,3267590400000.0,3367064000000.0,2995233000000.0,2931605600000.0,2863579300000.0,3485006600000.0,3472167800000.0,3053932000000.0,2934701300000.0,3061747000000.0,3306893600000.0,2896263000000.0,3379953000000.0,2918772400000.0,3349011200000.0,3252519000000.0
2067.0,3569976300000.0,2686527700000.0,3082266000000.0,3234198500000.0,3325939700000.0,2928454000000.0,2889387900000.0,2798968400000.0,3457869200000.0,3449866700000.0,3018806500000.0,2882321500000.0,3017468000000.0,3266194000000.0,2846267000000.0,3360108300000.0,2871357600000.0,3313982200000.0,3223198000000.0
2068.0,3536361000000.0,2639125300000.0,3037910000000.0,3213321600000.0,3289285700000.0,2874389300000.0,2863207500000.0,2775905000000.0,3425179300000.0,3427835800000.0,2971852600000.0,2826084000000.0,2963814000000.0,3243943400000.0,2794700100000.0,3332493800000.0,2834951800000.0,3282158500000.0,3185267000000.0
2069.0,3510600200000.0,2583874800000.0,3005644500000.0,3191501800000.0,3242931300000.0,2830222000000.0,2838031000000.0,2740321800000.0,3405952600000.0,3400289500000.0,2917530600000.0,2774203000000.0,2908971300000.0,3189433200000.0,2759866000000.0,3311005900000.0,2778997700000.0,3230110000000.0,3169710500000.0
2070.0,3490142200000.0,2544257700000.0,2971001700000.0,3165613200000.0,3217567800000.0,2785210300000.0,2800236600000.0,2687835600000.0,3389377000000.0,3378735500000.0,2877823000000.0,2739675600000.0,2838018000000.0,3137684000000.0,2717756000000.0,3284339000000.0,2729384600000.0,3207359400000.0,3129092600000.0
2071.0,3453057000000.0,2493332300000.0,2932563200000.0,3136765000000.0,3189992300000.0,2740450200000.0,2760635000000.0,2647465700000.0,3369292500000.0,3350917300000.0,2853363500000.0,2691796800000.0,2784382200000.0,3111528000000.0,2660181700000.0,3250458700000.0,2666678500000.0,3182784200000.0,3086064800000.0
2072.0,3420887700000.0,2428901000000.0,2889064400000.0,3103072000000.0,3164304600000.0,2708685000000.0,2730657300000.0,2613280000000.0,3342588700000.0,3315227400000.0,2803599000000.0,2647626600000.0,2741666600000.0,3082254800000.0,2611961000000.0,3224072600000.0,2615795500000.0,3150296000000.0,3058344400000.0
2073.0,3392585300000.0,2385042700000.0,2852757700000.0,3088614200000.0,3131709000000.0,2654357700000.0,2691427200000.0,2568894000000.0,3311605000000.0,3283214100000.0,2747606500000.0,2597263200000.0,2685167700000.0,3050574700000.0,2564737700000.0,3193492200000.0,2539823800000.0,3113455200000.0,3018572200000.0
2074.0,3358694800000.0,2345025700000.0,2799071000000.0,3079638000000.0,3113807500000.0,2609572500000.0,2650770500000.0,2503464000000.0,3290684700000.0,3266612300000.0,2712932200000.0,2553703300000.0,2616478000000.0,3005014000000.0,2524322000000.0,3163493500000.0,2493191800000.0,3067857300000.0,2979257400000.0
2075.0,3324653900000.0,2288907500000.0,2762950600000.0,3052395800000.0,3080668800000.0,2567806000000.0,2606975200000.0,2462303400000.0,3268449100000.0,3227322200000.0,2665408600000.0,2498931500000.0,2568972400000.0,2971379000000.0,2481448300000.0,3139575500000.0,2453961400000.0,3045919600000.0,2959211200000.0
2076.0,3302216000000.0,2251044400000.0,2721884400000.0,3023748500000.0,3025131500000.0,2502875400000.0,2544062400000.0,2415318300000.0,3242733000000.0,3214338400000.0,2624016000000.0,2435415500000.0,2514284400000.0,2945352500000.0,2429755300000.0,3128564600000.0,2384268600000.0,3018804200000.0,2935817800000.0
2077.0,3274914400000.0,2206523000000.0,2678985300000.0,2998515800000.0,2992768000000.0,2459753300000.0,2511623700000.0,2367997000000.0,3211525600000.0,3201110600000.0,2573293300000.0,2380937800000.0,2455251700000.0,2922221400000.0,2372476600000.0,3122915200000.0,2331269400000.0,2998581000000.0,2897354700000.0
2078.0,3250981000000.0,2154470800000.0,2639433000000.0,2990134300000.0,2962198400000.0,2403840000000.0,2479753800000.0,2323069300000.0,3182919700000.0,3183066200000.0,2523430000000.0,2322891800000.0,2420873000000.0,2883226200000.0,2333466700000.0,3113563000000.0,2268983700000.0,2982408600000.0,2848274800000.0
2079.0,3237175400000.0,2097001900000.0,2603962600000.0,2968608300000.0,2944812700000.0,2350008500000.0,2443262600000.0,2266495500000.0,3161481500000.0,3161393200000.0,2482140600000.0,2268237000000.0,2381684400000.0,2849875400000.0,2286992200000.0,3097338800000.0,2236480700000.0,2952454500000.0,2824091200000.0
2080.0,3209702700000.0,2049007600000.0,2568244400000.0,2938918700000.0,2906578700000.0,2298496700000.0,2417939200000.0,2220370200000.0,3139875600000.0,3129345300000.0,2426428500000.0,2219243200000.0,2339085200000.0,2816601800000.0,2243483400000.0,3072935300000.0,2186524200000.0,2908437000000.0,2795861000000.0
2081.0,3181008000000.0,2010680700000.0,2525784200000.0,2905096300000.0,2874393800000.0,2241937500000.0,2388435000000.0,2187746700000.0,3107068800000.0,3093865700000.0,2388573300000.0,2169166200000.0,2286342400000.0,2778285700000.0,2198585200000.0,3058801600000.0,2155936000000.0,2857741600000.0,2759927000000.0
2082.0,3160101600000.0,1980628700000.0,2490564600000.0,2868867200000.0,2841718300000.0,2199947000000.0,2355330000000.0,2144580900000.0,3066299400000.0,3073632600000.0,2350581800000.0,2125210700000.0,2234704000000.0,2740911900000.0,2163925300000.0,3038684400000.0,2095207000000.0,2826629500000.0,2732621000000.0
2083.0,3127734700000.0,1940646400000.0,2453212000000.0,2834898000000.0,2805063000000.0,2144207100000.0,2333412700000.0,2096768200000.0,3045706400000.0,3045589300000.0,2292683400000.0,2070674100000.0,2183759700000.0,2696947200000.0,2119659700000.0,3022479700000.0,2060559700000.0,2800498800000.0,2705269200000.0
2084.0,3080068000000.0,1893228000000.0,2411055000000.0,2808503300000.0,2779895300000.0,2106609100000.0,2308505900000.0,2057243700000.0,3019159400000.0,3024122800000.0,2220520400000.0,2017706900000.0,2128930400000.0,2673083000000.0,2073822400000.0,2991369700000.0,2021359500000.0,2763330400000.0,2683490300000.0
2085.0,3054892000000.0,1854783800000.0,2370480600000.0,2780718200000.0,2752796400000.0,2065401800000.0,2273394000000.0,2019003600000.0,2988483800000.0,2996685200000.0,2193157300000.0,1955855900000.0,2069168700000.0,2645105600000.0,2033551100000.0,2953395600000.0,1959497600000.0,2711588200000.0,2640484800000.0
