time,UKESM1-0-LL,MRI-ESM2-0,GFDL-ESM4,MPI-ESM1-2-HR,IPSL-CM6A-LR
2069.0,2090055800.0,14577793000.0,17675130000.0,17318100000.0,7091028500.0
2070.0,2029767400.0,13807576000.0,16373770000.0,16874296000.0,6615995000.0
2071.0,1906918300.0,13100916000.0,15275158000.0,16498045000.0,6199588400.0
2072.0,1795685800.0,12590917000.0,15587979000.0,16044572000.0,5735131000.0
2073.0,1560304400.0,11956929000.0,14678096000.0,15933944000.0,5194948600.0
2074.0,1386091400.0,11837702000.0,13379685000.0,14061797000.0,4780736500.0
2075.0,1247018000.0,11293432000.0,12766285000.0,13270146000.0,4694674000.0
2076.0,1263833700.0,10766495000.0,12212597000.0,12559430000.0,4326156300.0
2077.0,1136297600.0,10650890000.0,12137013000.0,12231155000.0,3995020500.0
2078.0,1046043970.0,9823255000.0,11598678000.0,11857744000.0,3720157000.0
2079.0,965219300.0,9421606000.0,11199218000.0,12121167000.0,3476879600.0
2080.0,887953340.0,9313928000.0,10267264000.0,11434806000.0,3072928000.0
2081.0,871698900.0,9325357000.0,10076933000.0,11444677000.0,2813178000.0
2082.0,793014500.0,9342779000.0,9934346000.0,11307030000.0,2710717400.0
2083.0,699400260.0,9121172000.0,9362525000.0,10773636000.0,2510316000.0
2084.0,608774200.0,8692682000.0,9178504000.0,10240230000.0,2440818400.0
2085.0,561225200.0,8417394000.0,8774497000.0,10487796000.0,2237878800.0
2086.0,522195600.0,8236960000.0,8272651000.0,9511485000.0,2154061600.0
2087.0,487676320.0,7643619300.0,8175196700.0,8814029000.0,2119824600.0
2088.0,459863400.0,6876821000.0,8066390000.0,8231200300.0,2029996300.0
2089.0,410990430.0,6575203300.0,7777496000.0,7847000000.0,1928636500.0
2090.0,424808000.0,6171525000.0,7532943400.0,7609037000.0,1837739000.0
2091.0,367040060.0,5843828700.0,7208702000.0,7525509000.0,1749681300.0
2092.0,356449730.0,5554180000.0,6862322700.0,7490928000.0,1576866700.0
2093.0,329824700.0,5337689600.0,6737323000.0,6989745000.0,1422972700.0
2094.0,312700830.0,5565205500.0,6224457000.0,6416612400.0,1273163400.0
2095.0,289508600.0,5128496600.0,5917103600.0,5760822000.0,1182540200.0
2096.0,255650580.0,4946184000.0,5539372500.0,5528081000.0,1034202000.0
2097.0,237253500.0,4626393600.0,5461140500.0,5282026000.0,965982850.0
2098.0,204465680.0,4439287300.0,5116521500.0,5384030000.0,889022400.0
2099.0,195713820.0,4192622600.0,4853852700.0,5424761300.0,856368500.0
2100.0,183519310.0,3942743000.0,4631561000.0,5290367500.0,796384300.0
