time,MRI-ESM2-0,UKESM1-0-LL,MPI-ESM1-2-HR,GFDL-ESM4,IPSL-CM6A-LR
2069.0,13975723000.0,7175715000.0,29031508000.0,30801430000.0,15831432000.0
2070.0,13736825000.0,6733100500.0,30211940000.0,29675213000.0,15564135000.0
2071.0,13493348000.0,6985357300.0,29965418000.0,28448934000.0,15347875000.0
2072.0,13671301000.0,7271500000.0,30224757000.0,27686230000.0,15183005000.0
2073.0,14154999000.0,6962266000.0,30804374000.0,28056324000.0,14493282000.0
2074.0,14166081000.0,6742009000.0,30428553000.0,28455934000.0,13770712000.0
2075.0,14450698000.0,6818747000.0,30480306000.0,27896576000.0,12797546000.0
2076.0,14091841000.0,6325903000.0,30615200000.0,27842380000.0,12963555000.0
2077.0,14297620000.0,6285649400.0,31448040000.0,27958915000.0,12390731000.0
2078.0,14319137000.0,5868570600.0,32091146000.0,27749399000.0,11983420000.0
2079.0,13932069000.0,5943793000.0,35383920000.0,27759999000.0,11650679000.0
2080.0,13942387000.0,6188821000.0,36104114000.0,27083850000.0,11599993000.0
2081.0,14082528000.0,6178437600.0,37610010000.0,26947813000.0,11349663000.0
2082.0,14212023000.0,6204767700.0,36377250000.0,28110848000.0,11463050000.0
2083.0,14366823000.0,6157339600.0,36002378000.0,27372837000.0,11816147000.0
2084.0,14624294000.0,6093354500.0,36267004000.0,28612170000.0,11615628000.0
2085.0,14492170000.0,5960121000.0,36624265000.0,28633637000.0,11168620000.0
2086.0,14447799000.0,5579338000.0,37532250000.0,28391318000.0,10790406000.0
2087.0,14754767000.0,5558764500.0,37231616000.0,28646642000.0,10420274000.0
2088.0,14935175000.0,5636995600.0,37854270000.0,29348092000.0,10068475000.0
2089.0,15163668000.0,5952137000.0,37702780000.0,29275372000.0,9951918000.0
2090.0,15419563000.0,5934185000.0,37912228000.0,28429715000.0,9697018000.0
2091.0,15782359000.0,5855487500.0,38682546000.0,28637997000.0,10009179000.0
2092.0,15707394000.0,5705527000.0,40069130000.0,28706447000.0,9965757000.0
2093.0,16104461000.0,5800436000.0,39823065000.0,29016533000.0,10101692000.0
2094.0,16407484000.0,5825011000.0,39885760000.0,29433200000.0,10225768000.0
2095.0,16574305000.0,5696166000.0,40382880000.0,29749481000.0,10461214000.0
2096.0,17303122000.0,5587269000.0,40128918000.0,30418948000.0,10610900000.0
2097.0,17154436000.0,5441864000.0,40110457000.0,29805030000.0,10383817000.0
2098.0,16757600000.0,5419764700.0,40301933000.0,29684066000.0,10021163000.0
2099.0,16546366000.0,5666374700.0,38325604000.0,30128945000.0,10292674000.0
2100.0,16233414000.0,5538863600.0,38509080000.0,31470496000.0,10415140000.0
