time,CESM1-CAM5,CCSM4,GISS-E2-R,GFDL-CM3,IPSL-CM5A-LR,CNRM-CM5,CSIRO-MK3-6-0,NORESM1-M,CANESM2,MPI-ESM-LR,GFDL-ESM2G
2015.0,54758440000.0,54758440000.0,54758440000.0,54758440000.0,54758440000.0,54758440000.0,54758440000.0,54758440000.0,54758440000.0,54758440000.0,54758440000.0
2016.0,53108044000.0,53108044000.0,53108044000.0,53108044000.0,53108044000.0,53108044000.0,53108044000.0,53108044000.0,53108044000.0,53108044000.0,53108044000.0
2017.0,52618396000.0,52618396000.0,52618396000.0,52618396000.0,52618396000.0,52618396000.0,52618396000.0,52618396000.0,52618396000.0,52618396000.0,52618396000.0
2018.0,51351860000.0,51351860000.0,51351860000.0,51351860000.0,51351860000.0,51351860000.0,51351860000.0,51351860000.0,51351860000.0,51351860000.0,51351860000.0
2019.0,49759986000.0,49759986000.0,49759986000.0,49759986000.0,49759986000.0,49759986000.0,49759986000.0,49759986000.0,49759986000.0,49759986000.0,49759986000.0
2020.0,48214462000.0,48214462000.0,48214462000.0,48214462000.0,48214462000.0,48214462000.0,48214462000.0,48214462000.0,48214462000.0,48214462000.0,48214462000.0
2021.0,47033467000.0,47978185000.0,47421240000.0,47533752000.0,47922400000.0,46889240000.0,47853490000.0,47421660000.0,48323568000.0,47840600000.0,47765650000.0
2022.0,43901610000.0,47359110000.0,47767613000.0,45999360000.0,46259780000.0,46831997000.0,46470880000.0,46703530000.0,47371140000.0,46160990000.0,46554706000.0
2023.0,41910653000.0,45882184000.0,46692094000.0,43299140000.0,46170124000.0,45780046000.0,46212070000.0,44471493000.0,44658532000.0,43992306000.0,46053994000.0
2024.0,40694395000.0,44369773000.0,45948195000.0,41193107000.0,45343097000.0,44005552000.0,46533380000.0,43148910000.0,43994740000.0,42116180000.0,45681345000.0
2025.0,40748830000.0,43779437000.0,45667738000.0,40494227000.0,43637408000.0,42755277000.0,45299122000.0,42332815000.0,43818836000.0,39928870000.0,44019060000.0
2026.0,41215844000.0,42504750000.0,45649252000.0,39108000000.0,41744867000.0,43021873000.0,44895770000.0,40602563000.0,41637507000.0,37270827000.0,42473200000.0
2027.0,40110930000.0,41141100000.0,44813836000.0,37640876000.0,40945177000.0,42551710000.0,42464430000.0,39493534000.0,39703142000.0,37837246000.0,40776487000.0
2028.0,38356832000.0,41106310000.0,44604076000.0,35786370000.0,39951980000.0,40376627000.0,42674758000.0,37840400000.0,38324355000.0,36628310000.0,40279210000.0
2029.0,37911040000.0,40534864000.0,43396170000.0,34911860000.0,39246970000.0,40909690000.0,41405825000.0,36402950000.0,37637538000.0,35841460000.0,40283980000.0
2030.0,38208860000.0,39935304000.0,42974527000.0,34104783000.0,38525650000.0,39751000000.0,42353963000.0,36370055000.0,37834380000.0,34932040000.0,39589500000.0
2031.0,37582897000.0,39353033000.0,43387507000.0,32794728000.0,37031907000.0,38757440000.0,41747866000.0,35861565000.0,36768027000.0,33158595000.0,38993752000.0
2032.0,36505080000.0,39419826000.0,42415800000.0,32787257000.0,36040740000.0,38700937000.0,40637903000.0,34994123000.0,35281625000.0,31954770000.0,38557934000.0
2033.0,35104637000.0,37556556000.0,41892872000.0,32018137000.0,35713360000.0,38536050000.0,39877206000.0,33571164000.0,33320950000.0,30974657000.0,38847738000.0
2034.0,34358055000.0,36025696000.0,41497660000.0,31133030000.0,35008905000.0,37904777000.0,39313564000.0,32015987000.0,33963750000.0,30494624000.0,38433340000.0
2035.0,32380780000.0,34534994000.0,41603162000.0,29469757000.0,34464084000.0,36935807000.0,37618758000.0,30736490000.0,33028330000.0,29981628000.0,37781488000.0
2036.0,31321424000.0,33604289000.0,40245300000.0,28055986000.0,33936587000.0,36378767000.0,36471460000.0,30439170000.0,32248560000.0,29450402000.0,37384778000.0
2037.0,30584291000.0,32771025000.0,39963160000.0,26877550000.0,33367513000.0,36237582000.0,35437384000.0,29419921000.0,31083344000.0,29808652000.0,36049310000.0
2038.0,29933770000.0,31396012000.0,38647706000.0,26598710000.0,32862493000.0,34829910000.0,35478890000.0,28494870000.0,30533945000.0,29280025000.0,35986227000.0
2039.0,29398176000.0,31113673000.0,37949706000.0,25993538000.0,31878496000.0,33883595000.0,35854680000.0,27637402000.0,28851157000.0,28783155000.0,36548575000.0
2040.0,28864010000.0,30552953000.0,37722833000.0,24205027000.0,30547425000.0,33096920000.0,35256807000.0,26971466000.0,28232204000.0,29395128000.0,36440895000.0
2041.0,28177410000.0,29927730000.0,37040300000.0,22400096000.0,30481533000.0,32591612000.0,34436050000.0,25607096000.0,28607355000.0,28676151000.0,36365920000.0
2042.0,27622537000.0,29171640000.0,36097024000.0,22420580000.0,29736360000.0,31092668000.0,34957742000.0,24307160000.0,27779084000.0,27677964000.0,35124576000.0
2043.0,26754367000.0,28917058000.0,35146363000.0,21330969000.0,29151360000.0,29946126000.0,34365436000.0,23577740000.0,26488883000.0,26345468000.0,33918632000.0
2044.0,27404941000.0,29382343000.0,33921327000.0,20327574000.0,28962710000.0,29402495000.0,35387142000.0,23246820000.0,26208672000.0,25874352000.0,31907023000.0
2045.0,26949782000.0,29412303000.0,34201180000.0,19284558000.0,28046084000.0,28912466000.0,35139777000.0,23079490000.0,25425218000.0,26041102000.0,31579021000.0
2046.0,26204211000.0,28384570000.0,34423656000.0,18282488000.0,28098020000.0,28475754000.0,33419813000.0,22170250000.0,25104257000.0,26485840000.0,30835007000.0
2047.0,26095280000.0,28092004000.0,34057466000.0,16906922000.0,26979222000.0,28671246000.0,32908687000.0,21634224000.0,24593430000.0,25535805000.0,31141544000.0
2048.0,25339445000.0,28704283000.0,33805752000.0,15890457000.0,26140547000.0,28130544000.0,32469630000.0,21330970000.0,24550728000.0,25319471000.0,30777698000.0
2049.0,24798226000.0,28422156000.0,32917369000.0,15186854000.0,25478808000.0,27722084000.0,32678943000.0,21017137000.0,24622737000.0,25724879000.0,30414620000.0
2050.0,23766210000.0,28522152000.0,31727806000.0,14651532000.0,24447502000.0,27021175000.0,32195025000.0,20646164000.0,24248908000.0,25389412000.0,29081483000.0
2051.0,22449637000.0,28536070000.0,31393128000.0,13883623000.0,24444905000.0,25930228000.0,32030857000.0,20296045000.0,24442590000.0,25387911000.0,27891206000.0
2052.0,23074888000.0,28378188000.0,31136168000.0,13598170000.0,24896948000.0,25829308000.0,30000564000.0,20053408000.0,23818693000.0,25458033000.0,27684790000.0
2053.0,22444405000.0,27792020000.0,30463717000.0,13216151000.0,24879389000.0,25289572000.0,29053446000.0,20114129000.0,23072180000.0,25556326000.0,28114970000.0
2054.0,22154920000.0,28422668000.0,30144850000.0,12517328000.0,24852912000.0,24449001000.0,28503302000.0,19356072000.0,23436722000.0,25673595000.0,27623395000.0
2055.0,22187284000.0,28509712000.0,30489637000.0,12463010000.0,24338072000.0,23406680000.0,28157813000.0,19039855000.0,23241996000.0,25717744000.0,27502682000.0
2056.0,21790302000.0,28454873000.0,31148233000.0,12064232000.0,23958730000.0,23812465000.0,27377535000.0,18566144000.0,23125778000.0,25041121000.0,26159206000.0
2057.0,21410683000.0,28821400000.0,31772234000.0,12075026000.0,23827294000.0,23384615000.0,26491940000.0,18641560000.0,23099087000.0,24626598000.0,26086572000.0
2058.0,21051505000.0,29158890000.0,32956637000.0,11958247000.0,24580080000.0,23131142000.0,25339040000.0,18516894000.0,22862367000.0,24016398000.0,26251977000.0
2059.0,20767777000.0,28563590000.0,33524873000.0,11637545000.0,23924824000.0,22936345000.0,24687890000.0,18474750000.0,23907590000.0,23895532000.0,25898633000.0
2060.0,20485480000.0,28783323000.0,32597210000.0,11475486000.0,23484873000.0,22923293000.0,23936110000.0,18559570000.0,23657810000.0,23758799000.0,26253220000.0
2061.0,20180662000.0,29295348000.0,32408520000.0,11383904000.0,23230175000.0,22574756000.0,23397230000.0,18220370000.0,23814687000.0,24184349000.0,25089065000.0
2062.0,20266230000.0,29508157000.0,32695079000.0,11406446000.0,23150154000.0,22358305000.0,22699657000.0,18017665000.0,23924302000.0,24791419000.0,25148875000.0
2063.0,20661545000.0,29933375000.0,32532767000.0,11461903000.0,23235390000.0,22006204000.0,23830295000.0,17453201000.0,23510063000.0,25836190000.0,25443301000.0
2064.0,19811740000.0,29274513000.0,32511926000.0,11264114000.0,22856518000.0,21656742000.0,23183680000.0,17542646000.0,23996416000.0,25825223000.0,25135133000.0
2065.0,19599362000.0,29183298000.0,32325990000.0,11088838000.0,22533032000.0,21047237000.0,22582757000.0,17340258000.0,23586690000.0,26404655000.0,25690067000.0
2066.0,19815350000.0,29631377000.0,32028320000.0,10993350000.0,22352410000.0,20446380000.0,21867514000.0,16867977000.0,23681210000.0,26918083000.0,25531292000.0
2067.0,19700478000.0,29627871000.0,31626920000.0,10576884000.0,22816063000.0,20296286000.0,21625768000.0,17315869000.0,24510624000.0,27594592000.0,24592150000.0
2068.0,19727208000.0,29225550000.0,31219153000.0,10789484000.0,22920694000.0,20140431000.0,21663615000.0,17361410000.0,24828887000.0,28785478000.0,24302160000.0
2069.0,19510645000.0,29935569000.0,30669365000.0,10730863000.0,22722525000.0,20096735000.0,21355065000.0,17590522000.0,23903728000.0,29197693000.0,24288170000.0
2070.0,19732167000.0,30263001000.0,30219342000.0,10948355000.0,22901928000.0,20344193000.0,21085463000.0,17028280000.0,23234288000.0,29102162000.0,25081910000.0
2071.0,19690504000.0,30197280000.0,30194326000.0,10834084000.0,22861828000.0,20492050000.0,20531170000.0,16689494000.0,22428480000.0,29050943000.0,25084735000.0
2072.0,19812968000.0,29465856000.0,30763203000.0,10841675000.0,22488717000.0,20312316000.0,21128536000.0,16805467000.0,22471473000.0,28333597000.0,25480628000.0
2073.0,19629455000.0,29519602000.0,30766115000.0,10673991000.0,23083446000.0,20229775000.0,20694622000.0,16603809000.0,21992006000.0,27875110000.0,25716568000.0
2074.0,20200587000.0,29153516000.0,30694260000.0,10649057000.0,22842538000.0,20341500000.0,21298334000.0,16494594000.0,21778422000.0,27286538000.0,25457738000.0
2075.0,20915792000.0,29772702000.0,30031872000.0,10608523000.0,23434234000.0,20235133000.0,20739918000.0,16455309000.0,21477376000.0,28092793000.0,24710742000.0
2076.0,20546160000.0,29628242000.0,30152434000.0,10365509000.0,23036152000.0,20150751000.0,21771266000.0,16489816000.0,21289527000.0,26831639000.0,24492544000.0
2077.0,20425175000.0,28431884000.0,30453051000.0,10445539000.0,22307086000.0,20686258000.0,21766695000.0,16594842000.0,21198143000.0,25848125000.0,25144791000.0
2078.0,20427248000.0,29060452000.0,29891912000.0,10334017000.0,22185601000.0,20805673000.0,21181506000.0,16813348000.0,21068167000.0,24836694000.0,25754722000.0
2079.0,20428493000.0,29069777000.0,29148930000.0,10059897000.0,22167943000.0,21100974000.0,21002873000.0,16690714000.0,21106651000.0,23714304000.0,26520588000.0
2080.0,20808622000.0,29324591000.0,29588710000.0,10011209000.0,22427765000.0,20642339000.0,20972712000.0,16792916000.0,21139378000.0,24224958000.0,26649549000.0
2081.0,20407430000.0,28513070000.0,29800430000.0,10004748000.0,22605664000.0,20160100000.0,21020494000.0,16973245000.0,21425370000.0,23692702000.0,26425145000.0
2082.0,19774548000.0,28105624000.0,29986175000.0,9719302000.0,21991002000.0,19978623000.0,20807778000.0,16940634000.0,21325474000.0,23334290000.0,27047981000.0
2083.0,19793756000.0,28419100000.0,30011185000.0,9051472000.0,22339396000.0,19960750000.0,20494803000.0,17001807000.0,21122556000.0,23133813000.0,26462282000.0
2084.0,20028856000.0,28269965000.0,30017761000.0,9125903000.0,22737037000.0,19815207000.0,20664120000.0,16697720000.0,20947048000.0,22987405000.0,26722922000.0
2085.0,19806964000.0,28568787000.0,29773314000.0,9038933000.0,23191527000.0,19601320000.0,20282167000.0,16534163000.0,20588341000.0,22574586000.0,26926641000.0
2086.0,20049213000.0,28273785000.0,30385478000.0,8690843000.0,22236940000.0,19656440000.0,19501396000.0,16753347000.0,20291557000.0,23098239000.0,27347130000.0
2087.0,20264063000.0,28477123000.0,30774202000.0,8347314000.0,21997722000.0,19352152000.0,18906149000.0,16324929000.0,20566198000.0,22646550000.0,26988829000.0
2088.0,20151319000.0,29077555000.0,30024587000.0,8189264400.0,22574363000.0,19155155000.0,18968304000.0,16096628000.0,20692957000.0,22489385000.0,26894983000.0
2089.0,19738647000.0,29241702000.0,30601060000.0,8402601500.0,22157038000.0,18765674000.0,18936607000.0,16049720000.0,21547272000.0,22315320000.0,26973400000.0
2090.0,19754291000.0,28900600000.0,30509970000.0,8516579000.0,21812710000.0,18329672000.0,18844617000.0,16066018000.0,21803774000.0,21835620000.0,26729000000.0
2091.0,19583087000.0,28764062000.0,31020198000.0,8321155600.0,22232770000.0,18397157000.0,18638211000.0,16701113000.0,21809820000.0,21837000000.0,27460723000.0
2092.0,20069435000.0,28824424000.0,31589579000.0,8274427400.0,22576034000.0,18540442000.0,18042313000.0,16718017000.0,22353277000.0,21587665000.0,27545276000.0
2093.0,20575693000.0,29331260000.0,31723653000.0,8281558000.0,22856165000.0,18213163000.0,17943611000.0,16928618000.0,21194540000.0,21443370000.0,26955395000.0
2094.0,20266400000.0,29115116000.0,30984542000.0,7788416000.0,22743353000.0,17929861000.0,18133948000.0,17393406000.0,21274835000.0,22155039000.0,26047724000.0
2095.0,20423981000.0,28957432000.0,31038595000.0,7572039700.0,22621413000.0,17714893000.0,18402170000.0,17296857000.0,20895937000.0,21827949000.0,26232224000.0
2096.0,19914815000.0,28897552000.0,31313111000.0,7574189600.0,22260535000.0,17326862000.0,17834336000.0,17309200000.0,20454535000.0,21661643000.0,26221859000.0
2097.0,19456844000.0,28634683000.0,31573823000.0,7924702700.0,22263867000.0,17060080000.0,17642195000.0,17133969000.0,19916980000.0,21817264000.0,25887370000.0
2098.0,19287181000.0,29181764000.0,31601457000.0,7846122500.0,22055740000.0,16855358000.0,17803102000.0,16868869000.0,19805874000.0,21386945000.0,26357869000.0
2099.0,18806071000.0,29325863000.0,31856837000.0,7950760400.0,21541915000.0,16646244000.0,18115693000.0,17137806000.0,19696488000.0,21535550000.0,26119848000.0
2100.0,18651620000.0,28969419000.0,32169388000.0,8081599000.0,21308109000.0,16821901000.0,18186045000.0,17300850000.0,19312157000.0,21395814000.0,27676215000.0
