time,MRI-ESM2-0,GFDL-ESM4,MPI-ESM1-2-HR,IPSL-CM6A-LR,UKESM1-0-LL
2028.0,13578329000000.0,13645351000000.0,13664153000000.0,13624201000000.0,13254550000000.0
2029.0,13527970000000.0,13631258000000.0,13666823000000.0,13561497000000.0,13170550000000.0
2030.0,13448914000000.0,13620257000000.0,13654025000000.0,13529558000000.0,12973700000000.0
2031.0,13417948000000.0,13632124000000.0,13642577000000.0,13448110000000.0,12854630000000.0
2032.0,13381842000000.0,13635791000000.0,13646732000000.0,13451047000000.0,12702873000000.0
2033.0,13358414000000.0,13621232000000.0,13643116000000.0,13448034000000.0,12606665000000.0
2034.0,13303716000000.0,13604894000000.0,13597563000000.0,13367733000000.0,12505015000000.0
2035.0,13267270000000.0,13586044000000.0,13583737000000.0,13296141000000.0,12396038000000.0
2036.0,13244409000000.0,13556915000000.0,13592789000000.0,13156407000000.0,12252661000000.0
2037.0,13202168000000.0,13523495000000.0,13583365000000.0,13037438000000.0,12075624000000.0
2038.0,13130060000000.0,13509240000000.0,13560659000000.0,12917629000000.0,11939260000000.0
2039.0,13095757000000.0,13466337000000.0,13548189000000.0,12825913000000.0,11840377000000.0
2040.0,12960080000000.0,13432604000000.0,13550484000000.0,12719674000000.0,11741196000000.0
2041.0,12856657000000.0,13391690000000.0,13499065000000.0,12624608000000.0,11691650000000.0
2042.0,12792360000000.0,13376093000000.0,13484842000000.0,12558767000000.0,11616976000000.0
2043.0,12773230000000.0,13349786000000.0,13459054000000.0,12529251000000.0,11569350000000.0
2044.0,12702495000000.0,13338926000000.0,13460692000000.0,12428691000000.0,11471411000000.0
2045.0,12618405000000.0,13307856000000.0,13448597000000.0,12315210000000.0,11433144000000.0
2046.0,12558902000000.0,13281883000000.0,13425601000000.0,12252964000000.0,11366677000000.0
2047.0,12496614000000.0,13244054000000.0,13394739000000.0,12099598000000.0,11264495000000.0
2048.0,12420311000000.0,13223543000000.0,13386472000000.0,11955267000000.0,11166483000000.0
2049.0,12349721000000.0,13218290000000.0,13361610000000.0,11851911000000.0,11057593000000.0
2050.0,12279691000000.0,13193466000000.0,13345746000000.0,11784603000000.0,10943920000000.0
2051.0,12228901000000.0,13181669000000.0,13308096000000.0,11679312000000.0,10830663000000.0
2052.0,12117189000000.0,13109300000000.0,13287783000000.0,11589663000000.0,10713127000000.0
2053.0,11965130000000.0,13029514000000.0,13244530000000.0,11454084000000.0,10584798000000.0
2054.0,11867226000000.0,12980339000000.0,13169210000000.0,11297283000000.0,10493362000000.0
2055.0,11814629000000.0,12962485000000.0,13096584000000.0,11204972000000.0,10350394000000.0
2056.0,11710176000000.0,12949478000000.0,13041994000000.0,11039796000000.0,10126233000000.0
2057.0,11611463000000.0,12962954000000.0,12992913000000.0,10950127000000.0,9904198000000.0
2058.0,11468829000000.0,12899140000000.0,12940649000000.0,10849481000000.0,9685533000000.0
2059.0,11332498000000.0,12834139000000.0,12912907000000.0,10755514000000.0,9500019000000.0
2060.0,11246208000000.0,12813644000000.0,12860065000000.0,10624991000000.0,9315623000000.0
2061.0,11139052000000.0,12739345000000.0,12807802000000.0,10509247000000.0,9132989000000.0
2062.0,11076587000000.0,12663114000000.0,12782743000000.0,10412813000000.0,8954607000000.0
2063.0,10986121000000.0,12617737000000.0,12737765000000.0,10284390000000.0,8788591000000.0
2064.0,10903312000000.0,12601004000000.0,12685692000000.0,10072857000000.0,8682156300000.0
2065.0,10780460000000.0,12582638000000.0,12669033000000.0,9973431000000.0,8588954000000.0
2066.0,10681018000000.0,12536876000000.0,12631282000000.0,9848409000000.0,8475787000000.0
2067.0,10581778000000.0,12529814000000.0,12609540000000.0,9708125000000.0,8371372000000.0
2068.0,10455594000000.0,12520339000000.0,12556045000000.0,9567184000000.0,8209561600000.0
2069.0,10351446000000.0,12491642000000.0,12493345000000.0,9429821000000.0,8010659000000.0
2070.0,10213429000000.0,12427525000000.0,12452142000000.0,9290266000000.0,7816236000000.0
2071.0,10074264000000.0,12364032000000.0,12398460000000.0,9206519000000.0,7654047500000.0
2072.0,10014796000000.0,12301798000000.0,12352635000000.0,9055405000000.0,7473506000000.0
2073.0,9936230000000.0,12214049000000.0,12311115000000.0,8928067000000.0,7323384000000.0
2074.0,9825302000000.0,12135726000000.0,12259093000000.0,8796656000000.0,7145148400000.0
2075.0,9744159000000.0,12062267000000.0,12230520000000.0,8678487000000.0,6939822000000.0
2076.0,9569927000000.0,11949094000000.0,12174729000000.0,8582060300000.0,6772129500000.0
2077.0,9437452000000.0,11888293000000.0,12142015000000.0,8471530000000.0,6561758000000.0
2078.0,9336962000000.0,11822123000000.0,12122533000000.0,8332093400000.0,6392886000000.0
2079.0,9271268000000.0,11767861000000.0,12078784000000.0,8244669400000.0,6222930000000.0
2080.0,9181285000000.0,11699567000000.0,12042717000000.0,8132061300000.0,6038967300000.0
2081.0,9051310000000.0,11651334000000.0,12034608000000.0,8011249600000.0,5865488000000.0
2082.0,8947513000000.0,11568410000000.0,12008306000000.0,7887474000000.0,5691659000000.0
2083.0,8841992000000.0,11462943000000.0,11985840000000.0,7779219000000.0,5532391000000.0
2084.0,8764554500000.0,11403552000000.0,11966016000000.0,7649892000000.0,5385047500000.0
2085.0,8674553000000.0,11350981000000.0,11946391000000.0,7506228700000.0,5208417500000.0
2086.0,8532801000000.0,11303771000000.0,11906237000000.0,7333505000000.0,5021528000000.0
2087.0,8429055000000.0,11197083000000.0,11844515000000.0,7204501000000.0,4825993400000.0
2088.0,8337618000000.0,11094547000000.0,11786526000000.0,7058003300000.0,4657955000000.0
2089.0,8226380000000.0,11050074000000.0,11706408000000.0,6947276300000.0,4495617000000.0
2090.0,8091044700000.0,10994026000000.0,11643315000000.0,6828277000000.0,4330260000000.0
2091.0,7987574000000.0,10919715000000.0,11584846000000.0,6672096000000.0,4156812400000.0
2092.0,7887496000000.0,10848365000000.0,11534619000000.0,6509402000000.0,4000778800000.0
2093.0,7761687000000.0,10783522000000.0,11503858000000.0,6367892500000.0,3841965700000.0
2094.0,7669008600000.0,10690576000000.0,11437321000000.0,6224506000000.0,3686051000000.0
2095.0,7580395500000.0,10621371000000.0,11389087000000.0,6076492700000.0,3493492400000.0
2096.0,7490862300000.0,10511349000000.0,11346548000000.0,5964943600000.0,3327274000000.0
2097.0,7380470300000.0,10449735000000.0,11303392000000.0,5853427500000.0,3159829000000.0
2098.0,7298612700000.0,10389683000000.0,11253170000000.0,5680042000000.0,3002270500000.0
2099.0,7182314600000.0,10314488000000.0,11209337000000.0,5561641000000.0,2854360400000.0
2100.0,7100781000000.0,10219580000000.0,11144226000000.0,5445201700000.0,2698281700000.0
