time,CCSM4,CESM1-CAM5
2000,1036778710043.4889,1036778710043.4889
2001,1030047715870.7234,1031141190263.9437
2002,1002497008765.129,1021269791425.8429
2003,987756665778.5336,1005333929524.3003
2004,995242844515.0504,999885449624.3833
2005,980940666110.7158,995411727240.5975
2006,983181816244.1354,980520841838.5945
2007,966008958051.2219,974029079597.4136
2008,931251294545.4333,971241159232.4644
2009,939848154479.5084,968835722868.6067
2010,925546942321.7456,959184068252.3252
2011,927883681853.0272,952187877207.9066
2012,921649560709.7981,948856999792.3301
2013,907144815626.1414,928101217259.0072
2014,901200213289.0333,929495882046.8246
2015,909779692293.6976,912959243045.4161
2016,898407659235.1088,898512528634.88
2017,882725283148.8982,897073149056.6727
2018,870149470877.8314,900361440892.5961
2019,855841837562.0681,876485956374.7451
2020,843051467029.6058,840627373359.9734
2021,831663202805.9778,817064569084.7957
2022,817429123721.4434,792230622287.0148
2023,811963924292.3103,782145749150.6127
2024,813475010546.266,762806878570.8647
2025,794043778026.1602,745895155920.5527
2026,788926325295.8938,730539379747.3727
2027,782745772847.7877,695816756925.864
2028,790594689605.1177,686727538760.624
2029,784548204452.5219,678503678903.3855
2030,762759276789.8177,658150968161.0769
2031,742622581715.0354,652033516643.923
2032,720592728300.167,628312763966.8539
2033,698636439703.9971,616581277899.2977
2034,681281601324.5653,598187473120.627
2035,666479095498.775,586077592558.5319
2036,647846398374.748,570706376636.9191
2037,641588872831.9755,549043636304.307
2038,623284884578.0253,529534256014.38116
2039,606426571784.6035,515419178115.3958
2040,582715488561.4014,486420687387.5963
2041,566339948643.2327,472059231185.72766
2042,542436742524.0389,458560231180.552
2043,539685993911.3867,456974555034.52216
2044,528596933471.33484,447193775859.18604
2045,518923162566.4296,424515624928.6751
2046,507147355469.08496,406569787986.6366
2047,489172749383.41144,400352899207.2323
2048,466049129158.6989,389584928586.5999
2049,454971538118.60803,374403752504.58765
2050,442878291762.64636,353370525600.98206
2051,431821947668.93604,341169945262.37146
2052,413651816674.52893,329588538635.5681
2053,406564550833.11755,325549615626.20984
2054,397035304417.7459,315910276539.62213
2055,386387841353.7737,297988395448.99274
2056,377579053718.6311,283104215490.2222
2057,373944565542.363,276104768055.64075
2058,362890523993.48596,253751329257.46982
2059,351862854685.2208,241132627723.13406
2060,342350465103.43085,233855622537.5975
2061,337669319008.2408,229300964818.68735
2062,325184245695.12665,221991952161.3026
2063,319961457064.91547,214030875494.93085
2064,305651867891.08014,192934539271.72018
2065,297264446019.3211,178526460344.39853
2066,292318015859.5779,166955488728.91562
2067,288732569551.38837,155562995294.00073
2068,275859153413.61975,145310705185.92862
2069,265514894879.14774,133285232397.29802
2070,254444864932.11316,124202643834.8448
2071,246922620332.9614,111502840026.74516
2072,236020406380.7803,99804997105.19333
2073,224392805155.6071,92654010302.37831
2074,208567576806.5371,87663088964.5974
2075,195107441813.7743,81289108548.74706
2076,190497602590.54578,74099927643.0673
2077,183126551462.81876,66933542396.944115
2078,179185942279.38177,60547465720.38512
2079,172821047896.87518,55572795742.951416
2080,171455593427.13565,51597570248.54807
2081,169697095716.52698,46216288517.28312
2082,161943966530.526,40243144860.45325
2083,155923409830.3223,36439624960.25395
2084,147442144663.76575,34527148836.33993
2085,139985367061.693,32623005834.19087
2086,131422227087.26,29641018203.85545
2087,123592984777.60588,26947410878.43646
2088,117810594818.08421,24308364190.426983
2089,109534686406.43166,22418950585.289814
2090,100566842098.68163,20361228576.935345
2091,96300413226.39212,18302246371.545742
2092,94047502714.37778,16842072201.24479
2093,89221465497.93239,15392568077.72585
2094,85994897441.8274,13425065159.42446
2095,82406294201.7441,12207733667.076475
2096,78306685852.13742,11665703883.84726
2097,74320769203.47916,10754006603.178146
2098,74238587506.69218,9800100649.651588
2099,73059839314.84494,9117067685.142927
2100,73063092464.4463,8793753888.311317
2101,69530168996.89215,8010115820.4558735
2102,67399205710.6664,7478507041.710175
2103,66999569240.73578,7305578303.949967
2104,65075604032.63507,6716342155.9934635
