time,NORESM1-M,IPSL-CM5A-LR,CCSM4,GISS-E2-R,GFDL-ESM2G,GFDL-CM3,CESM1-CAM5,CSIRO-MK3-6-0
2045.0,2504649300000.0,2313021800000.0,2468863000000.0,2380213300000.0,2389653600000.0,1910527900000.0,2395650000000.0,2531997500000.0
2046.0,2479036800000.0,2273973000000.0,2448171200000.0,2361502500000.0,2377811200000.0,1871057900000.0,2389712600000.0,2518899000000.0
2047.0,2463174800000.0,2250554000000.0,2434076200000.0,2334418300000.0,2374538000000.0,1843745000000.0,2359301800000.0,2512823300000.0
2048.0,2446336700000.0,2212596800000.0,2424556500000.0,2310826400000.0,2343804600000.0,1813245900000.0,2343478800000.0,2501818000000.0
2049.0,2422366300000.0,2140832300000.0,2406023700000.0,2296355500000.0,2335648000000.0,1769482200000.0,2310426000000.0,2496841000000.0
2050.0,2405469500000.0,2118224300000.0,2371735800000.0,2270689200000.0,2315863500000.0,1744556500000.0,2285080200000.0,2510501000000.0
2051.0,2370208000000.0,2092582200000.0,2342949500000.0,2252378700000.0,2305931600000.0,1714817100000.0,2273152000000.0,2497146000000.0
2052.0,2340594600000.0,2083964300000.0,2328527000000.0,2238578400000.0,2294745700000.0,1681183000000.0,2262180600000.0,2479180700000.0
2053.0,2326075800000.0,2058514000000.0,2309300000000.0,2216831200000.0,2273248500000.0,1643635900000.0,2238093000000.0,2459303100000.0
2054.0,2327580200000.0,2035393000000.0,2281396200000.0,2201965800000.0,2247723800000.0,1621585300000.0,2214230800000.0,2433327600000.0
2055.0,2292977800000.0,2004929500000.0,2264071100000.0,2181073600000.0,2226460600000.0,1585797500000.0,2202677500000.0,2420758800000.0
2056.0,2252303800000.0,1967960100000.0,2258396500000.0,2165792400000.0,2214610300000.0,1552065200000.0,2217374000000.0,2416121200000.0
2057.0,2233679700000.0,1934325200000.0,2240527500000.0,2142834000000.0,2190783000000.0,1516532500000.0,2199131300000.0,2374795000000.0
2058.0,2198015800000.0,1913371500000.0,2225233000000.0,2127955500000.0,2158893900000.0,1484579300000.0,2169693800000.0,2349823000000.0
2059.0,2190331100000.0,1907283900000.0,2198556900000.0,2121656000000.0,2143238900000.0,1458179900000.0,2175006700000.0,2330385200000.0
2060.0,2170643200000.0,1890528400000.0,2163235100000.0,2105897600000.0,2103681600000.0,1427319700000.0,2159705600000.0,2303356600000.0
2061.0,2157775000000.0,1865283000000.0,2134066300000.0,2086495700000.0,2069438400000.0,1389505000000.0,2142527700000.0,2269739200000.0
2062.0,2139194300000.0,1831213600000.0,2113434700000.0,2077719900000.0,2048851700000.0,1360524300000.0,2107013700000.0,2231048600000.0
2063.0,2133404200000.0,1806915900000.0,2092020400000.0,2062929100000.0,2032559500000.0,1326260600000.0,2086455100000.0,2203204200000.0
2064.0,2118334300000.0,1787658200000.0,2075264700000.0,2049844800000.0,2002438800000.0,1286836600000.0,2080082200000.0,2178366400000.0
2065.0,2099565000000.0,1759250000000.0,2052162300000.0,2034513200000.0,1984463400000.0,1259036100000.0,2059996400000.0,2153546100000.0
2066.0,2094193200000.0,1732960000000.0,2025227000000.0,2027411300000.0,1963550000000.0,1234067400000.0,2038390700000.0,2137509100000.0
2067.0,2055609600000.0,1710312100000.0,2002035700000.0,2011206900000.0,1948791900000.0,1200470100000.0,2020532700000.0,2108636800000.0
2068.0,2048126400000.0,1693571400000.0,1971536700000.0,1996029300000.0,1925722500000.0,1166625700000.0,1991401100000.0,2073532700000.0
2069.0,2017871900000.0,1666475800000.0,1944340000000.0,1983296200000.0,1895671400000.0,1137881300000.0,1966950700000.0,2054584100000.0
2070.0,1984199900000.0,1632676700000.0,1923811600000.0,1957936200000.0,1882325400000.0,1098133140000.0,1941669400000.0,2016725200000.0
2071.0,1960018300000.0,1614585500000.0,1900925700000.0,1948332900000.0,1853758400000.0,1072986060000.0,1917423200000.0,1969121800000.0
2072.0,1935583700000.0,1588005000000.0,1875446300000.0,1932833600000.0,1827369900000.0,1042996300000.0,1889726400000.0,1947317600000.0
2073.0,1909604600000.0,1558433900000.0,1843568000000.0,1909581400000.0,1790891300000.0,1011490000000.0,1872384200000.0,1945283700000.0
2074.0,1894423900000.0,1527143500000.0,1829530200000.0,1901259900000.0,1786760300000.0,981526450000.0,1852382200000.0,1920810500000.0
2075.0,1863421300000.0,1493218000000.0,1810430700000.0,1882380800000.0,1766322600000.0,952091930000.0,1824640600000.0,1883384700000.0
2076.0,1815050200000.0,1454685000000.0,1773580300000.0,1855510200000.0,1745908700000.0,918764500000.0,1785698000000.0,1850224500000.0
2077.0,1793960000000.0,1431420700000.0,1746019800000.0,1834324900000.0,1719615800000.0,880121150000.0,1757258000000.0,1839061700000.0
2078.0,1776423300000.0,1392918000000.0,1725882300000.0,1819127300000.0,1702283700000.0,850695300000.0,1735144200000.0,1814111700000.0
2079.0,1749928600000.0,1351348400000.0,1700219500000.0,1811986000000.0,1668133000000.0,815227340000.0,1713010400000.0,1797467500000.0
2080.0,1717089700000.0,1320306700000.0,1689457300000.0,1789918700000.0,1636880500000.0,785687600000.0,1672731800000.0,1778716000000.0
2081.0,1683220000000.0,1300547800000.0,1674692100000.0,1771783800000.0,1605111600000.0,753599050000.0,1643973600000.0,1751889300000.0
2082.0,1659089000000.0,1277426300000.0,1640047400000.0,1733119000000.0,1593902900000.0,724181600000.0,1611355100000.0,1722243100000.0
2083.0,1629808800000.0,1255236400000.0,1621736400000.0,1709608000000.0,1567469700000.0,690397640000.0,1582322700000.0,1696306400000.0
2084.0,1606368000000.0,1224810200000.0,1600135400000.0,1690124800000.0,1528937300000.0,667338100000.0,1552443400000.0,1691561100000.0
