time,CNRM-CM5,CANESM2,IPSL-CM5A-LR,CESM1-CAM5,CCSM4,NORESM1-M,CSIRO-MK3-6-0,MPI-ESM-LR,GISS-E2-R,GFDL-ESM2G,GFDL-CM3
2073.0,1993053300000.0,1760090700000.0,2100467900000.0,1765538000000.0,2054341400000.0,2014498500000.0,2083927000000.0,2067407400000.0,2032300300000.0,2234511000000.0,1045516500000.0
2074.0,1992899400000.0,1755802900000.0,2088682500000.0,1744622700000.0,2042134300000.0,2007155700000.0,2069483400000.0,2082517700000.0,2026166200000.0,2238915800000.0,1022969250000.0
2075.0,1996415000000.0,1729875800000.0,2070813100000.0,1739099300000.0,2040746300000.0,1993206000000.0,2065251400000.0,2077224200000.0,2016266700000.0,2243161500000.0,1004703450000.0
2076.0,1981625100000.0,1727235600000.0,2046330800000.0,1755091300000.0,2033864000000.0,1984701300000.0,2054395900000.0,2066840400000.0,2018180100000.0,2238669000000.0,985900400000.0
2077.0,1976807800000.0,1718654700000.0,2044186600000.0,1738466300000.0,2019822700000.0,1972167100000.0,2050774300000.0,2053132300000.0,2005938300000.0,2228687700000.0,962406300000.0
2078.0,1970641200000.0,1699429100000.0,2028619300000.0,1719351600000.0,2012883300000.0,1961704600000.0,2051190800000.0,2056126300000.0,2007798000000.0,2234905300000.0,949040100000.0
2079.0,1962173300000.0,1679444300000.0,2011479400000.0,1710151600000.0,2016393400000.0,1954871400000.0,2039832900000.0,2061663700000.0,2021367300000.0,2241411200000.0,929493600000.0
2080.0,1944920700000.0,1678679500000.0,1996174000000.0,1692097700000.0,1990013000000.0,1936975200000.0,2027185800000.0,2062381400000.0,2008640100000.0,2231732500000.0,914583850000.0
2081.0,1933684100000.0,1674194600000.0,1971134300000.0,1665320000000.0,1971615300000.0,1929413500000.0,2016025900000.0,2072876800000.0,2002959600000.0,2231134800000.0,895993840000.0
2082.0,1924288600000.0,1661342800000.0,1983236900000.0,1648917300000.0,1979723300000.0,1923937900000.0,2007422600000.0,2083841900000.0,2016007700000.0,2221955600000.0,877144970000.0
2083.0,1913915600000.0,1651083700000.0,1965007700000.0,1641670000000.0,1977069000000.0,1921783600000.0,1994178800000.0,2085573500000.0,2027128600000.0,2235523000000.0,863209400000.0
2084.0,1918903900000.0,1638612600000.0,1985798100000.0,1639760800000.0,1976223400000.0,1919414300000.0,1977617400000.0,2082789300000.0,2031665500000.0,2236260300000.0,845765500000.0
2085.0,1903325000000.0,1631287900000.0,1988774000000.0,1617025200000.0,1963174400000.0,1889115300000.0,1963268200000.0,2072970100000.0,2030851900000.0,2242931600000.0,834678200000.0
2086.0,1885560800000.0,1624660500000.0,1977680900000.0,1601526300000.0,1964715500000.0,1874043300000.0,1945280300000.0,2071569200000.0,2021911800000.0,2246285700000.0,826261900000.0
2087.0,1882847200000.0,1599897700000.0,1965379700000.0,1593366500000.0,1951367400000.0,1866926900000.0,1937930300000.0,2083004600000.0,2016817200000.0,2241682700000.0,812816140000.0
2088.0,1871381800000.0,1586257100000.0,1967618500000.0,1602665200000.0,1941492300000.0,1857362000000.0,1942283100000.0,2100542400000.0,2026557700000.0,2249720300000.0,798982140000.0
2089.0,1862864600000.0,1581256300000.0,1964766300000.0,1590085300000.0,1955152500000.0,1848024900000.0,1934118400000.0,2117340600000.0,2032088400000.0,2250419700000.0,784902100000.0
2090.0,1859600600000.0,1564366500000.0,1964503000000.0,1583291600000.0,1943521600000.0,1844540000000.0,1919807300000.0,2103469300000.0,2029209900000.0,2270837000000.0,772349300000.0
2091.0,1846663700000.0,1571704100000.0,1947292100000.0,1590850500000.0,1923969700000.0,1821808500000.0,1908302800000.0,2108113700000.0,2022190500000.0,2270848000000.0,757173200000.0
2092.0,1841200000000.0,1549687200000.0,1940869200000.0,1613541400000.0,1911259000000.0,1810970600000.0,1901151100000.0,2106694000000.0,2034996500000.0,2280126200000.0,742690800000.0
2093.0,1831847100000.0,1548134300000.0,1940536300000.0,1596524500000.0,1905266800000.0,1804482400000.0,1890511000000.0,2120889100000.0,2031513500000.0,2284596500000.0,733826800000.0
2094.0,1828104300000.0,1537046000000.0,1946984800000.0,1583358300000.0,1903548700000.0,1787558000000.0,1896299900000.0,2114947000000.0,2042211300000.0,2285019600000.0,724990950000.0
2095.0,1815414700000.0,1530116600000.0,1947594800000.0,1595830600000.0,1904603300000.0,1780588100000.0,1885903100000.0,2112572100000.0,2054232300000.0,2290680300000.0,714285300000.0
2096.0,1811462500000.0,1543121800000.0,1936952500000.0,1588790300000.0,1898381300000.0,1775302100000.0,1877124300000.0,2115398900000.0,2064978300000.0,2300826600000.0,703301160000.0
2097.0,1810554600000.0,1530671100000.0,1914976300000.0,1583685200000.0,1897739300000.0,1752966100000.0,1857298800000.0,2119773000000.0,2065735900000.0,2297823800000.0,691099800000.0
2098.0,1804186600000.0,1532145000000.0,1945118000000.0,1581121300000.0,1898945300000.0,1751970900000.0,1848859000000.0,2123126000000.0,2061586100000.0,2303708000000.0,679705100000.0
2099.0,1808929100000.0,1521128200000.0,1929563900000.0,1576680400000.0,1894882300000.0,1735576000000.0,1836106800000.0,2131719000000.0,2065182500000.0,2302085700000.0,670036260000.0
2100.0,1820074400000.0,1527109000000.0,1936413400000.0,1561783600000.0,1881706700000.0,1731348400000.0,1820975200000.0,2128009100000.0,2070575700000.0,2291356000000.0,657724340000.0
