time,NORESM1-M,CCSM4,IPSL-CM5A-LR,CANESM2,CNRM-CM5,CSIRO-MK3-6-0,GFDL-CM3,GFDL-ESM2G,GISS-E2-R,MPI-ESM-LR
2025.0,2711879000000.0,2667173600000.0,2716748000000.0,2652568300000.0,2745433600000.0,2633499000000.0,2679071800000.0,2711255500000.0,2714612000000.0,2717195000000.0
2026.0,2691542300000.0,2663136600000.0,2722679200000.0,2646287800000.0,2717410700000.0,2597419000000.0,2649820800000.0,2705651000000.0,2692004400000.0,2713641800000.0
2027.0,2668757500000.0,2656040000000.0,2712841700000.0,2596218300000.0,2718554000000.0,2578696600000.0,2626716200000.0,2663297600000.0,2684639000000.0,2719847800000.0
2028.0,2653127000000.0,2656785000000.0,2711226200000.0,2569684600000.0,2714254000000.0,2554509100000.0,2591572600000.0,2675534200000.0,2658761700000.0,2708177000000.0
2029.0,2620254600000.0,2622574800000.0,2680201200000.0,2532071700000.0,2699938000000.0,2524906000000.0,2556638000000.0,2680168400000.0,2635470000000.0,2684260200000.0
2030.0,2579138600000.0,2604417000000.0,2642248500000.0,2516216000000.0,2672607600000.0,2493508700000.0,2524460400000.0,2652956800000.0,2612631000000.0,2670288700000.0
2031.0,2553706400000.0,2582690100000.0,2618807000000.0,2474825000000.0,2659717000000.0,2492298200000.0,2506213800000.0,2625133300000.0,2602521000000.0,2650735000000.0
2032.0,2545331700000.0,2540429600000.0,2595175800000.0,2457426200000.0,2649798700000.0,2466405700000.0,2467139400000.0,2617390400000.0,2582750000000.0,2621880400000.0
2033.0,2521430000000.0,2516888300000.0,2562766700000.0,2448510400000.0,2640982600000.0,2425316700000.0,2437214400000.0,2598542200000.0,2557323500000.0,2603062000000.0
2034.0,2501072000000.0,2510891800000.0,2529475000000.0,2412189800000.0,2630797000000.0,2382167300000.0,2400012500000.0,2585424600000.0,2538911300000.0,2577876600000.0
2035.0,2480889700000.0,2494120600000.0,2490809700000.0,2368659500000.0,2616317400000.0,2353782300000.0,2364418000000.0,2560257200000.0,2513846400000.0,2567869800000.0
2036.0,2473928400000.0,2463163000000.0,2454326000000.0,2327568200000.0,2593850000000.0,2344205700000.0,2319687400000.0,2533018800000.0,2476050000000.0,2528690600000.0
2037.0,2454685500000.0,2444292300000.0,2405027500000.0,2289042200000.0,2567489200000.0,2324338300000.0,2283495500000.0,2522734100000.0,2438522700000.0,2519327000000.0
2038.0,2452554300000.0,2439309200000.0,2362414500000.0,2257936000000.0,2546722100000.0,2308267300000.0,2247020000000.0,2496141000000.0,2393320000000.0,2506063600000.0
2039.0,2426403000000.0,2404782000000.0,2299779400000.0,2226046400000.0,2529699300000.0,2273507300000.0,2178635100000.0,2468359200000.0,2365360200000.0,2468011600000.0
2040.0,2395555000000.0,2382980000000.0,2233168000000.0,2190628500000.0,2515807800000.0,2234711300000.0,2134232800000.0,2455838700000.0,2325569000000.0,2436974200000.0
2041.0,2365422800000.0,2357980300000.0,2184445600000.0,2151634700000.0,2483122000000.0,2217020000000.0,2076993800000.0,2442636000000.0,2297589700000.0,2417847200000.0
2042.0,2339751600000.0,2344543600000.0,2137253500000.0,2129095600000.0,2448141000000.0,2186329300000.0,2028502000000.0,2414043700000.0,2258887800000.0,2386017400000.0
2043.0,2307773200000.0,2326904000000.0,2105744200000.0,2106677900000.0,2418754700000.0,2148706800000.0,1973971500000.0,2379021500000.0,2212938400000.0,2363918600000.0
2044.0,2273342400000.0,2292468400000.0,2080078300000.0,2067345600000.0,2396321700000.0,2123080900000.0,1934308700000.0,2383109700000.0,2185720600000.0,2347244200000.0
2045.0,2243843300000.0,2260835200000.0,2027090200000.0,2007651300000.0,2354418300000.0,2096220600000.0,1885642800000.0,2363485600000.0,2172998000000.0,2315503500000.0
2046.0,2217199500000.0,2233192400000.0,1981363800000.0,1984496300000.0,2339168800000.0,2067716800000.0,1827436900000.0,2343957000000.0,2133228900000.0,2246102200000.0
2047.0,2185921400000.0,2211999000000.0,1910371300000.0,1936567300000.0,2322205500000.0,2041846400000.0,1780199700000.0,2324428000000.0,2090653500000.0,2208812800000.0
2048.0,2162016100000.0,2172991400000.0,1874704300000.0,1902694600000.0,2281802600000.0,2018354500000.0,1730829200000.0,2298229000000.0,2062902500000.0,2193030800000.0
2049.0,2123609000000.0,2149110100000.0,1826644600000.0,1859611400000.0,2246962800000.0,1972280000000.0,1671623700000.0,2271154800000.0,2031667000000.0,2151278800000.0
2050.0,2093024300000.0,2127492400000.0,1797360700000.0,1811867100000.0,2229491200000.0,1945157600000.0,1610814500000.0,2250384600000.0,2007573500000.0,2119844900000.0
2051.0,2064237000000.0,2107282400000.0,1766342500000.0,1766250500000.0,2206171700000.0,1921267300000.0,1585313000000.0,2238840600000.0,1963023900000.0,2083032800000.0
2052.0,2049284600000.0,2085441600000.0,1721852000000.0,1717171000000.0,2172499100000.0,1903115200000.0,1540662900000.0,2195586400000.0,1928833300000.0,2054427000000.0
2053.0,1993484100000.0,2063542000000.0,1680356800000.0,1667134700000.0,2150609000000.0,1886456100000.0,1491036000000.0,2184781100000.0,1904601200000.0,2027038800000.0
2054.0,1970297800000.0,2031327100000.0,1644220900000.0,1617050600000.0,2125516500000.0,1861248100000.0,1430818300000.0,2160769900000.0,1880792100000.0,1999560000000.0
2055.0,1950307700000.0,1997900100000.0,1611891900000.0,1572894300000.0,2084742600000.0,1828232400000.0,1384262900000.0,2114024900000.0,1848774400000.0,1985842500000.0
2056.0,1935733700000.0,1968022900000.0,1569880400000.0,1542172800000.0,2053617500000.0,1790230000000.0,1343353400000.0,2079566600000.0,1811852800000.0,1943430900000.0
2057.0,1896261900000.0,1935867100000.0,1541678600000.0,1497197400000.0,2031028100000.0,1776803100000.0,1300514900000.0,2038800000000.0,1778593700000.0,1896579600000.0
2058.0,1852850800000.0,1903446300000.0,1494682200000.0,1448992400000.0,1994644300000.0,1733838900000.0,1254252100000.0,2000138000000.0,1753756700000.0,1854984200000.0
2059.0,1821642600000.0,1887600000000.0,1455439100000.0,1417385200000.0,1961467600000.0,1699283600000.0,1205313100000.0,1966341400000.0,1724590000000.0,1810908200000.0
2060.0,1794595200000.0,1857438200000.0,1415616500000.0,1375344500000.0,1944059000000.0,1665460600000.0,1159928200000.0,1939395800000.0,1694914200000.0,1776400200000.0
2061.0,1768448300000.0,1832506400000.0,1385405600000.0,1330577500000.0,1927599600000.0,1642663100000.0,1119540300000.0,1920305700000.0,1672763300000.0,1730530100000.0
2062.0,1758159700000.0,1796635200000.0,1325334100000.0,1290749600000.0,1903887600000.0,1616129000000.0,1073671800000.0,1897494900000.0,1641837800000.0,1680005100000.0
2063.0,1728288300000.0,1768982600000.0,1286242600000.0,1254071300000.0,1884672800000.0,1572385300000.0,1020835000000.0,1885075500000.0,1620804400000.0,1652584500000.0
2064.0,1690949000000.0,1746695200000.0,1253049400000.0,1231664700000.0,1849747700000.0,1527882200000.0,971128900000.0,1871091300000.0,1590570100000.0,1602673400000.0
2065.0,1661903800000.0,1717204000000.0,1196181700000.0,1196276600000.0,1818564100000.0,1486241100000.0,916499800000.0,1843920900000.0,1566187700000.0,1570197200000.0
2066.0,1642658100000.0,1688575100000.0,1157720700000.0,1148955100000.0,1782499500000.0,1455868500000.0,868564140000.0,1818111400000.0,1540545400000.0,1533030600000.0
2067.0,1606136000000.0,1653954300000.0,1114987200000.0,1107033600000.0,1758940500000.0,1431075300000.0,824667000000.0,1800319000000.0,1521581700000.0,1484687900000.0
2068.0,1576426800000.0,1620888800000.0,1073472300000.0,1077202000000.0,1730180800000.0,1400812000000.0,782948600000.0,1776488800000.0,1484251500000.0,1447129600000.0
2069.0,1536318000000.0,1576535500000.0,1044440100000.0,1053212700000.0,1710653700000.0,1365065000000.0,740993140000.0,1752900600000.0,1448658700000.0,1416881100000.0
2070.0,1494893100000.0,1530189600000.0,1009361600000.0,1023061600000.0,1689564000000.0,1335960700000.0,699697140000.0,1731327200000.0,1422333300000.0,1387311500000.0
2071.0,1459524000000.0,1496253200000.0,969094100000.0,984451800000.0,1653064200000.0,1308652600000.0,661139700000.0,1715676500000.0,1400259900000.0,1342027600000.0
2072.0,1423354600000.0,1467179300000.0,932841260000.0,966173000000.0,1607894600000.0,1276459500000.0,613337000000.0,1704192900000.0,1379756400000.0,1313631400000.0
2073.0,1397067600000.0,1430949200000.0,907324160000.0,950170940000.0,1574440400000.0,1251628200000.0,570827150000.0,1690140300000.0,1347282000000.0,1290563700000.0
2074.0,1363538500000.0,1404066000000.0,872409460000.0,920129200000.0,1542173600000.0,1213340600000.0,539561660000.0,1671713100000.0,1317377900000.0,1264070200000.0
2075.0,1329763200000.0,1380923000000.0,844395600000.0,889752650000.0,1528976600000.0,1180943100000.0,506999050000.0,1639259600000.0,1291620000000.0,1227176100000.0
2076.0,1299077400000.0,1353322500000.0,814366500000.0,866634600000.0,1497398900000.0,1132636000000.0,474756970000.0,1614728900000.0,1267801400000.0,1186671800000.0
2077.0,1266354200000.0,1317106700000.0,783537800000.0,841571200000.0,1466263700000.0,1112299500000.0,445932500000.0,1581003700000.0,1239422300000.0,1161430700000.0
2078.0,1239307600000.0,1281251200000.0,751845600000.0,806490400000.0,1446763400000.0,1078751260000.0,416985970000.0,1545111300000.0,1218667700000.0,1133178700000.0
2079.0,1205747200000.0,1249553800000.0,735209650000.0,774548000000.0,1422286300000.0,1045156800000.0,383863500000.0,1505373000000.0,1194941600000.0,1111429200000.0
2080.0,1169680900000.0,1231597500000.0,702530100000.0,763640600000.0,1403019700000.0,1022487600000.0,360787050000.0,1489098400000.0,1172167500000.0,1078702300000.0
2081.0,1149721100000.0,1197271400000.0,670910400000.0,737970500000.0,1380029000000.0,999492200000.0,335405800000.0,1465632400000.0,1154007400000.0,1037345600000.0
2082.0,1133313300000.0,1168910800000.0,636409200000.0,719474260000.0,1372824000000.0,973259400000.0,311682500000.0,1431956500000.0,1129596500000.0,1003911700000.0
2083.0,1114138900000.0,1147806000000.0,606844940000.0,695163550000.0,1324927400000.0,942620540000.0,287399900000.0,1406213600000.0,1101982000000.0,970838600000.0
2084.0,1083468300000.0,1119826100000.0,586557160000.0,671334900000.0,1314018600000.0,924146400000.0,267640470000.0,1375089000000.0,1077562400000.0,945042400000.0
2085.0,1057410700000.0,1087423500000.0,565818700000.0,647138400000.0,1297583800000.0,904620000000.0,250839370000.0,1334479400000.0,1059250400000.0,928608000000.0
2086.0,1033182000000.0,1060519300000.0,535802350000.0,623377800000.0,1272329300000.0,887832500000.0,231859700000.0,1300062300000.0,1034243150000.0,898290750000.0
2087.0,1001806000000.0,1036453200000.0,513608500000.0,602874840000.0,1232944900000.0,858925240000.0,214447620000.0,1269732500000.0,1009051300000.0,873310650000.0
2088.0,981213050000.0,1015068000000.0,487772000000.0,581209400000.0,1211122000000.0,839236300000.0,197617240000.0,1237326000000.0,988017900000.0,844851700000.0
2089.0,954021700000.0,992193350000.0,461057900000.0,555132500000.0,1185781100000.0,808094800000.0,184150280000.0,1214903500000.0,969562000000.0,815840000000.0
2090.0,926180900000.0,964909660000.0,441422900000.0,531495000000.0,1163782000000.0,782552500000.0,170154690000.0,1195391000000.0,956909800000.0,778634660000.0
2091.0,896264900000.0,941231100000.0,422855200000.0,514291070000.0,1140489700000.0,755188040000.0,152931040000.0,1176287600000.0,936060260000.0,748195940000.0
2092.0,874479900000.0,912677340000.0,401920330000.0,489176300000.0,1116225900000.0,733302950000.0,141814270000.0,1149634700000.0,919244240000.0,724665300000.0
2093.0,850120400000.0,890029740000.0,375623600000.0,467202830000.0,1090889840000.0,721376100000.0,128338900000.0,1118453000000.0,899176900000.0,702853200000.0
2094.0,824458350000.0,857495800000.0,350403200000.0,448722670000.0,1066197700000.0,701058800000.0,119108830000.0,1080578400000.0,879371350000.0,675083650000.0
2095.0,799911200000.0,828966960000.0,328483930000.0,425274740000.0,1040689300000.0,674645540000.0,108497920000.0,1057138900000.0,854554600000.0,655632040000.0
2096.0,781579600000.0,805032800000.0,315374100000.0,409094030000.0,1018689700000.0,653165660000.0,99366300000.0,1032310950000.0,835406270000.0,632497800000.0
2097.0,761133000000.0,786341760000.0,298706930000.0,388215300000.0,1001643440000.0,631239300000.0,91004355000.0,1013562930000.0,818377200000.0,617044250000.0
2098.0,738065500000.0,764432100000.0,289358740000.0,371033800000.0,972823200000.0,614931800000.0,82229600000.0,984074300000.0,804991340000.0,599464300000.0
2099.0,715452840000.0,743622600000.0,272046080000.0,354138230000.0,948980500000.0,592421060000.0,75193140000.0,966194040000.0,785215900000.0,576433160000.0
2100.0,688179900000.0,726457700000.0,260158050000.0,342370650000.0,926525700000.0,576965250000.0,68849860000.0,943274660000.0,769585250000.0,553109800000.0
