time,NORESM2-MM,CMCC-CM2-SR5,EC-EARTH3,CESM2,BCC-CSM2-MR,FGOALS-F3-L,INM-CM5-0,INM-CM4-8,MPI-ESM1-2-HR,MRI-ESM2-0,GFDL-ESM4,CESM2-WACCM,CAMS-CSM1-0,EC-EARTH3-VEG
2010.0,8462647000000.0,8462647000000.0,8462647000000.0,8462647000000.0,8462647000000.0,8462647000000.0,8462647000000.0,8462647000000.0,8462647000000.0,8462647000000.0,8462647000000.0,8462647000000.0,8462647000000.0,8462647000000.0
2011.0,8419587700000.0,8419587700000.0,8419587700000.0,8419587700000.0,8419587700000.0,8419587700000.0,8419587700000.0,8419587700000.0,8419587700000.0,8419587700000.0,8419587700000.0,8419587700000.0,8419587700000.0,8419587700000.0
2012.0,8386572700000.0,8386572700000.0,8386572700000.0,8386572700000.0,8386572700000.0,8386572700000.0,8386572700000.0,8386572700000.0,8386572700000.0,8386572700000.0,8386572700000.0,8386572700000.0,8386572700000.0,8386572700000.0
2013.0,8360661000000.0,8360661000000.0,8360661000000.0,8360661000000.0,8360661000000.0,8360661000000.0,8360661000000.0,8360661000000.0,8360661000000.0,8360661000000.0,8360661000000.0,8360661000000.0,8360661000000.0,8360661000000.0
2014.0,8338154000000.0,8338154000000.0,8338154000000.0,8338154000000.0,8338154000000.0,8338154000000.0,8338154000000.0,8338154000000.0,8338154000000.0,8338154000000.0,8338154000000.0,8338154000000.0,8338154000000.0,8338154000000.0
2015.0,8298234000000.0,8298234000000.0,8298234000000.0,8298234000000.0,8298234000000.0,8298234000000.0,8298234000000.0,8298234000000.0,8298234000000.0,8298234000000.0,8298234000000.0,8298234000000.0,8298234000000.0,8298234000000.0
2016.0,8260712000000.0,8260712000000.0,8260712000000.0,8260712000000.0,8260712000000.0,8260712000000.0,8260712000000.0,8260712000000.0,8260712000000.0,8260712000000.0,8260712000000.0,8260712000000.0,8260712000000.0,8260712000000.0
2017.0,8221308000000.0,8221308000000.0,8221308000000.0,8221308000000.0,8221308000000.0,8221308000000.0,8221308000000.0,8221308000000.0,8221308000000.0,8221308000000.0,8221308000000.0,8221308000000.0,8221308000000.0,8221308000000.0
2018.0,8202588000000.0,8202588000000.0,8202588000000.0,8202588000000.0,8202588000000.0,8202588000000.0,8202588000000.0,8202588000000.0,8202588000000.0,8202588000000.0,8202588000000.0,8202588000000.0,8202588000000.0,8202588000000.0
2019.0,8176226300000.0,8176226300000.0,8176226300000.0,8176226300000.0,8176226300000.0,8176226300000.0,8176226300000.0,8176226300000.0,8176226300000.0,8176226300000.0,8176226300000.0,8176226300000.0,8176226300000.0,8176226300000.0
2020.0,8139182000000.0,8139182000000.0,8139182000000.0,8139182000000.0,8139182000000.0,8139182000000.0,8139182000000.0,8139182000000.0,8139182000000.0,8139182000000.0,8139182000000.0,8139182000000.0,8139182000000.0,8139182000000.0
2021.0,8109967300000.0,8132852000000.0,8091922000000.0,8099567000000.0,8118914000000.0,8093737400000.0,8111398000000.0,8105775600000.0,8089371700000.0,8101703000000.0,8093009700000.0,8107962400000.0,8105099000000.0,8115770000000.0
2022.0,8072754000000.0,8107040700000.0,8041138000000.0,8033208400000.0,8086593500000.0,8048460000000.0,8087556600000.0,8084046500000.0,8039513500000.0,8056942000000.0,8057494000000.0,8071276000000.0,8077207000000.0,8086555000000.0
2023.0,8034734000000.0,8080053500000.0,7991540600000.0,7984339500000.0,8069172400000.0,8018428000000.0,8052927000000.0,8058354300000.0,8002818500000.0,8027938000000.0,8024206000000.0,8026430400000.0,8023266000000.0,8054824000000.0
2024.0,7995310000000.0,8059979600000.0,7955122500000.0,7939364000000.0,8038336400000.0,7987316400000.0,8026272600000.0,8016879400000.0,7975232000000.0,7991737700000.0,7997327000000.0,7975691400000.0,7997130500000.0,8020323500000.0
2025.0,7965183600000.0,8030996000000.0,7922555000000.0,7879030500000.0,7996989500000.0,7967776000000.0,8009075000000.0,7985341400000.0,7948481000000.0,7934664000000.0,7971784000000.0,7948000000000.0,7968525400000.0,7991501000000.0
2026.0,7938083000000.0,8000929000000.0,7882541600000.0,7824767000000.0,7974470300000.0,7939193000000.0,7975126700000.0,7941352000000.0,7904619400000.0,7890668600000.0,7928013000000.0,7900021400000.0,7933555000000.0,7949471000000.0
2027.0,7907170000000.0,7973858000000.0,7838120300000.0,7755574300000.0,7933518000000.0,7900130000000.0,7949130400000.0,7906922000000.0,7875652000000.0,7842188000000.0,7880442000000.0,7842872400000.0,7899425300000.0,7919430000000.0
2028.0,7875469500000.0,7949723000000.0,7798416500000.0,7714093000000.0,7898355700000.0,7870348300000.0,7923682000000.0,7862801700000.0,7829301000000.0,7793553000000.0,7838009000000.0,7799520000000.0,7874855600000.0,7871165000000.0
2029.0,7843787300000.0,7917638500000.0,7759442500000.0,7664224000000.0,7853006000000.0,7835466300000.0,7894822600000.0,7830646600000.0,7772122000000.0,7751746000000.0,7800917000000.0,7735449500000.0,7829872700000.0,7825375400000.0
2030.0,7804429500000.0,7888792700000.0,7717977000000.0,7612756700000.0,7813017000000.0,7803477400000.0,7859249000000.0,7787395000000.0,7727646000000.0,7711940000000.0,7768001500000.0,7659008000000.0,7794433000000.0,7800784700000.0
2031.0,7771134000000.0,7874957000000.0,7684378000000.0,7551825500000.0,7777700300000.0,7755362000000.0,7829095000000.0,7749613000000.0,7694162000000.0,7655486000000.0,7738075000000.0,7584769600000.0,7765126300000.0,7766368300000.0
2032.0,7716830400000.0,7842478700000.0,7647318000000.0,7496068000000.0,7728480000000.0,7725206000000.0,7809737400000.0,7715310000000.0,7651872700000.0,7595846000000.0,7689255000000.0,7535713600000.0,7732560700000.0,7710871000000.0
2033.0,7674172000000.0,7796019400000.0,7609685400000.0,7433014000000.0,7698383400000.0,7700182000000.0,7777297600000.0,7677440000000.0,7611573000000.0,7537273000000.0,7648501000000.0,7483356600000.0,7703822300000.0,7671822400000.0
2034.0,7631173000000.0,7752305300000.0,7581306000000.0,7356210000000.0,7639949400000.0,7680774600000.0,7739094300000.0,7615846000000.0,7593787000000.0,7498060300000.0,7611224000000.0,7432972000000.0,7681274300000.0,7620786000000.0
2035.0,7601648600000.0,7706663000000.0,7524843500000.0,7283074400000.0,7584852500000.0,7644001600000.0,7690811600000.0,7577477300000.0,7544495000000.0,7450909500000.0,7567115300000.0,7382895700000.0,7634681000000.0,7575966000000.0
2036.0,7555814000000.0,7647185600000.0,7460773400000.0,7229201000000.0,7541165700000.0,7621111700000.0,7666987400000.0,7532976300000.0,7514782000000.0,7394677000000.0,7531589500000.0,7333689000000.0,7589444000000.0,7525002000000.0
2037.0,7507344400000.0,7581230000000.0,7384639500000.0,7157415700000.0,7490447000000.0,7573329000000.0,7632926000000.0,7497901000000.0,7475207600000.0,7321260000000.0,7511646000000.0,7285432000000.0,7559132500000.0,7479461700000.0
2038.0,7433102000000.0,7520167000000.0,7335633000000.0,7108364000000.0,7444844500000.0,7559529400000.0,7597861600000.0,7451683300000.0,7428893000000.0,7238976500000.0,7455503000000.0,7223022500000.0,7518728000000.0,7433258000000.0
2039.0,7384650000000.0,7454409600000.0,7290307000000.0,7062007300000.0,7387954500000.0,7522844400000.0,7561749700000.0,7408064000000.0,7377847300000.0,7180777000000.0,7404346000000.0,7160747000000.0,7482812000000.0,7367535600000.0
2040.0,7327611000000.0,7393550000000.0,7246873400000.0,7028812500000.0,7352243000000.0,7479959000000.0,7529327000000.0,7359695400000.0,7337338700000.0,7135073000000.0,7357927500000.0,7106150000000.0,7451692000000.0,7320052400000.0
2041.0,7282724000000.0,7340558400000.0,7181119000000.0,6966391300000.0,7287550000000.0,7437142700000.0,7484567700000.0,7308523000000.0,7294691000000.0,7084731500000.0,7309217500000.0,7059915400000.0,7430380500000.0,7251968400000.0
2042.0,7233779000000.0,7283931000000.0,7105597700000.0,6898476000000.0,7237935300000.0,7405052600000.0,7451460000000.0,7252800400000.0,7260475500000.0,7022144700000.0,7260717000000.0,7015150000000.0,7398386000000.0,7194372700000.0
2043.0,7183694600000.0,7208288000000.0,7050797000000.0,6844922000000.0,7207302700000.0,7366609000000.0,7410966000000.0,7198224000000.0,7213745000000.0,6969154300000.0,7215533500000.0,6971557000000.0,7379930000000.0,7137640600000.0
2044.0,7094595500000.0,7138934000000.0,6987475600000.0,6797881000000.0,7159849400000.0,7330375000000.0,7368097700000.0,7143848000000.0,7161783000000.0,6916980300000.0,7149585000000.0,6932044700000.0,7350609000000.0,7063869000000.0
2045.0,7048312000000.0,7071829000000.0,6925610000000.0,6755547000000.0,7115463000000.0,7285158400000.0,7332325500000.0,7091899600000.0,7112007600000.0,6848990000000.0,7119369000000.0,6882906300000.0,7298330700000.0,7009396600000.0
2046.0,7002552500000.0,6993839400000.0,6865791000000.0,6697156000000.0,7044911300000.0,7243980000000.0,7284459000000.0,7044624500000.0,7082904000000.0,6785313000000.0,7083500500000.0,6820792000000.0,7280504000000.0,6956794000000.0
2047.0,6948791000000.0,6910887600000.0,6807486000000.0,6644407700000.0,7007494500000.0,7214490700000.0,7243937300000.0,6983831000000.0,7044029000000.0,6709085000000.0,7042263700000.0,6778863500000.0,7248012600000.0,6910917500000.0
2048.0,6892708000000.0,6830563500000.0,6734188000000.0,6588953000000.0,6969350400000.0,7159831600000.0,7193325000000.0,6930624400000.0,6995253400000.0,6627605300000.0,6984263000000.0,6717962000000.0,7213138600000.0,6857525000000.0
2049.0,6837722700000.0,6757512400000.0,6643883400000.0,6513429000000.0,6940349000000.0,7115174000000.0,7145096500000.0,6874331600000.0,6959482300000.0,6564937000000.0,6932147500000.0,6656159000000.0,7178071600000.0,6779303000000.0
2050.0,6768440600000.0,6674524000000.0,6567488000000.0,6447138000000.0,6890185600000.0,7079670000000.0,7098593000000.0,6824785000000.0,6911896300000.0,6501675600000.0,6884936400000.0,6590669000000.0,7126118300000.0,6710875000000.0
2051.0,6727093000000.0,6611926500000.0,6476583700000.0,6391468700000.0,6848520000000.0,7035309000000.0,7046670000000.0,6761612000000.0,6879393600000.0,6430795500000.0,6851647000000.0,6526398400000.0,7079071300000.0,6632418000000.0
2052.0,6686380000000.0,6532240500000.0,6386864400000.0,6322705700000.0,6780856300000.0,7001806000000.0,7000889500000.0,6721315500000.0,6842961000000.0,6356129000000.0,6816952500000.0,6459480300000.0,7051886000000.0,6558364000000.0
2053.0,6636707500000.0,6443850000000.0,6328925000000.0,6267950600000.0,6733627400000.0,6966640400000.0,6957077000000.0,6679141000000.0,6798089700000.0,6304354500000.0,6774766700000.0,6393621400000.0,7031571300000.0,6504376700000.0
2054.0,6581881000000.0,6360358500000.0,6249746000000.0,6212071000000.0,6695401000000.0,6915932000000.0,6903356700000.0,6622581000000.0,6762529300000.0,6241207000000.0,6731896000000.0,6326883000000.0,6989837000000.0,6447201000000.0
2055.0,6532459700000.0,6282325000000.0,6170807400000.0,6122258000000.0,6634324600000.0,6871492600000.0,6874853000000.0,6577909700000.0,6737350000000.0,6167134700000.0,6691474000000.0,6276456600000.0,6948276700000.0,6381891000000.0
2056.0,6478835000000.0,6199131000000.0,6085945000000.0,6065725000000.0,6594385400000.0,6838997000000.0,6839248000000.0,6525641000000.0,6687741700000.0,6099777400000.0,6630982300000.0,6210948000000.0,6922021000000.0,6305801600000.0
2057.0,6431892000000.0,6122586500000.0,6005418000000.0,6005555000000.0,6557645000000.0,6790382600000.0,6795680500000.0,6472594000000.0,6649275000000.0,6023955300000.0,6603628600000.0,6147301400000.0,6873106400000.0,6248836600000.0
2058.0,6380087400000.0,6037533000000.0,5916474700000.0,5921214300000.0,6508217000000.0,6751080000000.0,6761122600000.0,6412414000000.0,6611463600000.0,5936221000000.0,6562265400000.0,6084604000000.0,6821948000000.0,6160577500000.0
2059.0,6335683400000.0,5963098600000.0,5836887000000.0,5854253300000.0,6451692000000.0,6688058000000.0,6727282500000.0,6358901000000.0,6565545400000.0,5877326000000.0,6518483700000.0,6010424500000.0,6782483700000.0,6094501400000.0
2060.0,6283661000000.0,5877569400000.0,5759075600000.0,5785943300000.0,6410544000000.0,6632456600000.0,6684108000000.0,6300760500000.0,6536989000000.0,5821148700000.0,6493558000000.0,5934080300000.0,6736965000000.0,6012400600000.0
2061.0,6209866300000.0,5810647700000.0,5684443000000.0,5721513500000.0,6375814000000.0,6596595000000.0,6640747700000.0,6239215400000.0,6498644700000.0,5754682000000.0,6467750500000.0,5885042600000.0,6690617400000.0,5940526400000.0
2062.0,6153505300000.0,5740509000000.0,5601206000000.0,5651009400000.0,6326312000000.0,6535482000000.0,6588244400000.0,6178119000000.0,6456755600000.0,5688239000000.0,6425025000000.0,5807785600000.0,6661366300000.0,5867061000000.0
2063.0,6090436000000.0,5665687000000.0,5518068300000.0,5585008000000.0,6273531600000.0,6486347000000.0,6557727000000.0,6121041400000.0,6410484000000.0,5635114500000.0,6378227000000.0,5740523000000.0,6627184000000.0,5781953000000.0
2064.0,6034356000000.0,5597685600000.0,5435480000000.0,5538991600000.0,6253031500000.0,6446335000000.0,6524397000000.0,6060764600000.0,6375650000000.0,5572115000000.0,6329385600000.0,5677184500000.0,6575256000000.0,5699846000000.0
2065.0,5961346400000.0,5519425700000.0,5354351500000.0,5462834500000.0,6209215000000.0,6392224700000.0,6479476000000.0,5998430400000.0,6332610000000.0,5498973700000.0,6284565000000.0,5598456300000.0,6550557000000.0,5630317300000.0
2066.0,5909922700000.0,5437307500000.0,5270585000000.0,5392919000000.0,6126639000000.0,6338583000000.0,6433695300000.0,5950684000000.0,6293794300000.0,5452036300000.0,6237334300000.0,5542135000000.0,6509033000000.0,5559394000000.0
2067.0,5856696000000.0,5346043600000.0,5206046000000.0,5308222000000.0,6061796000000.0,6286607000000.0,6400650000000.0,5906507500000.0,6253208700000.0,5389745000000.0,6194046400000.0,5491042000000.0,6485209000000.0,5480587500000.0
2068.0,5800998700000.0,5252856000000.0,5140019400000.0,5238187600000.0,5995268400000.0,6223095000000.0,6353168000000.0,5858509500000.0,6214053300000.0,5339908000000.0,6138348000000.0,5419757500000.0,6452602700000.0,5399072000000.0
2069.0,5747640400000.0,5169900700000.0,5058597500000.0,5173537000000.0,5922742600000.0,6159124000000.0,6311050000000.0,5801006000000.0,6174518000000.0,5276242500000.0,6101305700000.0,5341563600000.0,6417281000000.0,5318727700000.0
2070.0,5679002000000.0,5073433300000.0,4991958400000.0,5113125500000.0,5858652600000.0,6100720000000.0,6276791000000.0,5742510000000.0,6121274700000.0,5222347300000.0,6055279500000.0,5261637000000.0,6376625000000.0,5237116000000.0
2071.0,5618640400000.0,4992347400000.0,4923718600000.0,5047309000000.0,5808701600000.0,6048246000000.0,6219069000000.0,5694746000000.0,6064009400000.0,5171196700000.0,6007890000000.0,5188381300000.0,6346506000000.0,5166056000000.0
2072.0,5568274000000.0,4889154400000.0,4850982600000.0,5002214500000.0,5764857500000.0,6003011600000.0,6168014000000.0,5645073400000.0,6020395400000.0,5103437000000.0,5979495700000.0,5129207500000.0,6296498000000.0,5116255500000.0
2073.0,5503204000000.0,4803009000000.0,4779656000000.0,4925697300000.0,5724100400000.0,5942187000000.0,6129346700000.0,5604119000000.0,5987102600000.0,5052215000000.0,5921367000000.0,5068285300000.0,6262963000000.0,5052544000000.0
2074.0,5454536000000.0,4708736400000.0,4718185000000.0,4856004000000.0,5684698500000.0,5888863600000.0,6091814000000.0,5548459000000.0,5934701600000.0,4994677000000.0,5866900700000.0,5002736700000.0,6219813600000.0,4989356300000.0
2075.0,5399868000000.0,4621355000000.0,4648832300000.0,4767776500000.0,5607153000000.0,5854206600000.0,6051874000000.0,5505690000000.0,5886786400000.0,4941950000000.0,5817439000000.0,4926225000000.0,6172822700000.0,4915253500000.0
2076.0,5333235300000.0,4534464700000.0,4561641000000.0,4705221000000.0,5554353700000.0,5810759400000.0,6013268300000.0,5454246000000.0,5847923000000.0,4894999000000.0,5770870000000.0,4863231500000.0,6121192000000.0,4836464500000.0
2077.0,5274732600000.0,4439533000000.0,4476509400000.0,4626172600000.0,5512138600000.0,5744963400000.0,5958778500000.0,5413279400000.0,5815302000000.0,4830336000000.0,5709209000000.0,4785102700000.0,6091037500000.0,4770165000000.0
2078.0,5200255000000.0,4339980000000.0,4397809300000.0,4552736600000.0,5472529000000.0,5693770300000.0,5902174000000.0,5368236000000.0,5775456500000.0,4758631400000.0,5670846300000.0,4718930700000.0,6051705000000.0,4675627000000.0
2079.0,5132194400000.0,4251839600000.0,4333106400000.0,4499423000000.0,5438868000000.0,5645481300000.0,5858941000000.0,5306958000000.0,5730635000000.0,4692971600000.0,5617022000000.0,4650588000000.0,6021339700000.0,4598194000000.0
2080.0,5057391000000.0,4150443000000.0,4256505800000.0,4424057500000.0,5389620000000.0,5598966400000.0,5809871000000.0,5239024400000.0,5699333000000.0,4626231000000.0,5577393600000.0,4575887600000.0,5978820000000.0,4532519600000.0
2081.0,4996810700000.0,4056003600000.0,4181126000000.0,4368536700000.0,5320544000000.0,5544576000000.0,5762658000000.0,5189415700000.0,5656725000000.0,4569095500000.0,5522646400000.0,4512015700000.0,5920489000000.0,4458138300000.0
2082.0,4927996300000.0,3959434800000.0,4111262300000.0,4313756000000.0,5271271000000.0,5478916000000.0,5719253000000.0,5134779700000.0,5625563600000.0,4519218400000.0,5479076000000.0,4435336500000.0,5874622000000.0,4384789400000.0
2083.0,4877076000000.0,3856311000000.0,4051158200000.0,4252803500000.0,5201700000000.0,5420736000000.0,5684638000000.0,5088582000000.0,5575468000000.0,4448307000000.0,5434286000000.0,4376672000000.0,5822226000000.0,4309422000000.0
2084.0,4818735000000.0,3750061700000.0,3979387300000.0,4179112000000.0,5128102000000.0,5370729700000.0,5641952300000.0,5031720400000.0,5545513700000.0,4382584700000.0,5393738600000.0,4319079000000.0,5777034000000.0,4245723000000.0
2085.0,4749006000000.0,3658220800000.0,3913442000000.0,4104159200000.0,5042368000000.0,5311178000000.0,5594226400000.0,4987073600000.0,5513325600000.0,4306413800000.0,5336577000000.0,4240742000000.0,5740178700000.0,4172772800000.0
2086.0,4679448700000.0,3574129200000.0,3840696600000.0,4048013500000.0,4958390000000.0,5256215300000.0,5552716400000.0,4930275000000.0,5485104000000.0,4256357000000.0,5306795400000.0,4166423700000.0,5706628500000.0,4110727500000.0
2087.0,4622655000000.0,3479755300000.0,3760949000000.0,3992375800000.0,4919933300000.0,5210523000000.0,5505974000000.0,4884979000000.0,5446217000000.0,4183961400000.0,5254565300000.0,4121437700000.0,5659128500000.0,4030239600000.0
2088.0,4543787000000.0,3384236600000.0,3680435700000.0,3931795600000.0,4868748000000.0,5165973000000.0,5462479000000.0,4841262000000.0,5413346000000.0,4120115000000.0,5205483000000.0,4036096000000.0,5625461000000.0,3953369500000.0
2089.0,4482426000000.0,3295538300000.0,3592205000000.0,3872596200000.0,4810744500000.0,5118261500000.0,5415568400000.0,4791250500000.0,5372253000000.0,4065295600000.0,5163777000000.0,3972331000000.0,5591832500000.0,3870379700000.0
2090.0,4430810000000.0,3201181000000.0,3519715200000.0,3808447700000.0,4753500000000.0,5061210500000.0,5379928000000.0,4750838000000.0,5325802400000.0,4009880200000.0,5118641600000.0,3898413000000.0,5564450500000.0,3776180000000.0
2091.0,4357013400000.0,3116385000000.0,3454915000000.0,3751476700000.0,4691736000000.0,5002276000000.0,5338561000000.0,4697706000000.0,5280980500000.0,3949744000000.0,5078869000000.0,3834060000000.0,5526120000000.0,3689241600000.0
2092.0,4294880000000.0,3029805000000.0,3369433800000.0,3693100400000.0,4639913700000.0,4969686600000.0,5309397500000.0,4641923000000.0,5241394700000.0,3896041500000.0,5014047700000.0,3766716700000.0,5484975000000.0,3603157200000.0
2093.0,4216478500000.0,2948018200000.0,3291411000000.0,3643266800000.0,4581292000000.0,4923892000000.0,5266658600000.0,4588352600000.0,5197547400000.0,3847431400000.0,4970357700000.0,3696641700000.0,5445474300000.0,3518585000000.0
2094.0,4150439700000.0,2852170500000.0,3209979000000.0,3570525300000.0,4522032000000.0,4879559400000.0,5229014700000.0,4532176700000.0,5150241000000.0,3805998200000.0,4921849000000.0,3620275700000.0,5413764000000.0,3439027600000.0
2095.0,4094990700000.0,2762266600000.0,3128258700000.0,3512159000000.0,4446513000000.0,4838785000000.0,5191199400000.0,4486536000000.0,5094363400000.0,3754806700000.0,4879245000000.0,3564729000000.0,5378739300000.0,3359978300000.0
2096.0,4033531300000.0,2680971900000.0,3044007000000.0,3458641200000.0,4363627500000.0,4770197700000.0,5133216000000.0,4436311000000.0,5048739000000.0,3718500800000.0,4811252600000.0,3494689400000.0,5334050500000.0,3284036500000.0
2097.0,3971515400000.0,2597671400000.0,2943212800000.0,3408491700000.0,4307495400000.0,4718752000000.0,5107721700000.0,4386693000000.0,5009898500000.0,3656782200000.0,4741539600000.0,3442306400000.0,5284718000000.0,3203214900000.0
2098.0,3918043800000.0,2513917000000.0,2858462000000.0,3342795300000.0,4246452600000.0,4678329300000.0,5074046700000.0,4330726400000.0,4966354000000.0,3603667000000.0,4691033000000.0,3365934500000.0,5254513000000.0,3124462600000.0
2099.0,3848276300000.0,2424720900000.0,2780370300000.0,3282926600000.0,4185821800000.0,4645595000000.0,5024198000000.0,4278982800000.0,4926406000000.0,3563364000000.0,4643339400000.0,3304000000000.0,5246186700000.0,3039557800000.0
2100.0,3795816800000.0,2337724200000.0,2705476000000.0,3202103600000.0,4125237200000.0,4593038000000.0,4986080600000.0,4230662800000.0,4882900700000.0,3516698700000.0,4602383000000.0,3242090000000.0,5198463000000.0,2956634600000.0
