time,MRI-ESM2-0,GFDL-ESM4,TAIESM1,ACCESS-ESM1-5,IPSL-CM6A-LR,CESM2-WACCM,CAMS-CSM1-0,EC-EARTH3-VEG,NORESM2-MM,CMCC-CM2-SR5,EC-EARTH3,CESM2,CANESM5,BCC-CSM2-MR,FGOALS-F3-L,INM-CM4-8,INM-CM5-0,ACCESS-CM2,MPI-ESM1-2-HR
2024.0,7992759500000.0,7970711000000.0,7921126000000.0,7992740700000.0,7992793000000.0,8023491000000.0,8043950000000.0,7938570700000.0,8005432000000.0,8012641000000.0,7966587600000.0,7982408500000.0,7941470000000.0,7998725000000.0,7996159600000.0,8001748500000.0,7984555000000.0,7966573500000.0,8037335000000.0
2025.0,7951183500000.0,7930775000000.0,7867987400000.0,7945056700000.0,7948630000000.0,7976813000000.0,8015963500000.0,7890458000000.0,7971411000000.0,7972756400000.0,7913568500000.0,7931004700000.0,7864893600000.0,7968575000000.0,7964507000000.0,7956344000000.0,7946826700000.0,7928396400000.0,7996182600000.0
2026.0,7907651000000.0,7890162700000.0,7815685500000.0,7913895600000.0,7895861000000.0,7938074000000.0,7972745400000.0,7843948000000.0,7945412700000.0,7943539000000.0,7877272500000.0,7895795600000.0,7831469000000.0,7921946600000.0,7942328000000.0,7904679000000.0,7907769300000.0,7900687000000.0,7954691000000.0
2027.0,7864885700000.0,7842489700000.0,7741335000000.0,7875336300000.0,7856701000000.0,7899634500000.0,7937185500000.0,7793860000000.0,7899980500000.0,7893547500000.0,7832431000000.0,7850690600000.0,7784746700000.0,7899736000000.0,7904950000000.0,7858509300000.0,7864038500000.0,7851561000000.0,7925802000000.0
2028.0,7823435000000.0,7798899000000.0,7674694500000.0,7839446000000.0,7815261300000.0,7870239700000.0,7880973000000.0,7762449000000.0,7852104600000.0,7848068600000.0,7786527700000.0,7789122000000.0,7713776500000.0,7856794000000.0,7857286000000.0,7820245700000.0,7847107600000.0,7805024600000.0,7887737000000.0
2029.0,7786343700000.0,7761580500000.0,7606324700000.0,7803478500000.0,7765804000000.0,7844722600000.0,7819562600000.0,7713142000000.0,7803828000000.0,7794632700000.0,7734225000000.0,7729103500000.0,7649591600000.0,7799648600000.0,7819872400000.0,7774440000000.0,7802969000000.0,7758510000000.0,7856896600000.0
2030.0,7753000600000.0,7732829000000.0,7528022300000.0,7775426400000.0,7719236000000.0,7803820000000.0,7765543600000.0,7670176000000.0,7735844000000.0,7755240000000.0,7678509000000.0,7668253600000.0,7600694400000.0,7755480000000.0,7793850400000.0,7725059000000.0,7758891500000.0,7704862500000.0,7816352000000.0
2031.0,7730137400000.0,7688157000000.0,7438630000000.0,7743374600000.0,7683005000000.0,7773732000000.0,7723956600000.0,7630406300000.0,7682483000000.0,7722822000000.0,7628665000000.0,7595168000000.0,7549729400000.0,7709520300000.0,7767178000000.0,7690695000000.0,7708023000000.0,7670178000000.0,7776204000000.0
2032.0,7692307400000.0,7638817000000.0,7346994000000.0,7694918000000.0,7624543000000.0,7740495000000.0,7694127700000.0,7591796000000.0,7644152000000.0,7668043000000.0,7576422000000.0,7555617700000.0,7508825500000.0,7683560700000.0,7730558400000.0,7662908000000.0,7666667000000.0,7616623000000.0,7732829000000.0
2033.0,7652994000000.0,7609576300000.0,7270348000000.0,7644546300000.0,7591342000000.0,7678958500000.0,7646653000000.0,7534439600000.0,7608236000000.0,7610225400000.0,7513692000000.0,7492435700000.0,7428451600000.0,7641518000000.0,7682485400000.0,7611745300000.0,7622788400000.0,7564058000000.0,7693047700000.0
2034.0,7602592300000.0,7567658000000.0,7159437300000.0,7590885000000.0,7540873600000.0,7620833000000.0,7597184000000.0,7501268000000.0,7563857400000.0,7559102600000.0,7451525000000.0,7426467000000.0,7365589000000.0,7614796000000.0,7640479400000.0,7580319000000.0,7583571000000.0,7519330000000.0,7654950300000.0
2035.0,7556778000000.0,7528165400000.0,7064663400000.0,7548028000000.0,7496225000000.0,7556557700000.0,7546514000000.0,7443323000000.0,7522201600000.0,7503723600000.0,7389595600000.0,7370241500000.0,7314138500000.0,7562233000000.0,7598392700000.0,7535174000000.0,7540755000000.0,7461801000000.0,7611914600000.0
2036.0,7517996000000.0,7485998000000.0,6976982000000.0,7504695000000.0,7450656000000.0,7476876000000.0,7511917000000.0,7407221000000.0,7482889500000.0,7439738000000.0,7334732500000.0,7306807300000.0,7241945600000.0,7527447700000.0,7555060300000.0,7495959400000.0,7512429400000.0,7392029300000.0,7574850600000.0
2037.0,7463347000000.0,7453177000000.0,6858675000000.0,7458964000000.0,7407859700000.0,7422397000000.0,7478975700000.0,7368924000000.0,7451126000000.0,7381822500000.0,7278738000000.0,7244203000000.0,7182851500000.0,7498869000000.0,7507164500000.0,7447669400000.0,7466240700000.0,7337404300000.0,7532455000000.0
2038.0,7408495000000.0,7416452000000.0,6736807000000.0,7421290300000.0,7349354000000.0,7355112000000.0,7425079400000.0,7323787500000.0,7416199000000.0,7311496600000.0,7223667000000.0,7180553600000.0,7108677000000.0,7456972000000.0,7456680000000.0,7406200000000.0,7425915000000.0,7283067600000.0,7484487000000.0
2039.0,7353694000000.0,7383490000000.0,6661375300000.0,7370154400000.0,7316245600000.0,7280814000000.0,7386088000000.0,7254839400000.0,7374724700000.0,7257867700000.0,7165851000000.0,7126385700000.0,7037655700000.0,7412307000000.0,7411865000000.0,7354523300000.0,7389851000000.0,7239019500000.0,7440510000000.0
2040.0,7313437000000.0,7331923000000.0,6565531000000.0,7329078000000.0,7269736500000.0,7193181000000.0,7351180500000.0,7201923000000.0,7325023700000.0,7190669700000.0,7090199000000.0,7041833000000.0,6978460500000.0,7368776600000.0,7375444500000.0,7307475300000.0,7347107000000.0,7188140000000.0,7400792000000.0
2041.0,7250446400000.0,7285901000000.0,6435099400000.0,7285849500000.0,7211993500000.0,7118268700000.0,7301286000000.0,7150028000000.0,7288005300000.0,7146469000000.0,7020687000000.0,6985864400000.0,6916124700000.0,7332865000000.0,7322181600000.0,7260461000000.0,7301421000000.0,7146199000000.0,7348055000000.0
2042.0,7202192500000.0,7234759000000.0,6310810000000.0,7231378000000.0,7148496500000.0,7025931000000.0,7265662000000.0,7095616300000.0,7244023300000.0,7080486400000.0,6931888500000.0,6917860000000.0,6854639400000.0,7280300000000.0,7283809000000.0,7217583500000.0,7256655500000.0,7080684600000.0,7306645000000.0
2043.0,7134815700000.0,7199949600000.0,6217224000000.0,7190927000000.0,7087522300000.0,6945848700000.0,7227418000000.0,7040913000000.0,7208600300000.0,7014016600000.0,6861273700000.0,6840462000000.0,6770177600000.0,7218910000000.0,7229220000000.0,7162815300000.0,7223234300000.0,7019164000000.0,7272006000000.0
2044.0,7053779000000.0,7152472000000.0,6107143600000.0,7150599400000.0,7026204700000.0,6837607000000.0,7200226000000.0,6982817000000.0,7153310000000.0,6937308000000.0,6793033000000.0,6748920000000.0,6680376500000.0,7183404600000.0,7172372600000.0,7109464000000.0,7181205000000.0,6953928500000.0,7243222000000.0
2045.0,6982227000000.0,7097786000000.0,5993226000000.0,7105216500000.0,6955996000000.0,6753254600000.0,7173594000000.0,6930678000000.0,7088439300000.0,6868702000000.0,6715568000000.0,6648074000000.0,6607201600000.0,7142927000000.0,7133200000000.0,7044111300000.0,7139592000000.0,6895732500000.0,7210984300000.0
2046.0,6878888700000.0,7044306000000.0,5876377700000.0,7055852700000.0,6885689000000.0,6668741500000.0,7138723000000.0,6873664700000.0,7028336000000.0,6786451000000.0,6604117000000.0,6566593400000.0,6536845000000.0,7091929000000.0,7076589000000.0,6997070600000.0,7098660300000.0,6835714700000.0,7165302000000.0
2047.0,6800001000000.0,6990847000000.0,5739616700000.0,6994825000000.0,6817135000000.0,6594032000000.0,7109059000000.0,6798129000000.0,6975122300000.0,6711318000000.0,6495189600000.0,6488995000000.0,6452072000000.0,7022858000000.0,7030453600000.0,6938622000000.0,7049062000000.0,6769895000000.0,7136240700000.0
2048.0,6692847000000.0,6922487000000.0,5620672000000.0,6934598500000.0,6735232000000.0,6518011000000.0,7071279300000.0,6742569600000.0,6905866500000.0,6630543500000.0,6388577700000.0,6389598500000.0,6361703000000.0,6964840500000.0,6980136600000.0,6880175000000.0,7000185000000.0,6701604400000.0,7080931000000.0
2049.0,6601367000000.0,6879582400000.0,5502433000000.0,6896955700000.0,6645936600000.0,6425375400000.0,7045102700000.0,6665659000000.0,6837993700000.0,6533861000000.0,6292782400000.0,6330540000000.0,6270655000000.0,6914641000000.0,6939780600000.0,6818670000000.0,6951674600000.0,6647553000000.0,7044381000000.0
2050.0,6504168600000.0,6828504600000.0,5362394600000.0,6847467600000.0,6547938000000.0,6327413000000.0,7010128500000.0,6603717000000.0,6800963300000.0,6442941000000.0,6192457000000.0,6250837300000.0,6180774600000.0,6856750700000.0,6888563400000.0,6746826000000.0,6912605700000.0,6574551600000.0,6993749000000.0
2051.0,6402330000000.0,6782406600000.0,5253230500000.0,6789794400000.0,6460761700000.0,6220907000000.0,6973582500000.0,6528886000000.0,6739586400000.0,6380901600000.0,6092618000000.0,6157792400000.0,6084326000000.0,6786367000000.0,6841756500000.0,6685827500000.0,6865785000000.0,6500777500000.0,6954966000000.0
2052.0,6330072400000.0,6721490000000.0,5142719000000.0,6740047300000.0,6381126500000.0,6138302000000.0,6942767000000.0,6466836000000.0,6684199000000.0,6287989400000.0,5980685000000.0,6063416400000.0,5979387700000.0,6723311500000.0,6784621000000.0,6615671500000.0,6824159000000.0,6429416600000.0,6925700000000.0
2053.0,6243171000000.0,6668879000000.0,5011727700000.0,6685332000000.0,6281116000000.0,6041713000000.0,6905205400000.0,6399982600000.0,6631604000000.0,6212623500000.0,5890109000000.0,5972562500000.0,5889218600000.0,6654678000000.0,6741116000000.0,6550537600000.0,6772639700000.0,6358126000000.0,6880418600000.0
2054.0,6134562000000.0,6610298600000.0,4868311400000.0,6647119300000.0,6186132300000.0,5951645000000.0,6869501000000.0,6309204700000.0,6567605300000.0,6109401000000.0,5790306400000.0,5902001000000.0,5802964000000.0,6602666500000.0,6701330700000.0,6484997000000.0,6720048000000.0,6286754700000.0,6827696000000.0
2055.0,6022315000000.0,6547771000000.0,4736640000000.0,6591125000000.0,6090695000000.0,5862669700000.0,6835271000000.0,6240411000000.0,6506338000000.0,6010950000000.0,5674079000000.0,5795296600000.0,5725766000000.0,6543910600000.0,6669890000000.0,6424429600000.0,6664073000000.0,6224375000000.0,6785965000000.0
2056.0,5933580700000.0,6482206700000.0,4608924600000.0,6538759000000.0,5967101000000.0,5775496000000.0,6784565600000.0,6143384500000.0,6446495000000.0,5920784400000.0,5569537600000.0,5701394500000.0,5639949500000.0,6509627400000.0,6618233000000.0,6356870000000.0,6613759000000.0,6144665300000.0,6749483400000.0
2057.0,5842918700000.0,6421805000000.0,4476654000000.0,6481460000000.0,5846843500000.0,5674278300000.0,6758631000000.0,6077153000000.0,6376875600000.0,5834512300000.0,5462867600000.0,5597924000000.0,5545559300000.0,6441314300000.0,6565133000000.0,6298985000000.0,6561103000000.0,6066723600000.0,6711460000000.0
2058.0,5761059000000.0,6369275500000.0,4372949600000.0,6416032600000.0,5752532000000.0,5582533700000.0,6722309600000.0,5992968000000.0,6321027000000.0,5733095600000.0,5361290000000.0,5525618000000.0,5442876500000.0,6380285600000.0,6500362000000.0,6228175500000.0,6507633600000.0,5987136700000.0,6660634400000.0
2059.0,5669069000000.0,6320430000000.0,4244732000000.0,6355895000000.0,5630085000000.0,5473723500000.0,6668669700000.0,5897883500000.0,6246301700000.0,5635869000000.0,5243510000000.0,5424477000000.0,5356992000000.0,6315483600000.0,6441081000000.0,6153811500000.0,6443983000000.0,5889417000000.0,6607792000000.0
2060.0,5589502500000.0,6272276500000.0,4141531800000.0,6295151700000.0,5516520000000.0,5381669000000.0,6639448000000.0,5797202400000.0,6193849300000.0,5543072600000.0,5132779500000.0,5326945000000.0,5272757000000.0,6260920400000.0,6392058500000.0,6082848600000.0,6390123000000.0,5814499000000.0,6565264000000.0
2061.0,5492424300000.0,6225778000000.0,4027501200000.0,6229482500000.0,5401237000000.0,5276720000000.0,6607570000000.0,5685029000000.0,6115120000000.0,5458728000000.0,5025890300000.0,5255440400000.0,5168171000000.0,6178028400000.0,6337446000000.0,6016654600000.0,6324649000000.0,5740803000000.0,6507406600000.0
2062.0,5391767000000.0,6165837000000.0,3899526200000.0,6157166000000.0,5256069500000.0,5188262000000.0,6566381000000.0,5593079000000.0,6047864500000.0,5361065500000.0,4924812300000.0,5153129000000.0,5058968700000.0,6107398000000.0,6293062400000.0,5951300600000.0,6262432000000.0,5672369000000.0,6450291700000.0
2063.0,5325696000000.0,6108654000000.0,3789389300000.0,6092274300000.0,5109547000000.0,5086647400000.0,6534334500000.0,5493581000000.0,5978231000000.0,5260248600000.0,4828966000000.0,5072070600000.0,4937573500000.0,6063859400000.0,6238944400000.0,5882434000000.0,6206538000000.0,5601771400000.0,6399343500000.0
2064.0,5250639000000.0,6062820000000.0,3668467800000.0,6038136300000.0,4980322000000.0,4994027000000.0,6495809300000.0,5399477500000.0,5895824600000.0,5151664400000.0,4713363300000.0,4977554600000.0,4833608000000.0,6011624600000.0,6188921500000.0,5817085000000.0,6156413000000.0,5520447000000.0,6347297000000.0
2065.0,5184109000000.0,5989390600000.0,3549028200000.0,5982329000000.0,4846295000000.0,4901922000000.0,6474947000000.0,5305319600000.0,5845159000000.0,5031190300000.0,4612918600000.0,4879786400000.0,4733506400000.0,5947876000000.0,6133542600000.0,5741931000000.0,6093236000000.0,5431280000000.0,6288745400000.0
2066.0,5107331600000.0,5923827000000.0,3445685000000.0,5924868000000.0,4684622000000.0,4803426000000.0,6438888400000.0,5195809000000.0,5758182000000.0,4919420500000.0,4501760000000.0,4790779600000.0,4625622600000.0,5870350500000.0,6055995600000.0,5679668000000.0,6041882300000.0,5348771000000.0,6237302300000.0
2067.0,5015867000000.0,5858230500000.0,3349894000000.0,5874734600000.0,4540045000000.0,4702813000000.0,6408175000000.0,5087577500000.0,5671245000000.0,4809951000000.0,4397233900000.0,4689213500000.0,4523877000000.0,5804240000000.0,5992589000000.0,5612760500000.0,5983842600000.0,5260851500000.0,6173763300000.0
2068.0,4931705600000.0,5795108000000.0,3243462000000.0,5818550300000.0,4410676600000.0,4604501000000.0,6374722400000.0,4975523500000.0,5589440000000.0,4682659400000.0,4280652400000.0,4598649000000.0,4409504300000.0,5745621000000.0,5920736000000.0,5533192000000.0,5915102700000.0,5168181500000.0,6115022000000.0
2069.0,4843884000000.0,5732576000000.0,3128773800000.0,5761490000000.0,4292223700000.0,4497452600000.0,6348164600000.0,4848311000000.0,5506987000000.0,4559702300000.0,4164322300000.0,4479066300000.0,4284553000000.0,5698644600000.0,5852936000000.0,5471504000000.0,5861897400000.0,5078613000000.0,6046391000000.0
2070.0,4745187600000.0,5664589000000.0,3022830700000.0,5697727600000.0,4168492000000.0,4394617100000.0,6309883700000.0,4735899300000.0,5422770000000.0,4438282500000.0,4043039000000.0,4383525000000.0,4195304300000.0,5642675300000.0,5797980000000.0,5404935300000.0,5801605300000.0,4992153000000.0,6000599400000.0
2071.0,4661297300000.0,5588253700000.0,2913395500000.0,5634482000000.0,4033621000000.0,4318922500000.0,6274546000000.0,4618431000000.0,5330138000000.0,4343827500000.0,3934453000000.0,4293633800000.0,4101068600000.0,5549563000000.0,5729327000000.0,5333881700000.0,5742821000000.0,4918798000000.0,5949405000000.0
2072.0,4576569000000.0,5522308700000.0,2800602800000.0,5575658000000.0,3868514000000.0,4222189800000.0,6206636000000.0,4497728000000.0,5242746300000.0,4233284600000.0,3832843900000.0,4212732500000.0,3983475200000.0,5477832000000.0,5683486400000.0,5258779000000.0,5669737000000.0,4821079000000.0,5894119600000.0
2073.0,4494608000000.0,5454035400000.0,2698156400000.0,5492449000000.0,3726383300000.0,4112985600000.0,6175037000000.0,4386153300000.0,5150071600000.0,4107600000000.0,3729306400000.0,4088835600000.0,3861568600000.0,5412411700000.0,5630575000000.0,5183753000000.0,5607129000000.0,4742942000000.0,5834249600000.0
2074.0,4412111000000.0,5390883400000.0,2594371800000.0,5431158600000.0,3585107000000.0,3990949200000.0,6132379000000.0,4274415500000.0,5055172300000.0,3990046600000.0,3614235400000.0,3984574400000.0,3732993000000.0,5287133600000.0,5572769000000.0,5112788400000.0,5557333000000.0,4663929000000.0,5793459000000.0
2075.0,4324343200000.0,5297267000000.0,2486744600000.0,5358496500000.0,3453808800000.0,3887507200000.0,6095173000000.0,4170882200000.0,4979776600000.0,3882517500000.0,3498703300000.0,3891244600000.0,3625687200000.0,5196320600000.0,5517233600000.0,5022474600000.0,5507973000000.0,4575240000000.0,5733853000000.0
2076.0,4243555400000.0,5232779000000.0,2386950600000.0,5286464000000.0,3335212200000.0,3771764000000.0,6043645000000.0,4036862400000.0,4915293300000.0,3765849000000.0,3390512000000.0,3784058900000.0,3481391000000.0,5141164500000.0,5443274400000.0,4949722000000.0,5444731400000.0,4492160400000.0,5673963000000.0
2077.0,4153768700000.0,5155203000000.0,2292748400000.0,5230989700000.0,3201983300000.0,3659593000000.0,6006320000000.0,3916093000000.0,4820727500000.0,3654517000000.0,3280864000000.0,3676658000000.0,3362172400000.0,5077641700000.0,5366886000000.0,4879517000000.0,5383826400000.0,4399115000000.0,5616981000000.0
2078.0,4074511500000.0,5087998500000.0,2194489300000.0,5145378700000.0,3049631500000.0,3548778900000.0,5962292000000.0,3802665300000.0,4745264600000.0,3527090400000.0,3156971000000.0,3562823700000.0,3271069000000.0,4998397000000.0,5283612000000.0,4812382000000.0,5327720000000.0,4295888000000.0,5571352000000.0
2079.0,3972710800000.0,5015713300000.0,2098507700000.0,5074026000000.0,2925960000000.0,3443001700000.0,5909965000000.0,3681338300000.0,4652601000000.0,3415575000000.0,3057868900000.0,3450384700000.0,3159681100000.0,4905127400000.0,5210932500000.0,4746525000000.0,5278840400000.0,4214751800000.0,5509111300000.0
2080.0,3882283000000.0,4950044700000.0,2014004500000.0,5003480000000.0,2787316600000.0,3325647000000.0,5867058000000.0,3561876600000.0,4588834000000.0,3288755900000.0,2944775000000.0,3343289200000.0,3070670000000.0,4822333400000.0,5131311000000.0,4672743500000.0,5218589000000.0,4118527000000.0,5471273500000.0
2081.0,3775899000000.0,4886473000000.0,1930950500000.0,4937792000000.0,2657039000000.0,3222608800000.0,5822665500000.0,3442073100000.0,4501747500000.0,3183642700000.0,2836419000000.0,3222871200000.0,2973437800000.0,4743948700000.0,5042371300000.0,4597283000000.0,5142016000000.0,4024984400000.0,5416814600000.0
2082.0,3688368000000.0,4820303300000.0,1841788500000.0,4872230000000.0,2529488300000.0,3090536000000.0,5774483000000.0,3327226500000.0,4407539000000.0,3070982000000.0,2733136200000.0,3110665500000.0,2848352000000.0,4668724300000.0,4957201000000.0,4540366600000.0,5071609300000.0,3931154000000.0,5366521000000.0
2083.0,3589592300000.0,4761949000000.0,1756415000000.0,4786482600000.0,2423191000000.0,2974186700000.0,5722441500000.0,3226791600000.0,4329803600000.0,2961303000000.0,2627822700000.0,3000635200000.0,2747188600000.0,4573820000000.0,4862367500000.0,4459327400000.0,5012405000000.0,3842385600000.0,5313209000000.0
2084.0,3492144700000.0,4673748000000.0,1666880100000.0,4700717400000.0,2312208000000.0,2855372300000.0,5691107400000.0,3115030400000.0,4239771800000.0,2847336600000.0,2511426800000.0,2895565000000.0,2646529500000.0,4478238000000.0,4748302400000.0,4374121000000.0,4953248000000.0,3755082800000.0,5272700000000.0
2085.0,3409075500000.0,4605371500000.0,1590439300000.0,4640833300000.0,2206382200000.0,2761830400000.0,5639117000000.0,2994922600000.0,4165671300000.0,2734343300000.0,2403305000000.0,2776636900000.0,2554799800000.0,4396820700000.0,4673026700000.0,4299957000000.0,4889120300000.0,3666932400000.0,5226604000000.0
