time,NORESM2-MM,MPI-ESM1-2-HR,INM-CM4-8,INM-CM5-0,FGOALS-F3-L,BCC-CSM2-MR,CESM2,EC-EARTH3,GFDL-ESM4,MRI-ESM2-0,EC-EARTH3-VEG,CAMS-CSM1-0,CESM2-WACCM
2028.0,7880742000000.0,7806121000000.0,7879934300000.0,7898815000000.0,7845252000000.0,7908085500000.0,7741809000000.0,7775598400000.0,7894052000000.0,7838427500000.0,7857058000000.0,7899883000000.0,7887631000000.0
2029.0,7836777600000.0,7758166400000.0,7839120000000.0,7853724000000.0,7822205500000.0,7879506000000.0,7663776000000.0,7716843000000.0,7867966000000.0,7804386000000.0,7807301000000.0,7863111500000.0,7857282500000.0
2030.0,7789935600000.0,7737470000000.0,7788849300000.0,7815041000000.0,7786026000000.0,7842149000000.0,7610584000000.0,7655784400000.0,7843716000000.0,7761161600000.0,7758180500000.0,7837480600000.0,7829103000000.0
2031.0,7749715400000.0,7689944000000.0,7749669000000.0,7781590000000.0,7749636700000.0,7809908300000.0,7561503000000.0,7603396000000.0,7813183600000.0,7707556300000.0,7702102700000.0,7814404600000.0,7786354700000.0
2032.0,7714963500000.0,7646883000000.0,7715980000000.0,7751186000000.0,7717104000000.0,7766501500000.0,7512682000000.0,7536284000000.0,7785062300000.0,7656704000000.0,7674029000000.0,7782906500000.0,7748312400000.0
2033.0,7661804000000.0,7608149700000.0,7680380400000.0,7720635000000.0,7690235000000.0,7719906400000.0,7443547000000.0,7488639300000.0,7744561000000.0,7606714000000.0,7609774000000.0,7751555600000.0,7690734500000.0
2034.0,7629951700000.0,7577611500000.0,7640429000000.0,7667333000000.0,7651195000000.0,7655530000000.0,7411937000000.0,7430836600000.0,7711419300000.0,7550487000000.0,7567512000000.0,7715398600000.0,7636395000000.0
2035.0,7584687300000.0,7537770000000.0,7609118000000.0,7632838500000.0,7612151600000.0,7591975000000.0,7355056000000.0,7361895000000.0,7691981000000.0,7511202000000.0,7512346600000.0,7663727000000.0,7593739700000.0
2036.0,7539782600000.0,7497402300000.0,7572895000000.0,7592390700000.0,7571725000000.0,7547908000000.0,7304320600000.0,7276203000000.0,7653892300000.0,7468032700000.0,7457036300000.0,7637653500000.0,7546297000000.0
2037.0,7510841400000.0,7455225400000.0,7536123000000.0,7551512000000.0,7531525000000.0,7486191000000.0,7245665000000.0,7201679700000.0,7628270000000.0,7406705700000.0,7400665000000.0,7582836600000.0,7482844400000.0
2038.0,7486261700000.0,7407835000000.0,7500962700000.0,7495781000000.0,7498708300000.0,7455565000000.0,7176507000000.0,7145366500000.0,7588476400000.0,7373019700000.0,7334378000000.0,7529863000000.0,7438536300000.0
2039.0,7437817000000.0,7368292000000.0,7466388000000.0,7444505300000.0,7450774000000.0,7427281000000.0,7091157000000.0,7085249500000.0,7560568000000.0,7319675000000.0,7276257600000.0,7492954000000.0,7376965000000.0
2040.0,7397592000000.0,7332196500000.0,7432396000000.0,7406580400000.0,7417688000000.0,7396018000000.0,7043608000000.0,7014200600000.0,7516064300000.0,7285002700000.0,7228476600000.0,7459771500000.0,7320088600000.0
