time,CESM2-WACCM,CANESM5,IPSL-CM6A-LR,MRI-ESM2-0
2085.0,3954991400000.0,3288990700000.0,3478139200000.0,4275024400000.0
2086.0,3904139700000.0,3232462300000.0,3386237300000.0,4226912600000.0
2087.0,3850961400000.0,3168146300000.0,3307722500000.0,4192262200000.0
2088.0,3788223800000.0,3113014300000.0,3231194800000.0,4155427300000.0
2089.0,3723246000000.0,3055036400000.0,3150480000000.0,4113821300000.0
2090.0,3669786000000.0,2994060100000.0,3066301000000.0,4076210200000.0
2091.0,3617223300000.0,2941496300000.0,3000521700000.0,4030266600000.0
2092.0,3569037600000.0,2896823000000.0,2923034300000.0,3988427400000.0
2093.0,3520647000000.0,2844269500000.0,2852170500000.0,3958875600000.0
2094.0,3463107800000.0,2794015200000.0,2763294800000.0,3914931000000.0
2095.0,3420402200000.0,2743936500000.0,2704185500000.0,3876490000000.0
2096.0,3369769000000.0,2691505800000.0,2650044400000.0,3851009700000.0
2097.0,3329966000000.0,2643871700000.0,2587371000000.0,3839597500000.0
2098.0,3287629400000.0,2605299000000.0,2518252000000.0,3813163700000.0
2099.0,3244613000000.0,2557397400000.0,2454153900000.0,3779354200000.0
2100.0,3217457400000.0,2512223700000.0,2394032400000.0,3755038500000.0
