time,GFDL-ESM4,MRI-ESM2-0,CAMS-CSM1-0,EC-EARTH3-VEG
2027.0,7968810000000.0,7780432300000.0,7909727000000.0,7803888500000.0
2028.0,7942534000000.0,7719723500000.0,7885913000000.0,7742413600000.0
2029.0,7925701000000.0,7659206000000.0,7846963400000.0,7699177000000.0
2030.0,7891808000000.0,7590446000000.0,7802648500000.0,7648514700000.0
2031.0,7857051000000.0,7512046700000.0,7770045000000.0,7616305000000.0
2032.0,7827740000000.0,7452425700000.0,7734830300000.0,7571657700000.0
2033.0,7796017300000.0,7379358300000.0,7701919000000.0,7528990000000.0
2034.0,7748992000000.0,7309692500000.0,7677675600000.0,7492403000000.0
2035.0,7701405400000.0,7227562300000.0,7660145000000.0,7447088000000.0
2036.0,7648774000000.0,7143097000000.0,7628590000000.0,7404844500000.0
2037.0,7627478000000.0,7061141700000.0,7595676000000.0,7370687000000.0
2038.0,7586929700000.0,6980768400000.0,7561638000000.0,7333550000000.0
2039.0,7548509400000.0,6909227700000.0,7513599000000.0,7322117000000.0
2040.0,7497291000000.0,6830113000000.0,7468693000000.0,7288016300000.0
2041.0,7452213000000.0,6745718000000.0,7424612000000.0,7252933600000.0
2042.0,7408355000000.0,6687106300000.0,7376174000000.0,7209763000000.0
2043.0,7371498000000.0,6634935000000.0,7352608600000.0,7192274500000.0
2044.0,7334954000000.0,6577783000000.0,7316743700000.0,7169636300000.0
2045.0,7311503000000.0,6515566000000.0,7281832400000.0,7133785500000.0
2046.0,7273030000000.0,6446972400000.0,7238633000000.0,7114761000000.0
2047.0,7225143000000.0,6381531300000.0,7204511400000.0,7085791000000.0
2048.0,7183289300000.0,6336462500000.0,7174975000000.0,7046795600000.0
2049.0,7144984000000.0,6269277000000.0,7142560500000.0,7011301300000.0
2050.0,7113321500000.0,6210600300000.0,7104781400000.0,6985727000000.0
2051.0,7080780000000.0,6156362000000.0,7081598000000.0,6952554000000.0
2052.0,7054498000000.0,6097773000000.0,7049006000000.0,6910652000000.0
2053.0,7028335400000.0,6032868000000.0,7000871700000.0,6864880300000.0
2054.0,6986289600000.0,5982929000000.0,6980877000000.0,6837721000000.0
2055.0,6936820400000.0,5932679000000.0,6972097000000.0,6792373000000.0
2056.0,6888503600000.0,5864990000000.0,6934073000000.0,6749644000000.0
2057.0,6853699300000.0,5808766600000.0,6901221300000.0,6700148000000.0
2058.0,6823273300000.0,5761327400000.0,6873968300000.0,6671618000000.0
2059.0,6794573000000.0,5722500000000.0,6844492000000.0,6633536000000.0
2060.0,6752718000000.0,5681984000000.0,6793725000000.0,6599866300000.0
2061.0,6716198500000.0,5637836000000.0,6759907000000.0,6554515000000.0
2062.0,6671487000000.0,5611505000000.0,6713804600000.0,6507837000000.0
2063.0,6638124000000.0,5557754300000.0,6669621300000.0,6459883000000.0
2064.0,6615182300000.0,5504466700000.0,6634212400000.0,6422426000000.0
2065.0,6587230000000.0,5472065700000.0,6592781000000.0,6375331000000.0
2066.0,6537258500000.0,5443464000000.0,6561035000000.0,6337116000000.0
2067.0,6499409600000.0,5406564000000.0,6537538400000.0,6295537600000.0
2068.0,6456849500000.0,5363156400000.0,6495886400000.0,6253359700000.0
2069.0,6423047000000.0,5335400600000.0,6471126400000.0,6209099300000.0
2070.0,6357919500000.0,5299043000000.0,6433350400000.0,6169441000000.0
2071.0,6335189500000.0,5280765000000.0,6383968000000.0,6135713600000.0
2072.0,6305059000000.0,5247701400000.0,6350963000000.0,6090071700000.0
2073.0,6267713600000.0,5215283000000.0,6328274000000.0,6053500000000.0
2074.0,6240236700000.0,5179667000000.0,6288846600000.0,6000309400000.0
2075.0,6209307000000.0,5153897000000.0,6235874700000.0,5960589000000.0
2076.0,6186781000000.0,5122668000000.0,6193816000000.0,5919358300000.0
2077.0,6151410000000.0,5070830000000.0,6166361400000.0,5875246300000.0
2078.0,6125302300000.0,5035404600000.0,6136344300000.0,5836618000000.0
2079.0,6089742500000.0,4999957000000.0,6093863000000.0,5807631000000.0
2080.0,6076561400000.0,4970742000000.0,6063626000000.0,5750252000000.0
2081.0,6036953000000.0,4930723600000.0,6038972000000.0,5698247000000.0
2082.0,6016148000000.0,4884601000000.0,6005290000000.0,5651924000000.0
2083.0,5983291000000.0,4857332000000.0,5968332000000.0,5617952500000.0
2084.0,5952970400000.0,4819457000000.0,5932518500000.0,5575069000000.0
2085.0,5918564500000.0,4776380000000.0,5903554700000.0,5529225700000.0
2086.0,5878776000000.0,4746372000000.0,5870985000000.0,5475050500000.0
2087.0,5851909000000.0,4717451700000.0,5843595600000.0,5434190000000.0
2088.0,5830793000000.0,4687951600000.0,5811963000000.0,5396980000000.0
2089.0,5812825600000.0,4664874500000.0,5795549300000.0,5355542700000.0
2090.0,5778057000000.0,4645977000000.0,5759585000000.0,5312338000000.0
2091.0,5755887400000.0,4610314500000.0,5735507300000.0,5266339000000.0
2092.0,5722864000000.0,4587157000000.0,5700465500000.0,5239314000000.0
2093.0,5686580000000.0,4561089600000.0,5681653000000.0,5170346000000.0
2094.0,5656379700000.0,4535685000000.0,5639230700000.0,5125924000000.0
2095.0,5611575000000.0,4515990300000.0,5620571300000.0,5082172000000.0
2096.0,5582583000000.0,4486430500000.0,5595200000000.0,5035994000000.0
2097.0,5542186000000.0,4469693000000.0,5558744000000.0,4976714000000.0
2098.0,5509198000000.0,4448274400000.0,5521496000000.0,4926828000000.0
2099.0,5482171000000.0,4418329000000.0,5486172700000.0,4899561500000.0
2100.0,5454459600000.0,4392657600000.0,5439614400000.0,4851718000000.0
