time,UKESM1-0-LL,IPSL-CM6A-LR,MRI-ESM2-0,GFDL-ESM4,MPI-ESM1-2-HR
2000.0,3304243600000.0,3304243600000.0,3304243600000.0,3304243600000.0,3304243600000.0
2001.0,3298406000000.0,3298406000000.0,3298406000000.0,3298406000000.0,3298406000000.0
2002.0,3286188200000.0,3286188200000.0,3286188200000.0,3286188200000.0,3286188200000.0
2003.0,3281301300000.0,3281301300000.0,3281301300000.0,3281301300000.0,3281301300000.0
2004.0,3292180300000.0,3292180300000.0,3292180300000.0,3292180300000.0,3292180300000.0
2005.0,3295315000000.0,3295315000000.0,3295315000000.0,3295315000000.0,3295315000000.0
2006.0,3288615400000.0,3288615400000.0,3288615400000.0,3288615400000.0,3288615400000.0
2007.0,3267074700000.0,3267074700000.0,3267074700000.0,3267074700000.0,3267074700000.0
2008.0,3246946500000.0,3246946500000.0,3246946500000.0,3246946500000.0,3246946500000.0
2009.0,3223646000000.0,3223646000000.0,3223646000000.0,3223646000000.0,3223646000000.0
2010.0,3209073000000.0,3209073000000.0,3209073000000.0,3209073000000.0,3209073000000.0
2011.0,3206808600000.0,3206808600000.0,3206808600000.0,3206808600000.0,3206808600000.0
2012.0,3186851600000.0,3186851600000.0,3186851600000.0,3186851600000.0,3186851600000.0
2013.0,3162704200000.0,3162704200000.0,3162704200000.0,3162704200000.0,3162704200000.0
2014.0,3150483300000.0,3150483300000.0,3150483300000.0,3150483300000.0,3150483300000.0
2015.0,3140227200000.0,3140227200000.0,3140227200000.0,3140227200000.0,3140227200000.0
2016.0,3128400500000.0,3128400500000.0,3128400500000.0,3128400500000.0,3128400500000.0
2017.0,3119231300000.0,3119231300000.0,3119231300000.0,3119231300000.0,3119231300000.0
2018.0,3112506000000.0,3112506000000.0,3112506000000.0,3112506000000.0,3112506000000.0
2019.0,3099222600000.0,3099222600000.0,3099222600000.0,3099222600000.0,3099222600000.0
2020.0,3086835000000.0,3086835000000.0,3086835000000.0,3086835000000.0,3086835000000.0
2021.0,3047270400000.0,3074183100000.0,3052596000000.0,3039674800000.0,3051527600000.0
2022.0,3000839400000.0,3049222000000.0,3025214400000.0,3026696500000.0,3031466000000.0
2023.0,2961587800000.0,3035183400000.0,2961528800000.0,2991687700000.0,2988190700000.0
2024.0,2915385700000.0,2985017500000.0,2914392200000.0,2958522300000.0,2942978800000.0
2025.0,2864264500000.0,2959347500000.0,2870276500000.0,2935650800000.0,2897238000000.0
2026.0,2800914300000.0,2925777600000.0,2837670500000.0,2918237900000.0,2864287800000.0
2027.0,2754001000000.0,2884064800000.0,2781261900000.0,2894126000000.0,2818275800000.0
2028.0,2704645800000.0,2858530400000.0,2734180300000.0,2863901700000.0,2781706200000.0
2029.0,2650351000000.0,2817461600000.0,2680417400000.0,2846274000000.0,2734529000000.0
2030.0,2587872000000.0,2783281000000.0,2640628700000.0,2795971300000.0,2705120600000.0
2031.0,2531352000000.0,2757344000000.0,2604371500000.0,2775337400000.0,2695543400000.0
2032.0,2471173600000.0,2721681500000.0,2567231500000.0,2739074000000.0,2649343000000.0
2033.0,2409148200000.0,2677009800000.0,2515448400000.0,2697935200000.0,2609339000000.0
2034.0,2335821500000.0,2624134000000.0,2468128500000.0,2663754800000.0,2561474300000.0
2035.0,2274595000000.0,2579229000000.0,2420504300000.0,2612871300000.0,2544556300000.0
2036.0,2217717300000.0,2539131000000.0,2369368600000.0,2564358100000.0,2519643200000.0
2037.0,2154341700000.0,2506012000000.0,2323973100000.0,2528964800000.0,2485377800000.0
2038.0,2099809400000.0,2481468200000.0,2266435200000.0,2502417400000.0,2438799600000.0
2039.0,2031514200000.0,2430854500000.0,2193003600000.0,2454838800000.0,2418343000000.0
2040.0,1977683800000.0,2378587700000.0,2151390900000.0,2423218500000.0,2377062800000.0
2041.0,1927009300000.0,2317229000000.0,2095214600000.0,2390429300000.0,2328211500000.0
2042.0,1871089000000.0,2264365500000.0,2064640400000.0,2354604100000.0,2300624500000.0
2043.0,1816071500000.0,2203533700000.0,2018005100000.0,2328618300000.0,2266078600000.0
2044.0,1761370800000.0,2146749100000.0,1972529500000.0,2295137800000.0,2231951400000.0
2045.0,1702689500000.0,2086642900000.0,1920549800000.0,2271009000000.0,2198535500000.0
2046.0,1644110200000.0,2043261500000.0,1871234600000.0,2222080000000.0,2162675200000.0
2047.0,1579488900000.0,1992767000000.0,1819070400000.0,2182326000000.0,2136083300000.0
2048.0,1525714100000.0,1938957900000.0,1781587000000.0,2148132200000.0,2090643000000.0
2049.0,1484904000000.0,1874452000000.0,1731747900000.0,2126344400000.0,2049740800000.0
2050.0,1423580900000.0,1810770600000.0,1691578400000.0,2078935900000.0,2015655400000.0
2051.0,1366892200000.0,1745670600000.0,1651177200000.0,2034952300000.0,1972945300000.0
2052.0,1310204000000.0,1699543900000.0,1608879400000.0,1982769700000.0,1923943500000.0
2053.0,1249086400000.0,1639282400000.0,1558669000000.0,1937861200000.0,1877218400000.0
2054.0,1185433300000.0,1576156900000.0,1535334200000.0,1908632300000.0,1826318600000.0
2055.0,1121457800000.0,1524005600000.0,1489338200000.0,1880872000000.0,1794725200000.0
2056.0,1069347640000.0,1467932900000.0,1448413000000.0,1843368800000.0,1744094000000.0
2057.0,1021775600000.0,1417356400000.0,1412883200000.0,1805774600000.0,1696870000000.0
2058.0,970342600000.0,1369374900000.0,1374876100000.0,1770274600000.0,1670884200000.0
2059.0,921399460000.0,1308932700000.0,1336853100000.0,1728353100000.0,1633121500000.0
2060.0,887155650000.0,1255920500000.0,1299236700000.0,1681681500000.0,1598162300000.0
2061.0,852453500000.0,1213616400000.0,1258055400000.0,1637762900000.0,1570797400000.0
2062.0,815775350000.0,1170479900000.0,1214670700000.0,1612222800000.0,1531968000000.0
2063.0,785387160000.0,1123983400000.0,1176581200000.0,1589797200000.0,1482880000000.0
2064.0,750858860000.0,1083572000000.0,1127300300000.0,1564027100000.0,1431971600000.0
2065.0,714821200000.0,1040834900000.0,1100178500000.0,1539420500000.0,1382200000000.0
2066.0,688424200000.0,1003088640000.0,1069238900000.0,1505165600000.0,1364287400000.0
2067.0,650384000000.0,970184200000.0,1040970200000.0,1476673300000.0,1331526100000.0
2068.0,614025400000.0,928298040000.0,999229500000.0,1447140700000.0,1287079600000.0
2069.0,577344000000.0,892223800000.0,976780800000.0,1416952500000.0,1254910100000.0
2070.0,543741250000.0,848467070000.0,948672300000.0,1393706400000.0,1230427800000.0
2071.0,514661060000.0,811141960000.0,919251100000.0,1370020400000.0,1199683900000.0
2072.0,491373600000.0,775758940000.0,888158700000.0,1335879400000.0,1159188200000.0
2073.0,471870400000.0,738337200000.0,864609600000.0,1305479100000.0,1130336500000.0
2074.0,446160930000.0,705781100000.0,839770240000.0,1282828100000.0,1104185800000.0
2075.0,411671920000.0,670835100000.0,813454600000.0,1263055400000.0,1062531900000.0
2076.0,385324320000.0,633638100000.0,778523000000.0,1237108700000.0,1022262050000.0
2077.0,358633770000.0,601398640000.0,757286760000.0,1211376900000.0,990742600000.0
2078.0,339801050000.0,571887450000.0,728347440000.0,1187162500000.0,956079870000.0
2079.0,312668780000.0,537632640000.0,696127200000.0,1155414200000.0,923350340000.0
2080.0,295348860000.0,501598450000.0,673258500000.0,1124190800000.0,886732100000.0
2081.0,266803200000.0,471244370000.0,652252800000.0,1096206800000.0,860440900000.0
2082.0,245804650000.0,438494600000.0,628483200000.0,1067392700000.0,830922400000.0
2083.0,222677880000.0,409515750000.0,613611200000.0,1034204100000.0,806342200000.0
2084.0,205160900000.0,382606250000.0,583287900000.0,1002146230000.0,771441800000.0
2085.0,187877620000.0,359038030000.0,562057900000.0,971031400000.0,745159400000.0
2086.0,168898080000.0,332814970000.0,540083750000.0,951475700000.0,715263700000.0
2087.0,150705260000.0,309560870000.0,517536600000.0,927306550000.0,694781900000.0
2088.0,136795970000.0,286257300000.0,499369500000.0,898097700000.0,659626660000.0
2089.0,124427990000.0,268396840000.0,477095100000.0,879685800000.0,630891350000.0
2090.0,111030630000.0,251236550000.0,460984880000.0,850771500000.0,603068400000.0
2091.0,99349640000.0,232247980000.0,444586980000.0,818752800000.0,579584460000.0
2092.0,87690740000.0,213963110000.0,430995470000.0,797365400000.0,559481300000.0
2093.0,77845610000.0,197762150000.0,408489600000.0,771913000000.0,532905130000.0
2094.0,69580500000.0,183688450000.0,390092800000.0,746058940000.0,508467740000.0
