time,CESM1-CAM5,CanESM2,MPI-ESM-LR
2000,167671980358016.25,167671980358016.25,167671413285175.84
2001,167383109986088.3,167330044516768.03,167333021439250.06
2002,167042573990026.25,167011439793270.88,166999900833228.25
2003,166748129765738.9,166697409133080.2,166617748522235.38
2004,166514838681668.06,166360898520650.62,166313561818052.2
2005,166130756289723.25,165999148723991.0,165829366502625.25
2006,165694181852882.1,165611871930852.62,165555299663503.78
2007,165376508354629.06,165181085672013.53,165183893366334.5
2008,164970219426668.5,164846655242217.56,164751024125842.4
2009,164721852000738.78,164407840923759.22,164474203800204.66
2010,164428147017211.5,164106141639635.25,164067207712294.72
2011,163977514738265.28,163789232733311.06,163562219741109.38
2012,163399395184219.16,163147168329082.88,163146127512731.75
2013,162914484679598.38,162565453051709.56,162685743985928.8
2014,162361453969704.97,162150049087682.12,162218973452567.53
2015,161942059150623.4,161737399934477.84,161716313261281.7
2016,161518016892714.5,161253283878544.6,161241426723338.2
2017,161047680628628.72,160880942297987.44,160745164232371.6
2018,160506324215656.06,160383415518007.5,160217557492363.4
2019,159945906935274.66,159928255496836.0,159782669506856.75
2020,159375290409562.44,159415958769607.47,159354026082156.25
2021,158688021048253.1,158821530335299.47,158840329469666.88
2022,158046011817002.84,158189857246277.88,158249432197989.56
2023,157436625744944.03,157584485650664.2,157703579078981.44
2024,156897699032671.88,156866444938924.66,157162285611507.7
2025,156167701157352.84,156367998223840.9,156679723460112.94
2026,155356397105323.8,155906030209328.7,156168718358658.53
2027,154677913755979.53,155360670028092.8,155592160816737.97
2028,153987422475376.16,154906491197068.2,154923413470307.3
2029,153292321969293.5,154205692518880.25,154148050345219.56
2030,152511662086889.5,153402468402853.56,153641964595363.1
2031,151888540519394.7,152675745079921.9,153120886339225.25
2032,151268862325801.7,152042328556157.16,152459783644365.6
2033,150344949494333.4,151363796652264.8,151823263541531.84
2034,149519428514622.28,150660537634822.38,151366826335290.56
2035,148784567095609.62,150049033706056.53,150839791599679.03
2036,148059730106990.3,149294202927455.62,150210813773844.47
2037,147446314418012.94,148673167197279.25,149693821968653.8
2038,146726061257774.25,148065650432192.25,149048007863285.5
2039,145919799408130.88,147389841318860.0,148300556711383.8
2040,145024588296686.97,146823974046366.94,147689561065899.16
2041,144311115121028.16,146298076388540.25,147112435862646.75
2042,143385555999647.3,145685234151979.1,146539205953572.22
2043,142365125494343.3,144965988016947.72,146070821701978.3
2044,141593448931633.62,144249358837440.2,145442323242045.75
2045,140924801348648.16,143634834990563.5,144584205987077.6
2046,140185337772201.72,143099499441630.88,143951882376121.16
2047,139549047360924.69,142543634145989.94,143295391873080.06
2048,138855570151410.5,141850453629406.2,142748622665205.62
2049,138010976502901.88,141274918055545.88,142214037502522.94
2050,137318279300757.75,140684917285931.66,141719284360741.6
2051,136762463961461.4,139853350888112.03,141294611274628.0
2052,136006608715643.62,139162794062552.1,140774060850969.06
2053,135151879822540.1,138599372453267.02,140244636005785.47
2054,134415783824863.48,137921150116620.03,139725598351308.31
2055,133665844396455.75,137332834790029.22,139203294352439.66
2056,132928888090390.5,136576574738778.14,138733876140891.48
2057,132207688469869.28,135937892253727.45,138326002170290.53
2058,131445268818815.38,135392024988730.75,137943836654182.97
2059,130647222212356.34,134763522664371.03,137587070578811.31
2060,129832972061447.89,134200770602487.75,137170573404827.66
2061,128929554456772.84,133635661334499.03,136529092319498.9
2062,128045398259649.55,133054985253133.27,136030958211405.4
2063,127227317114835.38,132524263408696.23,135549387139825.62
2064,126424959479425.61,132020878270260.19,135070424181091.47
2065,125577291585545.72,131551025808671.72,134663620710002.75
2066,124792986658513.22,130878747930084.22,134266730991594.77
2067,123996102949031.83,130275227295315.53,133879879558166.08
2068,123393628589378.53,129561548519204.25,133289884436342.81
2069,122687776125187.42,129098681894534.98,132790546122211.44
2070,122015296037241.94,128572084671125.5,132444777921504.16
