time,CANESM2,GISS-E2-R,CNRM-CM5,CSIRO-MK3-6-0,CCSM4,MPI-ESM-LR,GFDL-CM3,NORESM1-M,GFDL-ESM2G,IPSL-CM5A-LR
2000.0,5145098000000.0,5145098000000.0,5145098000000.0,5145098000000.0,5145098000000.0,5145098000000.0,5145098000000.0,5145098000000.0,5145098000000.0,5145098000000.0
2001.0,5145600000000.0,5145600000000.0,5145600000000.0,5145600000000.0,5145600000000.0,5145600000000.0,5145600000000.0,5145600000000.0,5145600000000.0,5145600000000.0
2002.0,5142958000000.0,5142958000000.0,5142958000000.0,5142958000000.0,5142958000000.0,5142958000000.0,5142958000000.0,5142958000000.0,5142958000000.0,5142958000000.0
2003.0,5150693000000.0,5150693000000.0,5150693000000.0,5150693000000.0,5150693000000.0,5150693000000.0,5150693000000.0,5150693000000.0,5150693000000.0,5150693000000.0
2004.0,5149819400000.0,5149819400000.0,5149819400000.0,5149819400000.0,5149819400000.0,5149819400000.0,5149819400000.0,5149819400000.0,5149819400000.0,5149819400000.0
2005.0,5104104000000.0,5104104000000.0,5104104000000.0,5104104000000.0,5104104000000.0,5104104000000.0,5104104000000.0,5104104000000.0,5104104000000.0,5104104000000.0
2006.0,5083803000000.0,5083803000000.0,5083803000000.0,5083803000000.0,5083803000000.0,5083803000000.0,5083803000000.0,5083803000000.0,5083803000000.0,5083803000000.0
2007.0,5064279700000.0,5064279700000.0,5064279700000.0,5064279700000.0,5064279700000.0,5064279700000.0,5064279700000.0,5064279700000.0,5064279700000.0,5064279700000.0
2008.0,5046829000000.0,5046829000000.0,5046829000000.0,5046829000000.0,5046829000000.0,5046829000000.0,5046829000000.0,5046829000000.0,5046829000000.0,5046829000000.0
2009.0,5001120300000.0,5001120300000.0,5001120300000.0,5001120300000.0,5001120300000.0,5001120300000.0,5001120300000.0,5001120300000.0,5001120300000.0,5001120300000.0
2010.0,4980125000000.0,4980125000000.0,4980125000000.0,4980125000000.0,4980125000000.0,4980125000000.0,4980125000000.0,4980125000000.0,4980125000000.0,4980125000000.0
2011.0,4967154300000.0,4967154300000.0,4967154300000.0,4967154300000.0,4967154300000.0,4967154300000.0,4967154300000.0,4967154300000.0,4967154300000.0,4967154300000.0
2012.0,4926467000000.0,4926467000000.0,4926467000000.0,4926467000000.0,4926467000000.0,4926467000000.0,4926467000000.0,4926467000000.0,4926467000000.0,4926467000000.0
2013.0,4901891000000.0,4901891000000.0,4901891000000.0,4901891000000.0,4901891000000.0,4901891000000.0,4901891000000.0,4901891000000.0,4901891000000.0,4901891000000.0
2014.0,4867358700000.0,4867358700000.0,4867358700000.0,4867358700000.0,4867358700000.0,4867358700000.0,4867358700000.0,4867358700000.0,4867358700000.0,4867358700000.0
2015.0,4865627000000.0,4865627000000.0,4865627000000.0,4865627000000.0,4865627000000.0,4865627000000.0,4865627000000.0,4865627000000.0,4865627000000.0,4865627000000.0
2016.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0
2017.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0
2018.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0
2019.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0
2020.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0
2021.0,4662891000000.0,4661276300000.0,4657850600000.0,4642943000000.0,4683250300000.0,4668488000000.0,4646886700000.0,4661497600000.0,4678669000000.0,4657190000000.0
2022.0,4620657000000.0,4643710600000.0,4632191400000.0,4619323300000.0,4675811700000.0,4638118500000.0,4617904000000.0,4635221300000.0,4658899700000.0,4636499500000.0
2023.0,4598961000000.0,4592672700000.0,4609289000000.0,4600745700000.0,4643378000000.0,4588601000000.0,4602579600000.0,4603601500000.0,4631181000000.0,4620374000000.0
2024.0,4567352700000.0,4575467700000.0,4583065600000.0,4581122600000.0,4578310400000.0,4555474000000.0,4571373000000.0,4589167300000.0,4619674000000.0,4594042700000.0
2025.0,4548482000000.0,4545910000000.0,4518750000000.0,4546323500000.0,4537254000000.0,4545731600000.0,4557989500000.0,4573220600000.0,4581001000000.0,4565353600000.0
2026.0,4523097000000.0,4522943000000.0,4477415300000.0,4507765300000.0,4488745700000.0,4508287000000.0,4530692000000.0,4567524000000.0,4540642000000.0,4545296500000.0
2027.0,4498619600000.0,4488304300000.0,4429959000000.0,4471310000000.0,4447362600000.0,4456807000000.0,4521152000000.0,4542268000000.0,4509477600000.0,4520703000000.0
2028.0,4443411600000.0,4460883500000.0,4355468000000.0,4451615000000.0,4416640000000.0,4446263000000.0,4484068000000.0,4509604500000.0,4487145000000.0,4467088400000.0
2029.0,4408459000000.0,4437725000000.0,4316246800000.0,4431864000000.0,4388293200000.0,4403237500000.0,4474717300000.0,4470914700000.0,4455505000000.0,4430309000000.0
2030.0,4370350500000.0,4400825000000.0,4277354400000.0,4415929000000.0,4363255300000.0,4368694800000.0,4447119000000.0,4440395400000.0,4416795600000.0,4396737600000.0
2031.0,4321086300000.0,4376087000000.0,4238582000000.0,4394803500000.0,4353645300000.0,4356286400000.0,4415972400000.0,4422650000000.0,4389623800000.0,4376035600000.0
2032.0,4254026400000.0,4362782000000.0,4202449000000.0,4380738200000.0,4333471800000.0,4343596000000.0,4393989000000.0,4409258000000.0,4365296600000.0,4353977700000.0
2033.0,4196706000000.0,4313195700000.0,4160338000000.0,4340540000000.0,4291595600000.0,4304392000000.0,4373319000000.0,4365904800000.0,4355478000000.0,4315028700000.0
2034.0,4166669300000.0,4293359600000.0,4136620500000.0,4315901900000.0,4258766500000.0,4241911400000.0,4337209700000.0,4316397800000.0,4340790900000.0,4290985600000.0
2035.0,4138699300000.0,4262711500000.0,4102597600000.0,4304515600000.0,4224761200000.0,4215266600000.0,4328146000000.0,4277057600000.0,4313484400000.0,4276815100000.0
2036.0,4109503800000.0,4229673000000.0,4060696500000.0,4289166800000.0,4200516300000.0,4196429700000.0,4291951600000.0,4237648200000.0,4292430300000.0,4232900000000.0
2037.0,4074416600000.0,4187712700000.0,4013063700000.0,4229234200000.0,4164750400000.0,4183312800000.0,4263592000000.0,4195723000000.0,4283319200000.0,4180096300000.0
2038.0,4030435000000.0,4162400000000.0,3982603300000.0,4195623400000.0,4102421000000.0,4166210300000.0,4247201800000.0,4172878700000.0,4276170300000.0,4167508200000.0
2039.0,3999089800000.0,4134768000000.0,3942652800000.0,4157029500000.0,4070005500000.0,4141418800000.0,4231000800000.0,4141219300000.0,4232292000000.0,4137713700000.0
2040.0,3970031000000.0,4074051200000.0,3868591700000.0,4086186600000.0,4043766800000.0,4113966600000.0,4192378000000.0,4124568500000.0,4213308000000.0,4105655300000.0
2041.0,3943466300000.0,4042684600000.0,3838255800000.0,4056774000000.0,4015737500000.0,4092918000000.0,4174126300000.0,4111684900000.0,4192755300000.0,4068579500000.0
2042.0,3921575400000.0,4020499400000.0,3783951400000.0,3987162800000.0,3983222000000.0,4074521000000.0,4146716200000.0,4104520500000.0,4178236700000.0,4052863400000.0
2043.0,3874665300000.0,3984098000000.0,3731597300000.0,3953826700000.0,3940623300000.0,4056376100000.0,4140985200000.0,4070920000000.0,4110894800000.0,4012124700000.0
2044.0,3822584900000.0,3959544600000.0,3701172600000.0,3908745800000.0,3907612000000.0,4017018400000.0,4137964500000.0,4042407500000.0,4076477600000.0,3980173000000.0
2045.0,3795955000000.0,3936099500000.0,3676075700000.0,3851389200000.0,3893339400000.0,3997173000000.0,4112804200000.0,4004323800000.0,4034175000000.0,3947899000000.0
2046.0,3750017400000.0,3900860300000.0,3661169200000.0,3826268800000.0,3872867500000.0,3973990600000.0,4085630000000.0,3967723200000.0,4009032400000.0,3925252500000.0
2047.0,3704450000000.0,3878303600000.0,3610365400000.0,3795465300000.0,3849731700000.0,3942460200000.0,4076006800000.0,3933122600000.0,3995567000000.0,3902858000000.0
2048.0,3674062000000.0,3856247000000.0,3569760300000.0,3763657000000.0,3824463400000.0,3923540000000.0,4033284100000.0,3904331300000.0,3962079800000.0,3890579500000.0
2049.0,3625493500000.0,3836619000000.0,3530597000000.0,3754210400000.0,3802737700000.0,3911701000000.0,3993052400000.0,3887174500000.0,3940854000000.0,3856974000000.0
2050.0,3600105000000.0,3817963800000.0,3494647000000.0,3729411000000.0,3754072700000.0,3890676200000.0,3965882200000.0,3862903700000.0,3926701000000.0,3823315200000.0
2051.0,3569770600000.0,3792383500000.0,3438919500000.0,3721529700000.0,3708399000000.0,3870769500000.0,3938981200000.0,3826657800000.0,3903395200000.0,3771008500000.0
2052.0,3537691700000.0,3760510500000.0,3418308500000.0,3684079800000.0,3666735300000.0,3840791300000.0,3889961400000.0,3794193600000.0,3880779000000.0,3757068800000.0
2053.0,3495781000000.0,3710433600000.0,3382922000000.0,3647675000000.0,3636432000000.0,3814143600000.0,3861468400000.0,3759678000000.0,3845533200000.0,3728138600000.0
2054.0,3453166600000.0,3686197600000.0,3327456700000.0,3622372400000.0,3611647000000.0,3783049600000.0,3831732400000.0,3734499800000.0,3830356600000.0,3698675200000.0
2055.0,3418753600000.0,3656679700000.0,3297037000000.0,3594771200000.0,3593051300000.0,3746792000000.0,3796860000000.0,3706568600000.0,3790525400000.0,3676056600000.0
2056.0,3378488800000.0,3625077000000.0,3227602600000.0,3577607400000.0,3555404300000.0,3720577000000.0,3760550800000.0,3681816200000.0,3767509500000.0,3649819400000.0
2057.0,3332995000000.0,3599073300000.0,3184016200000.0,3527839300000.0,3524029000000.0,3691847000000.0,3723095000000.0,3666777000000.0,3756695000000.0,3605351000000.0
2058.0,3290747400000.0,3572455700000.0,3141301700000.0,3472976200000.0,3481535500000.0,3681689300000.0,3687257700000.0,3640676800000.0,3733797200000.0,3569528600000.0
2059.0,3255101300000.0,3541054800000.0,3093616100000.0,3441143300000.0,3455060800000.0,3668856500000.0,3641288700000.0,3598437000000.0,3702680200000.0,3540647400000.0
2060.0,3215002000000.0,3505271300000.0,3054950000000.0,3395191600000.0,3434152200000.0,3649844500000.0,3625460200000.0,3602545400000.0,3685047000000.0,3512506500000.0
2061.0,3184241100000.0,3465637000000.0,3018438700000.0,3381326500000.0,3408490100000.0,3613906700000.0,3611198800000.0,3569735000000.0,3654061700000.0,3479177500000.0
2062.0,3134498500000.0,3425784600000.0,2988275000000.0,3323743200000.0,3366475800000.0,3578625000000.0,3585689300000.0,3536528600000.0,3644467200000.0,3448571000000.0
2063.0,3100129000000.0,3380435500000.0,2946008600000.0,3296721400000.0,3337826900000.0,3550557000000.0,3555656000000.0,3513759800000.0,3637015500000.0,3427533800000.0
2064.0,3051227000000.0,3334625000000.0,2900026200000.0,3271415000000.0,3296809000000.0,3514498300000.0,3522136000000.0,3498202400000.0,3618403000000.0,3399211500000.0
2065.0,3011822500000.0,3296186000000.0,2865593600000.0,3232762700000.0,3265214500000.0,3493294800000.0,3487226100000.0,3477355400000.0,3580808000000.0,3336989300000.0
2066.0,2983647500000.0,3270160000000.0,2837061000000.0,3212932500000.0,3208933800000.0,3458860000000.0,3455631000000.0,3450066200000.0,3554674500000.0,3299081200000.0
2067.0,2945342200000.0,3226687800000.0,2787529000000.0,3173450800000.0,3177353800000.0,3432173000000.0,3439829700000.0,3424314000000.0,3535761800000.0,3277320400000.0
2068.0,2906403600000.0,3195555000000.0,2739433600000.0,3141272900000.0,3143705800000.0,3404705800000.0,3408156400000.0,3393609500000.0,3509138800000.0,3246032400000.0
2069.0,2868021800000.0,3153640600000.0,2707597000000.0,3117649800000.0,3097563000000.0,3369306400000.0,3363828000000.0,3364006000000.0,3466104000000.0,3216532300000.0
2070.0,2825406600000.0,3118192100000.0,2653370400000.0,3096936000000.0,3063295200000.0,3349778800000.0,3338741000000.0,3340142000000.0,3435140000000.0,3200177000000.0
2071.0,2777295400000.0,3073469300000.0,2606070800000.0,3059059800000.0,3027915500000.0,3320052700000.0,3296936000000.0,3315334000000.0,3402076000000.0,3174530300000.0
2072.0,2732793800000.0,3044464100000.0,2563462000000.0,3036065600000.0,2972509300000.0,3294259000000.0,3268917600000.0,3285585500000.0,3373984000000.0,3132861000000.0
2073.0,2679365000000.0,3003932500000.0,2515503700000.0,3018706400000.0,2940651400000.0,3264321200000.0,3240331000000.0,3241733800000.0,3362285000000.0,3087638700000.0
2074.0,2643088600000.0,2981413000000.0,2487691000000.0,3004634200000.0,2906603000000.0,3218808500000.0,3202660400000.0,3200005000000.0,3344727500000.0,3051947600000.0
2075.0,2615296700000.0,2944845200000.0,2450734200000.0,2967063800000.0,2872627700000.0,3196793400000.0,3169882200000.0,3172225500000.0,3321149300000.0,3016785100000.0
2076.0,2581362600000.0,2892950400000.0,2406261200000.0,2925194400000.0,2823069000000.0,3175457200000.0,3134046300000.0,3145211600000.0,3300676900000.0,2985779500000.0
2077.0,2526417300000.0,2836883800000.0,2368333400000.0,2890592700000.0,2790801800000.0,3149615900000.0,3110119400000.0,3124871800000.0,3291350300000.0,2946524800000.0
2078.0,2475533000000.0,2792655200000.0,2324811200000.0,2841105000000.0,2761238500000.0,3117339400000.0,3078164300000.0,3091266000000.0,3278758500000.0,2916148800000.0
2079.0,2438868500000.0,2749424500000.0,2300456000000.0,2813370600000.0,2719301000000.0,3088214400000.0,3053917300000.0,3064157400000.0,3259789500000.0,2886638200000.0
2080.0,2402038300000.0,2718421500000.0,2260766300000.0,2794313500000.0,2665349000000.0,3056199800000.0,3027306300000.0,3040292000000.0,3229979000000.0,2833344400000.0
2081.0,2370653700000.0,2678149600000.0,2213561500000.0,2752159000000.0,2631992900000.0,3038901700000.0,2992691500000.0,3017660400000.0,3209625300000.0,2815898000000.0
2082.0,2335183500000.0,2635631000000.0,2180706600000.0,2728942600000.0,2596172500000.0,3023740000000.0,2958187000000.0,2993504600000.0,3186618500000.0,2792663800000.0
2083.0,2298099500000.0,2605249500000.0,2138430500000.0,2716239000000.0,2564154200000.0,2969070500000.0,2908668300000.0,2960666000000.0,3166294500000.0,2764129400000.0
