time,CANESM2,GISS-E2-R,CNRM-CM5,CSIRO-MK3-6-0,CCSM4,MPI-ESM-LR,GFDL-CM3,NORESM1-M,GFDL-ESM2G,IPSL-CM5A-LR
2084.0,2269131300000.0,2567467000000.0,2111248900000.0,2695786400000.0,2518259600000.0,2921788300000.0,2854221500000.0,2945527000000.0,3131840000000.0,2743513000000.0
2085.0,2236605800000.0,2523231200000.0,2064056700000.0,2663614500000.0,2482343500000.0,2882160600000.0,2819986800000.0,2926606800000.0,3111067000000.0,2708583200000.0
2086.0,2190469500000.0,2487503600000.0,2036372300000.0,2626986200000.0,2441212600000.0,2860812300000.0,2786446300000.0,2898816400000.0,3080489500000.0,2677110500000.0
2087.0,2155716700000.0,2452923600000.0,1995177300000.0,2589654800000.0,2401841200000.0,2836183600000.0,2747052300000.0,2869830400000.0,3059757600000.0,2651058600000.0
2088.0,2126031900000.0,2415312500000.0,1949286900000.0,2542319700000.0,2353418000000.0,2805758700000.0,2716942200000.0,2841078000000.0,3025859000000.0,2628487700000.0
2089.0,2097494000000.0,2382177000000.0,1917967500000.0,2524522500000.0,2320343500000.0,2756631000000.0,2682502000000.0,2809482000000.0,2983753700000.0,2602613600000.0
2090.0,2052401400000.0,2347418800000.0,1876921500000.0,2502327500000.0,2289511700000.0,2724370000000.0,2651213500000.0,2777643500000.0,2977768100000.0,2581905500000.0
2091.0,2004470500000.0,2313659400000.0,1848204200000.0,2472682200000.0,2251752700000.0,2697144300000.0,2611738300000.0,2755273700000.0,2949269000000.0,2556730800000.0
2092.0,1970756400000.0,2285426000000.0,1812187700000.0,2440839800000.0,2205968200000.0,2671019300000.0,2585569000000.0,2728431700000.0,2914907600000.0,2536085400000.0
2093.0,1928888000000.0,2250592200000.0,1771147400000.0,2413678800000.0,2153418700000.0,2650521200000.0,2548705000000.0,2703230000000.0,2907237800000.0,2500821800000.0
2094.0,1892345300000.0,2218462000000.0,1731159400000.0,2380604000000.0,2121747500000.0,2620055400000.0,2513521000000.0,2676472000000.0,2885344800000.0,2468773400000.0
2095.0,1855580400000.0,2184145500000.0,1698851300000.0,2342896500000.0,2095803300000.0,2589855000000.0,2481810800000.0,2659987000000.0,2860133000000.0,2439750000000.0
2096.0,1807175400000.0,2153201800000.0,1667929600000.0,2308134400000.0,2067150300000.0,2569880000000.0,2449429800000.0,2633650000000.0,2831452700000.0,2418555200000.0
2097.0,1776386800000.0,2131763700000.0,1637204600000.0,2274100200000.0,2032559500000.0,2537602400000.0,2423694800000.0,2601763200000.0,2786051200000.0,2391657000000.0
2098.0,1752327100000.0,2094268700000.0,1602185100000.0,2248994500000.0,2003079900000.0,2501712800000.0,2398945000000.0,2570809200000.0,2782344000000.0,2362902000000.0
2099.0,1716641100000.0,2056301000000.0,1580421700000.0,2214899500000.0,1967584200000.0,2455798300000.0,2358702800000.0,2544335000000.0,2761234600000.0,2317199000000.0
2100.0,1669360000000.0,2016085100000.0,1560151200000.0,2199081500000.0,1946532200000.0,2427517400000.0,2302820500000.0,2526225400000.0,2735844400000.0,2287958000000.0
