time,GISS-E2-R,CSIRO-MK3-6-0,CCSM4,GFDL-ESM2G,NORESM1-M,GFDL-CM3,CESM1-CAM5,IPSL-CM5A-LR
2045.0,4028566300000.0,4070346000000.0,3989343800000.0,4190257000000.0,4027280800000.0,3954428000000.0,4108365300000.0,3999513000000.0
2046.0,3987598700000.0,4055336000000.0,3963221400000.0,4168889400000.0,3990593200000.0,3950858700000.0,4093171500000.0,3973628300000.0
2047.0,3969791800000.0,4017243000000.0,3915445400000.0,4130495800000.0,3982056500000.0,3935134300000.0,4062963000000.0,3939184700000.0
2048.0,3955495000000.0,4000031700000.0,3869295800000.0,4092634600000.0,3946094500000.0,3901890000000.0,4033702300000.0,3907563300000.0
2049.0,3939464000000.0,3972817500000.0,3833377000000.0,4070155200000.0,3910446000000.0,3874373200000.0,4014174600000.0,3891405300000.0
2050.0,3925575700000.0,3948699200000.0,3820832200000.0,4058790800000.0,3866615600000.0,3859899000000.0,3976594500000.0,3878543700000.0
2051.0,3905513600000.0,3907681800000.0,3784915300000.0,4051029200000.0,3831190800000.0,3831386000000.0,3949137000000.0,3866753000000.0
2052.0,3879169400000.0,3893418300000.0,3745030300000.0,4037288100000.0,3816852000000.0,3811622800000.0,3928714000000.0,3843875700000.0
2053.0,3841580000000.0,3865880300000.0,3720295700000.0,4025858400000.0,3799546300000.0,3771408800000.0,3923608300000.0,3835310400000.0
2054.0,3795048000000.0,3861708000000.0,3682401500000.0,4017203200000.0,3761529400000.0,3737193000000.0,3918984000000.0,3807418300000.0
2055.0,3770649700000.0,3827207000000.0,3651808000000.0,4021403300000.0,3739154600000.0,3697028000000.0,3895195300000.0,3786568000000.0
2056.0,3736464800000.0,3799378600000.0,3618641500000.0,4001838000000.0,3726480000000.0,3621599000000.0,3852213200000.0,3769188700000.0
2057.0,3716216000000.0,3775236400000.0,3593469700000.0,4000125800000.0,3718329700000.0,3587454500000.0,3827690000000.0,3751199600000.0
2058.0,3686413400000.0,3754598300000.0,3594721200000.0,3982979500000.0,3698572000000.0,3572247800000.0,3807292400000.0,3755790800000.0
2059.0,3665360800000.0,3720457200000.0,3572784000000.0,3965746700000.0,3665511600000.0,3546054700000.0,3766202400000.0,3728707400000.0
2060.0,3647565700000.0,3666768000000.0,3555756600000.0,3954228000000.0,3648705500000.0,3515881000000.0,3693466600000.0,3693313500000.0
2061.0,3634576000000.0,3624165700000.0,3526732300000.0,3941756800000.0,3632968500000.0,3486306000000.0,3672820400000.0,3655437000000.0
2062.0,3588055000000.0,3604429400000.0,3501135200000.0,3908989000000.0,3591373800000.0,3472999800000.0,3665288200000.0,3635415400000.0
2063.0,3551422000000.0,3590657700000.0,3472975000000.0,3886578700000.0,3560022700000.0,3440637600000.0,3635349300000.0,3615607000000.0
2064.0,3540742300000.0,3556825000000.0,3436950600000.0,3865873700000.0,3540431100000.0,3423470400000.0,3617035400000.0,3597571500000.0
2065.0,3512603500000.0,3542068200000.0,3417274300000.0,3847593100000.0,3512340000000.0,3395384200000.0,3581470600000.0,3566760600000.0
2066.0,3483532300000.0,3508344700000.0,3397418500000.0,3830421700000.0,3490331000000.0,3372198100000.0,3551847300000.0,3548893700000.0
2067.0,3462670300000.0,3497856000000.0,3387327300000.0,3817554000000.0,3478475000000.0,3332976400000.0,3534325000000.0,3526936500000.0
2068.0,3436819800000.0,3481461300000.0,3362031000000.0,3791760000000.0,3444829800000.0,3316510000000.0,3499066000000.0,3514112700000.0
2069.0,3415260500000.0,3452252000000.0,3349168000000.0,3764019800000.0,3420371000000.0,3307166000000.0,3472884200000.0,3498565200000.0
2070.0,3405253400000.0,3414149600000.0,3323314600000.0,3731610400000.0,3399810300000.0,3276535000000.0,3451367200000.0,3468672000000.0
2071.0,3374508400000.0,3396330800000.0,3312030600000.0,3723287300000.0,3383021500000.0,3258912000000.0,3422504000000.0,3442892300000.0
2072.0,3349075200000.0,3379644900000.0,3279411000000.0,3719283300000.0,3369250300000.0,3242122800000.0,3385334400000.0,3420460400000.0
2073.0,3327111200000.0,3360134300000.0,3246299800000.0,3683750000000.0,3347050400000.0,3223946500000.0,3332974000000.0,3399959200000.0
2074.0,3314614800000.0,3332482000000.0,3209896700000.0,3667251700000.0,3314522500000.0,3195140600000.0,3290199200000.0,3366176400000.0
2075.0,3292262300000.0,3310778600000.0,3173948900000.0,3645587800000.0,3282324200000.0,3177596000000.0,3264001600000.0,3338003800000.0
2076.0,3268966400000.0,3276563000000.0,3148149400000.0,3622951000000.0,3261665000000.0,3167587400000.0,3242333300000.0,3329088300000.0
2077.0,3240696200000.0,3261374400000.0,3127685400000.0,3608102000000.0,3237413000000.0,3148430700000.0,3221972300000.0,3305831700000.0
2078.0,3211891300000.0,3236376300000.0,3106947500000.0,3596519700000.0,3225422000000.0,3112404500000.0,3197931000000.0,3290567300000.0
2079.0,3187161400000.0,3212128600000.0,3088212300000.0,3589573200000.0,3213586300000.0,3094807300000.0,3175789600000.0,3259900600000.0
2080.0,3165088600000.0,3190229000000.0,3059262700000.0,3577862200000.0,3212548800000.0,3072437300000.0,3138279700000.0,3225809800000.0
2081.0,3118847500000.0,3166929700000.0,3031601800000.0,3562141600000.0,3196758300000.0,3054549600000.0,3103192500000.0,3200983200000.0
2082.0,3111829000000.0,3162459000000.0,2992333000000.0,3546085300000.0,3189899000000.0,3030776800000.0,3073443000000.0,3185621900000.0
2083.0,3085060000000.0,3128692600000.0,2969769300000.0,3507318400000.0,3171722200000.0,2996038500000.0,3025887000000.0,3168191400000.0
2084.0,3063330600000.0,3094925300000.0,2947070300000.0,3478479400000.0,3150977200000.0,2969053000000.0,3007268800000.0,3148892300000.0
2085.0,3038002800000.0,3076441200000.0,2922444200000.0,3467584200000.0,3135037000000.0,2957338200000.0,2987472500000.0,3134139400000.0
2086.0,3016851700000.0,3046199300000.0,2893971700000.0,3453854700000.0,3107848500000.0,2947580700000.0,2965981400000.0,3128077300000.0
2087.0,2990033900000.0,3013536400000.0,2874490500000.0,3438455800000.0,3089178300000.0,2931065400000.0,2929706700000.0,3126062700000.0
2088.0,2950100400000.0,2988243400000.0,2850075000000.0,3426391200000.0,3060951200000.0,2919575000000.0,2911304000000.0,3114620000000.0
2089.0,2919054200000.0,2970907300000.0,2822731000000.0,3423628400000.0,3030538300000.0,2897865900000.0,2887087000000.0,3096936200000.0
